tconst,averagerating,numvotes
tt0045707,5.6,8
tt0122004,5.4,10
tt0150397,6.0,5
tt0154669,5.0,6
tt0156466,5.4,7
tt0184981,6.4,8
tt0230829,9.1,11
tt0294458,4.8,9
tt0349639,6.6,8
tt0364624,8.0,7
tt0372177,5.6,7
tt0400915,9.4,5
tt0420270,8.6,5
tt0426551,5.2,8
tt0428307,5.0,12
tt0459747,6.4,6
tt0480305,8.0,7
tt0480307,6.4,13
tt0480308,6.8,14
tt0480310,6.6,5
tt0480313,3.9,26
tt0480316,2.6,41
tt0480320,5.6,16
tt0480321,8.2,40
tt0480330,6.4,27
tt0480336,7.2,19
tt0480337,6.4,141
tt0480340,8.2,9
tt0480341,6.6,9
tt0480342,7.1,10
tt0480343,6.9,192
tt0480344,7.2,412
tt0480345,6.5,4863
tt0480346,7.6,10
tt0480347,7.7,13
tt0480350,7.5,34
tt0480354,6.8,10
tt0480355,4.8,18
tt0480356,7.2,22
tt0480358,8.9,12
tt0480359,6.7,29
tt0480361,8.0,8
tt0480364,5.2,11
tt0480370,6.0,26
tt0480371,8.4,178
tt0480372,6.0,27
tt0480374,6.8,43
tt0480380,6.6,8
tt0480385,5.8,9
tt0480389,7.1,36
tt0480391,8.7,12
tt0480407,6.9,11
tt0480411,8.1,91
tt0480412,7.0,12
tt0480418,7.0,137
tt0480419,6.6,135
tt0480421,7.2,14
tt0480422,6.8,14
tt0480423,7.5,6
tt0480424,8.0,6
tt0480428,6.0,7
tt0480429,7.4,48
tt0480433,6.3,20
tt0480434,7.1,260
tt0480438,7.5,12
tt0480440,6.9,125
tt0480446,7.2,55
tt0480447,7.0,83
tt0480449,8.9,183
tt0480451,5.5,31
tt0480452,7.2,14
tt0480453,3.1,10
tt0480454,8.0,7
tt0480456,6.8,16
tt0480457,6.4,27
tt0480459,6.2,466
tt0480461,6.6,4245
tt0480465,7.3,443
tt0480466,8.1,14
tt0480467,8.2,11
tt0480469,4.6,29
tt0480471,7.7,528
tt0480473,6.2,96
tt0480480,6.9,133
tt0480481,7.9,10
tt0480482,7.5,18
tt0480483,7.6,49
tt0480487,7.1,263
tt0480489,7.9,35450
tt0480490,8.1,31
tt0480491,7.7,18
tt0480492,7.0,136
tt0480493,6.8,398
tt0480495,7.6,202
tt0480497,8.4,57
tt0480498,5.8,137
tt0480499,6.1,854
tt0480500,7.2,106
tt0480502,6.4,15
tt0480507,5.2,238
tt0480510,2.8,25
tt0480511,7.2,16
tt0480513,7.0,67
tt0480514,7.5,83
tt0480515,7.1,9
tt0480516,3.5,596
tt0480517,6.1,22
tt0480519,7.2,62
