tconst,averagerating,numvotes
tt0052483,8.4,87
tt0052484,7.5,100
tt0052485,7.9,97
tt0052486,4.3,10
tt0052487,7.2,28
tt0052488,7.7,45
tt0052489,7.3,7
tt0052490,7.7,1957
tt0052491,8.6,80
tt0052492,7.6,112
tt0052493,7.9,201
tt0052494,7.7,353
tt0052496,5.2,12
tt0052497,7.9,26
tt0052498,8.3,16
tt0052500,7.7,24
tt0052501,7.3,64
tt0052503,7.3,47
tt0052504,8.0,4323
tt0052505,7.8,617
tt0052506,7.6,213
tt0052507,7.8,4401
tt0052508,7.2,119
tt0052509,7.6,222
tt0052511,6.6,223
tt0052512,4.3,155
tt0052514,7.2,27
tt0052515,7.9,202
tt0052516,8.0,29
tt0052517,8.2,144
tt0052519,8.0,40
tt0052520,9.1,88515
tt0052522,8.0,2934
tt0052523,8.2,78
tt0052525,7.8,47
tt0052526,6.6,430
tt0052527,6.2,329
tt0052528,6.7,602
tt0052529,5.4,869
tt0052530,5.8,2054
tt0052531,6.5,17
tt0052532,6.3,111
tt0052533,5.8,45
tt0052534,4.9,13
tt0052536,5.9,21
tt0052537,9.1,15
tt0052538,5.2,322
tt0052539,4.4,6
tt0052540,7.1,587
tt0052541,7.4,22
tt0052542,6.4,20
tt0052543,6.7,1863
tt0052544,5.8,115
tt0052545,6.4,1519
tt0052546,6.0,52
tt0052547,5.1,72
tt0052549,5.6,2347
tt0052550,5.7,30
tt0052551,6.7,71
tt0052552,7.0,10
tt0052553,7.1,80
tt0052555,5.6,598
tt0052556,7.2,5770
tt0052557,6.9,24
tt0052558,6.3,33
tt0052560,7.6,881
tt0052561,8.0,68881
tt0052563,5.7,1046
tt0052564,5.2,3594
tt0052566,6.6,37
tt0052567,7.0,103
tt0052568,6.2,46
tt0052569,7.5,627
tt0052570,4.3,43
tt0052571,6.9,732
tt0052572,8.5,15651
tt0052573,6.6,587
tt0052574,4.6,78
tt0052575,7.2,363
tt0052577,5.8,17
tt0052578,6.2,197
tt0052579,6.9,432
tt0052580,6.7,29
tt0052581,5.6,45
tt0052582,6.6,30
tt0052583,6.5,887
tt0052584,5.8,32
tt0052585,6.5,941
tt0052586,6.1,137
tt0052587,5.1,1757
tt0052588,4.0,38
tt0052589,7.0,1127
tt0052591,6.4,21
tt0052592,5.1,13
tt0052593,6.5,114
tt0052595,6.1,432
tt0052596,7.0,360
tt0052597,6.4,28
tt0052598,6.5,116
tt0052599,4.8,6
tt0052600,8.2,10966
tt0052601,5.2,143
tt0052602,6.0,5740
tt0052603,7.1,1051
tt0052604,5.0,1031
tt0052605,5.5,49
tt0052606,5.5,751
tt0052607,6.6,1648
tt0052608,7.4,577
tt0052609,4.3,2173
tt0052610,5.5,371
tt0052611,5.7,2808
tt0052613,4.6,67
tt0052614,7.0,72
tt0052616,7.6,49
tt0052617,6.0,1133
tt0052618,8.1,246742
tt0052619,6.6,2180
tt0052620,7.2,123
tt0052621,7.0,45
tt0052622,5.3,16
tt0052623,6.3,293
tt0052624,6.0,11
tt0052625,7.0,27
tt0052626,6.2,803
tt0052627,5.4,438
tt0052629,6.4,322
tt0052631,6.4,1140
tt0052632,5.1,39
tt0052633,6.6,69
tt0052634,6.7,853
tt0052635,7.6,383
tt0052636,4.0,127
tt0052637,5.1,450
tt0052638,6.2,344
tt0052639,6.6,658
tt0052640,5.6,25
tt0052641,7.3,469
tt0052642,7.6,87
tt0052643,6.0,35
tt0052644,6.9,1438
tt0052645,7.6,22
tt0052646,4.5,7336
tt0052647,7.8,61
tt0052648,6.8,728
tt0052649,6.7,291
tt0052651,6.8,788
tt0052652,6.5,30
tt0052653,5.1,99
tt0052654,8.0,8386
tt0052655,6.7,7392
tt0052656,6.8,228
tt0052657,6.8,182
tt0052658,6.4,19
tt0052659,6.5,14
tt0052661,6.1,27
tt0052662,6.3,559
tt0052663,6.4,60
tt0052664,6.7,82
tt0052665,6.5,59
tt0052666,5.8,23
tt0052667,5.9,1535
tt0052668,6.7,354
tt0052669,6.5,26
tt0052670,5.4,77
tt0052671,6.8,118
tt0052672,5.9,393
tt0052673,6.9,686
tt0052674,5.4,21
tt0052675,6.1,116
tt0052676,6.2,2554
tt0052678,5.5,40
tt0052679,5.3,138
tt0052680,6.3,1567
tt0052681,6.1,701
tt0052682,6.6,224
tt0052684,4.1,56
tt0052685,5.1,10
tt0052686,5.3,171
tt0052687,6.9,881
tt0052688,5.4,28
tt0052690,6.4,400
tt0052691,4.1,27
tt0052692,6.4,188
tt0052694,5.8,8
tt0052695,6.6,714
tt0052696,6.4,1530
tt0052698,7.5,4075
tt0052700,7.4,7132
tt0052702,4.8,537
tt0052703,6.2,67
tt0052704,5.9,154
tt0052705,6.1,35
tt0052706,5.0,380
tt0052707,4.9,137
tt0052708,7.2,3124
tt0052709,5.9,436
tt0052710,4.1,28
tt0052711,5.8,239
tt0052712,5.7,61
tt0052713,6.8,2978
tt0052715,6.5,25
tt0052716,5.9,150
tt0052717,3.3,306
tt0052718,5.9,1255
tt0052719,2.7,1028
tt0052721,7.5,404
tt0052722,7.1,8820
