tconst,averagerating,numvotes
tt0026059,7.2,7
tt0041049,5.0,13
tt0042068,5.6,12
tt0079547,8.4,7
tt0102839,6.4,5
tt0107882,6.0,6
tt0140113,3.2,7
tt0178871,7.2,8
tt0178873,7.4,9
tt0178874,4.4,22
tt0178875,5.9,15
tt0178876,5.9,81
tt0178877,6.1,307
tt0178878,3.4,20
tt0178879,3.0,18
tt0178880,2.7,11
tt0178882,5.9,87
tt0178883,7.0,24
tt0178884,6.9,10
tt0178890,6.2,8
tt0178895,5.7,24
tt0178896,5.3,228
tt0178897,7.5,18
tt0178898,6.4,25
tt0178899,8.1,10
tt0178900,6.5,30
tt0178901,6.6,35
tt0178903,4.0,7
tt0178907,5.4,51
tt0178908,5.9,15
tt0178909,7.9,66
tt0178911,5.8,30
tt0178912,6.5,145
tt0178914,4.9,119
tt0178915,3.8,144
tt0178916,6.9,18
tt0178917,4.8,30
tt0178919,7.1,18
tt0178922,7.0,352
tt0178923,5.9,118
tt0178924,4.3,107
tt0178925,4.6,103
tt0178926,4.9,26
tt0178927,4.3,65
tt0178928,4.9,380
tt0178929,4.3,9
tt0178930,3.5,7
tt0178932,4.3,106
tt0178933,4.4,119
tt0178934,7.7,18
tt0178935,4.2,73
tt0178936,7.3,14
tt0178938,8.0,6
tt0178939,5.5,20
tt0178941,6.9,19
tt0178945,6.2,52
tt0178946,8.5,13
tt0178947,6.0,30
tt0178948,6.0,7
tt0178949,5.8,51
tt0178950,7.6,6
tt0178952,7.4,725
tt0178956,6.4,25
tt0178958,6.0,8
tt0178962,4.1,22
tt0178963,4.6,10
tt0178964,5.1,25
tt0178965,4.7,77
tt0178967,4.4,8
tt0178968,6.1,17
tt0178969,8.3,10
tt0178970,4.3,108
tt0178975,7.2,7
tt0178976,7.4,55
tt0178979,5.1,126
tt0178980,4.4,110
tt0178981,4.4,107
tt0178982,4.1,102
tt0178983,5.3,339
tt0178984,7.4,161
tt0178985,6.4,33
tt0178986,4.8,26
tt0178988,5.4,1982
tt0178990,6.1,59
tt0178991,5.6,51
tt0178993,6.5,16
tt0178994,4.6,8
tt0178995,7.4,39
tt0178996,7.3,16
tt0178997,5.6,499
tt0178998,6.5,261
tt0179000,4.4,24
tt0179001,4.5,11
tt0179003,6.4,28
tt0179005,7.3,17
tt0179006,4.2,14
tt0179009,7.2,44
tt0179010,7.4,92
tt0179011,6.7,2039
tt0179012,7.2,71
tt0179013,8.0,6
tt0179014,7.2,104
tt0179015,6.9,21
tt0179017,6.2,12
tt0179019,7.0,8
tt0179021,7.3,539
tt0179022,6.1,9
tt0179023,7.9,8
tt0179025,9.2,77
tt0179026,7.9,59
tt0179027,7.0,9
tt0179028,8.0,97
tt0179029,7.6,377
tt0179030,8.3,17
tt0179032,7.1,10
tt0179033,7.1,145
tt0179034,6.4,249
tt0179035,7.6,28
tt0179036,8.4,108
tt0179040,6.3,15
tt0179042,8.2,276
tt0179044,7.6,25
tt0179047,7.4,5
tt0179050,7.7,11
tt0179051,6.5,141
tt0179055,6.4,82
tt0179056,6.3,12
tt0179057,7.5,84
tt0179058,6.2,21
tt0179060,8.0,54
tt0179061,7.2,1690
tt0179062,7.6,9
tt0179063,6.1,465
tt0179064,5.5,76
tt0179065,4.9,12
tt0179066,4.5,42
tt0179067,9.4,10
tt0179068,6.4,136
tt0179070,4.7,63
tt0179071,8.1,20
tt0179072,7.1,117
tt0179073,6.9,29
tt0179074,6.6,2344
tt0179075,6.2,17
tt0179077,8.7,136
tt0179080,5.5,58
tt0179083,5.2,153
tt0179085,6.1,11
tt0179086,6.0,19
tt0179088,9.1,47
tt0179089,5.8,39
tt0179091,7.2,144
tt0179092,6.3,38
tt0179094,4.9,25
tt0179096,5.4,34
tt0179097,6.2,12
tt0179098,6.6,14469
tt0179099,6.1,72
tt0179100,6.8,56
tt0179101,5.5,246
tt0179102,4.9,32
tt0179103,7.6,23
tt0179104,6.3,7
tt0179105,8.1,22
tt0179106,4.4,16
tt0179107,5.9,24
tt0179108,8.3,16
tt0179110,6.7,641
tt0179111,6.6,27
tt0179112,6.2,75
tt0179115,5.1,71
tt0179116,6.8,37937
tt0179117,7.2,133
tt0179120,6.6,133
tt0179121,6.7,33
tt0179123,4.5,47
tt0179128,5.1,133
tt0179131,8.5,12
tt0179137,7.1,475
tt0179138,5.3,79
tt0179140,4.5,241
tt0179144,6.2,56
tt0179145,5.5,360
tt0179147,4.1,100
tt0179148,6.3,4310
tt0179153,7.4,9
tt0179154,7.5,77
tt0179155,4.5,19
tt0179157,5.5,40
tt0179161,6.4,115
tt0179162,6.7,19
tt0179163,5.3,14
tt0179164,6.7,107
tt0179167,8.4,725
tt0179170,7.0,65
tt0179171,7.3,95
tt0179174,6.1,475
tt0179175,5.6,36
tt0179177,6.4,16
tt0179178,8.8,17
tt0179182,5.3,2684
tt0179183,4.5,7175
tt0179184,6.3,100
tt0179185,7.0,56
tt0179186,7.3,172
tt0179189,7.2,32
tt0179191,6.6,111
tt0179193,7.0,57
tt0179196,6.7,713
tt0179199,6.7,11
tt0179201,4.7,19
tt0179202,4.6,12
tt0179205,5.3,140
tt0179206,5.6,100
tt0179208,6.4,8
tt0179209,5.5,138
tt0179210,7.6,55
tt0179211,6.8,80
tt0179212,7.1,766
tt0179213,7.4,697
tt0179214,7.1,686
tt0179215,7.2,676
tt0179216,7.1,780
tt0179217,7.1,756
tt0179218,8.1,4360
tt0179219,5.6,113
tt0179220,8.5,27
tt0179221,6.0,65
tt0179222,7.2,10
tt0179223,6.4,194
tt0179224,5.9,113
tt0179225,4.8,227
tt0179227,6.4,53
tt0179232,4.8,18
tt0179236,5.6,22
tt0179237,5.5,16
tt0179240,5.3,10
tt0179242,5.5,9
tt0179243,5.9,62
tt0179244,5.9,71
tt0179246,7.1,31
tt0179247,5.0,10
