tconst,averagerating,numvotes
tt0107883,5.6,6
tt0152414,5.2,8
tt0177190,6.0,6
tt0288193,8.0,6
tt0299106,8.5,21
tt0310060,6.2,91
tt0310064,5.2,67
tt0310065,6.5,111
tt0310066,6.1,64
tt0310068,6.0,52
tt0310073,2.6,94
tt0310075,8.1,20
tt0310081,4.4,34
tt0310085,8.4,238
tt0310088,5.2,94
tt0310089,8.4,43
tt0310090,5.7,53
tt0310092,6.0,38
tt0310098,2.1,29
tt0310099,1.6,31
tt0310102,8.6,82
tt0310104,7.1,14
tt0310105,6.7,31
tt0310108,8.3,46
tt0310110,8.0,11
tt0310115,6.4,46
tt0310116,7.2,9
tt0310118,5.9,276
tt0310119,4.5,86
tt0310121,8.8,35
tt0310122,8.2,8
tt0310123,7.6,38
tt0310124,7.0,648
tt0310125,5.7,12
tt0310127,6.6,46
tt0310129,1.2,64
tt0310138,6.3,12
tt0310145,2.2,7
tt0310149,5.6,3058
tt0310152,7.8,13
tt0310154,7.3,4322
tt0310155,4.2,30
tt0310156,6.2,20
tt0310158,5.7,8
tt0310160,5.8,11
tt0310161,8.4,12
tt0310164,3.5,691
tt0310166,3.3,8
tt0310167,6.6,96
tt0310168,8.1,100
tt0310169,7.1,16
tt0310172,7.8,35
tt0310173,6.0,15
tt0310176,5.6,253
tt0310179,6.7,18
tt0310181,4.2,169
tt0310182,7.4,21
tt0310184,7.0,19
tt0310185,9.0,6
tt0310186,7.4,289
tt0310187,7.7,9
tt0310188,7.2,125
tt0310189,5.1,14
tt0310190,6.1,123
tt0310194,3.9,65
tt0310196,1.8,92
tt0310197,7.3,20
tt0310198,6.4,30
tt0310199,7.3,57
tt0310203,7.1,30055
tt0310204,6.9,65
tt0310206,3.2,6
tt0310208,8.5,9
tt0310210,1.3,62
tt0310212,4.0,11
tt0310213,6.9,12
tt0310217,7.0,22
tt0310221,5.8,170
tt0310222,6.6,48
tt0310224,6.4,333
tt0310227,4.6,255
tt0310228,7.0,15
tt0310230,3.9,135
tt0310232,8.4,44
tt0310233,5.6,39
tt0310234,6.7,8
tt0310236,5.7,76
tt0310238,7.2,189
tt0310239,1.8,77
tt0310240,5.2,8
tt0310242,6.8,275
tt0310243,4.8,320
tt0310246,2.5,164
tt0310251,7.2,63
tt0310253,7.6,21
tt0310254,5.7,3248
tt0310256,7.4,93
tt0310260,8.4,565
tt0310261,6.8,235
tt0310262,3.4,16
tt0310264,8.0,37
tt0310267,5.6,17
tt0310270,7.1,14
tt0310273,7.3,16
tt0310275,6.8,12
tt0310279,6.9,71
tt0310280,7.7,13
tt0310281,7.2,28950
tt0310282,8.0,32
tt0310283,6.4,11
tt0310287,1.6,94
tt0310288,7.1,60
tt0310289,6.2,40
tt0310290,7.7,14
tt0310292,3.0,128
tt0310293,5.8,72
tt0310295,5.6,84
tt0310296,4.8,51
tt0310298,4.1,931
tt0310299,7.5,17
tt0310301,6.1,22
tt0310304,5.9,13
tt0310305,5.4,10
tt0310309,8.2,42
tt0310310,6.0,9
tt0310312,5.9,18
tt0310313,6.3,1096
tt0310314,7.1,16
tt0310315,1.9,231
tt0310317,6.8,18
tt0310319,4.1,46
tt0310321,6.7,14
tt0310324,5.8,33
tt0310327,6.2,8
tt0310330,5.2,15
tt0310331,6.2,79
tt0310333,6.1,209
tt0310334,5.9,94
tt0310335,6.8,30
tt0310336,7.3,20
tt0310337,8.0,443
tt0310338,6.2,78
tt0310339,5.7,315
tt0310340,6.1,147
tt0310341,5.3,7
tt0310342,9.1,22
tt0310343,5.5,63
tt0310345,5.3,13
tt0310346,6.7,34
tt0310348,1.5,141
tt0310352,4.8,17
tt0310353,4.0,12
tt0310354,6.5,169
tt0310357,6.1,20107
tt0310361,7.1,21
tt0310362,6.7,236
tt0310363,7.4,9
tt0310365,7.0,107
tt0310367,3.8,117
tt0310368,5.6,56
tt0310370,5.3,156
tt0310379,7.3,7
tt0310389,6.0,72
tt0310391,6.8,31
tt0310393,6.5,14
tt0310398,5.6,33
tt0310399,6.4,26
tt0310406,4.5,12
tt0310412,6.7,613
tt0310415,5.0,7
tt0310416,6.6,246
tt0310419,6.6,264
tt0310423,6.0,27
tt0310424,7.2,9
tt0310425,6.2,22
tt0310427,8.2,37
tt0310429,6.9,14
tt0310432,6.5,119
tt0310433,7.0,9
tt0310435,6.5,185
tt0310442,6.4,374
tt0310443,6.4,1620
tt0310444,7.7,30
tt0310445,8.3,12
tt0310450,7.2,6
tt0310451,7.3,17
tt0310452,7.6,20
tt0310453,8.0,73
tt0310454,7.7,70
tt0310455,8.6,17114
tt0310456,5.9,27
tt0310457,6.3,143
tt0310458,6.2,13
tt0310460,6.9,12848
tt0310461,4.9,13
