tconst,averagerating,numvotes
tt0026899,7.4,7
tt0040592,7.2,6
tt0087156,6.4,120
tt0161080,6.2,98
tt0320604,3.6,6
tt0323866,5.6,7
tt0331122,5.6,6
tt0338686,7.4,5
tt0360787,5.4,9
tt0377226,6.6,5
tt0507560,8.0,8
tt0509571,8.2,8
tt0517732,7.4,13
tt0517734,7.3,14
tt0517736,7.0,7
tt0517737,6.6,10
tt0517738,6.8,15
tt0517739,6.9,14
tt0517740,6.7,8
tt0517741,8.1,16
tt0517742,7.2,14
tt0517743,8.2,13
tt0517744,6.0,14
tt0517745,8.7,14
tt0517746,6.8,12
tt0517747,7.2,11
tt0517748,7.3,12
tt0517749,6.7,11
tt0517750,6.8,7
tt0517751,7.4,19
tt0517752,7.8,14
tt0517753,7.2,19
tt0517754,7.8,14
tt0517755,7.2,17
tt0517756,7.5,12
tt0517757,7.4,13
tt0517758,8.4,16
tt0517759,7.4,12
tt0517760,7.2,15
tt0517761,7.0,7
tt0517762,7.5,12
tt0517763,6.9,12
tt0517764,6.6,8
tt0517765,7.1,10
tt0517767,5.6,7
tt0517768,5.3,9
tt0517770,7.6,10
tt0517771,7.5,12
tt0517772,7.2,10
tt0517773,7.5,8
tt0517774,7.0,13
tt0517775,8.0,15
tt0517776,6.7,8
tt0517777,7.8,16
tt0517778,8.0,9
tt0517779,8.0,14
tt0517780,7.2,11
tt0517781,7.3,12
tt0517782,7.6,10
tt0517783,7.6,15
tt0517785,7.2,13
tt0517786,8.2,10
tt0517790,8.0,10
tt0517791,6.8,13
tt0517792,7.2,13
tt0517793,7.5,10
tt0517794,5.6,9
tt0517796,7.4,12
tt0517797,8.0,17
tt0517798,8.1,13
tt0517799,7.5,16
tt0517800,6.8,13
tt0517802,7.6,12
tt0517803,3.9,13
tt0517804,3.9,13
tt0517805,3.9,13
tt0517806,3.9,13
tt0517807,4.3,12
tt0517808,4.9,15
tt0517809,5.3,18
tt0517810,4.2,13
tt0517811,4.2,13
tt0517813,9.1,16
tt0517814,9.0,15
tt0517822,8.9,14
tt0517823,9.2,14
tt0517897,9.2,175
tt0517898,7.2,17
tt0517901,7.3,23
tt0517902,6.7,27
tt0517905,7.1,26
tt0517906,7.5,18
tt0517908,7.2,16
tt0517914,7.0,5
tt0517948,8.2,31
tt0517949,7.6,29
tt0517950,7.8,29
tt0517951,7.8,30
tt0517952,8.0,30
tt0517953,8.0,29
tt0517954,8.1,35
tt0517955,8.2,29
tt0517956,8.2,28
tt0517957,8.3,27
tt0517958,8.0,26
tt0517959,7.8,31
tt0517960,8.0,29
tt0517961,7.6,28
tt0517962,7.7,28
tt0517963,8.2,32
tt0517964,7.7,32
tt0517965,7.8,28
tt0517966,8.5,32
tt0517967,8.1,26
tt0517968,7.9,23
tt0517969,7.6,29
tt0517970,8.0,30
tt0517971,8.1,28
tt0517972,7.9,30
tt0517973,8.3,31
tt0517974,7.8,31
tt0517975,8.0,29
tt0517976,8.0,31
tt0517977,7.7,27
tt0517978,8.1,26
tt0517979,7.3,34
tt0517980,7.6,30
tt0517981,8.2,26
tt0517982,7.5,30
tt0517983,8.2,28
tt0517984,8.0,32
tt0517985,7.6,29
tt0517986,8.0,30
tt0517987,8.3,55
tt0517988,7.8,33
tt0517989,8.8,43
tt0517990,8.2,33
tt0517991,9.0,57
tt0517992,8.4,39
tt0517993,8.3,38
tt0517994,8.0,39
tt0517995,7.9,40
tt0517996,8.5,41
tt0517997,8.2,38
tt0517998,9.1,88
tt0517999,8.2,36
tt0518000,8.4,36
tt0518001,8.2,40
tt0518002,8.3,61
tt0518003,8.4,40
tt0518004,8.2,41
tt0518005,8.7,54
tt0518006,8.0,38
tt0518007,8.2,32
tt0518008,8.7,37
tt0518009,8.0,38
tt0518010,8.4,41
tt0518011,8.0,34
tt0518012,8.4,39
tt0518013,8.6,45
tt0518014,8.9,63
tt0518015,8.0,57
tt0518016,8.0,32
tt0518017,8.8,45
tt0518018,8.9,61
tt0518019,8.0,37
tt0518020,8.1,34
tt0518021,8.5,52
tt0518022,8.1,34
tt0518023,8.2,38
tt0518024,8.6,38
tt0518025,8.7,56
tt0518026,7.7,35
tt0518027,8.1,35
tt0518028,8.7,40
tt0518029,9.1,41
tt0518030,8.7,38
tt0518031,8.4,41
tt0518032,8.4,55
tt0518033,8.4,78
tt0518034,8.4,41
tt0518035,8.1,32
tt0518036,8.6,48
tt0518037,7.9,41
tt0518038,9.2,57
tt0518039,8.6,43
tt0518105,6.6,5
tt0518167,7.5,14
tt0518189,7.3,9
tt0518190,7.2,8
tt0518191,7.0,10
tt0518192,7.0,8
tt0518193,5.8,8
tt0518194,6.2,7
tt0518197,7.2,8
tt0518199,6.8,8
tt0518201,7.6,9
tt0518203,6.5,12
tt0518206,7.2,8
tt0518210,6.4,7
tt0518211,7.0,10
tt0518215,6.1,9
tt0518221,7.2,10
tt0518223,6.7,8
tt0518227,6.3,8
tt0518229,6.8,7
tt0518232,6.8,8
tt0518235,7.3,8
tt0518238,7.4,7
tt0518241,6.6,11
tt0518242,7.5,8
tt0518243,7.5,10
tt0518244,5.6,9
tt0518247,7.3,8
tt0518248,6.2,8
tt0518249,7.0,8
tt0518253,6.2,8
tt0518254,6.7,8
tt0518256,7.8,8
tt0518262,6.2,8
tt0518265,7.2,8
tt0518268,6.5,8
tt0518272,6.5,8
tt0518274,7.6,11
tt0518282,6.8,8
tt0518283,6.7,9
tt0518288,8.2,10
tt0518291,8.6,35
tt0518294,7.6,34
tt0518295,7.7,31
tt0518297,8.3,39
tt0518298,7.8,35
tt0518299,8.0,32
tt0518300,8.1,37
tt0518301,7.8,32
tt0518302,8.1,33
tt0518303,7.6,34
tt0518305,7.8,42
tt0518306,7.9,30
tt0518307,7.6,31
tt0518308,8.2,53
tt0518309,8.2,30
tt0518310,8.0,32
tt0518311,7.6,30
tt0518312,8.1,40
tt0518314,8.4,29
tt0518315,7.7,43
tt0518316,8.0,32
tt0518317,8.2,34
tt0518318,7.9,55
tt0518320,7.9,32
tt0518321,8.1,41
tt0518322,7.7,33
tt0518324,8.1,42
tt0518326,7.7,31
tt0518327,8.1,31
tt0518329,7.6,45
tt0518330,8.0,32
tt0518331,8.1,29
tt0518332,8.1,44
tt0518333,8.0,26
tt0518335,7.4,27
tt0518336,7.9,42
tt0518337,7.6,36
tt0518339,7.5,35
tt0518340,7.8,50
tt0518342,7.7,73
tt0518344,8.1,79
tt0518345,7.8,31
tt0518346,7.8,34
tt0518348,7.9,32
tt0518349,4.0,8
tt0518350,4.8,8
tt0518351,4.5,8
tt0518352,4.6,7
tt0518353,4.5,8
tt0518354,4.4,8
tt0518355,4.9,8
tt0518356,4.4,8
tt0518358,7.4,197
tt0518359,7.8,156
tt0518360,7.7,156
tt0518361,7.5,161
tt0518362,7.4,249
tt0518363,7.5,201
tt0518364,7.6,166
tt0518365,7.4,152
tt0518366,7.6,214
tt0518367,7.2,151
tt0518368,7.4,183
tt0518369,7.7,162
tt0518370,7.7,173
tt0518371,7.3,158
tt0518372,7.5,147
tt0518373,7.7,185
tt0518392,8.8,9
tt0518393,8.8,8
tt0518397,6.7,8
tt0518400,8.8,7
tt0518406,8.6,7
tt0518407,6.4,11
tt0518408,5.6,10
tt0518409,5.4,10
tt0518410,6.8,9
tt0518430,9.0,6
tt0518431,9.0,6
tt0518433,9.1,9
tt0518434,8.6,6
tt0518435,8.0,6
tt0518436,8.8,7
tt0518437,8.6,6
tt0518440,8.8,6
tt0518450,2.6,15
tt0518462,8.8,10
tt0518473,6.7,27
tt0518474,6.2,33
tt0518475,7.5,28
tt0518476,6.9,28
tt0518477,6.3,24
tt0518479,7.6,33
tt0518480,7.7,28
tt0518482,6.4,32
tt0518483,7.7,30
tt0518485,7.2,23
tt0518486,7.4,40
tt0518487,7.4,36
tt0518488,6.7,22
tt0518489,7.8,39
tt0518491,7.0,32
tt0518492,7.4,31
tt0518493,7.5,33
tt0518494,7.0,27
tt0518495,7.7,36
tt0518496,8.2,33
tt0518498,7.2,28
tt0518499,7.0,31
tt0518500,7.5,47
tt0518501,8.4,44
tt0518502,7.3,37
tt0518503,7.1,34
tt0518505,7.1,31
tt0518508,6.7,29
tt0518509,8.5,22
tt0518515,6.2,11
tt0518519,6.6,13
tt0518520,5.1,8
tt0518522,8.3,21
tt0518554,8.5,7
tt0518558,7.1,23
tt0518559,7.1,24
tt0518560,7.1,27
tt0518561,6.9,33
tt0518562,6.7,25
tt0518563,6.8,21
tt0518564,7.3,23
tt0518565,7.5,21
tt0518566,7.6,22
tt0518567,7.4,22
tt0518568,6.2,27
tt0518569,7.4,22
tt0518570,6.5,20
tt0518571,8.6,6
tt0518572,9.1,9
tt0518573,8.9,9
tt0518574,8.0,7
tt0518575,7.6,6
tt0518576,8.6,7
tt0518577,7.5,9
tt0518578,9.1,8
tt0518580,6.7,7
tt0518586,6.2,6
tt0518690,7.4,57
tt0518691,8.0,57
tt0518692,8.5,52
tt0518693,7.8,45
tt0518694,7.7,46
tt0518695,7.9,44
tt0518696,7.5,45
tt0518697,7.9,44
tt0518698,7.9,53
tt0518699,8.3,45
tt0518700,8.4,52
tt0518701,8.2,46
tt0518702,7.7,51
tt0518703,8.4,48
tt0518704,8.3,52
tt0518705,7.5,47
tt0518706,7.6,47
tt0518707,7.9,61
tt0518709,7.8,43
tt0518710,7.9,41
tt0518711,8.0,66
tt0518712,7.6,39
tt0518713,8.0,41
tt0518714,8.0,44
tt0518715,8.4,42
tt0518716,8.0,58
tt0518717,7.8,49
tt0518718,7.6,45
tt0518719,7.6,38
tt0518720,8.1,50
tt0518721,7.7,40
tt0518722,8.0,52
tt0518723,7.6,47
tt0518724,7.7,44
tt0518725,8.7,55
tt0518726,8.0,51
tt0518727,8.2,53
tt0518728,7.9,50
tt0518729,7.8,43
tt0518730,7.5,40
tt0518731,7.7,59
tt0518732,8.3,48
tt0518733,8.4,46
tt0518734,8.5,47
tt0518735,8.7,46
tt0518736,8.3,43
tt0518737,8.3,45
tt0518738,8.2,47
tt0518739,7.9,47
tt0518740,8.1,42
tt0518741,7.6,49
tt0518742,8.5,49
tt0518743,7.9,42
tt0518744,7.7,57
tt0518745,7.9,49
tt0518746,7.7,39
tt0518747,8.2,48
tt0518748,8.0,62
tt0518749,7.8,40
tt0518750,8.3,52
tt0518751,8.4,57
tt0518752,8.2,53
tt0518753,8.1,60
tt0518754,8.1,46
tt0518755,7.8,47
tt0518756,7.6,43
tt0518757,7.6,44
tt0518758,7.8,60
tt0518759,7.6,44
tt0518760,7.9,40
tt0518761,8.7,39
tt0518762,7.7,46
tt0518763,7.9,48
tt0518764,7.8,55
tt0518765,7.6,47
tt0518766,7.9,61
tt0518767,8.7,48
tt0518768,7.8,41
tt0518769,7.8,43
tt0518770,7.9,63
tt0518809,7.7,64
tt0518810,7.1,49
tt0518811,7.4,53
tt0518812,8.2,68
tt0518813,7.6,89
tt0518814,7.7,94
tt0518815,7.6,57
tt0518816,6.1,59
tt0518817,7.3,57
tt0518818,8.1,57
tt0518819,7.6,63
tt0518820,7.3,66
tt0518821,8.1,72
tt0518822,8.3,73
tt0518823,7.8,57
tt0518824,7.0,93
tt0518825,8.1,61
tt0518826,7.5,76
tt0518827,7.5,63
tt0518828,7.9,60
tt0518829,8.0,86
tt0518830,7.5,60
tt0518831,7.6,48
tt0518832,7.4,42
tt0518833,7.7,56
tt0518834,7.8,61
tt0518835,8.0,65
tt0518836,8.3,63
tt0518837,6.7,44
tt0518838,7.6,55
tt0518839,8.0,63
tt0518840,8.1,56
tt0518841,7.4,59
tt0518842,8.3,92
tt0518843,8.0,70
tt0518844,7.8,67
tt0518845,8.1,66
tt0518846,7.7,61
tt0518847,6.9,41
tt0518848,7.1,53
tt0518849,8.1,64
tt0518850,7.2,64
tt0518851,7.7,70
tt0518852,6.0,54
tt0518853,7.4,80
tt0518854,7.9,54
tt0518855,8.4,75
tt0518856,8.0,53
tt0518857,8.0,82
tt0518858,7.4,68
tt0518859,8.0,60
tt0518860,6.8,64
tt0518861,7.0,71
tt0518862,7.6,50
tt0518863,7.7,45
tt0518864,8.3,98
tt0518865,7.7,44
tt0518866,7.9,60
tt0518867,8.0,74
tt0518868,6.5,56
tt0518869,8.0,88
tt0518870,7.9,66
tt0518871,8.1,61
tt0518872,7.9,74
tt0518873,8.0,59
tt0518874,6.6,49
tt0518875,7.8,64
tt0518876,7.3,72
tt0518877,7.6,57
tt0518878,8.3,79
tt0518879,6.2,63
tt0518880,7.4,49
tt0518881,6.9,57
tt0518882,7.6,52
tt0518883,7.4,64
tt0518884,8.6,66
tt0518885,8.0,88
tt0518886,7.3,60
tt0518887,7.6,49
tt0518888,7.6,60
tt0518889,7.2,48
tt0518890,7.9,53
tt0518891,7.8,57
tt0518892,7.7,53
tt0518893,8.1,123
tt0518894,7.8,72
tt0518895,7.6,119
tt0518896,7.2,58
tt0518897,8.3,69
tt0518898,7.2,57
tt0518899,7.6,52
tt0518900,7.5,51
tt0518901,8.0,72
tt0518902,7.6,105
tt0518903,7.2,63
tt0518904,7.2,62
tt0518905,7.6,55
tt0518906,6.9,52
tt0518907,7.6,71
tt0518908,6.8,74
tt0518909,7.2,66
tt0518910,7.7,153
tt0518911,7.2,55
tt0518912,7.2,53
tt0518913,6.7,67
tt0518914,7.8,70
tt0518915,7.8,112
tt0518916,7.9,68
tt0518917,6.7,60
tt0518918,7.5,62
tt0518919,7.9,110
tt0518920,7.9,74
tt0518921,7.7,63
tt0518922,7.1,59
tt0518923,7.9,73
tt0518924,7.6,131
tt0518925,7.9,50
tt0518926,7.7,47
tt0518927,7.5,56
tt0518928,7.8,60
tt0518929,7.1,57
tt0518930,7.3,80
tt0518931,7.3,60
tt0518932,7.6,57
tt0518933,7.9,77
tt0518934,6.7,56
tt0518935,8.0,62
tt0518936,7.2,90
tt0518937,7.2,55
tt0518938,7.2,60
tt0518939,8.0,52
tt0518940,7.5,75
tt0518941,7.4,78
tt0518942,7.6,60
tt0518943,8.3,59
tt0518944,7.7,57
tt0518945,7.5,61
tt0518946,7.5,61
tt0518947,7.9,66
tt0518948,7.0,48
tt0518949,7.6,56
tt0518950,7.8,59
tt0518951,5.1,62
tt0518952,7.5,82
tt0518953,6.9,46
tt0518954,8.2,72
tt0518955,7.7,58
tt0518956,7.5,104
tt0518957,7.8,63
tt0518958,7.1,54
tt0518959,6.9,62
tt0518960,7.7,123
tt0518961,7.8,68
tt0518962,7.4,62
tt0518963,7.5,75
tt0518964,6.8,48
tt0518965,8.4,69
tt0518966,7.5,60
tt0518967,6.9,60
tt0518968,7.6,55
tt0518969,6.9,53
tt0518970,7.5,59
tt0518971,7.2,60
tt0518972,7.1,67
tt0518973,7.8,57
tt0518974,7.8,151
tt0518975,8.0,117
tt0518976,7.4,66
tt0518977,7.4,86
tt0518978,7.6,94
tt0518979,6.6,57
