tconst,averagerating,numvotes
tt0089407,5.6,42
tt0089408,7.6,14
tt0089409,5.6,121
tt0089410,6.8,222
tt0089411,4.8,272
tt0089412,6.4,482
tt0089413,7.5,1076
tt0089414,6.4,37
tt0089415,6.7,114
tt0089416,4.2,196
tt0089417,7.1,32
tt0089419,7.5,13
tt0089420,5.3,2443
tt0089421,5.2,14412
tt0089423,7.5,37
tt0089424,7.3,16833
tt0089427,4.9,403
tt0089431,2.6,86
tt0089432,6.8,114
tt0089433,5.7,41
tt0089434,6.8,287
tt0089435,6.1,18
tt0089436,5.0,551
tt0089437,4.4,28
tt0089438,5.9,74
tt0089439,7.0,26
tt0089440,6.8,30
tt0089443,5.8,621
tt0089444,6.4,3391
tt0089445,6.9,10
tt0089446,3.7,10
tt0089447,6.2,19
tt0089448,6.3,24
tt0089449,4.9,27
tt0089450,5.7,17
tt0089451,6.5,61
tt0089452,6.5,27
tt0089453,5.7,475
tt0089454,7.4,170
tt0089455,5.7,113
tt0089456,6.0,41
tt0089457,6.9,49351
tt0089458,7.1,32
tt0089459,6.2,69
tt0089460,7.0,84
tt0089461,6.8,16868
tt0089462,5.8,7
tt0089463,5.8,203
tt0089464,7.2,96
tt0089465,5.3,39
tt0089466,6.0,7
tt0089467,6.1,41
tt0089469,6.3,69655
tt0089470,6.6,11182
tt0089471,4.7,200
tt0089472,5.0,11
tt0089473,4.4,912
tt0089474,5.2,11
tt0089476,5.3,41
tt0089477,6.6,1418
tt0089478,4.8,155
tt0089479,7.3,65
tt0089480,6.0,208
tt0089482,4.8,108
tt0089483,7.4,94
tt0089484,4.6,225
tt0089488,7.2,1303
tt0089489,6.1,27789
tt0089491,6.3,1019
tt0089492,8.7,13
tt0089493,6.6,91
tt0089494,8.0,13
tt0089496,5.0,353
tt0089498,7.3,92
tt0089499,5.6,239
tt0089500,7.0,930
tt0089501,4.4,1456
tt0089502,8.5,6
tt0089503,4.7,1600
tt0089504,7.0,9403
tt0089505,6.9,98
tt0089506,5.6,113
tt0089507,7.6,874
tt0089508,6.7,31
tt0089509,6.5,349
tt0089510,8.2,332
tt0089511,5.2,101
tt0089512,6.3,141
tt0089513,7.7,41
tt0089514,4.9,117
tt0089515,7.0,34
tt0089516,7.8,105
tt0089517,2.6,12
tt0089518,7.0,97
tt0089519,5.2,23
tt0089521,4.6,77
tt0089522,4.6,125
tt0089523,5.9,3772
tt0089527,5.3,18
tt0089528,7.9,19
tt0089529,6.4,829
tt0089530,6.2,142912
tt0089532,5.7,16
tt0089533,4.3,13
tt0089535,6.4,18
tt0089536,5.9,22
tt0089537,6.5,4231
tt0089538,4.7,1156
tt0089539,4.8,2548
tt0089540,6.4,349
tt0089541,6.4,199
tt0089542,5.5,54
tt0089543,5.7,16590
tt0089544,5.1,32
tt0089545,7.1,147
tt0089547,4.1,750
tt0089548,5.0,8
tt0089549,8.7,16
tt0089550,5.9,42
tt0089551,4.5,66
tt0089552,6.2,1955
tt0089553,4.8,13
tt0089554,4.6,289
tt0089555,6.7,997
tt0089556,7.1,24
tt0089557,5.9,38
tt0089558,5.0,98
tt0089559,7.3,316
tt0089560,7.2,31156
tt0089561,4.4,311
tt0089562,5.1,2288
tt0089563,4.4,257
tt0089564,7.5,303
tt0089565,4.0,1042
tt0089566,7.9,70
tt0089567,6.4,314
tt0089568,7.1,2222
tt0089569,5.4,1141
tt0089570,6.2,62
tt0089571,5.7,81
tt0089572,6.1,4659
tt0089574,6.4,705
tt0089575,7.2,99
tt0089576,6.7,86
tt0089577,5.2,54
tt0089578,5.2,13
tt0089579,6.4,20
tt0089580,2.2,100
tt0089581,5.0,29
tt0089582,5.7,42
tt0089584,7.2,1954
tt0089585,5.6,149
tt0089586,8.1,41
tt0089587,5.2,262
tt0089588,8.0,15
tt0089589,6.2,17
tt0089590,6.3,119
tt0089591,6.1,7919
tt0089592,6.6,16
tt0089593,6.4,2057
tt0089594,7.2,193
tt0089596,7.3,252
tt0089597,7.9,15
tt0089598,4.9,2371
tt0089599,7.7,1509
tt0089600,6.0,67
tt0089601,6.5,6727
tt0089602,7.2,534
tt0089603,7.9,12734
tt0089604,5.3,8933
tt0089606,7.6,21932
tt0089607,5.9,440
