tconst,averagerating,numvotes
tt0020406,7.4,11
tt0036869,7.4,11
tt0096710,7.2,6
tt0160578,5.4,9
tt0165747,7.0,6
tt0166250,4.2,8
tt0202581,4.8,7
tt0203345,8.4,8
tt0265670,5.6,6
tt0289619,8.0,8
tt0351084,5.2,7
tt0359368,7.2,11
tt0392932,5.2,7
tt0410101,5.0,8
tt0418813,9.0,6
tt0439815,6.5,86570
tt0439816,6.6,11
tt0439817,7.3,2912
tt0439818,6.4,38
tt0439819,6.0,40
tt0439820,7.1,182
tt0439821,6.8,86
tt0439823,7.0,13
tt0439825,7.7,336
tt0439826,8.1,18
tt0439831,5.7,12
tt0439833,6.3,617
tt0439834,2.3,847
tt0439836,7.8,59
tt0439838,7.8,13
tt0439842,8.1,48
tt0439844,7.6,6
tt0439845,7.4,30
tt0439848,5.4,551
tt0439849,8.8,25
tt0439850,7.1,18
tt0439851,6.5,26
tt0439855,8.2,37
tt0439856,8.0,3704
tt0439860,6.8,699
tt0439862,6.5,229
tt0439864,6.0,379
tt0439867,5.0,875
tt0439868,5.0,151
tt0439869,7.1,1827
tt0439870,2.1,48
tt0439872,4.5,86
tt0439873,5.3,113
tt0439874,7.3,78
tt0439875,6.2,22
tt0439876,5.2,1456
tt0439878,3.2,667
tt0439879,7.5,3649
tt0439882,5.8,12
tt0439883,7.6,10
tt0439884,7.2,5409
tt0439885,6.1,575
tt0439886,4.4,21
tt0439889,6.5,670
tt0439890,6.6,9
tt0439896,8.8,52
tt0439897,8.1,51
tt0439901,7.3,36
tt0439904,4.2,18
tt0439907,6.8,76
tt0439910,7.4,23
tt0439911,7.8,52
tt0439912,6.4,37
tt0439913,5.5,9
tt0439917,4.9,69
tt0439919,3.7,34
tt0439922,8.0,7
tt0439924,6.2,16
tt0439925,7.3,323
tt0439930,4.5,16
tt0439932,4.7,282
tt0439934,6.0,47
tt0439936,8.9,43
tt0439938,6.7,70
tt0439939,7.7,119
tt0439940,5.4,162
tt0439942,7.2,6
tt0439943,8.3,18
