tconst,averagerating,numvotes
tt0000200,2.6,14
tt0000201,5.2,23
tt0042977,6.7,107
tt0042978,7.4,338
tt0042979,5.4,43
tt0042980,7.1,2032
tt0042981,6.6,44
tt0042982,6.1,558
tt0042983,7.1,145
tt0042985,4.9,48
tt0042986,6.1,85
tt0042988,7.2,263
tt0042989,6.3,233
tt0042990,7.3,378
tt0042991,6.4,132
tt0042992,5.6,25
tt0042994,7.0,15269
tt0042995,5.9,222
tt0042996,5.4,47
tt0042998,7.4,2337
tt0042999,6.1,80
tt0043000,6.5,135
tt0043001,4.8,48
tt0043002,6.7,190
tt0043003,5.9,175
tt0043004,6.1,388
tt0043007,5.7,126
tt0043008,6.1,268
tt0043009,3.6,16
tt0043010,7.6,331
tt0043011,5.7,37
tt0043012,7.1,4579
tt0043013,5.6,535
tt0043014,8.4,228944
tt0043015,5.8,149
tt0043016,7.1,11
tt0043017,6.1,104
tt0043018,7.2,2203
tt0043019,5.0,520
tt0043020,6.2,45
tt0043021,5.8,64
tt0043022,7.6,114
tt0043023,5.0,88
tt0043024,6.1,74
tt0043025,5.7,600
tt0043026,8.4,12
tt0043027,6.1,1080
tt0043029,7.0,15
tt0043030,6.5,2087
tt0043031,6.4,35
tt0043032,7.3,12
tt0043035,4.4,89
tt0043036,5.5,18
tt0043037,7.7,1238
tt0043038,6.2,34
tt0043039,6.0,330
tt0043040,6.4,351
tt0043041,7.3,2000
tt0043042,7.3,329
tt0043043,5.5,304
tt0043044,6.9,1950
tt0043045,7.0,598
tt0043046,6.1,724
tt0043048,7.2,3233
tt0043049,5.2,11
tt0043050,6.8,118
tt0043051,5.0,41
tt0043052,6.1,1018
tt0043053,6.0,739
tt0043055,5.1,68
tt0043057,5.4,282
tt0043058,6.2,240
tt0043059,6.5,314
tt0043060,5.5,36
tt0043061,6.0,276
tt0043062,6.2,108
tt0043063,6.7,787
tt0043064,4.8,108
tt0043065,6.0,56
tt0043066,6.2,166
tt0043067,6.9,9013
tt0043068,6.1,41
tt0043069,6.0,233
tt0043071,6.2,271
tt0043072,5.7,491
tt0043073,6.2,142
tt0043075,7.2,1789
tt0043077,4.4,7
tt0043078,6.2,207
tt0043079,6.7,1100
tt0043080,4.2,290
tt0043081,6.8,949
tt0043082,7.3,182
tt0043083,6.3,22
tt0043084,7.5,3590
tt0043085,5.1,62
tt0043086,6.6,182
tt0043087,6.5,109
tt0043088,7.0,1292
tt0043089,5.0,12
tt0043090,6.8,2630
tt0043091,5.9,79
tt0043092,5.1,21
tt0043093,7.1,196
tt0043095,6.3,49
tt0043098,5.6,22
tt0043099,6.7,21
tt0043100,6.0,122
tt0043102,7.4,590
tt0043105,5.3,36
tt0043106,6.4,82
tt0043107,5.7,124
tt0043108,7.2,319
tt0043109,6.2,151
tt0043110,6.1,41
