tconst,averagerating,numvotes
tt0098970,5.8,90
tt0098971,5.3,209
tt0098972,6.4,311
tt0098974,6.2,31
tt0098976,4.6,654
tt0098978,6.2,36
tt0098980,5.6,11
tt0098981,5.7,53
tt0098982,5.3,23
tt0098983,4.4,355
tt0098986,6.3,239
tt0098987,6.4,18819
tt0098988,5.3,46
tt0098989,6.0,41
tt0098990,7.1,529
tt0098991,7.1,42
tt0098992,2.8,7
tt0098993,6.9,297
tt0098994,6.5,3961
tt0098995,5.6,162
tt0098996,4.2,391
tt0098997,6.1,20
tt0098998,5.2,54
tt0098999,7.6,9257
tt0099000,7.1,233
tt0099001,6.4,78
tt0099002,6.2,98
tt0099003,7.7,34
tt0099004,5.3,85
tt0099005,5.8,29805
tt0099006,8.4,14
tt0099008,5.4,50
tt0099009,6.4,201
tt0099010,6.0,60
tt0099011,5.7,39
tt0099012,6.6,14864
tt0099013,5.9,24
tt0099014,6.4,1044
tt0099015,7.0,27
tt0099016,7.2,10
tt0099017,4.4,152
tt0099018,5.5,4807
tt0099021,7.9,593
tt0099023,7.4,5
tt0099025,4.2,58
tt0099026,5.9,4004
tt0099027,6.3,65
tt0099028,7.8,969
tt0099029,5.2,305
tt0099030,3.0,2318
tt0099032,8.0,35
tt0099034,5.9,42
tt0099037,7.7,155
tt0099038,5.6,49
tt0099039,5.0,804
tt0099040,7.4,8406
tt0099041,5.1,201
tt0099042,3.6,143
tt0099043,8.2,3115
tt0099044,5.9,43373
tt0099045,5.9,391
tt0099046,4.5,7
tt0099048,5.8,140
tt0099049,6.2,17
tt0099050,4.0,160
tt0099051,5.1,25
tt0099052,6.5,73309
tt0099053,6.4,1538
tt0099054,5.2,483
tt0099055,7.1,54
tt0099056,4.4,42
tt0099058,6.4,33
tt0099059,4.5,369
tt0099061,6.1,89
tt0099065,6.0,144
tt0099066,4.4,23
tt0099067,6.6,20
tt0099068,9.1,17
tt0099071,7.4,57
tt0099072,6.1,361
tt0099073,7.2,6591
tt0099074,4.8,55
tt0099075,5.9,173
tt0099076,6.0,191
tt0099077,7.8,151216
tt0099078,6.1,19
tt0099079,7.1,271
tt0099080,5.9,1772
tt0099081,6.1,361
tt0099082,6.6,145
tt0099083,5.1,162
tt0099084,7.2,142
tt0099085,5.1,249
tt0099086,4.8,127
tt0099087,6.2,149
tt0099088,7.4,465654
tt0099089,5.6,216
tt0099090,4.8,281
tt0099091,6.3,10369
tt0099092,4.1,236
tt0099094,7.2,145
tt0099095,6.5,45
tt0099097,7.5,447
tt0099098,5.8,85
tt0099100,3.6,99
tt0099101,8.1,9
tt0099103,6.7,188
tt0099104,4.0,53
tt0099105,6.1,8
tt0099106,5.0,24
tt0099107,6.8,81
tt0099108,5.4,5403
tt0099109,5.4,10
tt0099110,6.4,53
tt0099111,6.5,102
tt0099113,3.8,279
tt0099114,5.5,235
tt0099115,5.2,11
tt0099116,7.0,143
tt0099117,7.3,121
tt0099118,7.0,221
tt0099119,6.9,322
tt0099120,6.7,65
tt0099121,7.4,759
tt0099122,6.3,41
tt0099123,5.8,27
tt0099124,5.4,81
tt0099125,4.7,16
tt0099126,7.1,431
tt0099127,6.4,403
tt0099128,5.6,3867
tt0099129,8.4,31
tt0099130,6.2,20
tt0099131,6.2,39
tt0099132,5.2,112
tt0099134,5.5,167
tt0099135,5.6,24
tt0099136,5.7,1298
tt0099137,5.9,692
tt0099138,6.8,1387
tt0099140,5.5,37
tt0099141,6.0,46316
tt0099142,5.7,1690
tt0099143,5.9,1910
tt0099145,2.6,24
tt0099148,7.1,370
tt0099149,6.3,85
tt0099150,5.6,81
tt0099151,5.4,1399
tt0099152,5.7,13
tt0099153,4.9,601
tt0099154,3.2,13
tt0099155,4.9,767
tt0099156,6.9,38
tt0099157,6.7,56
tt0099158,7.1,787
tt0099159,6.7,70
tt0099160,5.8,16822
tt0099162,6.2,13
tt0099163,5.8,40
tt0099164,4.4,506
tt0099165,5.6,26087
tt0099166,6.1,1229
tt0099167,6.0,228
tt0099170,5.0,129
tt0099171,6.7,449
tt0099172,7.9,1262
tt0099173,5.9,5139
tt0099174,6.3,96
tt0099175,6.4,69
tt0099176,7.2,58
tt0099177,4.7,54
tt0099178,3.8,117
tt0099179,5.4,117
tt0099180,6.2,16896
tt0099181,6.8,26
tt0099182,6.6,58
tt0099183,6.0,113
tt0099184,5.2,357
tt0099185,6.3,53
tt0099186,4.1,16
tt0099187,4.4,1098
tt0099188,6.4,4899
tt0099190,6.2,84
tt0099191,7.7,13
tt0099192,5.4,130
tt0099194,5.3,147
tt0099195,5.2,39
tt0099196,6.1,41
tt0099197,6.9,3921
tt0099198,6.2,18
tt0099200,6.2,884
tt0099201,5.8,11
tt0099204,5.7,15087
tt0099205,5.7,24
tt0099209,6.1,167
tt0099210,5.9,183
tt0099212,5.6,1106
tt0099213,7.0,29
tt0099214,6.6,56
tt0099215,6.7,201
tt0099216,5.7,20
tt0099217,7.2,23
tt0099218,6.5,202
tt0099219,5.2,72
tt0099220,5.7,44
tt0099221,5.8,44
tt0099222,6.2,182
tt0099223,4.1,272
tt0099224,4.2,14
tt0099225,7.2,495
tt0099226,6.5,252
tt0099227,4.2,191
tt0099228,4.5,71
tt0099229,6.0,120
tt0099230,6.8,57
tt0099231,6.2,80
tt0099232,8.3,8
tt0099233,3.3,21
tt0099234,7.1,275
tt0099235,4.6,900
tt0099236,6.1,324
tt0099237,5.8,399
tt0099238,5.1,91
tt0099239,6.0,49
tt0099240,6.4,240
tt0099241,7.3,466
tt0099242,6.3,2313
tt0099243,5.7,34
tt0099244,4.3,105
tt0099245,4.7,131
tt0099246,5.9,115
tt0099248,7.0,743
tt0099249,6.2,46
tt0099250,5.0,778
tt0099252,5.6,501
tt0099253,5.9,55016
tt0099254,6.1,320
tt0099255,6.6,122
tt0099256,5.2,67
tt0099257,7.0,53
tt0099258,5.7,18
tt0099259,6.0,611
tt0099260,5.2,1355
