tconst,averagerating,numvotes
tt0080052,6.6,13
tt0080054,7.0,417
tt0080055,5.8,34
tt0080056,5.8,38
tt0080057,6.8,29548
tt0080058,3.8,1065
tt0080059,7.1,200
tt0080060,6.0,65
tt0080061,5.1,100
tt0080062,5.2,1298
tt0080063,5.0,9
tt0080064,8.5,15
tt0080065,4.3,57
tt0080066,3.3,947
tt0080069,6.9,67
tt0080070,6.6,35
tt0080071,6.9,12
tt0080072,6.8,45
tt0080073,7.1,449
tt0080075,5.4,588
tt0080076,4.2,148
tt0080078,6.0,36
tt0080079,6.2,450
tt0080080,3.9,970
tt0080081,5.1,571
tt0080082,7.1,68
tt0080083,7.6,310
tt0080084,6.2,499
tt0080085,4.7,59
tt0080087,8.2,309
tt0080089,5.7,21
tt0080090,6.5,317
tt0080091,7.0,37
tt0080093,6.6,20
tt0080094,4.9,537
tt0080095,6.7,162
tt0080096,5.5,109
tt0080097,5.3,7545
tt0080100,5.2,4263
tt0080101,6.5,182
tt0080102,6.1,93
tt0080103,6.7,328
tt0080104,7.8,79
tt0080105,7.3,159
tt0080106,8.5,15
tt0080107,4.8,13
tt0080109,6.2,476
tt0080110,6.3,291
tt0080111,6.4,16
tt0080112,5.8,21
tt0080114,5.3,348
tt0080115,6.1,23
tt0080116,5.5,1472
tt0080117,7.3,11979
tt0080118,7.6,275
tt0080120,7.5,106991
tt0080121,5.1,48
tt0080122,4.7,36
tt0080123,8.0,36
tt0080124,7.2,41
tt0080125,7.2,126
tt0080127,7.5,142
tt0080128,5.8,226
tt0080129,7.0,471
tt0080130,6.4,13409
tt0080131,5.2,180
tt0080132,6.6,575
tt0080134,6.0,47
tt0080135,6.5,52
tt0080137,7.2,40
tt0080138,6.9,58
tt0080139,6.1,3067
tt0080140,6.9,6206
tt0080142,7.4,174
tt0080143,6.6,15
tt0080144,6.8,89
tt0080145,6.7,164
tt0080146,6.6,89
tt0080147,4.3,163
tt0080148,5.7,320
tt0080149,7.0,10199
tt0080150,7.3,260
tt0080151,6.5,321
tt0080152,3.3,179
tt0080153,6.5,93
tt0080155,6.3,18
tt0080156,6.4,234
tt0080157,6.4,3630
tt0080158,5.0,259
tt0080159,6.6,276
tt0080160,6.5,19
tt0080161,7.5,798
tt0080162,7.0,154
tt0080163,6.1,32
tt0080164,4.5,131
tt0080165,5.5,21
tt0080166,7.2,1495
tt0080167,5.8,61
tt0080169,5.4,12
tt0080171,5.9,29
tt0080172,7.6,2469
tt0080173,5.7,149
tt0080174,7.2,107
tt0080175,7.4,220
tt0080176,6.7,282
tt0080179,7.4,42366
tt0080180,6.6,7329
tt0080181,5.1,87
tt0080182,4.6,71
tt0080183,5.8,46
tt0080184,6.3,484
tt0080185,5.8,64
tt0080186,6.1,320
tt0080187,6.6,193
tt0080190,7.3,62
tt0080191,7.3,160
tt0080192,6.2,187
tt0080193,5.4,68
tt0080194,6.9,146
tt0080196,8.4,4738
tt0080197,6.7,260
tt0080198,4.5,335
tt0080199,5.5,32
tt0080200,7.8,635
tt0080201,6.2,23
tt0080202,6.8,4378
tt0080203,7.7,172
tt0080205,8.2,11
tt0080207,8.0,35
tt0080208,7.7,152
tt0080209,7.0,760
tt0080210,7.6,85
tt0080211,3.8,15
tt0080212,7.6,444
tt0080213,5.3,168
tt0080215,7.8,438
tt0080216,5.6,295
tt0080217,7.2,29
tt0080218,6.1,44
tt0080219,7.5,664
tt0080220,7.3,117
tt0080221,5.4,3958
tt0080222,8.3,14
tt0080224,6.3,28
tt0080225,7.1,54
tt0080226,5.3,12
tt0080227,6.5,29
tt0080228,7.6,9
