tconst,averagerating,numvotes
tt0033151,6.2,10
tt0118069,4.7,55
tt0118070,6.8,76
tt0118071,6.0,39
tt0118072,7.4,47
tt0118073,5.8,11463
tt0118074,6.2,311
tt0118075,3.8,194
tt0118076,3.6,289
tt0118077,6.7,15
tt0118078,3.6,36
tt0118079,3.9,480
tt0118080,5.1,82
tt0118082,6.2,21
tt0118083,4.9,1901
tt0118084,6.9,42
tt0118085,6.1,174
tt0118086,6.5,31
tt0118088,4.1,318
tt0118089,6.8,34
tt0118091,6.8,28
tt0118092,7.0,24
tt0118094,7.2,17
tt0118096,5.7,619
tt0118097,5.5,178
tt0118098,8.0,347
tt0118099,6.2,47
tt0118100,6.7,2228
tt0118103,6.8,65
tt0118105,5.4,226
tt0118106,8.0,68
tt0118107,6.8,25
tt0118108,6.8,6
tt0118109,7.1,18
tt0118110,7.5,114
tt0118111,7.4,30064
tt0118112,5.8,31
tt0118113,6.7,3825
tt0118115,3.7,155
tt0118116,6.8,142
tt0118117,6.9,2552
tt0118118,6.0,149
tt0118119,4.2,274
tt0118120,6.5,43
tt0118121,5.4,27
tt0118123,6.8,574
tt0118124,4.8,301
tt0118125,7.1,3118
tt0118126,6.3,224
tt0118127,5.1,489
tt0118128,6.6,90
tt0118129,5.4,214
tt0118131,4.5,72
tt0118132,3.7,16
tt0118133,2.2,43
tt0118134,4.8,6
tt0118135,7.5,14
tt0118137,1.7,3926
tt0118138,5.6,3326
tt0118139,5.9,13
tt0118141,5.3,935
tt0118142,6.0,123
tt0118147,8.0,18659
tt0118148,7.7,440
tt0118149,4.1,304
tt0118150,6.0,559
tt0118151,5.7,264
tt0118152,8.0,18
tt0118153,3.4,131
tt0118154,6.4,8
tt0118155,6.0,15
tt0118156,4.8,155
tt0118158,6.6,24765
tt0118159,5.1,624
tt0118160,6.7,51
tt0118161,4.2,119
tt0118162,6.8,30
tt0118163,7.0,3893
tt0118164,6.2,129
tt0118165,5.2,18
tt0118167,7.2,272
tt0118169,6.5,220
tt0118170,3.8,163
tt0118171,5.8,188
tt0118172,6.3,3368
tt0118173,4.9,322
tt0118174,4.7,871
tt0118175,6.8,26
tt0118176,2.8,208
tt0118177,7.2,401
tt0118178,6.6,8133
tt0118179,7.5,44
tt0118181,2.6,247
tt0118182,2.4,78
tt0118183,4.3,684
tt0118184,6.7,36
tt0118185,6.5,52
tt0118186,7.7,58
tt0118187,6.1,13
tt0118191,6.5,52
tt0118194,7.4,23
tt0118195,4.6,312
tt0118199,7.0,171
tt0118200,6.1,2771
tt0118201,7.0,878
