tconst,averagerating,numvotes
tt0000216,5.4,10
tt0002540,7.0,9
tt0088417,5.8,8
tt0102214,3.8,196
tt0108255,4.1,61052
tt0108256,8.0,955
tt0108257,7.1,173
tt0108258,5.0,8517
tt0108259,5.7,154
tt0108260,6.5,2100
tt0108262,5.4,113
tt0108263,5.8,173
tt0108264,5.2,118
tt0108265,6.7,16991
tt0108266,6.5,122
tt0108268,3.7,430
tt0108269,5.1,185
tt0108273,6.2,234
tt0108274,9.3,9
tt0108275,4.7,2243
tt0108276,8.1,8
tt0108277,4.5,1467
tt0108279,6.1,122
tt0108281,7.2,10587
tt0108282,5.0,68
tt0108283,5.7,303
tt0108284,5.7,271
tt0108285,6.3,221
tt0108286,6.2,8
tt0108289,7.5,5844
tt0108290,6.2,1337
tt0108291,6.7,1708
tt0108292,6.4,43
tt0108293,6.2,1974
tt0108294,2.4,22
tt0108296,6.0,59
tt0108297,6.0,45
tt0108298,5.7,41
tt0108299,6.4,67
tt0108300,5.2,59
tt0108301,5.4,37
tt0108302,6.6,56
tt0108303,5.7,32
tt0108304,4.1,34
tt0108305,5.9,31
tt0108306,5.5,509
tt0108307,3.3,404
tt0108308,4.8,35081
tt0108309,6.5,663
tt0108310,5.8,268
tt0108311,5.3,3474
tt0108313,4.0,278
tt0108315,6.5,35
tt0108316,6.0,554
tt0108317,6.6,2513
tt0108318,6.2,41
tt0108319,6.8,219
tt0108320,6.3,1144
tt0108321,6.2,289
tt0108322,8.1,21
tt0108323,7.3,971
tt0108324,5.4,408
tt0108326,5.9,41
tt0108327,6.4,8454
tt0108328,7.3,3856
tt0108329,7.1,1384
tt0108330,7.3,56249
tt0108331,6.8,33
tt0108333,6.4,57407
tt0108334,5.5,2153
tt0108335,6.5,123
tt0108336,4.5,22
tt0108337,6.2,35
tt0108338,6.8,617
tt0108339,5.5,5476
tt0108340,1.6,89
tt0108341,7.7,401
tt0108342,4.1,1102
tt0108343,7.2,515
tt0108344,5.4,99
tt0108345,7.5,91
tt0108346,4.4,330
tt0108347,7.3,643
tt0108348,5.1,484
tt0108349,4.8,143
tt0108350,3.6,1501
tt0108351,4.6,40
tt0108352,6.8,12
tt0108354,7.4,6
tt0108355,6.1,1450
tt0108356,6.2,662
tt0108357,5.4,43
tt0108358,7.8,158122
tt0108359,6.2,273
tt0108360,3.8,319
tt0108361,4.7,11
tt0108362,6.4,29
tt0108363,4.9,28
tt0108366,6.4,3660
tt0108367,5.3,170
tt0108369,5.6,315
tt0108370,6.1,800
tt0108371,4.4,632
tt0108372,4.6,304
tt0108373,4.0,796
tt0108374,8.9,56
tt0108376,7.1,122
tt0108377,7.1,1111
tt0108379,5.1,27
tt0108380,4.7,500
tt0108381,9.1,7
tt0108382,8.8,58
tt0108383,7.3,116
tt0108384,5.5,10
tt0108385,5.1,75
tt0108386,5.1,12
tt0108387,4.8,71
tt0108388,6.0,2476
tt0108390,7.4,14
tt0108391,6.7,7
tt0108392,8.5,19
tt0108393,5.2,120
tt0108394,7.9,106962
tt0108395,5.3,7070
tt0108396,6.5,44
tt0108397,5.5,83
tt0108398,5.8,108
tt0108399,7.9,235166
tt0108401,5.8,76
tt0108403,4.7,32
tt0108405,6.6,171
tt0108406,7.2,55
tt0108407,8.1,17
tt0108408,6.4,149
tt0108409,5.7,28
tt0108410,6.3,4081
tt0108411,7.0,249
tt0108412,6.9,80
tt0108414,8.1,26
tt0108416,6.1,10
tt0108417,6.1,45
tt0108418,6.3,236
tt0108419,5.7,86
tt0108420,5.7,173
tt0108421,7.1,432
tt0108422,6.6,66
tt0108424,6.2,10
tt0108425,7.0,1015
tt0108426,5.8,16
tt0108427,3.3,12
tt0108429,8.5,1604
tt0108430,6.5,93
tt0108432,6.6,18972
tt0108435,6.3,883
tt0108440,5.2,104
tt0108442,6.0,9750
tt0108443,6.5,205
tt0108445,3.6,125
tt0108446,6.3,11
tt0108447,5.0,1115
tt0108448,6.4,293
tt0108449,7.0,116
tt0108450,7.6,22
tt0108451,6.8,14750
tt0108457,5.3,487
tt0108458,8.2,47
tt0108459,7.7,27
tt0108461,6.3,3496
tt0108462,5.9,852
tt0108463,6.5,168
tt0108464,7.3,323
tt0108465,6.9,327
tt0108466,6.6,305
tt0108467,6.8,256
tt0108468,6.8,9
tt0108470,4.0,636
tt0108471,7.3,1474
tt0108472,5.7,72
tt0108473,6.3,27194
tt0108474,5.3,30
tt0108477,6.1,22
tt0108478,5.5,201
tt0108479,6.4,74
tt0108480,6.8,242
tt0108482,6.6,77
tt0108483,7.3,9
tt0108484,6.4,530
tt0108485,6.3,557
tt0108486,5.9,168
tt0108487,6.2,70
tt0108488,3.8,10
tt0108489,8.1,613
tt0108490,8.3,1397
tt0108491,7.1,468
tt0108493,6.5,16
tt0108494,7.5,444
tt0108495,4.6,565
tt0108497,6.2,9
tt0108498,7.4,148
tt0108499,5.2,119
tt0108500,7.0,36774
tt0108501,5.3,38
tt0108502,7.5,13
tt0108504,7.5,4684
