tconst,parenttconst,seasonnumber,episodenumber
tt7799812,tt0081857,37,99
tt7799816,tt0081857,37,100
tt7799820,tt0081857,37,101
tt7799822,tt0081857,37,103
tt7803652,tt0081857,37,102
tt7803656,tt0081857,37,108
tt7803658,tt0081857,37,114
tt7803664,tt0081857,37,120
tt7803884,tt0086570,1,1
tt7803886,tt0086570,1,2
tt7803888,tt0086570,1,3
tt7820380,tt0088486,20,2
tt7820618,tt0088505,1,3
tt7820628,tt0088505,1,2
tt7820632,tt0088505,1,5
tt7820634,tt0088505,1,6
tt7820640,tt0088505,1,7
tt7821230,tt0082201,1,7
tt7821306,tt0082201,1,8
tt7821574,tt0082201,1,12
tt7821750,tt0082201,1,57
tt7822056,tt0082201,1,150
tt7822126,tt0082201,1,20
tt7822170,tt0082201,1,22
tt7822190,tt0082201,1,24
tt7822196,tt0082201,1,21
tt7822248,tt0082201,1,30
tt7822778,tt0082201,1,130
tt7822818,tt0082201,1,11
tt7822898,tt0082201,1,13
tt7822920,tt0082201,1,9
tt7822932,tt0082201,1,10
tt7823026,tt0082201,1,118
tt7823092,tt0082201,1,114
tt7826386,tt0082201,1,103
tt7826458,tt0082201,1,112
tt7826568,tt0082201,1,106
tt7826622,tt0082201,1,102
tt7826782,tt0082201,1,101
tt7826956,tt0082201,1,110
tt7827026,tt0082201,1,109
tt7827048,tt0082201,1,108
tt7827084,tt0082201,1,96
tt7827308,tt0082201,1,93
tt7827326,tt0082201,1,116
tt7827330,tt0082201,1,84
tt7827332,tt0082201,1,80
tt7827342,tt0082201,1,55
tt7827350,tt0082201,1,37
tt7827356,tt0082201,1,33
tt7827366,tt0082201,1,23
tt7827382,tt0082201,1,25
tt7827408,tt0082201,1,26
tt7827694,tt0082201,1,142
tt7827766,tt0082201,1,48
tt7827788,tt0082201,1,50
tt7827804,tt0082201,1,52
tt7827816,tt0082201,1,60
tt7827826,tt0082201,1,65
tt7827838,tt0082201,1,62
tt7827866,tt0082201,1,75
tt7827880,tt0082201,1,67
tt7827938,tt0082201,1,19
tt7828026,tt0082201,1,27
tt7830154,tt0082201,1,29
tt7830180,tt0082201,1,31
tt7830196,tt0082201,1,32
tt7830252,tt0082201,1,34
tt7830298,tt0082201,1,35
tt7830384,tt0082201,1,36
tt7830402,tt0082201,1,38
tt7830454,tt0082201,1,40
tt7830494,tt0082201,1,41
tt7830542,tt0082201,1,42
tt7830604,tt0082201,1,43
tt7830668,tt0082201,1,46
tt7830692,tt0082201,1,47
tt7830742,tt0082201,1,51
tt7831522,tt0088512,\N,\N
tt7834132,tt0082201,1,53
tt7834142,tt0082201,1,54
tt7834160,tt0082201,1,56
tt7834302,tt0082201,1,58
tt7834318,tt0082201,1,59
tt7834370,tt0082201,1,63
tt7834382,tt0082201,1,64
tt7834388,tt0082201,1,66
tt7834402,tt0082201,1,68
tt7834410,tt0082201,1,69
tt7834416,tt0082201,1,70
tt7834428,tt0082201,1,71
tt7834436,tt0082201,1,73
tt7834444,tt0082201,1,76
tt7834462,tt0082201,1,77
tt7834470,tt0082201,1,78
tt7834484,tt0082201,1,79
tt7834708,tt0088512,\N,\N
tt7837622,tt0083448,36,3
tt7837950,tt0082201,1,61
tt7837962,tt0082201,1,81
tt7838074,tt0082201,1,82
tt7838152,tt0082201,1,83
tt7838162,tt0082201,1,85
tt7838168,tt0082201,1,86
tt7838176,tt0082201,1,87
tt7838196,tt0082201,1,89
tt7838246,tt0088512,\N,\N
tt7838248,tt0088512,\N,\N
tt7842190,tt0082201,1,90
tt7842310,tt0082201,1,91
tt7842330,tt0082201,1,92
tt7842416,tt0082201,1,94
tt7842488,tt0082201,1,98
tt7842604,tt0082201,1,99
tt7842808,tt0082201,1,105
tt7843004,tt0082201,1,113
tt7843118,tt0082201,1,115
tt7843304,tt0082201,1,117
tt7844282,tt0082201,1,123
tt7845992,tt0082201,1,124
tt7846000,tt0082201,1,125
tt7846538,tt0082201,1,126
tt7846640,tt0082201,1,127
tt7846702,tt0082201,1,131
tt7846836,tt0082201,1,132
tt7846956,tt0082201,1,133
tt7847022,tt0082201,1,135
tt7847238,tt0082201,1,136
tt7847312,tt0082201,1,137
tt7847618,tt0082201,1,138
tt7847694,tt0082201,1,139
tt7847778,tt0082201,1,140
tt7847948,tt0082201,1,141
tt7848030,tt0083448,\N,\N
tt7848034,tt0082201,1,143
tt7848058,tt0082201,1,144
tt7848076,tt0082201,1,145
tt7848104,tt0082201,1,146
tt7848108,tt0082201,1,147
tt7848114,tt0082201,1,148
tt7848118,tt0082201,1,149
tt7862106,tt0088512,\N,\N
tt7866300,tt0081857,37,124
tt7866728,tt0088512,\N,\N
tt7866738,tt0088512,\N,\N
tt7866960,tt0081857,37,109
tt7866962,tt0081857,37,110
tt7866964,tt0081857,37,111
tt7866966,tt0081857,37,112
tt7866968,tt0081857,37,113
tt7866970,tt0081857,37,125
tt7866972,tt0081857,37,115
tt7868908,tt0083448,36,4
tt7871016,tt0088512,\N,\N
tt7879572,tt0081857,\N,\N
tt7885924,tt0083380,4,25
tt7885928,tt0083380,4,15
tt7885934,tt0083380,4,38
tt7897220,tt0088512,\N,\N
tt7900792,tt0081857,37,116
tt7900796,tt0081857,37,117
tt7900798,tt0081857,37,118
tt7900802,tt0081857,37,119
tt7900806,tt0081857,37,141
tt7900808,tt0081857,37,121
tt7900810,tt0081857,37,122
tt7900812,tt0081857,37,123
tt7901360,tt0088512,\N,\N
tt7904280,tt0083448,36,5
tt7905224,tt0088512,\N,\N
tt7905228,tt0088512,\N,\N
tt7927878,tt0088486,20,3
tt7927884,tt0088486,20,4
tt7927886,tt0088486,20,5
tt7929580,tt0088512,\N,\N
tt7933560,tt0088512,\N,\N
tt7935610,tt0083448,36,6
tt7937508,tt0088512,\N,\N
tt7937510,tt0088512,\N,\N
tt7948544,tt0088516,1,2
tt7948654,tt0088516,1,4
tt7949124,tt0088486,20,6
tt7951416,tt0086793,1,1805
tt7951438,tt0086793,1,1803
tt7954218,tt0081857,37,126
tt7954220,tt0081857,37,132
tt7954224,tt0081857,37,138
tt7954228,tt0081857,37,144
tt7960754,tt0081857,37,175
tt7960756,tt0081857,37,127
tt7960758,tt0081857,37,128
tt7960760,tt0081857,37,129
tt7960762,tt0081857,37,130
tt7960768,tt0081857,37,131
tt7960772,tt0081857,37,145
tt7963776,tt0088512,\N,\N
tt7964404,tt0088554,1,1662
tt7964410,tt0088554,1,1663
tt7964418,tt0088554,1,1664
tt7964428,tt0088554,1,1665
tt7965728,tt0083448,36,7
tt7967326,tt0088512,\N,\N
tt7971616,tt0088512,\N,\N
tt7971644,tt0088512,\N,\N
tt7984814,tt0088550,\N,\N
tt7993592,tt0088512,\N,\N
tt7993594,tt0088512,\N,\N
tt7996088,tt0083448,36,8
tt7997604,tt0088512,\N,\N
tt8000950,tt0083392,1,1521
tt8002688,tt0086793,1,1806
tt8002696,tt0086793,1,1807
tt8002720,tt0086793,1,1808
tt8002730,tt0086793,1,1809
tt8010500,tt0085649,1,0
tt8016972,tt0088554,1,1666
tt8016994,tt0088554,1,1667
tt8020596,tt0088512,\N,\N
tt8024288,tt0088512,\N,\N
tt8026552,tt0083448,36,9
tt8027874,tt0088512,\N,\N
tt8027882,tt0088512,\N,\N
tt8036044,tt0088598,\N,\N
tt8040896,tt0083504,7,109
tt8040962,tt0083504,7,36
tt8040972,tt0083504,8,51
tt8040990,tt0083504,10,60
tt8043058,tt0088607,1,2
tt8043060,tt0088607,1,4
tt8043062,tt0088607,3,2
tt8043064,tt0088607,3,3
tt8043066,tt0088607,3,4
tt8043068,tt0088607,3,5
tt8043070,tt0088607,3,6
tt8043072,tt0088607,4,2
tt8043074,tt0088607,4,3
tt8043076,tt0088607,4,4
tt8043078,tt0088607,4,5
tt8043080,tt0088607,4,6
tt8043514,tt0088607,5,2
tt8043516,tt0088607,5,4
tt8043518,tt0088607,5,3
tt8043520,tt0088607,5,5
tt8043524,tt0088607,5,6
tt8043526,tt0088607,5,7
tt8043528,tt0088607,5,8
tt8043530,tt0088607,5,9
tt8043532,tt0088607,5,10
tt8043534,tt0088607,5,11
tt8043536,tt0088607,5,12
tt8043542,tt0088607,4,1
tt8052106,tt0086811,5,31
tt8052112,tt0086811,5,32
tt8052138,tt0086811,5,34
tt8052142,tt0086811,5,35
tt8052200,tt0088512,\N,\N
tt8056126,tt0088512,\N,\N
tt8058976,tt0083448,\N,\N
tt8059736,tt0081857,37,150
tt8059738,tt0081857,37,156
tt8059742,tt0081857,37,162
tt8059744,tt0081857,37,168
tt8059746,tt0081857,37,174
tt8059748,tt0081857,37,176
tt8059758,tt0081857,37,146
tt8059760,tt0081857,37,147
tt8059768,tt0081857,37,148
tt8059774,tt0081857,37,149
tt8060144,tt0088512,\N,\N
tt8060146,tt0088512,\N,\N
tt8074734,tt0081890,1,1
tt8074736,tt0081890,1,2
tt8074738,tt0081890,1,3
tt8074742,tt0081890,2,1
tt8074750,tt0081890,2,2
tt8076026,tt0085796,1,1
tt8076034,tt0085796,1,2
tt8076060,tt0085796,1,3
tt8076074,tt0085796,1,4
tt8076092,tt0085796,1,5
tt8076094,tt0085796,1,6
tt8076208,tt0085796,1,8
tt8076218,tt0085796,1,10
tt8076238,tt0085796,1,9
tt8076258,tt0085796,1,11
tt8076276,tt0085796,1,12
tt8076284,tt0085796,1,13
tt8076294,tt0085796,1,14
tt8076302,tt0085796,1,15
tt8076308,tt0085796,1,16
tt8076314,tt0085796,1,17
tt8076322,tt0085796,1,18
tt8076392,tt0085796,1,7
tt8076896,tt0085796,1,19
tt8079772,tt0088554,1,1668
tt8079798,tt0088554,1,1669
tt8079834,tt0088554,1,1670
tt8085622,tt0088512,\N,\N
tt8089044,tt0083504,6,69
tt8090322,tt0088512,\N,\N
tt8090462,tt0081857,37,177
tt8090466,tt0081857,37,151
tt8090468,tt0081857,37,152
tt8090472,tt0081857,37,153
tt8090474,tt0081857,37,154
tt8090476,tt0081857,37,155
tt8090800,tt0083504,5,96
tt8092782,tt0083448,\N,\N
tt8093760,tt0088512,\N,\N
tt8093768,tt0088512,\N,\N
tt8116230,tt0088512,\N,\N
tt8117256,tt0086793,1,1810
tt8117270,tt0086793,1,1811
tt8117294,tt0086793,1,1812
tt8117400,tt0086793,1,1813
tt8117530,tt0086793,1,1814
tt8118108,tt0083392,\N,\N
tt8118114,tt0083392,\N,\N
tt8118120,tt0083392,\N,\N
tt8118124,tt0083392,\N,\N
tt8118130,tt0083392,\N,\N
tt8118134,tt0083392,\N,\N
tt8118138,tt0083392,\N,\N
tt8118140,tt0083392,\N,\N
tt8118144,tt0083392,\N,\N
tt8118146,tt0083392,\N,\N
tt8118148,tt0083392,\N,\N
tt8118150,tt0083392,\N,\N
tt8118152,tt0083392,\N,\N
tt8118154,tt0083392,\N,\N
tt8118156,tt0083392,\N,\N
tt8118248,tt0083504,9,13
tt8118276,tt0083504,8,98
tt8118520,tt0086793,1,1815
tt8119278,tt0088598,\N,\N
tt8120364,tt0088512,\N,\N
tt8120640,tt0081857,37,207
tt8120642,tt0081857,37,157
tt8120644,tt0081857,37,158
tt8120646,tt0081857,37,159
tt8120648,tt0081857,37,160
tt8120650,tt0081857,37,161
tt8123730,tt0083448,\N,\N
tt8125456,tt0088512,\N,\N
tt8125460,tt0088512,\N,\N
tt8134360,tt0088603,1,2
tt8134368,tt0088603,1,3
tt8134370,tt0088603,1,4
tt8134376,tt0088603,1,5
tt8134384,tt0088603,1,6
tt8134398,tt0088603,1,7
tt8134408,tt0088603,1,8
tt8134412,tt0088603,1,9
tt8134422,tt0088603,1,10
tt8134432,tt0088603,1,11
tt8134452,tt0088603,1,12
tt8134456,tt0088603,1,13
tt8134466,tt0088603,1,14
tt8134476,tt0088603,1,15
