tconst,parenttconst,seasonnumber,episodenumber
tt8416652,tt0088554,1,1676
tt8416666,tt0088554,1,1677
tt8416688,tt0088554,1,1678
tt8435414,tt0088512,\N,\N
tt8439646,tt0088512,\N,\N
tt8442846,tt0081857,37,217
tt8442848,tt0081857,37,218
tt8442850,tt0081857,37,219
tt8442852,tt0081857,37,220
tt8442854,tt0081857,37,221
tt8443678,tt0088512,\N,\N
tt8443682,tt0088512,\N,\N
tt8444384,tt0083448,\N,\N
tt8453216,tt0086750,\N,\N
tt8458168,tt0083452,35,14
tt8467316,tt0088512,\N,\N
tt8470678,tt0088512,\N,\N
tt8471040,tt0081857,37,289
tt8471044,tt0081857,37,223
tt8471046,tt0081857,37,224
tt8471050,tt0081857,37,225
tt8471052,tt0081857,37,226
tt8471054,tt0081857,37,227
tt8471060,tt0081857,37,228
tt8471062,tt0081857,37,234
tt8471066,tt0081857,37,240
tt8471068,tt0081857,37,246
tt8471072,tt0081857,37,252
tt8475658,tt0088512,\N,\N
tt8475660,tt0088512,\N,\N
tt8492052,tt0088621,1,5
tt8492136,tt0088621,1,6
tt8492202,tt0088621,1,8
tt8492278,tt0088621,1,9
tt8497864,tt0088621,2,5
tt8497866,tt0088621,2,6
tt8497870,tt0088621,2,3
tt8497872,tt0088621,2,2
tt8499654,tt0088512,\N,\N
tt8501022,tt0081857,37,253
tt8501024,tt0081857,37,229
tt8501026,tt0081857,37,230
tt8501028,tt0081857,37,231
tt8501030,tt0081857,37,232
tt8501032,tt0081857,37,233
tt8501044,tt0081857,37,290
tt8505938,tt0083451,4,13
tt8507340,tt0083448,\N,\N
tt8526554,tt0088512,\N,\N
tt8526560,tt0088512,\N,\N
tt8526566,tt0088512,\N,\N
tt8535572,tt0081857,37,235
tt8535576,tt0081857,37,236
tt8535578,tt0081857,37,237
tt8535580,tt0081857,37,238
tt8535582,tt0081857,37,239
tt8535590,tt0081857,37,241
tt8535950,tt0088512,\N,\N
tt8540844,tt0083448,\N,\N
tt8543036,tt0088512,\N,\N
tt8543058,tt0088512,\N,\N
tt8555484,tt0083489,\N,\N
tt8567058,tt0088512,\N,\N
tt8573968,tt0083448,\N,\N
tt8575146,tt0081857,37,242
tt8575148,tt0081857,37,243
tt8575150,tt0081857,37,244
tt8575152,tt0081857,37,245
tt8575154,tt0081857,37,291
tt8575360,tt0088512,\N,\N
tt8575362,tt0088512,\N,\N
tt8577328,tt0081875,1,25
tt8577330,tt0081875,1,26
tt8577332,tt0081875,1,27
tt8577336,tt0081875,1,28
tt8577338,tt0081875,1,29
tt8577340,tt0081875,1,30
tt8577344,tt0081875,1,31
tt8577350,tt0081875,1,32
tt8577354,tt0081875,1,33
tt8577356,tt0081875,1,34
tt8577358,tt0081875,1,35
tt8577360,tt0081875,1,36
tt8577364,tt0081875,1,37
tt8577366,tt0081875,1,38
tt8577368,tt0081875,1,39
tt8577372,tt0081875,1,40
tt8577374,tt0081875,1,41
tt8577378,tt0081875,1,42
tt8577382,tt0081875,1,43
tt8577384,tt0081875,1,44
tt8577386,tt0081875,1,45
tt8577390,tt0081875,1,46
tt8577394,tt0081875,1,47
tt8577396,tt0081875,1,48
tt8577398,tt0081875,1,49
tt8577400,tt0081875,1,50
tt8577402,tt0081875,1,51
tt8577406,tt0081875,1,52
tt8577408,tt0081875,1,53
tt8577412,tt0081875,1,54
tt8577418,tt0081875,1,55
tt8577420,tt0081875,1,56
tt8577422,tt0081875,1,57
tt8577426,tt0081875,1,58
tt8577428,tt0081875,1,59
tt8577430,tt0081875,1,60
tt8577434,tt0081875,1,8
tt8577436,tt0081875,1,9
tt8577438,tt0081875,1,10
tt8577444,tt0081875,1,11
tt8599050,tt0088512,\N,\N
tt8602974,tt0081857,37,247
tt8602976,tt0081857,37,248
tt8602978,tt0081857,37,249
tt8602982,tt0081857,37,250
tt8602984,tt0081857,37,251
tt8609434,tt0083448,\N,\N
tt8610420,tt0088512,\N,\N
tt8610424,tt0088512,\N,\N
tt8610428,tt0088512,\N,\N
tt8616966,tt0083452,10,11
tt8617040,tt0083452,9,15
tt8617116,tt0083452,5,6
tt8617630,tt0083452,4,13
tt8617722,tt0083452,5,1
tt8617776,tt0083452,5,19
tt8620126,tt0088486,21,1
tt8620128,tt0088486,21,2
tt8620132,tt0088486,21,3
tt8629126,tt0083452,9,3
tt8633858,tt0081857,37,258
tt8633860,tt0081857,37,264
tt8633862,tt0081857,37,270
tt8633864,tt0081857,37,276
tt8636928,tt0087305,1,1
tt8636960,tt0087305,1,227
tt8636964,tt0087305,1,2
tt8636966,tt0087305,1,3
tt8636970,tt0087305,1,4
tt8636972,tt0087305,1,5
tt8636974,tt0087305,1,7
tt8636976,tt0087305,1,6
tt8636978,tt0087305,1,8
tt8636980,tt0087305,1,9
tt8636982,tt0087305,1,10
tt8636984,tt0087305,1,11
tt8636986,tt0087305,1,12
tt8636988,tt0087305,1,13
tt8636990,tt0087305,1,14
tt8636992,tt0087305,1,15
tt8636994,tt0087305,1,16
tt8636998,tt0087305,1,17
tt8637000,tt0087305,1,18
tt8637004,tt0087305,1,19
tt8637006,tt0087305,1,20
tt8638622,tt0088512,\N,\N
tt8639404,tt0087305,1,21
tt8639406,tt0087305,1,22
tt8639408,tt0087305,1,23
tt8639410,tt0087305,1,24
tt8639412,tt0087305,1,25
tt8639416,tt0087305,1,26
tt8639418,tt0087305,1,27
tt8639420,tt0087305,1,28
tt8639422,tt0087305,1,29
tt8639426,tt0087305,1,30
tt8639430,tt0087305,1,31
tt8639432,tt0087305,1,32
tt8639438,tt0087305,1,33
tt8639440,tt0087305,1,34
tt8639442,tt0087305,1,35
tt8639448,tt0087305,1,36
tt8639452,tt0087305,1,37
tt8639454,tt0087305,1,38
tt8639456,tt0087305,1,39
tt8639458,tt0087305,1,40
tt8640082,tt0083452,5,12
tt8640220,tt0083452,7,5
tt8643420,tt0088512,\N,\N
tt8646010,tt0087305,1,41
tt8646012,tt0087305,1,42
tt8646014,tt0087305,1,43
tt8646016,tt0087305,1,45
tt8646018,tt0087305,1,44
tt8646020,tt0087305,1,47
tt8646022,tt0087305,1,46
tt8646024,tt0087305,1,48
tt8646026,tt0087305,1,49
tt8646028,tt0087305,1,50
tt8646030,tt0087305,1,51
tt8646032,tt0087305,1,52
tt8646034,tt0087305,1,53
tt8646036,tt0087305,1,54
tt8646038,tt0087305,1,56
tt8646040,tt0087305,1,55
tt8646042,tt0087305,1,57
tt8646044,tt0087305,1,58
tt8646046,tt0087305,1,59
tt8646048,tt0087305,1,60
tt8647086,tt0088550,\N,\N
tt8647104,tt0088550,\N,\N
tt8647118,tt0088550,\N,\N
tt8647208,tt0088550,\N,\N
tt8647438,tt0083448,\N,\N
tt8647580,tt0087305,1,61
tt8647582,tt0087305,1,62
tt8647584,tt0087305,1,63
tt8647586,tt0087305,1,64
tt8647588,tt0087305,1,65
tt8647590,tt0087305,1,66
tt8647594,tt0087305,1,67
tt8647596,tt0087305,1,68
tt8647598,tt0087305,1,69
tt8647600,tt0087305,1,70
tt8647604,tt0087305,1,71
tt8647606,tt0087305,1,72
tt8647608,tt0087305,1,73
tt8647610,tt0087305,1,74
tt8647612,tt0087305,1,75
tt8647614,tt0087305,1,76
tt8647616,tt0087305,1,77
tt8647618,tt0087305,1,78
tt8647626,tt0087305,1,79
tt8647628,tt0087305,1,80
tt8648800,tt0088512,\N,\N
tt8648808,tt0088512,\N,\N
tt8655358,tt0087305,1,81
tt8655360,tt0087305,1,82
tt8655362,tt0087305,1,83
tt8655368,tt0087305,1,84
tt8655374,tt0087305,1,85
tt8655376,tt0087305,1,86
tt8655378,tt0087305,1,88
tt8655380,tt0087305,1,87
tt8655382,tt0087305,1,89
tt8655388,tt0087305,1,90
tt8655390,tt0087305,1,91
tt8655392,tt0087305,1,92
tt8655394,tt0087305,1,93
tt8655396,tt0087305,1,95
tt8655398,tt0087305,1,94
tt8655402,tt0087305,1,96
tt8655404,tt0087305,1,97
tt8655406,tt0087305,1,98
tt8655408,tt0087305,1,99
tt8655412,tt0087305,1,100
tt8658820,tt0087305,1,116
tt8658832,tt0087305,1,112
tt8658836,tt0087305,1,118
tt8658968,tt0087305,1,106
tt8658986,tt0087305,1,119
tt8659000,tt0087305,1,107
tt8659042,tt0087305,1,115
tt8659078,tt0087305,1,108
tt8659080,tt0087305,1,113
tt8659106,tt0087305,1,120
tt8659140,tt0087305,1,117
tt8659158,tt0087305,1,109
tt8659164,tt0087305,1,105
tt8659172,tt0087305,1,104
tt8659182,tt0087305,1,110
tt8659192,tt0087305,1,103
tt8659226,tt0087305,1,102
tt8659232,tt0087305,1,114
tt8659260,tt0087305,1,111
tt8659278,tt0087305,1,101
tt8662888,tt0087305,1,121
tt8662892,tt0087305,1,122
tt8662896,tt0087305,1,123
tt8662898,tt0087305,1,124
tt8662900,tt0087305,1,125
tt8662902,tt0087305,1,126
tt8662904,tt0087305,1,127
tt8662906,tt0087305,1,128
tt8662908,tt0087305,1,129
tt8662910,tt0087305,1,130
tt8662914,tt0087305,1,131
tt8662916,tt0087305,1,132
tt8662918,tt0087305,1,133
tt8662920,tt0087305,1,134
tt8662922,tt0087305,1,135
tt8662924,tt0087305,1,136
tt8662926,tt0087305,1,137
tt8662928,tt0087305,1,138
tt8662930,tt0087305,1,139
tt8662932,tt0087305,1,140
tt8664828,tt0087305,1,141
tt8664832,tt0087305,1,142
tt8664836,tt0087305,1,143
tt8664838,tt0087305,1,144
tt8664840,tt0087305,1,145
tt8664842,tt0087305,1,146
tt8664844,tt0087305,1,147
tt8664846,tt0087305,1,148
tt8664850,tt0087305,1,149
tt8664852,tt0087305,1,150
tt8664854,tt0087305,1,151
tt8664860,tt0087305,1,152
tt8664862,tt0087305,1,153
tt8664864,tt0087305,1,154
tt8664866,tt0087305,1,155
tt8664870,tt0087305,1,156
tt8664872,tt0087305,1,157
tt8664876,tt0087305,1,158
tt8664878,tt0087305,1,159
tt8664880,tt0087305,1,160
tt8668924,tt0088512,\N,\N
tt8670304,tt0087305,1,161
tt8670306,tt0087305,1,162
tt8670308,tt0087305,1,163
tt8670310,tt0087305,1,164
tt8670314,tt0087305,1,165
tt8670316,tt0087305,1,166
tt8670318,tt0087305,1,167
tt8670320,tt0087305,1,168
tt8670322,tt0087305,1,169
tt8670324,tt0087305,1,170
tt8670326,tt0087305,1,171
tt8670328,tt0087305,1,172
tt8670330,tt0087305,1,173
tt8670334,tt0087305,1,174
tt8670336,tt0087305,1,175
tt8670338,tt0087305,1,176
tt8670340,tt0087305,1,177
tt8670342,tt0087305,1,178
tt8670344,tt0087305,1,179
tt8670346,tt0087305,1,180
tt8672746,tt0088512,\N,\N
tt8673048,tt0081857,37,292
tt8673052,tt0081857,37,259
tt8673054,tt0081857,37,260
tt8673056,tt0081857,37,261
tt8673058,tt0081857,37,262
tt8673060,tt0081857,37,263
tt8673062,tt0081857,37,293
tt8673706,tt0087305,1,181
tt8673708,tt0087305,1,182
tt8673710,tt0087305,1,183
tt8673712,tt0087305,1,184
tt8673714,tt0087305,1,185
tt8673716,tt0087305,1,186
tt8673718,tt0087305,1,187
tt8673720,tt0087305,1,188
tt8673722,tt0087305,1,189
tt8673724,tt0087305,1,190
tt8673726,tt0087305,1,191
tt8673728,tt0087305,1,192
tt8673730,tt0087305,1,193
tt8673732,tt0087305,1,194
tt8673736,tt0087305,1,195
tt8673738,tt0087305,1,196
tt8673740,tt0087305,1,197
tt8673746,tt0087305,1,198
tt8673748,tt0087305,1,199
tt8673750,tt0087305,1,200
tt8675412,tt0083504,3,13
tt8676962,tt0088512,\N,\N
tt8676966,tt0088512,\N,\N
tt8677206,tt0083448,\N,\N
tt8678390,tt0087305,1,201
tt8678392,tt0087305,1,202
tt8678394,tt0087305,1,204
tt8678396,tt0087305,1,203
tt8678398,tt0087305,1,205
tt8678400,tt0087305,1,206
tt8678402,tt0087305,1,207
tt8678404,tt0087305,1,208
tt8678408,tt0087305,1,209
tt8678410,tt0087305,1,210
tt8678412,tt0087305,1,211
tt8678414,tt0087305,1,212
tt8678416,tt0087305,1,213
tt8678418,tt0087305,1,214
tt8678422,tt0087305,1,215
tt8678424,tt0087305,1,216
tt8678426,tt0087305,1,217
tt8678428,tt0087305,1,218
tt8678434,tt0087305,1,219
tt8678436,tt0087305,1,220
tt8678438,tt0087305,1,221
tt8678440,tt0087305,1,222
tt8678442,tt0087305,1,223
tt8678444,tt0087305,1,224
tt8678446,tt0087305,1,225
tt8678448,tt0087305,1,226
tt8684912,tt0085049,\N,\N
tt8694872,tt0088554,1,1679
tt8694880,tt0088554,1,1680
tt8694884,tt0088554,1,1681
tt8698316,tt0088512,\N,\N
tt8698770,tt0088598,\N,\N
tt8700234,tt0081857,37,265
tt8700240,tt0081857,37,266
tt8700242,tt0081857,37,267
tt8700248,tt0081857,37,268
tt8700250,tt0081857,37,269
tt8700254,tt0081857,37,271
tt8702798,tt0088512,\N,\N
tt8705258,tt0088486,21,4
tt8706150,tt0083448,\N,\N
tt8706288,tt0086811,3,183
tt8706290,tt0086811,3,184
tt8706294,tt0086811,3,185
tt8706296,tt0086811,3,186
tt8706300,tt0086811,3,187
tt8706308,tt0086811,3,188
tt8706314,tt0086811,3,189
tt8706348,tt0086811,3,190
tt8706350,tt0086811,3,191
tt8706354,tt0086811,3,194
tt8706630,tt0088512,\N,\N
tt8706632,tt0088512,\N,\N
tt8708254,tt0080301,\N,\N
tt8718002,tt0082201,1,14
tt8718248,tt0082201,1,15
tt8718256,tt0082201,1,16
tt8718272,tt0082201,1,17
tt8718290,tt0082201,1,18
tt8718292,tt0086811,3,211
tt8718296,tt0086811,3,212
tt8718302,tt0086811,3,213
tt8718306,tt0086811,3,214
tt8718308,tt0086811,5,112
tt8718322,tt0086811,3,215
tt8718324,tt0086811,3,216
tt8718328,tt0086811,3,217
tt8718332,tt0086811,3,218
tt8718334,tt0086811,3,219
tt8718340,tt0086811,3,220
tt8718344,tt0086811,5,113
tt8718346,tt0086811,5,114
tt8718352,tt0086811,5,115
tt8718356,tt0086811,5,116
tt8718584,tt0082201,1,39
tt8727610,tt0082201,1,44
tt8728652,tt0088512,\N,\N
tt8728666,tt0082201,1,45
tt8732260,tt0082201,1,49
tt8732298,tt0086811,4,1
tt8732304,tt0086811,4,2
tt8732310,tt0086811,4,3
tt8732314,tt0086811,4,4
tt8732318,tt0086811,4,5
tt8732354,tt0086811,4,26
tt8732358,tt0086811,4,27
tt8732360,tt0086811,4,28
tt8732366,tt0086811,4,29
tt8732374,tt0086811,4,30
tt8732376,tt0086811,4,31
tt8732378,tt0086811,4,32
tt8732380,tt0086811,4,33
tt8732382,tt0086811,4,34
tt8732386,tt0086811,4,35
tt8732800,tt0086811,3,47
tt8732804,tt0086811,3,48
tt8732806,tt0086811,3,49
tt8732808,tt0086811,3,50
tt8733036,tt0088512,\N,\N
tt8735234,tt0081857,37,272
tt8735236,tt0081857,37,274
tt8735238,tt0081857,37,273
tt8735240,tt0081857,37,275
tt8735242,tt0081857,38,7
tt8735244,tt0081857,37,277
tt8735248,tt0081857,37,278
tt8736904,tt0086811,5,57
tt8736906,tt0086811,5,58
tt8736908,tt0086811,5,59
tt8736914,tt0086811,5,60
tt8736920,tt0086811,5,61
tt8736922,tt0086811,5,62
tt8736924,tt0086811,5,63
tt8736928,tt0086811,5,64
tt8736930,tt0086811,5,65
tt8737092,tt0088512,\N,\N
tt8737094,tt0088512,\N,\N
tt8737534,tt0083448,\N,\N
tt8740768,tt0086811,5,16
tt8740770,tt0086811,5,17
tt8740776,tt0086811,5,18
tt8740820,tt0086811,5,19
tt8740834,tt0086811,5,20
tt8740900,tt0086811,5,21
tt8740926,tt0086811,5,22
tt8740944,tt0086811,5,23
tt8740952,tt0086811,5,24
tt8740954,tt0086811,5,25
tt8740986,tt0086811,5,26
tt8740990,tt0086811,5,27
tt8741006,tt0086811,5,28
tt8741010,tt0086811,5,29
tt8741016,tt0086811,5,30
tt8741176,tt0086811,5,41
tt8741180,tt0086811,5,42
tt8741184,tt0086811,5,43
tt8741194,tt0086811,5,44
tt8741204,tt0086811,5,45
tt8741232,tt0086811,5,46
tt8741242,tt0086811,5,47
tt8741246,tt0086811,5,48
tt8741254,tt0086811,5,49
tt8741258,tt0086811,5,50
tt8742516,tt0086811,5,51
tt8742518,tt0086811,5,52
tt8742520,tt0086811,5,53
tt8742524,tt0086811,5,54
tt8742526,tt0086811,5,55
tt8742682,tt0086811,5,85
tt8742696,tt0086811,5,86
tt8742700,tt0086811,5,87
tt8742702,tt0086811,5,88
tt8742704,tt0086811,5,89
tt8742720,tt0086811,5,95
tt8742726,tt0086811,5,96
tt8742728,tt0086811,5,97
tt8742734,tt0086811,5,98
tt8742742,tt0086811,5,99
tt8742812,tt0086811,3,192
tt8742818,tt0086811,3,196
tt8742820,tt0086811,3,197
tt8742824,tt0086811,3,198
tt8742826,tt0086811,3,199
tt8742830,tt0086811,3,200
tt8742838,tt0086811,3,201
tt8742840,tt0086811,3,202
tt8742844,tt0086811,3,203
tt8742846,tt0086811,3,204
tt8742848,tt0086811,3,205
tt8743192,tt0088486,21,5
tt8743194,tt0088486,21,6
tt8746412,tt0086811,3,80
tt8746416,tt0086811,3,81
tt8746420,tt0086811,3,82
tt8747246,tt0086811,3,130
tt8747250,tt0086811,3,131
tt8747252,tt0086811,3,132
tt8747320,tt0086811,3,78
tt8747322,tt0086811,3,79
tt8757392,tt0086811,3,138
tt8757394,tt0086811,3,139
tt8757396,tt0086811,3,140
tt8757400,tt0086811,3,141
tt8757402,tt0086811,3,142
tt8757462,tt0086811,3,62
tt8757466,tt0086811,3,63
tt8757478,tt0086811,3,64
tt8757520,tt0086811,3,72
tt8757540,tt0086811,3,88
tt8757542,tt0086811,3,89
tt8757544,tt0086811,3,90
tt8757546,tt0086811,3,91
tt8757548,tt0086811,3,92
tt8757562,tt0086811,3,7
tt8757564,tt0086811,3,8
tt8757566,tt0086811,3,9
tt8757568,tt0086811,3,10
tt8757600,tt0086811,4,36
tt8757602,tt0086811,4,37
tt8757606,tt0086811,4,38
tt8757614,tt0086811,4,39
tt8757616,tt0086811,4,40
tt8757634,tt0086811,4,51
tt8757640,tt0086811,4,52
tt8757644,tt0086811,4,53
tt8757646,tt0086811,4,54
tt8757652,tt0086811,4,55
tt8757654,tt0086811,4,56
tt8757656,tt0086811,4,57
tt8757660,tt0086811,4,58
tt8757662,tt0086811,4,59
tt8758230,tt0088554,1,1682
tt8758238,tt0088554,1,1683
tt8758260,tt0088554,1,1684
tt8758274,tt0088554,1,1685
tt8758300,tt0088554,1,1686
tt8761340,tt0088512,\N,\N
tt8763932,tt0081857,37,282
tt8763934,tt0081857,37,288
tt8763936,tt0081857,37,294
tt8763938,tt0081857,37,300
tt8763952,tt0081857,37,279
tt8763954,tt0081857,37,280
tt8763956,tt0081857,37,281
tt8764290,tt0086811,3,36
tt8764292,tt0086811,3,37
tt8764296,tt0086811,3,38
tt8764302,tt0086811,3,39
tt8764304,tt0086811,3,40
tt8764314,tt0086811,3,41
tt8764316,tt0086811,3,42
tt8764318,tt0086811,3,43
tt8764320,tt0086811,3,44
tt8764322,tt0086811,3,45
tt8764568,tt0086811,3,128
tt8764570,tt0086811,3,129
tt8764574,tt0086811,3,174
tt8764576,tt0086811,3,175
tt8764578,tt0086811,3,176
tt8764580,tt0086811,3,177
tt8764584,tt0086811,3,179
tt8764592,tt0086811,3,180
tt8764594,tt0086811,3,181
tt8764598,tt0086811,3,182
tt8765112,tt0088512,\N,\N
tt8767956,tt0083448,\N,\N
tt8769120,tt0088512,\N,\N
tt8769126,tt0088512,\N,\N
tt8769278,tt0086811,3,231
tt8769280,tt0086811,3,232
tt8769284,tt0086811,3,234
tt8769286,tt0086811,3,233
tt8769288,tt0086811,3,235
tt8773266,tt0086811,3,70
tt8773268,tt0086811,3,71
tt8777280,tt0086811,3,193
tt8777284,tt0086811,3,195
tt8783414,tt0086811,4,124
tt8783416,tt0086811,4,125
tt8783422,tt0086811,4,126
tt8783428,tt0086811,4,127
tt8783434,tt0086811,4,128
tt8783436,tt0086811,4,129
tt8783440,tt0086811,4,130
tt8783444,tt0086811,4,131
tt8783450,tt0086811,4,132
tt8783484,tt0086811,4,144
tt8783500,tt0086811,4,145
tt8783502,tt0086811,4,146
tt8783506,tt0086811,4,147
tt8784674,tt0086811,4,47
tt8784678,tt0086811,4,48
tt8784680,tt0086811,4,49
tt8784684,tt0086811,4,65
tt8784690,tt0086811,4,66
tt8784694,tt0086811,4,67
tt8784696,tt0086811,4,68
tt8784702,tt0086811,4,70
tt8784704,tt0086811,4,71
tt8784706,tt0086811,4,72
tt8784748,tt0086811,4,98
tt8784750,tt0086811,4,99
tt8784756,tt0086811,4,100
tt8784760,tt0086811,4,101
tt8784764,tt0086811,4,102
tt8784774,tt0086811,4,103
tt8784776,tt0086811,4,104
tt8784780,tt0086811,4,105
tt8784786,tt0086811,4,106
tt8784788,tt0086811,4,107
tt8784878,tt0086811,4,173
tt8784886,tt0086811,4,174
tt8784888,tt0086811,4,175
tt8784890,tt0086811,4,176
tt8784892,tt0086811,4,177
tt8784898,tt0086811,4,179
tt8784904,tt0086811,4,180
tt8784908,tt0086811,4,181
tt8784920,tt0086811,4,182
tt8784938,tt0086811,4,183
tt8784942,tt0086811,4,184
tt8784944,tt0086811,4,185
tt8784948,tt0086811,4,186
tt8784952,tt0086811,4,187
tt8785066,tt0088554,1,1687
tt8790338,tt0086815,22,16
tt8790366,tt0086815,22,1
tt8790378,tt0086815,22,4
tt8791948,tt0086811,4,22
tt8791950,tt0086811,4,23
tt8791956,tt0086811,4,24
tt8791960,tt0086811,4,25
tt8791980,tt0086811,4,64
tt8792584,tt0086811,4,154
tt8792590,tt0086811,4,155
tt8792626,tt0086811,4,156
tt8792628,tt0086811,4,157
tt8792638,tt0086811,4,158
tt8792642,tt0086811,4,159
tt8792654,tt0086811,4,160
tt8792662,tt0086811,4,161
tt8792664,tt0086811,4,162
tt8792674,tt0086811,4,163
tt8792682,tt0086811,4,164
tt8792684,tt0086811,4,165
tt8792696,tt0086811,4,166
tt8792732,tt0086811,4,167
tt8793224,tt0086811,4,193
tt8793226,tt0086811,4,194
tt8793230,tt0086811,4,195
tt8793236,tt0086811,4,196
tt8793238,tt0086811,4,197
tt8793298,tt0086811,4,198
tt8793304,tt0086811,4,199
tt8793314,tt0086811,4,200
tt8793316,tt0086811,4,201
tt8793322,tt0086811,4,202
tt8793380,tt0086811,4,203
tt8793388,tt0086811,4,204
tt8793390,tt0086811,4,205
tt8793392,tt0086811,4,206
tt8793400,tt0086811,4,208
tt8793870,tt0081857,38,8
tt8793872,tt0081857,37,283
tt8793874,tt0081857,37,285
tt8793876,tt0081857,37,284
tt8793878,tt0081857,37,286
tt8793880,tt0081857,37,287
tt8795058,tt0088512,\N,\N
tt8796498,tt0086811,4,209
tt8796502,tt0086811,4,210
tt8796504,tt0086811,4,211
tt8796518,tt0086811,4,212
tt8796522,tt0086811,4,213
tt8796540,tt0086811,4,214
tt8796572,tt0086811,4,215
tt8796574,tt0086811,4,216
tt8796600,tt0086811,4,227
tt8796604,tt0086811,4,228
tt8796606,tt0086811,4,229
tt8796612,tt0086811,4,230
tt8796614,tt0086811,4,231
tt8796970,tt0086811,4,246
tt8796976,tt0086811,4,247
tt8796978,tt0086811,4,248
tt8796980,tt0086811,4,249
tt8796988,tt0086811,4,250
tt8797486,tt0086811,4,140
tt8797494,tt0086811,4,252
tt8797498,tt0086811,4,253
tt8797500,tt0086811,4,254
tt8797502,tt0086811,4,255
tt8797574,tt0086811,4,256
tt8797580,tt0086811,4,257
tt8797584,tt0086811,4,258
tt8797590,tt0086811,4,259
tt8797592,tt0086811,4,260
tt8797630,tt0088512,\N,\N
tt8797698,tt0086811,5,78
tt8797704,tt0086811,5,91
tt8797706,tt0086811,5,92
tt8797710,tt0086811,5,93
tt8797712,tt0086811,5,94
tt8797714,tt0086811,5,100
tt8797720,tt0086811,5,101
tt8797722,tt0086811,5,102
tt8797724,tt0086811,5,103
tt8797728,tt0086811,5,104
tt8797730,tt0086811,5,105
tt8797736,tt0086811,5,107
tt8797738,tt0086811,5,108
tt8797744,tt0086811,5,109
tt8797746,tt0086811,5,110
tt8797748,tt0086811,5,111
tt8800532,tt0083448,\N,\N
tt8801248,tt0088512,\N,\N
tt8801250,tt0088512,\N,\N
tt8801616,tt0088554,1,1688
tt8804356,tt0086815,22,11
tt8804632,tt0086815,22,3
tt8805086,tt0086815,22,2
tt8805092,tt0086815,22,10
tt8805100,tt0086815,22,23
tt8805104,tt0086815,22,17
tt8805112,tt0086815,22,20
tt8805126,tt0086815,22,5
tt8805872,tt0086811,2,118
tt8805874,tt0086811,2,120
tt8805876,tt0086811,2,121
tt8805880,tt0086811,2,122
tt8806260,tt0086811,5,117
tt8806288,tt0086811,5,119
tt8806290,tt0086811,5,120
tt8806294,tt0086811,5,121
tt8806296,tt0086811,5,122
tt8806300,tt0086811,5,124
tt8806304,tt0086811,5,125
tt8806306,tt0086811,5,126
tt8811908,tt0088486,21,7
tt8812942,tt0088512,\N,\N
tt8815582,tt0086811,2,115
tt8815586,tt0086811,2,117
tt8815888,tt0086811,2,66
tt8815890,tt0086811,2,67
tt8815894,tt0086811,2,68
tt8815896,tt0086811,2,69
tt8815908,tt0086811,2,100
tt8815910,tt0086811,2,101
tt8815914,tt0086811,2,102
tt8815916,tt0086811,2,103
tt8816400,tt0086811,2,195
tt8816402,tt0086811,2,196
tt8816404,tt0086811,2,197
tt8816414,tt0086811,2,180
tt8816416,tt0086811,2,181
tt8816418,tt0086811,2,182
tt8816424,tt0086811,2,169
tt8816430,tt0086811,2,170
tt8816432,tt0086811,2,171
tt8816436,tt0086811,2,172
tt8816440,tt0086811,2,165
tt8816442,tt0086811,2,166
tt8816446,tt0086811,2,167
tt8816456,tt0086811,2,150
tt8816458,tt0086811,2,151
tt8816460,tt0086811,2,152
tt8819604,tt0086815,22,6
tt8820138,tt0086815,22,22
tt8820838,tt0086811,2,256
tt8824664,tt0086811,2,179
tt8824682,tt0086811,2,253
tt8824688,tt0086811,2,254
tt8825562,tt0086811,2,164
tt8826080,tt0086815,22,18
tt8826468,tt0088512,\N,\N
tt8826658,tt0081857,\N,\N
tt8827168,tt0086811,2,194
tt8830138,tt0086811,1,72
tt8830144,tt0086811,1,73
tt8830150,tt0086811,1,74
tt8830950,tt0086811,1,50
tt8830984,tt0086811,1,52
tt8830986,tt0086811,1,53
tt8830988,tt0086811,1,54
tt8830990,tt0086811,1,55
tt8831016,tt0086811,1,66
tt8831020,tt0086811,1,67
tt8831022,tt0086811,1,68
tt8831028,tt0086811,1,69
tt8831034,tt0086811,1,70
tt8831274,tt0088512,\N,\N
tt8831278,tt0086811,2,240
tt8831280,tt0086811,2,241
tt8832006,tt0085064,1,12
tt8832378,tt0085064,2,1
tt8834502,tt0083448,\N,\N
tt8834674,tt0086811,1,110
tt8834692,tt0086811,1,111
tt8834694,tt0086811,1,112
tt8834696,tt0086811,1,113
tt8834698,tt0086811,1,125
tt8834704,tt0086811,1,126
tt8834708,tt0086811,1,127
tt8834710,tt0086811,1,128
tt8834730,tt0086811,1,155
tt8834738,tt0086811,1,156
tt8834740,tt0086811,1,157
tt8834742,tt0086811,1,158
tt8834754,tt0086811,1,165
tt8834756,tt0086811,1,166
tt8834758,tt0086811,1,167
tt8834762,tt0086811,1,168
tt8834774,tt0086811,1,180
tt8834776,tt0086811,1,181
tt8834778,tt0086811,1,182
tt8834782,tt0086811,1,183
tt8834886,tt0086811,1,190
tt8834892,tt0086811,1,191
tt8834896,tt0086811,1,192
tt8834900,tt0086811,1,193
tt8835002,tt0086811,2,233
tt8835124,tt0086811,2,228
tt8835126,tt0086811,2,229
