nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1850507,Pawel Pogorzelski,1979,\N,"cinematographer,camera_department,producer","tt7888964,tt8772262,tt7784604,tt10303674"
nm1850872,Arantxa Aranguren,\N,\N,actress,"tt12618926,tt0297174,tt8393332,tt14077696"
nm1850950,Paolo Hermanin De Reinchenfeld,\N,\N,actor,"tt0210074,tt0198971,tt0140653,tt0215449"
nm1850967,Kether Donohue,1985,\N,"actress,producer,writer","tt1713476,tt3228420,tt1981677,tt0469008"
nm1850981,Ross Finbow,\N,\N,actor,"tt0461720,tt0088621,tt0450269"
nm1851005,Sørine Gotfredsen,\N,\N,,"tt1243209,tt0352049,tt0431517,tt0939787"
nm1851018,Marita Hakala,\N,\N,"writer,casting_director,costume_department","tt3357290,tt7910034,tt0380921,tt0453334"
nm1851035,Rob Huizenga,\N,\N,"miscellaneous,script_department","tt1092447,tt2267998,tt1702440,tt0758758"
nm1851038,Ernest Ignatius,\N,\N,actor,"tt0830570,tt0475047,tt0437019,tt0408403"
nm1851111,Jason Manford,1981,\N,"actor,writer,soundtrack","tt1804497,tt0417332,tt4273282,tt15321902"
nm1851169,Laci Peterson,1975,2002,,\N
nm1851197,Jarmo Salmi,\N,\N,actor,"tt14143608,tt7543132,tt2253621,tt1582455"
nm1851226,Timo Soini,1962,\N,,"tt0187671,tt2404678,tt0423729,tt4939064"
nm1851306,Luis Antonio II,\N,\N,actor,tt0451014
nm1851307,Colin Bass,1951,\N,actor,"tt0451022,tt0489667,tt0461919,tt6642986"
nm1851308,Spencer Bennett,\N,\N,"special_effects,actor","tt11640020,tt2543472,tt6977338,tt5232792"
nm1851309,Lorne Blair,1945,1995,"director,cinematographer,producer","tt0166413,tt28309070,tt28595766,tt7536948"
nm1851311,Malcolm Boyd,1923,2015,,"tt1503776,tt0063940,tt1139127,tt0468528"
nm1851312,Caleb Brandon,\N,\N,actor,"tt1965206,tt0460987,tt1266576,tt0451126"
nm1851313,Dylan Bruce,\N,\N,actor,"tt8311576,tt2234222,tt10839422,tt5464086"
nm1851317,William Cardoso,\N,\N,,tt0449614
nm1851318,Compton Chester,\N,\N,actor,tt0449567
nm1851319,Corey Coates,\N,\N,actor,tt0450399
nm1851320,Sean Paul Lockhart,1986,\N,"actor,director,camera_department","tt2402194,tt1242642,tt1727252,tt3083006"
nm1851323,Sean Davies,\N,\N,"actor,composer","tt0451130,tt10164206"
nm1851325,Herb Dean,\N,\N,actor,"tt10550884,tt9722418,tt1648179,tt6162892"
nm1851336,Lance Evans,\N,\N,actor,"tt2647120,tt0451904,tt2657372,tt2647106"
nm1851337,Brent Everett,1984,\N,"actor,director,producer","tt14689182,tt0456678,tt2657430,tt2202516"
nm1851341,Shaun Ferrara,\N,\N,actor,"tt0451904,tt1589434,tt2647106,tt0451722"
nm1851349,Jason Fraser,\N,\N,"actor,miscellaneous","tt5806798,tt1527623,tt1580391,tt0787495"
nm1851373,Gary Greer,\N,\N,actor,"tt0297626,tt0086699"
nm1851381,Robb Hanks,\N,\N,"cinematographer,actor,camera_department","tt1090647,tt1373251,tt0443624"
nm1851388,Richard Hartman,\N,\N,director,tt0446060
nm1851392,Bill Hawley,\N,\N,actor,tt0446032
nm1851399,Mac Dre,1970,2004,"soundtrack,actor","tt2334649,tt3993886,tt4254584,tt7242142"
nm1851400,Alistair Hill,\N,\N,actor,"tt0457145,tt0451646"
nm1851412,Steve Hugo,\N,\N,actor,tt0403182
nm1851414,Helge M. Iversen,\N,\N,actor,"tt0339149,tt0451211"
nm1851416,Dominic Janes,1994,\N,"actor,writer","tt0773262,tt0486946,tt0108757,tt1078463"
