nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0789716,Fiona Shaw,1958,\N,"actress,miscellaneous,soundtrack","tt0241527,tt0926084,tt0118661,tt0304141"
nm0789804,Jonathan P. Shaw,\N,\N,"editor,editorial_department,producer","tt0085750,tt0090756,tt0114857,tt0107131"
nm0790066,Shawn,\N,\N,actress,tt0101488
nm0790093,Sharon Shawnessey,\N,\N,actress,"tt0113678,tt0889170,tt0111897,tt0100099"
nm0790101,David Shawyer,\N,\N,actor,"tt0084140,tt0094507,tt0083284,tt0107898"
nm0790146,Morteza Shayesteh,\N,\N,producer,"tt0821752,tt11507134,tt1087643,tt0262774"
nm0790180,Bashar Shbib,1959,\N,"producer,director,writer","tt0104676,tt2192962,tt0242968,tt0102170"
nm0790204,Eduard Shcherbakov,1946,\N,"camera_department,cinematographer","tt0075404,tt0076865,tt0092185,tt0174812"
nm0790220,Andrey Shcherbovich-Vecher,\N,\N,"actor,director,writer","tt0102363,tt0106564,tt2580830,tt0437126"
nm0790227,Sergei Shchugaryov,\N,\N,"director,writer,cinematographer","tt0899202,tt0116476,tt0107738"
nm0790235,Aleksandr Shchurikhin,1959,\N,"production_designer,director,actor","tt1446023,tt0357169,tt6445302,tt0103712"
nm0790237,Ivan Shchyogolev,1961,2020,"director,actor,writer","tt0187693,tt0103748,tt3994966,tt13296430"
nm0790329,Peter Shea,\N,\N,cinematographer,tt0103784
nm0790394,Amanda Shear,\N,\N,actress,"tt13898236,tt0186219,tt12894318,tt0102018"
nm0790481,Edward Shearmur,1966,\N,"composer,music_department,soundtrack","tt0346156,tt0305357,tt0212346,tt0160127"
nm0790503,Dave Sheasby,\N,\N,writer,"tt0086699,tt0106021,tt0297626,tt1049304"
nm0790516,Norma Shebbeare,1914,2015,actress,"tt0066579,tt0133324,tt0050214,tt0066730"
nm0790554,Sheeba Agarwal,1970,\N,"actress,music_department,producer","tt0254481,tt0318275,tt0343048,tt0395668"
nm0790613,Mike Sheehan,\N,2019,"actor,producer,miscellaneous","tt0106519,tt1038919,tt0098844,tt0100507"
nm0790688,Michael Sheen,1969,\N,"actor,producer,director","tt1605783,tt0870111,tt2137109,tt0436697"
nm0790719,Nico Sheers,\N,\N,"editor,editorial_department","tt0127030,tt0077299,tt0077896,tt0102730"
nm0790743,Todd Sheets,\N,\N,"writer,director,producer","tt2839540,tt5795064,tt7127700,tt4490348"
nm0790771,Buddy Sheffield,\N,\N,"writer,miscellaneous,producer","tt0266824,tt0098830,tt0103530,tt0092342"
nm0790808,Rita Sheffield,\N,\N,"writer,producer,director","tt0280278,tt0297523,tt0103530,tt0092342"
nm0790858,Aashif Sheikh,1960,\N,actor,"tt0118660,tt3679040,tt5154982,tt0113526"
nm0790867,Yusuf Sheikh,\N,\N,"editor,assistant_director,stunts","tt0119721,tt0116950,tt0105599,tt0119239"
nm0790869,Jamileh Sheikhi,1930,2001,actress,"tt12759106,tt0830914,tt0116851,tt0317794"
nm0790871,Abbas Sheikhzadeh,\N,\N,producer,tt0104919
nm0790872,Saeed Sheikhzadeh,\N,\N,"actor,sound_department","tt1087585,tt7004192,tt0106207,tt1090298"
nm0790960,Carolyn Shelby,\N,\N,"writer,actress,producer","tt0092420,tt0101590,tt0072759,tt0101064"
nm0790970,LaRita Shelby,\N,\N,"actress,writer,producer","tt0103488,tt5171492,tt0105450"
nm0790989,Earnest Sheldon Jr.,\N,\N,"producer,miscellaneous,editorial_department","tt0104516,tt0106906,tt0104521,tt3014454"
nm0791102,Rupert Sheldrake,1942,\N,,"tt12737264,tt5066084,tt0107018,tt1427947"
nm0791104,Irit Sheleg,1958,\N,"actress,miscellaneous","tt3069894,tt0133333,tt5360996,tt2219514"
nm0791108,Mikhail Shelekhov,\N,\N,writer,"tt0140317,tt0102362,tt0495894,tt1796414"
nm0791209,Kathleen A. Shelley,\N,\N,"producer,writer,miscellaneous","tt0085088,tt0085012,tt0084981,tt0081863"
nm0791248,Adrienne Shelly,1966,2006,"actress,writer,director","tt0210741,tt0117775,tt0473308,tt0103130"
nm0791269,Reed Shelly,\N,\N,"writer,miscellaneous,producer","tt0098763,tt0131613,tt0163438,tt0222518"
nm0791289,Kirby Shelstad,\N,\N,"composer,music_department","tt0109739,tt0106827,tt0193221,tt0101821"
nm0791401,Toby Shelton,\N,\N,"animation_department,producer,director","tt0441773,tt1001526,tt3521164,tt0780521"
nm0791440,Ophrah Shemesh,\N,\N,actress,tt0104356
nm0791464,Da Wei Shen,\N,\N,"director,writer",tt0105860
nm0791536,Reimonna Sheng,\N,\N,actress,tt0108164
nm0791561,Justin Shenkarow,1980,\N,"actor,miscellaneous,producer","tt13654332,tt0437086,tt7979580,tt3843168"
nm0791563,Beverley Shenken,\N,\N,"producer,miscellaneous,actress","tt3575782,tt0221064,tt0475174,tt7095228"
nm0791579,Sergei Shentalinsky,\N,\N,actor,"tt8193676,tt0096356,tt0099398"
nm0791617,Elijah James Shepard,1976,\N,"actor,composer","tt0108119,tt0096661,tt0365215,tt0325793"
