nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0772609,Gabriela Maria Schmeide,1965,\N,actress,"tt0806910,tt8535968,tt1149362,tt0304126"
nm0772639,Roger Schmelzer,1966,\N,"writer,sound_department,director","tt0110345,tt0118259,tt22798806,tt2210787"
nm0772728,Regine Schmid,\N,\N,producer,"tt1855977,tt0109705,tt0238994,tt0109645"
nm0772729,Rike Schmid,1979,\N,actress,"tt0853076,tt5560712,tt1285241,tt0780134"
nm0772859,Camille Schmidt,\N,\N,actress,"tt1190823,tt0229878,tt0379700,tt0337550"
nm0772972,Harry Schmidt,1960,\N,actor,"tt0935115,tt0090440,tt0245603,tt2555456"
nm0773111,Martin Schmidt,\N,\N,actor,tt0243418
nm0773308,Sebastian Urzendowsky,1985,\N,"actor,director,writer","tt1298540,tt2270760,tt1023114,tt5765988"
nm0773318,Edgar Schmied,1920,2007,"costume_designer,production_designer,miscellaneous","tt0050852,tt0244236,tt0171596,tt0239515"
nm0773351,Henning Schmiedt,\N,\N,"composer,music_department","tt28641028,tt0231615,tt0305739,tt5244578"
nm0773524,Stefan Schmitz,\N,\N,"producer,executive","tt10589738,tt1772250,tt11930126,tt13866630"
nm0773731,Bonnie Sikowitz,1969,\N,"writer,actress","tt0809504,tt0115369,tt0118300,tt0285403"
nm0773741,Charles Schneider,1960,\N,"actor,writer,special_effects","tt0096438,tt0443706,tt0426396,tt0162346"
nm0773992,Raphael Schneider,1970,\N,actor,"tt5183990,tt28635443,tt0103434,tt1218025"
nm0774056,Ute Schneider,\N,\N,"producer,miscellaneous,script_department","tt1054515,tt2101473,tt0286499,tt0347293"
nm0774143,Jon Schnepp,1967,2018,"animation_department,producer,director","tt27212592,tt0463361,tt2753778,tt1935896"
nm0774146,Axel Schneppat,1971,\N,"cinematographer,camera_department","tt1424327,tt0388395,tt11496136,tt5485522"
nm0774183,Sarah Schnier,1967,\N,"producer,writer","tt2113818,tt0108829,tt0806910,tt1294646"
nm0774223,Heinrich Schnitzler,1902,1982,"director,writer","tt7289100,tt1233582,tt8597058,tt7281128"
nm0774420,Frédéric Schoendoerffer,1962,\N,"director,assistant_director,writer","tt1401636,tt0230745,tt0487504,tt4117206"
nm0774421,Ludovic Schoendoerffer,\N,\N,"actor,writer,editorial_department","tt0337103,tt0296734,tt0356336,tt1401636"
nm0774557,Elida Schogt,\N,\N,"director,writer,producer","tt0424578,tt0292347,tt0241082,tt0453376"
nm0774640,Irene G. Scholten,\N,\N,"editor,actress","tt0105452,tt15546040,tt0240778,tt0333958"
nm0774705,Vasko Scholz,1981,\N,"writer,actor,transportation_department","tt9013996,tt1572996,tt0485947,tt3459126"
nm0774853,Phillip Schopper,\N,\N,"editor,art_department,miscellaneous","tt3176284,tt7475540,tt0093278,tt3889036"
nm0774918,Nicole Schostak,\N,\N,actress,"tt0456797,tt0242607"
