nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0810015,Stephen Phillip Smith,\N,\N,writer,tt0087041
nm0810034,Steven Smith,\N,\N,"producer,writer,miscellaneous","tt0101175,tt0108876,tt0112022,tt0092468"
nm0810049,Stuart Smith,\N,\N,actor,tt0085758
nm0810128,Terri Susan Smith,\N,\N,actress,"tt0083624,tt2173733"
nm0810147,Thomas G. Smith,\N,\N,"producer,director,visual_effects","tt0082971,tt0084726,tt0115571,tt0088170"
nm0810197,Tonia Gayle Smith,\N,\N,actress,"tt0078610,tt0085011"
nm0810212,Tracy Smith,1961,\N,actress,"tt0411636,tt0087425,tt0086690,tt0086927"
nm0810218,Tre Smith,1970,\N,actor,"tt1955311,tt0452598,tt0800080,tt0383067"
nm0810364,Willie Mae Ford Smith Smith,1904,1994,soundtrack,"tt0100189,tt0086245"
nm0810379,Yeardley Smith,1964,\N,"actress,soundtrack,producer","tt0089470,tt0096697,tt0091499,tt0462538"
nm0810424,Jackie Smith-Wood,1954,\N,"actress,soundtrack","tt0078657,tt0121516,tt0085052,tt0355117"
nm0810426,Silk Smitha,1960,1996,"actress,producer","tt1801831,tt0245998,tt0248051,tt0245995"
nm0810460,Sue Smithers,\N,\N,actress,"tt0129685,tt0072163,tt0084748,tt0140761"
nm0810494,Els Ingeborg Smits,1944,2011,actress,"tt1314234,tt0892181,tt0288861,tt0088629"
nm0810500,Sonja Smits,1958,\N,actress,"tt0086541,tt0318236,tt0090530,tt0326828"
nm0810642,S. Smolyanitsky,\N,\N,writer,tt0081670
nm0810721,Josephine Smulders,\N,\N,actress,tt0087085
nm0810742,Vladimír Smutný,1942,\N,"cinematographer,camera_department,miscellaneous","tt0244479,tt0206866,tt0116844,tt1667354"
nm0810795,Patrick Smyth,\N,\N,actor,"tt0088591,tt0112073,tt0081879,tt1790941"
nm0810938,Greg Sneddon,\N,\N,"composer,director,writer","tt0089130,tt0125819,tt0380504,tt3186788"
nm0810950,John Snee,\N,\N,actor,"tt0112626,tt0082400,tt0088616,tt0086367"
nm0810987,Gregory Snegoff,1955,\N,"actor,writer,miscellaneous","tt0097239,tt0100157,tt0098692,tt0086148"
nm0811100,Sergey Snezhkin,1954,\N,"director,writer,producer","tt1403085,tt0169081,tt0198041,tt4842282"
nm0811203,David Snodin,\N,\N,"producer,script_department,writer","tt0167187,tt0124241,tt1186342,tt0320019"
nm0811256,David Snow,\N,\N,"actor,producer","tt0354502,tt0095547,tt0082279,tt1954452"
nm0811355,Jane Snowden,1965,\N,actress,"tt0092379,tt0087300,tt0135738,tt0090608"
nm0811383,Liz Snoyink,1955,\N,actress,"tt0138231,tt0089786,tt0106167,tt7174134"
nm0811435,David L. Snyder,\N,\N,"production_designer,art_department,art_director","tt0106697,tt0083658,tt18212138,tt0089791"
nm0811629,Robin Soans,1947,\N,"actor,writer","tt0436697,tt0092772,tt8954732,tt0462477"
nm0811638,Antonio Luis Soares,\N,\N,"cinematographer,camera_department,miscellaneous","tt0442194,tt0139160,tt0110298,tt0069147"
nm0811746,Barry Sobel,1959,\N,"actor,writer,miscellaneous","tt0117887,tt0101745,tt0093857,tt1583420"
nm0811749,Curt Sobel,1953,\N,"music_department,soundtrack,composer","tt0140352,tt0350258,tt1663202,tt4513678"
nm0811762,Judith Sobol,\N,\N,"editor,editorial_department,actress","tt0208261,tt0140536,tt0937224,tt7583194"
nm0811764,Mark Sobel,\N,\N,"director,producer,writer","tt0088513,tt0310906,tt0086847,tt0092338"
nm0811768,Guy Sobell,\N,\N,composer,tt0085167
nm0811779,Santos Soberon,\N,\N,"producer,actor","tt0353354,tt0236026,tt0092163,tt0407040"
nm0811872,Tadeusz Sobolewski,1947,\N,"miscellaneous,actor,writer","tt0374132,tt0441074,tt0103808,tt0080806"
nm0811886,Kurt Sobotka,1930,2017,"actor,director,soundtrack","tt1458756,tt5684890,tt0275127,tt1950580"
nm0811940,María Socas,\N,\N,actress,"tt0437002,tt0097516,tt0092860,tt1874592"
nm0811994,Berta Socuéllamos,1963,\N,actress,tt0082259
nm0812077,Ismail Soebardjo,\N,\N,director,"tt0081325,tt0337274"
nm0812116,Paul van Soest,1949,\N,actor,"tt0119448,tt0108964,tt0111887,tt0098883"
nm0812153,Tilly Soffing,\N,\N,actor,"tt3097856,tt13414074,tt0081744,tt5641212"
nm0812187,Cosmin Sofron,1969,\N,actor,"tt0192669,tt0117735,tt0237440,tt0247783"
nm0812203,Softwear,\N,\N,composer,"tt0088730,tt0125377,tt0087916,tt0086078"
nm0812351,Olli Soinio,1948,2018,"sound_department,editor,writer","tt1927051,tt0095473,tt1379689,tt0271874"
