nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0619075,Frank Nagai,1932,2008,"actor,soundtrack","tt0051998,tt1573850,tt2735992,tt1565049"
nm0619191,Ichiro Nagashima,\N,\N,producer,"tt0202248,tt0203040,tt0407929,tt0203599"
nm0619207,Hidemasa Nagata,\N,\N,producer,"tt0059080,tt0049642,tt0067123,tt0063000"
nm0619234,Kazue Nagatsuka,\N,\N,"cinematographer,actress","tt0081662,tt0273925,tt0082596,tt0061882"
nm0619289,Rolf Nagel,1929,\N,actor,"tt0853076,tt1492794,tt0403755,tt0059986"
nm0619320,Eugenia Naghi,1928,2007,editor,"tt0077120,tt0131545,tt0069748,tt0072620"
nm0619321,Gheorghe Naghi,1932,2019,"director,actor,writer","tt0050332,tt0082385,tt0064242,tt0053339"
nm0619330,Yuriy Nagibin,1920,1994,"writer,director","tt1616514,tt0052008,tt0071411,tt0195371"
nm0619399,Semyon Nagornyj,1905,1992,writer,"tt0174300,tt4000906,tt11527474,tt0071545"
nm0619620,Jacques Nahum,1921,2017,"producer,writer,director","tt0096689,tt0174015,tt21071598,tt0047697"
nm0619821,Taketoshi Naitô,1926,2012,actor,"tt0055233,tt0170544,tt0068815,tt0795948"
nm0619938,Tatsuya Nakadai,1932,\N,"actor,soundtrack","tt0056443,tt0056058,tt0080979,tt0089881"
nm0619970,Roger Nakagawa,\N,\N,actor,tt0050363
nm0619982,Yoshihisa Nakagawa,\N,\N,"cinematographer,assistant_director,director","tt0056158,tt0288644,tt0049642,tt8677412"
nm0619988,Hitomi Nakahara,1936,\N,actress,"tt0201974,tt0316144,tt0226150,tt0229782"
nm0619997,Sanae Nakahara,1935,2012,actress,"tt0158714,tt0352150,tt0078513,tt0080768"
nm0620008,Kô Nakahira,1926,1978,"director,writer,assistant_director","tt0370261,tt0165551,tt0452423,tt8259996"
nm0620030,Gentaro Nakajima,\N,\N,"producer,writer","tt2442262,tt0310290,tt0056158,tt0049900"
nm0620112,Akira Nakamura,\N,\N,actor,"tt0036400,tt0361110,tt0052331,tt0050609"
nm0620131,Ganjirô Nakamura,1902,1983,actor,"tt0211346,tt0051584,tt0051791,tt0053390"
nm0620154,Katsuo Nakamura,1938,\N,actor,"tt0324357,tt0066373,tt0082596,tt0082683"
nm0620212,Haruhiko Nakagawa,\N,\N,actor,"tt11955550,tt11955140,tt0188017,tt10636986"
nm0620224,Shin'ichirô Nakamura,1918,1997,writer,"tt0047480,tt0055198,tt0366677,tt0203599"
nm0620301,Lane Nakano,1925,2005,actor,"tt0044764,tt0053534,tt0288845,tt0043590"
nm0620316,Tatsuji Nakashizu,\N,\N,"editor,editorial_department","tt0049642,tt0059080,tt0060446,tt0076294"
nm0620390,Yasuko Nakada,1933,\N,actress,"tt2521152,tt1517563,tt0051217,tt0202141"
nm0620433,Shôji Nakayama,1928,1998,"actor,miscellaneous","tt0161176,tt0814407,tt0184169,tt0049809"
nm0620448,Hanjirô Nakazawa,\N,\N,"cinematographer,actor","tt0077135,tt6729048,tt0360088,tt0226872"
nm0620505,Józef Nalberczak,1926,1992,"actor,soundtrack","tt0127384,tt0077650,tt0048825,tt0047619"
nm0620527,Konrad Nalecki,1919,1991,"director,writer,assistant_director","tt0046466,tt0057288,tt0051567,tt0054829"
nm0620630,M.N. Nambiar,1919,2008,actor,"tt0044778,tt0259452,tt0259699,tt0260168"
nm0620634,Shôzô Nanbu,1898,\N,actor,"tt0047445,tt0063835,tt0046478,tt5203164"
nm0620661,Kyôtarô Namiki,1902,2001,"director,writer","tt5048934,tt0876422,tt0470867,tt2937808"
nm0620807,Vera Nandi,1924,1998,actress,"tt0044034,tt0043805,tt0054309,tt0046831"
nm0620918,Nella Nannuzzi,\N,\N,"editor,editorial_department","tt0062946,tt0060590,tt0056674,tt0290240"
nm0621040,Russell Napier,1910,1974,actor,"tt0047634,tt0294968,tt0051994,tt0047924"
nm0621073,Art Napoleon,1920,2003,"writer,producer,director","tt0050077,tt0063984,tt0051900,tt0052302"
nm0621075,Jo Napoleon,1924,1999,"writer,producer,script_department","tt0051900,tt0058523,tt0050077,tt0063984"
nm0621277,Rafael Narbona,\N,\N,writer,tt0047206
nm0621296,André Narcisse,\N,\N,"actor,miscellaneous",tt0047037
nm0621436,Arif Narimanbekov,1917,1992,"cinematographer,camera_department","tt9890850,tt1472161,tt0048326,tt8237804"
nm0621534,Masashige Narusawa,1925,2021,"writer,director","tt6621038,tt0042517,tt9417730,tt0202546"
nm0621573,Jack Narz,1922,2008,"actor,producer","tt0211783,tt0186743,tt0056755,tt1305340"
nm0621680,Robert Nash,1915,1999,actor,"tt0059486,tt0051307,tt0051329,tt0043234"
