nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0002288,Elliott Goldkind,1964,\N,"music_department,composer,sound_department","tt2543508,tt0449059,tt1494829,tt0432291"
nm0002415,Colin Hoult,\N,\N,"camera_department,cinematographer","tt3007572,tt8388390,tt5171438,tt8415836"
nm0002678,Lincoln Stalmaster,1966,\N,"miscellaneous,producer,actor","tt10955928,tt0094582,tt0474865,tt3584354"
nm0002767,Larry Lalonde,\N,\N,"music_department,soundtrack,actor","tt1701990,tt1007028,tt0339851,tt0101452"
nm0002813,Amanda White,\N,\N,"producer,miscellaneous,executive","tt1356864,tt0119217,tt0206314,tt0184858"
nm0002936,Kristina Anapau,1979,\N,"actress,producer,writer","tt0391891,tt0844441,tt0947798,tt1830617"
nm0003017,Lori Elberg,1975,\N,"editorial_department,editor,director","tt2791166,tt16302576,tt0131597,tt0482960"
nm0003274,Philip Schulz-Deyle,1972,\N,"producer,production_manager,miscellaneous","tt3774114,tt0449089,tt0455782,tt0338751"
nm0003393,Larissa LaRenne,\N,\N,actress,"tt0147757,tt0108757,tt0429455,tt10618286"
nm0003399,Vincent Arnardi,1957,\N,"sound_department,miscellaneous","tt1149361,tt0211915,tt0152930,tt0112682"
nm0003406,Zane Weiner,\N,\N,"production_manager,producer,miscellaneous","tt0167260,tt1170358,tt1571234,tt1598828"
nm0003445,Steven Begg,\N,\N,"visual_effects,special_effects,cinematographer","tt0120738,tt0381061,tt1074638,tt2379713"
nm0003643,Sue Chan,\N,\N,"production_designer,art_director,art_department","tt0164052,tt9411972,tt9376612,tt2267998"
nm0003847,Bryan Donnell,1968,\N,"cinematographer,camera_department,miscellaneous","tt0499385,tt1870175,tt0450920,tt0468579"
nm0003876,Laurent Boulanger,1972,\N,"director,writer,editor","tt0497991,tt0240145,tt0210124,tt0255376"
nm0003933,Mark S. Constance,\N,\N,"assistant_director,producer,miscellaneous","tt1535109,tt0120891,tt0272020,tt0405336"
nm0004009,Shawn Tanaka,\N,\N,"miscellaneous,actor,writer","tt0486946,tt0427944,tt0120903,tt0308055"
nm0004055,Marco Black,1970,\N,"production_manager,producer,assistant_director","tt0313043,tt0373469,tt0251736,tt0302886"
nm0004104,Harry Shannon,1948,\N,"soundtrack,music_department,actor","tt0103772,tt0075950,tt0105698,tt0101664"
nm0004140,Steve Arnold,1953,\N,"production_designer,art_director,art_department","tt0145487,tt0119094,tt1478338,tt1856010"
nm0004151,Jennifer Ann Henry,1973,2017,"camera_department,cinematographer,actress","tt0450405,tt0438488,tt0206314,tt0319262"
nm0004184,Robert Dassanowsky,1956,\N,"producer,actor,miscellaneous","tt0481470,tt3754752,tt10468276,tt6342064"
nm0004426,Mike McGowan,1973,\N,"camera_department,cinematographer","tt7165804,tt6511932,tt5649144,tt8184568"
nm0004583,Gary Frutkoff,\N,\N,"production_designer,art_department,actor","tt0120780,tt0099365,tt0465602,tt0250687"
nm0004814,Jessica Cauffiel,1976,\N,"actress,producer,writer","tt0412080,tt0381707,tt0250494,tt0111945"
nm0004935,Ian Ford,\N,\N,actor,"tt0082291,tt2554714,tt16900208,tt0486011"
nm0005084,R. Kelly,1967,\N,"music_artist,soundtrack,composer","tt0123964,tt0117705,tt1042567,tt0491587"
nm0005483,Joe Theismann,1949,\N,actor,"tt0081110,tt0087032,tt0116439,tt1136193"
nm0006423,Bernard Bats,1944,\N,"sound_department,editor","tt0122690,tt0258463,tt0293564,tt1017460"
nm0006474,Howlin' Wolf,1910,1976,"soundtrack,music_department","tt1713476,tt1001508,tt0141842,tt6499752"
nm0006576,Tony Ciccone,\N,\N,"editorial_department,editor,actor","tt0421054,tt0108399,tt0120755,tt0107048"
nm0006604,Ruben Pla,\N,\N,"actor,producer,director","tt1591095,tt2281159,tt4181404,tt9525214"
nm0006677,Gerald Massimei,\N,\N,"producer,director,miscellaneous","tt4601288,tt3761278,tt4504418,tt8845428"
nm0006712,Crispian Belfrage,1971,\N,"actor,producer,stunts","tt0123215,tt1219024,tt3090110,tt4520364"
nm0006748,Izabela Frank,\N,\N,"producer,director,writer","tt1038043,tt0396651,tt0466528,tt0461900"
nm0006802,Toy Newkirk,1969,\N,"producer,director,actress","tt1799151,tt0101069,tt0446621,tt0095742"
nm0006947,Denise Pinckley,\N,\N,"producer,production_manager,miscellaneous","tt1872181,tt1235522,tt1483013,tt0368008"
nm0007008,David Petrarca,\N,\N,"director,producer","tt0844441,tt0421030,tt0944947,tt5743796"
nm0007061,Leslie Stevens,\N,\N,actress,"tt0844441,tt1306961,tt1879066,tt4002210"
nm0007079,James Greer,1971,\N,"writer,director,producer","tt14201728,tt7969168,tt7153766,tt15975334"
nm0007152,Gary Calamar,\N,\N,"music_department,actor,composer","tt7221388,tt0844441,tt1740299,tt0248654"
nm0007302,Brynjar Aa,1960,\N,"actor,writer","tt0491486,tt0155476"
nm0007346,Liv Aakvik,1948,\N,actress,"tt0478952,tt0271289,tt0271315,tt0271312"
nm0007885,Tatiana Abbey,\N,\N,"assistant_director,actress,director","tt0476988,tt0265666,tt1090695,tt0466545"
nm0007956,David Abbott,\N,\N,actor,"tt0491522,tt0997278,tt0460681,tt0280462"
nm0008340,Frank Abe,1951,\N,"actor,director,writer","tt0269107,tt0406729,tt0125534,tt0074518"
nm0008589,Gabe Abelson,\N,\N,"writer,producer,actor","tt0373577,tt1478984,tt0106053,tt0468999"
nm0008881,Atibou Aboubacar,\N,\N,actor,"tt0476240,tt0116618"
nm0009012,Jody Abrahams,1974,\N,"actor,director,writer","tt10127554,tt8577392,tt0473416,tt1599348"
nm0009252,Roy Abramsohn,\N,\N,"actor,sound_department","tt10855768,tt18076786,tt2187884,tt7668870"
nm0009311,Glorimar Abreau,\N,\N,,"tt0471332,tt0148618"
nm0009340,Gerson Abreu,1965,2002,"actor,writer","tt13117706,tt0257293,tt0231243,tt0138841"
nm0010340,Lisa Acuna,\N,\N,actress,"tt0468707,tt0400681,tt0370194,tt0212974"
nm0010355,Arthur Acuña,\N,\N,actor,"tt0303720,tt2245764,tt1961440,tt1194173"
nm0011023,J. Todd Adams,1969,2020,actor,"tt0357668,tt0120479,tt0200276,tt0238784"
nm0011931,Imants Adermanis,1930,1996,actor,"tt3973520,tt2395279,tt1018881,tt0478220"
nm0012349,Stephan Adolph,\N,\N,"producer,production_manager","tt0806901,tt0382341,tt0088545,tt0938493"
nm0012526,Jab Adu,1933,2016,"actor,director","tt1141616,tt0489553,tt0074352,tt0075758"
nm0012619,Hendrik Aerts,\N,\N,actor,"tt1727497,tt8370354,tt0955211,tt1674553"
nm0012715,Walid Afkir,1982,\N,actor,"tt0401711,tt0387898,tt6340604,tt1602620"
nm0012789,Mahnaz Afzali,\N,\N,"actress,director,cinematographer","tt5545014,tt0123094,tt0396952,tt8126228"
nm0013207,Diana Agostini,\N,\N,"actress,producer","tt0099674,tt5225338,tt0092035,tt1302006"
nm0013396,Sergio Aguero,\N,\N,"producer,executive","tt1082868,tt1699231,tt0245574,tt0481141"
