nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0764107,Henrique Santos,1913,2000,"actor,writer,miscellaneous","tt0135105,tt0121014,tt0115331,tt0056834"
nm0764119,Iván Santos,1978,\N,actor,"tt0108356,tt0124958,tt0115284,tt0297174"
nm0764188,Malou N. Santos,\N,\N,"production_manager,producer,writer","tt1735221,tt0336961,tt0123251,tt3785178"
nm0764345,Rudolf Santschi,1945,\N,"producer,production_manager,actor","tt6999052,tt0469695,tt0844457,tt0111652"
nm0764408,Tathagata Sanyal,\N,\N,actor,"tt0109140,tt0305210"
nm0764421,Alfonso Sanz,\N,\N,"cinematographer,camera_department,director","tt0359045,tt0231192,tt0791108,tt0435517"
nm0764463,Margarita Sanz,1954,\N,actress,"tt0112619,tt0120679,tt0299956,tt0087297"
nm0764566,Michael Sapieha,\N,\N,actor,"tt0262173,tt0115262,tt0294025,tt0212404"
nm0764575,Jimmy Sapienza,\N,\N,composer,tt0117766
nm0764585,Joaquim Sapinho,1965,\N,"producer,director,writer","tt0112724,tt1714617,tt0119727,tt13702796"
nm0764591,Esteban Sapir,1967,\N,"cinematographer,camera_department,director","tt0117337,tt0161061,tt0247556,tt0454065"
nm0764606,Teresa Saponangelo,1973,\N,actress,"tt0432131,tt12680684,tt0170049,tt13539444"
nm0764659,Ted Sappington,\N,\N,"camera_department,cinematographer","tt0118727,tt0202642,tt0116167,tt0369364"
nm0764727,Tony Saracene,\N,\N,composer,tt0112810
nm0764737,Laura Saraceni,\N,\N,actress,"tt0098070,tt0117990,tt0081993,tt0101377"
nm0764752,Edin Saracevic,\N,\N,producer,"tt0999895,tt0110539"
nm0764788,Eva Saraga,\N,\N,"writer,actress,producer","tt0115556,tt0243212"
nm0764790,Gianni Saragò,\N,\N,"production_manager,producer,miscellaneous","tt0114385,tt0081467,tt0920489,tt0152185"
nm0764872,Sarathchandra,\N,\N,writer,tt0111632
nm0764966,Andrew Sardella,1984,\N,actor,"tt0103352,tt0108065,tt0111987,tt0117611"
nm0765120,John Sargent,1944,2019,"miscellaneous,production_manager,actor","tt0241303,tt0077269,tt1058017,tt0332136"
nm0765126,Lia Sargent,1957,\N,"actress,writer,miscellaneous","tt0500092,tt0280240,tt0156887,tt0113568"
nm0765250,Fernando Sariñana,1958,\N,"producer,director,writer","tt0109995,tt0112675,tt0318292,tt0319193"
nm0765291,Robert Sarkies,\N,\N,"director,writer,producer","tt0839938,tt0117648,tt0189981,tt1792643"
nm0765306,Arthur Sarkissian,1960,\N,"producer,executive","tt0120812,tt1615160,tt6079772,tt0116830"
nm0765528,Donna Sarrasin,\N,\N,"actress,sound_department,miscellaneous","tt0113776,tt0172425,tt0149407,tt0112895"
