nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1318272,Paul-Herbert Appel,1925,1990,"writer,producer","tt1289499,tt0352897,tt0477794,tt0061007"
nm1318749,Irene Dodel,1922,2010,"writer,actress,miscellaneous","tt0446471,tt0391586,tt0354239,tt0058107"
nm1318902,Ging-Man Fung,1912,\N,"actor,production_manager,miscellaneous","tt0934571,tt13522010,tt0205567,tt0080179"
nm13190850,Bernard Aalderink,\N,\N,producer,tt0059109
nm1319287,Edgar Kruchen,\N,\N,editor,tt0058550
nm1319297,Hiroaki Kurahashi,\N,\N,actor,"tt0052746,tt9043378,tt0202787,tt9084262"
nm1320056,Robert Schnorr,1920,2001,writer,"tt4486094,tt0057819,tt0345504,tt1082113"
nm1320068,Walter Andreas Schwarz,1913,1992,"actor,writer,soundtrack","tt11333490,tt4455700,tt6839788,tt0846833"
nm1320539,Horst van Diemen,\N,\N,"writer,miscellaneous","tt0058107,tt0354239,tt0352770,tt1296368"
nm1320543,Hubert von Bechtolsheim,1929,2010,"writer,producer","tt0270790,tt1495005,tt0339247,tt0061951"
nm1320584,George Bejan,\N,\N,actor,tt0056385
nm13219407,Marica Levant,\N,\N,actor,tt0057772
nm1322382,Jack Buehre,\N,\N,"camera_department,miscellaneous,cinematographer","tt0056075,tt0252379,tt0055246,tt0145628"
nm1322994,Jacques Guymont,\N,\N,"assistant_director,writer,director","tt0138356,tt0353260,tt6915378,tt0060569"
nm1323307,Bujar Kolaneci,\N,\N,producer,tt0060599
nm1323528,Akiko Maeda,\N,\N,actress,"tt1043822,tt9332658,tt0053111"
nm1323826,Takeshi Okimura,\N,\N,actor,"tt0053111,tt0054247,tt9479764"
nm1326782,Arsenio Doña,\N,\N,cinematographer,"tt4948172,tt4898926,tt0471368,tt0354597"
nm1326999,Ryszard Gontarz,\N,2017,writer,"tt0055942,tt0077171,tt0081799,tt0076071"
nm1328239,Don Sturges,\N,\N,editor,tt0060902
nm13286027,C.K. Nagaraj Rao,\N,\N,writer,tt0057092
nm1329109,Ann Windsor,1934,1995,actress,"tt0426149,tt0397015,tt0059967,tt0094525"
nm1329700,Connie Carol,\N,\N,actress,tt0060477
nm1330427,Sonny Frankello,\N,\N,actor,"tt6620332,tt0060902,tt2261829,tt19179054"
nm1331638,Armando Gaona,1943,\N,,"tt3462482,tt0060902"
nm1332313,James Newman,\N,\N,cinematographer,tt0057680
nm1332431,Dan Howard,\N,\N,,tt0056701
nm1333453,Lap Ban Chan,1911,1990,actress,"tt0090722,tt0088424,tt0096472,tt0934571"
nm1334358,Bettie Jacknowitz,\N,\N,,tt0056701
nm1334359,Shelley Jacknowitz,\N,\N,,tt0056701
nm1334743,Tom Lingwood,1927,2001,"production_designer,art_department,art_director","tt0159911,tt0969924,tt0191746,tt0197188"
nm1336039,Fortunata Ubertini,\N,\N,,tt0056701
nm1336113,Jean Villard,1895,1982,"soundtrack,composer","tt0054465,tt0140417,tt0141842,tt7395114"
nm1336706,Till Schmid,\N,\N,,tt0056701
nm13367982,Charles Dederich Sr.,1913,1997,writer,"tt17737788,tt0050072,tt9773260,tt0059774"
nm1338099,Margaret Whiting,1933,\N,"actress,soundtrack","tt0076716,tt0093935,tt0054518,tt0056335"
nm13391161,Bruno Ceria,\N,\N,"writer,producer",tt0059295
nm1339788,Ved Rahi,\N,\N,"writer,director,assistant_director","tt0061206,tt0268216,tt0303187,tt0357826"
nm13400417,Gerry Ashworth,\N,\N,,tt0059817
nm13400423,Polina Astakhova,\N,\N,,tt0059817
nm13400534,Gary Anderson,\N,\N,,tt0059817
nm13402726,Antonio Ambu,\N,\N,,tt0059817
nm13409608,Arvo Boys,\N,\N,,tt0259792
nm13409609,Frank Duncan,\N,\N,"actor,writer",tt0259792
nm1341257,Jong-gi Lee,\N,\N,writer,"tt0053577,tt0357928,tt0371756,tt0372548"
nm1341271,Fredrick R. Clark,\N,\N,actor,tt0055520
nm13417059,Arno Hauke,\N,\N,producer,"tt0054939,tt18285728"
nm1342379,Saburo Fujimaki,\N,\N,actor,"tt15244672,tt0053322"
nm1342563,Mieko Hiro'oka,\N,\N,actress,"tt3506780,tt0053322,tt3377066,tt12103500"
nm1342634,Pawel Jankowski,1953,\N,"actor,composer,music_department","tt0060851,tt0400891,tt0826160"
nm13426473,Roman Yanez,\N,\N,actor,\N
nm1343104,Rita Niederer,\N,\N,writer,tt0058285
nm1343358,Gordon Roland,\N,\N,"production_designer,art_department","tt5121238,tt4795020,tt0044240,tt0373620"
nm1343556,N.V. Srinivas,\N,\N,"cinematographer,camera_department","tt0154706,tt0067742,tt0048410,tt0061073"
nm1343620,Junichiro Takeda,\N,\N,actor,tt0057573
nm1343656,Garland Thompson,1938,2014,"actor,camera_department","tt0060028,tt0094512,tt0096769,tt0100116"
nm13459221,Donny Texanidi,\N,\N,actor,"tt0060037,tt0214375"
nm1346476,Enrique Jarlego,1918,2015,"editor,director,actor","tt0778016,tt0359407,tt1087664,tt0159283"
nm1346996,Clara Nadel,\N,\N,actress,tt0059466
nm1347015,The New Christy Minstrels,\N,\N,"soundtrack,actor","tt0057681,tt3311354,tt0064909,tt0057820"
nm1348177,Eddie Peterson,\N,\N,actor,"tt0060018,tt0066685,tt0057765,tt0054542"
nm1349866,Alfred Bruggmann,1922,2006,"writer,director","tt0053904,tt0191153,tt1734087,tt13541268"
nm13500969,Paul Cabaud,\N,\N,producer,tt0054410
nm1350671,Yasuo Ihara,\N,\N,writer,"tt0054268,tt0055638"
nm13508085,Alberto Ca' Zorzi Noventa,\N,\N,writer,tt0055790
nm1350948,Edward Landberg,\N,\N,producer,tt0055850
nm1351040,Károly Litványi,1932,1988,"script_department,writer,actor","tt7418528,tt0843883,tt1288573,tt0060803"
nm13511823,Valeriya Kovalenko,\N,\N,actor,tt0053163
nm1351256,Galina Miloserdova,\N,\N,editor,"tt0173394,tt0361794,tt0059943,tt0360366"
nm1351332,Yoshio Nakae,\N,\N,"writer,actor","tt3508572,tt9096062,tt0055914,tt0373977"
nm1351739,Sahira,\N,\N,actress,"tt0055385,tt0372038,tt0212229,tt0128985"
nm1352005,Tabish Sultanpuri,\N,\N,"writer,assistant_director,script_department","tt0139048,tt0057555,tt0053706,tt0154413"
nm1353186,Maria Orlowska,1929,2013,"editor,editorial_department","tt1360819,tt0057716,tt0060752,tt0080150"
nm1354436,Samita Biswas,\N,\N,actress,"tt0061753,tt0148266,tt0237254,tt0237694"
nm13566251,Pierre Bidault,\N,\N,,tt0058364
nm13566252,Louis Bidegant,\N,\N,,tt0058364
nm13566253,Jacques Bourdes,\N,\N,,tt0058364
nm1357632,Ching Lin,\N,\N,actress,"tt0185648,tt1849766,tt0063596,tt0075959"
nm13580121,André Castillon,\N,\N,producer,tt0052925
nm1358032,Frank Linales,\N,\N,"composer,miscellaneous","tt0060968,tt0053693,tt0063554"
nm1359045,Michaela Berchtold,\N,\N,"editor,writer,script_department","tt0934371,tt0319247,tt0059657"
nm1360004,Joseph Kommer,\N,\N,producer,tt0061315
nm1360294,Lee Menzies,1948,\N,actor,"tt0303247,tt0499363,tt0498752,tt0060039"
nm13603597,Robert Daniel,\N,\N,editor,tt0058615
nm1360370,Sadao Nagase,\N,\N,composer,"tt0202787,tt0052542,tt1634326,tt2984444"
nm1360829,Barna Sipkay,1927,1968,writer,"tt3962320,tt7166368,tt0059806"
nm1361271,Helena de Crespo,\N,\N,actress,"tt0914702,tt0047706,tt1319709,tt1830617"
nm13613934,Fyodor Girshfeld,\N,\N,actor,tt0059761
nm13624833,Therm Gibson,\N,\N,,tt0053512
nm1362864,Hiroshi Sano,\N,\N,"producer,writer","tt0358083,tt8615094,tt8608844,tt0302043"
nm1363209,Masataka Chihaya,\N,\N,writer,"tt0058634,tt0071075"
nm1363672,Fukutarô Ichikawa,\N,\N,actor,tt0053078
nm1363785,Fritz A. Koeniger,1910,\N,writer,"tt0053288,tt0069159,tt0053535"
nm1364037,Konparu Nanri,\N,\N,producer,"tt0442478,tt0060277"
nm1364044,Luc Mirot,\N,\N,"camera_department,cinematographer","tt0058454,tt0154139,tt0141083,tt0048308"
nm1364490,Koichi Sekinaka,\N,\N,producer,tt0060342
nm1364597,Tadeusz Suchocki,1927,2015,"actor,composer","tt0082751,tt0077650,tt0441074,tt0058775"
nm1364628,Yasuyoshi Tami,\N,\N,producer,"tt0058634,tt2629804"
nm13670996,Mark Ramsey,\N,\N,writer,tt0053858
nm1367673,Gertrud Nüsken,\N,\N,writer,tt0054155
nm1370030,Elsa Antequera,\N,\N,actress,"tt0061136,tt0188163"
nm1370406,René Cortade,\N,\N,writer,tt0055854
nm1370462,Horrie Dargie,1917,1999,composer,"tt6933408,tt0072552,tt0060439,tt1924638"
nm1370789,Esther Goddard,\N,\N,,tt0053205
nm1370969,Benedicta Huanca,\N,\N,actress,"tt0061136,tt2982662"
nm1371054,Nicanor Jordán Castedo,\N,\N,producer,tt0061136
nm1371186,Mayumi Kurata,\N,\N,actress,"tt8571960,tt0123335,tt0054431,tt0053139"
nm1371765,Alan H. Presberg,\N,\N,"editor,editorial_department,producer","tt0153620,tt0386557,tt6152518,tt0058948"
nm1371824,Jerry Reeves,\N,\N,cinematographer,tt0053205
nm1371943,Genaro Sanjinés,\N,\N,"cinematographer,camera_department",tt0061136
nm1372256,Holger N. Toftoy,1902,1967,,tt0053205
nm1374328,Akira Nakano,\N,\N,writer,"tt2930432,tt0203992,tt0056314,tt2089719"
nm1375608,Paula Lepa,1912,1984,"actress,writer","tt0248006,tt0033681,tt0054872,tt0130360"
nm1375934,Manuel Moutinho Múrias,\N,\N,writer,tt0054217
nm1378208,Joaquín Parejo,\N,\N,writer,"tt0366026,tt0059940,tt0081639"
nm13786879,Anker-Spang Larsen,\N,\N,"actor,miscellaneous","tt21110276,tt0056300"
nm1379746,René Deshauteurs,\N,\N,actor,"tt4674744,tt0357095,tt0055792,tt1464548"
nm1384345,Justiniano Canelhas,\N,\N,composer,"tt0057880,tt0058399"
nm1384700,Cecília Delgado,\N,\N,writer,tt0057913
nm1384743,Tina Di Carlo,\N,\N,actress,tt0054401
nm1385150,Jean Pierre Gebler,1938,2006,,tt0057880
nm1385973,Armando Leite,\N,\N,writer,tt0052705
nm1386799,Rafael Pena e Costa,\N,\N,producer,tt0055917
nm1387220,Armando Santiago,\N,\N,"composer,soundtrack","tt3514362,tt0055917"
nm1387612,Yûji Takahashi,1938,\N,"composer,sound_department","tt0241634,tt0056327,tt0203612,tt0373860"
nm1389429,Voytek Frykowski,1936,1969,actor,\N
nm1389584,Leonid Grabovskiy,1935,\N,composer,"tt0144187,tt0059655,tt0370050,tt5303256"
nm1390825,T. Mukherjee,\N,\N,"actor,writer","tt0378751,tt0053152"
nm1390901,Sônosuke Niki,\N,\N,actor,"tt0321368,tt1446089,tt4510008,tt8387558"
nm1391324,Claude-Marcel Richard,\N,\N,writer,tt0059056
nm1391898,Gerd Süß,\N,\N,cinematographer,"tt0053560,tt1792033,tt0443792,tt0056455"
nm1393579,Ágnes Fedor,1909,1990,"writer,music_department","tt0058723,tt0058788,tt0093579,tt0136982"
nm1394276,Stanislaw Manturzewski,1928,2014,"actor,writer,director","tt0370707,tt0848332,tt0053024,tt3995014"
nm1394747,Ralph Remy Jr.,\N,\N,"cinematographer,editor,camera_department","tt0063554,tt0230532,tt0207996,tt0060968"
nm1396460,The Eligibles,\N,\N,soundtrack,"tt0054522,tt0056764,tt0045410,tt0149523"
nm1396579,Manuel Arce,\N,\N,writer,"tt0054288,tt0447779,tt0091672"
nm1396584,David Hughes,1930,2005,"writer,camera_department","tt0062981,tt0058780,tt0060740,tt0096148"
nm1397278,Basabi Bannerjee,\N,\N,actress,"tt0213944,tt0058925"
nm1397313,The Beatles,\N,\N,"music_artist,soundtrack,actor","tt1391039,tt9735318,tt0065976,tt0111893"
nm1397397,António Botelho,\N,\N,"writer,actor","tt0056239,tt6939132,tt0057455"
nm1397548,Charu Chitra,\N,\N,producer,tt0060659
nm1397567,Franco Cittadini,\N,\N,producer,"tt0064485,tt0062130,tt0061040,tt0158970"
nm1397913,Angel Gamont,\N,\N,writer,tt0053794
nm1398586,Miyoko Matsutani,\N,\N,writer,"tt1649349,tt0061069,tt14029862,tt0204336"
nm1398671,Takashi Mitsui,\N,\N,writer,tt0061069
nm1398815,Miguel Orrisco,\N,\N,"writer,actor,soundtrack","tt6678614,tt6592564,tt0053157,tt0046687"
nm1399669,Filipe de Sousa,\N,\N,composer,"tt0057438,tt0055286,tt0057455"
nm1400251,Hilde Nocker,1924,1996,actress,"tt0050413,tt0256554,tt0315954,tt0054277"
nm1400331,Zurita de Oliveira,1931,2015,actress,"tt0053691,tt11972810,tt15393580"
nm1401117,Salome,\N,\N,actress,tt0059010
nm1401160,Mário Simões,\N,\N,composer,"tt0057403,tt0851493"
nm14013971,Yury Solovyov,1940,1977,actor,tt0058611
nm1401424,José Ramos,\N,\N,"writer,miscellaneous","tt0059632,tt0373821"
nm1402132,Marie Joseph Frydland,\N,\N,producer,tt0059307
nm1402806,Moriyuki Mafuji,\N,\N,writer,"tt0059363,tt0162240,tt0372396"
nm1403785,Jeanne Vilardebó,\N,\N,"director,writer,assistant_director","tt6948202,tt0048499,tt0159626,tt0059307"
nm1403786,Raymond Vilardebó,\N,\N,writer,tt0059307
nm1403938,Fernando de Albuquerque,\N,\N,composer,tt0059019
nm1403950,César de Oliveira,\N,\N,"writer,miscellaneous,director","tt0061441,tt0060940,tt0496210,tt0065629"
nm1405083,Paulo da Fonseca,\N,\N,writer,"tt0059632,tt0059078,tt0065629,tt0057366"
nm1405522,José Pereira,\N,\N,cinematographer,"tt0065629,tt0058503,tt0057403,tt0066772"
nm1406086,Rogério Bracinha,1922,1986,"writer,soundtrack","tt0059078,tt0059632,tt0060940,tt0065629"
nm1406089,Jerónimo Bragança,\N,2003,"soundtrack,writer","tt0313352,tt4704422,tt0059632,tt0285879"
nm1407578,José J. Pereira,\N,\N,cinematographer,tt0059570
nm1407615,Jorge Costa Pinto,\N,\N,"composer,soundtrack,music_department","tt16317370,tt0061441,tt0060940,tt1066335"
nm1407689,Augusto Ramos,\N,\N,writer,"tt6916642,tt1808713,tt0060940"
nm1408802,Dario de Barros,\N,\N,actor,"tt0057366,tt6633962,tt0058158,tt0059879"
nm1408982,Wilma Palmer,\N,\N,actress,tt0059570
nm1409612,Santos Fernando,\N,\N,writer,"tt12339500,tt0058503,tt0177424"
nm1409744,Artur Alves,\N,\N,actor,tt0058207
nm1409877,R.D. Bansal,1923,2010,"producer,miscellaneous","tt0232563,tt0290685,tt0059348,tt0057935"
nm1410354,Parveen Choudhary,\N,\N,actress,"tt0242576,tt0256100,tt0056367,tt0064842"
nm1411974,Gustav Lehmann,\N,\N,writer,tt0053397
nm1413050,Casimiro Ramos,\N,\N,"composer,soundtrack",tt0057315
nm1415226,Shinsuke Chikaishi,1931,2022,actor,"tt4272866,tt28219500,tt0434706,tt0102812"
nm1415514,Dahlia Ezove,\N,\N,"editor,editorial_department","tt0057869,tt0058306"
nm1415959,Gunnar Jørgensen,\N,\N,"writer,soundtrack","tt0053826,tt0124572"
nm1416052,Krystyna Konarska,1941,2021,actress,"tt3625054,tt0059595,tt4308250"
nm1417381,Martin Wickremasinghe,1890,1976,writer,"tt0375189,tt0084190,tt0059211,tt0086615"
nm1419565,Michèle Boisnard,\N,\N,editor,tt0060114
nm1419607,Lucjana Bracka,1897,1966,actress,"tt0056705,tt0055498,tt0054201,tt0048243"
nm1420446,Daniela Holl,\N,\N,writer,"tt0054818,tt0057505,tt0123316,tt0056554"
nm1420806,Guillaume Laperrousaz,\N,\N,"actor,writer","tt0059129,tt0139371"
nm1421064,Vasu Menon,\N,\N,producer,"tt0149345,tt0284443,tt0059354,tt0372448"
nm1421491,Raymond N. Quinneseul,\N,\N,actor,tt0054424
nm1421942,Ewa Szumanska,1921,2011,writer,"tt0061436,tt0067401,tt0073809"
