nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm11567550,L. Stepanov,\N,\N,actor,tt0314518
nm11567551,Yelena Rokotova,\N,\N,actor,tt0314518
nm11567558,Nikolay Agafonnikov,\N,\N,composer,"tt5018250,tt0314518"
nm1156756,Shinsuke Yamaguchi,\N,\N,producer,tt0314944
nm1156761,Lim Yao,\N,\N,actor,tt0313888
nm1156790,Jacek Zelezik,\N,\N,"writer,producer,actor","tt0329794,tt0314134"
nm1156796,Carlos Figueiredo da Silva,\N,\N,actor,tt0314496
nm1156809,Anneliese van der Pol,1984,\N,"actress,music_department,soundtrack","tt0804452,tt0313974,tt0300865,tt1666186"
nm1156820,Kurt Abbott,1969,\N,actor,"tt27611563,tt2306891,tt2328905,tt15175984"
nm1156851,Mike Barnett,1948,\N,producer,"tt0314874,tt5528952,tt0787424,tt1408430"
nm1156864,Frank Benoist,\N,\N,"writer,actor","tt0456159,tt5000496,tt6063938,tt0419300"
nm1156910,Albert Caverlin,\N,\N,actor,tt0314332
nm1156915,Chris Chee,\N,\N,actor,"tt2435970,tt4382482,tt0314300"
nm1156941,Naoshi Eguchi,\N,\N,actor,tt0314944
nm1156946,Charles Fatone,\N,\N,actor,tt0314625
nm1156947,Sergei Fedorov,1969,\N,producer,"tt1131753,tt8006926,tt4464394,tt0471985"
nm1156956,Peter Forsberg,1973,\N,actor,"tt5937754,tt15442466,tt9642968,tt0188335"
nm1156992,Jeff Heilman,\N,\N,actor,tt0314325
nm1156995,Pavel Hnídek,\N,\N,actor,tt0314010
nm1157001,Gene Husman,\N,\N,actor,"tt0314405,tt0070388"
nm1157028,Vojtech Kotek,1988,\N,"actor,director,writer","tt4483192,tt3534388,tt10583170"
nm1157043,Michael K. Lee,1973,\N,"actor,soundtrack","tt0141120,tt14490706,tt0286486,tt0203259"
nm1157048,Zachary Levi,1980,\N,"actor,producer,soundtrack","tt0934814,tt0398286,tt0448115,tt1981115"
nm1157072,Bill Mendis,\N,\N,actor,tt0310116
nm1157075,Fran Michiels,\N,\N,actress,"tt0314624,tt1434482,tt0423103"
nm1157087,Christoffer Moseng,\N,\N,actor,tt0314268
nm1157133,Maxi Rodríguez,\N,\N,"actor,writer","tt0297174,tt0312525,tt0794240,tt0231040"
nm1157152,Mark S. Schroeder,\N,\N,actor,"tt0489481,tt0219096,tt0314325,tt0482510"
nm1157157,Michael Severns,\N,2018,actor,"tt1579234,tt0187804,tt6108962,tt1042513"
nm1157175,Stephen Sullivan,1977,\N,"actor,producer","tt3186130,tt1836037,tt0804503,tt2265631"
nm1157180,Richard Tench,\N,\N,actor,"tt0096555,tt1159219,tt0313936,tt0241383"
nm1157183,William Tomlin,1991,\N,actor,"tt0084987,tt0354262,tt0312209,tt0370218"
nm1157216,Chin Yong,\N,\N,actor,tt0313888
nm1157230,Gillie Beanz,\N,\N,actress,"tt0314722,tt0456960"
nm1157236,Cristina Bella,1981,\N,"actress,make_up_department,costume_department","tt1278464,tt0412721,tt1478959,tt0844966"
nm1157275,Anne-Marie Durin,\N,\N,actress,"tt4040708,tt0314516"
nm1157280,Adriana Ferrer,\N,\N,actress,"tt0224937,tt1509784,tt0219449,tt0328730"
nm1157283,Rachel Finan,\N,\N,actress,"tt1764329,tt0314325,tt2387461,tt2378067"
nm1157308,Elsie Jay,\N,\N,actress,tt0314258
nm1157320,Debbie Koukoulis,\N,\N,"actress,producer",tt0312666
nm1157324,Karena Kar-Yan Lam,1978,\N,"actress,soundtrack","tt0312886,tt4801606,tt0408970,tt15620158"
nm1157330,Mari Lee,\N,\N,actress,"tt0434534,tt6610786,tt8116662,tt19115304"
nm1157355,Arlette Menard,\N,\N,actress,"tt2947408,tt0925105,tt0170999,tt0314516"
nm1157358,Michelle Monaghan,1976,\N,"actress,producer","tt0373469,tt2120120,tt0452623,tt0945513"
nm1157382,Kathy Reeder,\N,\N,actress,tt0314535
nm1157393,Honami Seki,\N,\N,actress,tt0314021
nm1157403,Mary Steely,\N,\N,actress,"tt0314535,tt0251844"
nm1157413,Maureen Troy,\N,\N,actress,tt0314898
nm1157453,Christophe Offret,\N,\N,"art_department,production_designer,actor","tt0110963,tt1035736,tt15445056,tt5304464"
nm1157471,Thomas C. Wagner,\N,\N,"cinematographer,visual_effects,camera_department","tt0108985,tt0196264,tt0447812,tt0144050"
nm1157479,Trey Stone,\N,\N,"composer,producer","tt5258066,tt0314325,tt1807879,tt1274290"
nm1157486,David Lamelas,\N,\N,"director,writer","tt8208834,tt8489130,tt0314212"
nm1157491,Stuart R. Ross,\N,\N,"director,writer","tt1202746,tt0314874"
nm1157493,Nicholas Scot,1971,\N,"director,writer,producer",tt0312661
nm1157494,Marc Stöcker,\N,\N,"director,writer","tt0314251,tt2454448,tt0377297,tt0207255"
nm1157609,Alberto Marini,1972,\N,"writer,miscellaneous,producer","tt3169770,tt1038988,tt1437358,tt10230502"
nm1157705,Jack Gates,\N,\N,producer,tt0314360
nm1157715,Brad Kean,1977,\N,"visual_effects,writer,producer","tt0425416,tt0790655,tt2328700,tt0314140"
nm1157720,Craig Rosen,\N,\N,producer,"tt0407527,tt3734316,tt0311497"
nm1157726,Jan Stern,\N,\N,"producer,writer,editorial_department","tt0342844,tt8526712,tt0314410,tt8747598"
nm1157764,Shaw Mason,1976,\N,"camera_department,actor,producer","tt0373876,tt0319537,tt0799980,tt0314214"
nm1157805,Arnold Burke,\N,\N,writer,tt0314535
nm1157806,Chris Craps,\N,\N,"writer,miscellaneous","tt1359586,tt1414404,tt0314624,tt0381111"
nm1157811,Pete McCormack,\N,\N,"writer,director,producer","tt5597012,tt1020845,tt0365736,tt3415136"
nm1157820,Alan Slutsky,\N,\N,"music_department,writer,composer",tt0314725
nm1157850,Brian Adams,\N,\N,actor,"tt0285454,tt15033256,tt15018440,tt3391462"
nm1157860,Jason Brown,\N,\N,actor,tt0312268
nm1157865,Alan Cox,1968,\N,,tt0315417
nm1157871,Mike Dean,1961,1990,actor,"tt15018440,tt0387063,tt0149182,tt13241512"
nm1157879,Robert Garland,\N,\N,,tt0314972
nm1157906,Steve Kuhn,\N,\N,"composer,soundtrack","tt0314096,tt0478157"
nm1157912,Mike Love,1974,\N,,tt0314972
nm1157927,Tim Murphy,\N,\N,actor,tt0312491
nm1157940,Brian Robertson,\N,\N,actor,tt0315488
nm1157947,Jonathan Stern,\N,\N,actor,"tt1366675,tt0462879,tt0347015,tt0346168"
nm1157964,James Williams,\N,\N,actor,"tt3240636,tt0315281"
nm1157970,Anita,\N,\N,actress,tt0315573
nm1157972,Candy,\N,\N,actress,"tt0318321,tt0300305,tt0317550,tt0306477"
nm1157981,Ember,1981,2012,actress,"tt0324095,tt0322162,tt0330655,tt0324251"
nm1157990,Jana,\N,\N,actress,"tt0379496,tt0378860,tt0379495,tt0315571"
nm1157996,Linda,\N,\N,actress,"tt0317452,tt0317448,tt0431752,tt0319389"
nm1157998,Luisa,1975,\N,actress,"tt1034082,tt8906148,tt0356427,tt0884027"
nm1157999,Donna Marie,1981,\N,"actress,director","tt6207100,tt23549326,tt0757074,tt23549328"
nm1158002,Miranda,\N,\N,actress,tt0315573
nm1158004,Natasha,1975,\N,actress,"tt0316635,tt0420190,tt0317449,tt0371324"
nm1158008,Paris Showers,1983,\N,actress,"tt0319023,tt0319104,tt13084520,tt0321881"
nm1158011,Roxanne,\N,\N,actress,tt0315571
nm1158016,Sonja,\N,\N,actress,tt0315572
nm1158023,Michelle Wright,\N,\N,actress,"tt0398751,tt0157018,tt0466144,tt5098940"
nm1158056,Michael P. Kelly,\N,\N,"cinematographer,camera_department",tt0224861
nm11580676,Carlos Lorch,\N,\N,writer,tt0320443
nm1158067,Sharon Rose,\N,\N,composer,tt0315100
nm1158070,Tim Story,1957,\N,"soundtrack,composer","tt0293381,tt0260965,tt0315393,tt0471114"
nm1158075,Steven Benedict,\N,\N,"director,writer,producer","tt0365429,tt0315554,tt3681078"
nm1158080,David Wexler,\N,\N,"director,producer","tt0385672,tt0381062,tt0315380,tt0287201"
nm1158184,Carlos Álvarez,\N,\N,actor,tt0320463
nm1158191,Christine Funk,\N,\N,"producer,miscellaneous","tt0315191,tt1907696"
nm1158195,Rick Lewis,\N,\N,producer,"tt15018440,tt0315281"
nm1158199,Mark O'Sullivan,\N,\N,"producer,writer,executive","tt18313356,tt0314416,tt2728984,tt26237514"
nm1158257,Philip Aaberg,1949,\N,"composer,soundtrack,actor","tt1358994,tt0496349,tt0204007,tt1217424"
nm1158261,Mohamed Abdel Mouttaleb,\N,\N,"actor,soundtrack,producer","tt9277780,tt3705688,tt0316029,tt1177144"
nm1158266,Resh Raj Acharya,\N,\N,director,tt0315284
nm1158273,Julian Francis Adderley,1975,\N,"editor,editorial_department,producer","tt5786580,tt2290863,tt1946297,tt15431944"
nm1158294,Richard Alexandre,\N,\N,"camera_department,composer","tt4571004,tt0315558,tt24797140,tt15441266"
nm1158297,Deepak Alok,\N,2009,director,tt0315251
nm1158320,Rickard Arebäck,\N,\N,,tt0315066
nm1158340,Istvan B' Racz,\N,\N,composer,tt0312709
nm1158345,Graf von Bach,\N,\N,actor,tt0315197
nm1158347,Barry Baeres,\N,\N,producer,tt0315297
nm1158360,Gyu-shik Bang,\N,\N,"director,writer,producer","tt0315886,tt0316000,tt0315385,tt0316050"
