nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1158368,Claire Barratt,1974,\N,miscellaneous,"tt0418401,tt0315058,tt2982506,tt7895332"
nm1158371,Nanette Barrutta,\N,\N,producer,tt0896232
nm1158378,Nicole Bassett,\N,\N,editor,"tt0331085,tt0396534,tt0315282,tt0312338"
nm1158391,Jérôme Beausillon,\N,\N,"composer,assistant_director","tt0315304,tt0305561"
nm1158396,Eric Becker,\N,\N,"writer,cinematographer,producer","tt6126626,tt3644314,tt0872286,tt0312676"
nm1158404,Victor Bekker,\N,\N,"actor,assistant_director","tt2231315,tt0315582,tt3392008,tt4228184"
nm1158421,Ketty Berange,\N,\N,actress,tt0313859
nm1158423,Ulises Bermejo,\N,\N,"writer,miscellaneous,director","tt1279692,tt4068740,tt3608156,tt1538438"
nm1158434,Tika Bhandari,\N,\N,composer,"tt0315251,tt0315241"
nm1158445,Klea Blackhurst,\N,\N,actress,"tt10182272,tt1717499,tt0203259,tt7562112"
nm1158450,Vanessa Blankenchip,\N,\N,actress,tt0314821
nm1158494,Kate Boyd,\N,\N,"cinematographer,art_department,miscellaneous","tt0315510,tt0420498,tt0124653,tt0179621"
nm1158510,Eric Bridges Twahirwa,\N,\N,actor,tt0315100
nm1158512,Bret Bright,1976,\N,producer,tt0312268
nm1158514,Kayky Brito,1988,\N,"actor,producer","tt1810574,tt4295280,tt5800308"
nm1158521,Marcel Broodthaers,1924,1976,"director,writer,editor","tt7050438,tt7050276,tt7050330,tt7050284"
nm1158546,Stef Butler,\N,\N,"cinematographer,miscellaneous,camera_department","tt0303321,tt0463831,tt0205523,tt0432259"
nm1158551,Erik Bäfving,1973,\N,"editor,director,writer","tt0410052,tt27597082,tt0315307,tt1930316"
nm1158562,Luis Caffesse,\N,\N,"producer,director,editor","tt14216058,tt1856502,tt14208290,tt14217864"
nm1158564,Santiago Calatrava,1951,\N,,"tt0853066,tt1584824,tt15027770,tt0315631"
nm1158567,Hannah Callenbo,\N,\N,actress,tt0313620
nm1158571,Justin Campbell,\N,\N,"actor,camera_department,miscellaneous","tt11399896,tt6161168,tt0887912,tt1683526"
nm1158576,José Canosa,\N,\N,actor,"tt0279542,tt0319509,tt0373476,tt5028130"
nm1158592,Tom Carver,\N,\N,"actor,writer","tt2249786,tt0092325,tt1792085,tt0486551"
nm1158601,Barbi Castelvi,\N,\N,actress,tt0315521
nm1158610,Docteur Caussat,\N,\N,,tt0815352
nm1158622,Dana Chaifetz,1962,\N,actress,"tt1677082,tt0116108,tt1649780,tt0239509"
nm1158638,Nasri Cheppy,\N,\N,"director,writer","tt0227240,tt0395524,tt0336047,tt1067157"
nm1158645,Henry Chmielnicki,\N,\N,,tt0315582
nm1158655,Xavier Claudon,\N,\N,"actor,director,writer","tt4569090,tt0435490,tt1642191,tt7476116"
nm1158658,Axel Cleghorn,1965,\N,,tt0315058
nm1158688,Philippe Corbisier,\N,\N,actor,"tt0482703,tt0758442,tt0389555,tt0315432"
nm1158691,Mircea Cornisteanu,\N,\N,"director,writer",tt0315157
nm1158707,Cristina Crisol,\N,\N,actress,"tt0387176,tt1176660,tt0488153,tt8312532"
nm1158713,Géza Csemer,1944,2012,"writer,actor,script_department","tt1073659,tt0382627,tt9235742,tt0122824"
nm1158714,Anthony Culbreath,\N,\N,actor,tt0315625
nm1158717,Brian Cury,\N,\N,"producer,director,writer","tt5437148,tt0315436"
nm1158737,Joel Dancyger,\N,\N,composer,tt0315582
nm1158746,William Darkow,\N,\N,actor,"tt0327962,tt0314713,tt0322446"
nm1158762,Sofie Decleir,\N,\N,actress,"tt1661872,tt10795304,tt15469192,tt6144672"
nm1158828,Bronek Drozdowicz,\N,\N,,tt0315582
nm11588299,Thomas Sokolowski,1950,2020,actor,"tt1345502,tt2566040,tt0114916,tt0324548"
nm1158840,John Dunlop,\N,\N,composer,tt0315191
nm1158863,Ahmed El Touki,\N,\N,"director,actor,assistant_director","tt0342096,tt0316289,tt0315290,tt0316033"
nm1158874,En-Chun Chiao,1967,\N,"actor,art_department","tt4838502,tt7251978,tt0314978,tt4685370"
nm1158877,Coleman Engellenner,\N,\N,cinematographer,tt0315425
nm1158878,Lucille Enhörning Ohlson,\N,\N,,tt0315066
nm1158882,Nanni Erben,\N,\N,producer,"tt7447112,tt11032008,tt14439938,tt0806910"
nm1158887,Kent Esmeier,\N,\N,"editorial_department,editor,director","tt1215486,tt1613056,tt19846352,tt1861996"
nm1158898,Nick Fabrini,\N,\N,actor,"tt1105332,tt1116963,tt6186546,tt1247384"
nm1158922,Guillermo Fernardino,\N,\N,director,tt0315345
nm1158941,Daniel Scott Fine,\N,\N,"director,writer,producer",tt0312709
nm1158961,Caroline Forsberg,\N,\N,"producer,actress","tt21431604,tt4397382,tt0313620,tt13078824"
nm1158962,Patrik Forsberg,\N,\N,"producer,director,writer","tt1942911,tt13078824,tt1333125,tt1856047"
nm1158963,Daniel E. Forsee,\N,\N,writer,tt0312268
nm1158969,Timothy Fowler,\N,\N,production_designer,tt0315425
nm1158983,Bruce Frenzinger,\N,\N,producer,tt0315441
nm1158985,Eugene Friesen,\N,\N,"composer,music_department","tt13107314,tt0315393,tt3296916"
nm1158993,Tôru Fujisawa,\N,\N,writer,"tt3913198,tt0209631,tt3265406,tt3143922"
nm1158996,Saul Fussiner,\N,\N,"writer,script_department","tt0476988,tt0314079,tt1855977"
nm1159003,Carlo Galdo,\N,\N,producer,tt0315363
nm1159017,Anthony Garriga Jr.,\N,\N,"writer,producer,actor","tt10901574,tt0313627,tt10901652,tt1176909"
nm1159034,Adam Gerstel,1983,\N,"visual_effects,editor,editorial_department","tt3371366,tt10954600,tt0433035,tt1408101"
nm1159041,Tulsi Ghimire,1951,\N,"director,editor,writer","tt2007972,tt8524684,tt7228790,tt0315394"
nm1159047,Todd Giggy,1978,\N,,tt0314972
nm1159084,Lorenzo Greco,\N,\N,writer,"tt1151418,tt0315430"
nm1159102,Pertti Grönholm,\N,\N,composer,tt0315417
nm1159118,Luis Gutmann,\N,\N,"director,actor,producer","tt0315345,tt0368863,tt0797081"
nm1159131,Martin Hagleitner,\N,\N,,tt0315066
nm1159139,Jon Hall,\N,\N,,"tt2039535,tt0315417"
nm1159140,Jöns Hallanaho,\N,\N,composer,tt0315417
nm1159158,'Horny' Harry Jr.,\N,\N,"cinematographer,actor","tt0466125,tt0335084,tt0317449,tt0335086"
nm1159210,Roger Higham,\N,\N,"producer,miscellaneous","tt0315488,tt0057982"
nm1159227,Wendie Hoekstra,\N,\N,production_designer,tt0315245
nm1159239,Tim Holtwick,\N,\N,actor,"tt1500117,tt1066310,tt1260577,tt1671653"
nm1159240,Geum-bo Hong,\N,\N,writer,tt0315306
nm1159257,Jessica Hudson,\N,\N,"director,writer","tt0315521,tt1830616,tt1830839,tt1366855"
nm1159265,Charlyn Huss,\N,\N,actress,"tt0313398,tt1458634"
nm1159280,Brandi Ifgray,\N,\N,"composer,actor","tt0137879,tt0315417"
nm1159307,Shiraz Jafri,\N,\N,"producer,director,editor","tt1419650,tt1419678,tt0315206,tt1625058"
nm1159319,Hwa-ja Jeong,\N,\N,producer,"tt0379494,tt0316345,tt0315337,tt0366209"
nm1159333,Thunde Johnson,\N,\N,actress,"tt0270516,tt0467220,tt0313859,tt13639308"
nm1159339,Julius Jorborg,\N,\N,"director,writer,assistant_director","tt6739592,tt2062682,tt2359153,tt7533562"
nm1159344,Bob Judd,\N,\N,director,"tt0315318,tt0371216"
nm1159358,Cleophas Kabasita,\N,\N,"actor,producer","tt0315100,tt0400063,tt0923688,tt1572154"
nm1159359,Eric Kabera,\N,\N,"producer,director,writer","tt0424108,tt1429313,tt3852462,tt4720774"
nm1159364,Davis Kagenza,\N,\N,actor,tt0315100
nm1159378,Na-ra Kang,\N,\N,actress,tt0315306
nm1159388,Cecile Kayiregawa,\N,\N,"composer,actress","tt13712166,tt0315100,tt11873472"
nm1159404,Mazimpaka Kennedy,\N,\N,actor,"tt1572154,tt0315100"
nm1159412,Reza Khatibi,\N,\N,"writer,director,actor","tt1998202,tt0315264,tt1576399,tt6321224"
nm1159424,Ki Kim,\N,\N,"director,assistant_director","tt0316341,tt0318362,tt0318364,tt0318189"
nm1159425,Mi-hyeon Kim,\N,\N,actress,"tt0376872,tt0152525,tt0315500"
nm1159429,Yeon-wook Kim,\N,\N,cinematographer,"tt0315145,tt0144788,tt0315141,tt0350582"
nm1159453,Priscilla Knetemann,1992,\N,actress,"tt0920448,tt0477217,tt1282865,tt1112587"
nm1159454,Max Knies,\N,\N,"producer,director,assistant_director","tt1754733,tt9507770,tt4798938,tt1450191"
nm1159463,Erika Kole,1979,\N,actress,"tt4855208,tt4151188,tt3981836,tt13003878"
nm1159483,Josh Koury,1977,\N,"director,producer,editor","tt3963294,tt1183705,tt2555152,tt0315634"
nm1159492,Kevin Krisiloff,1983,\N,"producer,production_manager,miscellaneous","tt0312676,tt0247232"
nm1159510,Adam Kutchman,\N,\N,composer,tt0315308
nm1159516,Dieter Kürten,1935,\N,,"tt0896673,tt0302088,tt0377028,tt0107701"
nm1159525,Romina Lanfranchini,\N,\N,"actress,writer,producer","tt0301050,tt16983670,tt0318523,tt0374908"
nm1159544,Emeric Le Maître,\N,\N,"producer,production_manager","tt14140886,tt13206854,tt6445112,tt0429011"
nm1159562,Lotte Letschert,1983,\N,actress,"tt0273715,tt0111974,tt0178142,tt0398407"
nm1159590,Angel Long,1980,\N,"actress,director,producer","tt5786034,tt0442633,tt7638858,tt0349108"
nm1159659,Nick Mann,\N,\N,cinematographer,tt0313289
nm1159665,Tim Marback,1963,\N,"writer,director,actor","tt2803836,tt0314039,tt21987094"
nm1159680,Fellipe Marques,\N,\N,actor,"tt0429738,tt0149450,tt0317887"
nm1159698,Kavila Matu,\N,\N,"editor,director","tt22870334,tt2634892,tt0315100,tt22855762"
nm1159710,Louisa McCormack,\N,\N,actress,tt0314993
nm1159744,Brent Mendenhall,\N,\N,actor,"tt0486640,tt1188996,tt1179781,tt0282687"
nm1159748,Gabriella Merlin,\N,\N,actress,"tt0315402,tt0392814"
nm1159757,Amnio Miasma,\N,\N,composer,tt0311911
nm1159769,Dong-hyun Min,\N,\N,"director,writer","tt0496853,tt13563284,tt0315553,tt0492707"
nm1159808,Odelia Mora-Matalon,\N,\N,actress,"tt0392613,tt11115532,tt26422265,tt5991206"
nm1159810,Lois Moreno,\N,\N,actress,"tt9413374,tt9347526,tt0315625"
nm1159860,Chun-yeok Nam,\N,\N,actor,"tt0310035,tt0393369,tt0389052,tt0315141"
nm1159908,Anita Notaro,\N,\N,director,"tt0170930,tt0313380"
nm1159921,Carisse O'Brien,\N,\N,"production_designer,set_decorator","tt0236019,tt0313401"
nm1159925,Seamus O'Regan,1971,\N,"actor,producer","tt0341708,tt4745574,tt2334879,tt1297754"
nm1159933,Deok Oh,\N,\N,actor,tt0315500
nm1159934,Dong-yeong Oh,\N,\N,actor,"tt0422339,tt0417812,tt0316000,tt11199314"
nm1159956,George Ormrod,\N,\N,"director,writer,editor",tt0314713
nm1159968,Bennett Owen,\N,\N,writer,"tt0454814,tt0315476,tt1245533"
nm1159989,Ji-yoon Park,1982,\N,actress,"tt5917000,tt16043360,tt0295372"
nm1160013,Nataliya Pavlovskaya,1970,\N,"writer,actress,assistant_director","tt0962764,tt0315234,tt12264542,tt3564158"
nm1160036,Ni Phan,\N,\N,"make_up_department,assistant_director,editor","tt0478809,tt0414344,tt0431588,tt0312374"
nm1160039,Grant Lee Phillips,1963,\N,"soundtrack,actor,composer","tt1632708,tt0120879,tt7137380,tt3315342"
nm1160041,Joe Picarella,\N,\N,"actor,miscellaneous","tt0313627,tt11423880"
nm1160049,Faruk Piragic,\N,\N,"director,assistant_director","tt0497243,tt0315242,tt0316491,tt1720086"
nm1160051,Myrthe Platini,1995,\N,actress,"tt0315432,tt0462015"
nm1160071,Jose Pozo,\N,\N,"producer,writer,director","tt3156000,tt0315000,tt11752152,tt5162282"
nm1160072,Zsolt Pozsgai,1960,\N,"writer,director,producer","tt15391164,tt0327144,tt1914189,tt2593382"
nm1160089,Ramona Provost,\N,\N,actress,tt0314713
nm1160093,Stephen W. Pugh,\N,\N,"visual_effects,miscellaneous,make_up_department","tt0167190,tt0948470,tt1606378,tt3110958"
nm1160096,Mélissa Ponturo,\N,\N,"art_department,production_designer,set_decorator","tt0113247,tt1304873,tt0103625,tt1242521"
nm1160099,Hannu Puttonen,\N,\N,"director,writer,producer","tt2282747,tt0315417,tt0357431,tt0410330"
nm1160119,Rajat Rakshit,\N,\N,"director,writer","tt0359875,tt0361601,tt0405856,tt1995418"
nm1160127,Megan Raney Aarons,\N,\N,"miscellaneous,director,producer","tt28582852,tt1713499,tt11669480,tt7142524"
nm1160179,Rim Chae,1979,\N,actress,"tt0313028,tt2690738,tt6270334,tt0972668"
nm1160234,Ryôko Sakaguchi,1955,2013,actress,"tt0076090,tt0074691,tt1558584,tt1144411"
nm1160245,Anthony Santucci,\N,\N,"actor,producer,miscellaneous","tt1538014,tt28053811,tt0997264,tt0419781"
nm1160248,Frank Sargent,\N,\N,actor,tt0315142
nm1160254,Sean Say,\N,\N,actor,"tt2580228,tt12452588,tt0317040,tt7131684"
nm1160264,Annelie Scheinert,\N,\N,actress,tt0315324
nm1160280,Malin Schwerdtfeger,1972,\N,writer,"tt0315236,tt0339625"
nm1160299,Francisco Semprun,\N,\N,composer,tt0315482
nm1160310,Lothar Seyfarth,\N,\N,"composer,music_department","tt0322933,tt0315324,tt0058911"
nm1160326,Warren Sherk,1960,\N,"music_department,composer","tt0472200,tt0313677,tt1547230,tt0309372"
nm1160341,Václav Sibera,\N,\N,,tt0313419
nm1160346,Josh Siegfried,\N,\N,,tt0315634
nm11603604,Grigori Miroshnichenko,\N,\N,writer,tt0313421
nm1160368,Sneek,\N,\N,cinematographer,tt0314821
nm1160413,Kristian St. Clair,1972,\N,"producer,director,writer","tt5452930,tt13620536,tt0314096"
nm1160415,Ashley Stagg,\N,\N,"sound_department,composer","tt0312676,tt26625225"
nm1160420,Zac Stanford,\N,\N,"editorial_department,writer,director","tt0888693,tt10307856,tt0406650,tt0313398"
nm1160429,Michael Steinbrecher,1965,\N,"director,actor","tt0168275,tt0806910,tt1339161,tt0315096"
nm1160441,Carla Stockton,\N,\N,"writer,producer",tt0312709
nm1160510,Tristan Thai,\N,\N,"writer,producer,director","tt0315679,tt6470478,tt7971542,tt6577794"
nm1160522,Jerry Thurston,1966,\N,,tt0315058
nm1160584,Sergio Umansky Brener,\N,\N,"director,writer,producer","tt7633090,tt0312374,tt5767642,tt0485129"
nm1160617,Paola Verbij,1969,\N,actress,"tt0098883,tt0315059,tt0098943,tt0096597"
nm1160653,Monica Waldvogel,1956,\N,"writer,producer","tt21046810,tt6287834,tt6281660,tt4554824"
nm1160657,N.H. Walter,\N,\N,"writer,camera_department,miscellaneous","tt0780617,tt1853602,tt0315300,tt0392132"
nm1160682,Michel Welterlin,\N,\N,"writer,producer,director","tt0312612,tt4981826,tt11776020,tt13982552"
nm1160686,Gunnar Wetterberg,\N,\N,"producer,writer","tt0315055,tt0472981,tt1103806,tt1204828"
nm1160693,Maeve Widger,\N,\N,actress,"tt0185417,tt0312491"
nm1160697,James Willard,\N,\N,"actor,writer",tt0315142
nm1160700,Kajsa Wilund,\N,\N,actress,tt0315280
nm1160707,Wendy Winters,\N,\N,"costume_designer,costume_department,actress","tt1437890,tt24165774,tt0850670,tt0371212"
nm1160709,Henning Witte,\N,\N,writer,tt0313250
nm1160712,Jay Wolcott,\N,\N,writer,tt0313532
nm1160748,San Yow,1970,\N,actor,"tt12427752,tt7052932,tt0317019,tt9233828"
nm1160749,Sampson Yuen,\N,\N,"producer,director","tt2156931,tt4052176,tt12446652,tt6951518"
nm1160814,Eric Allman,\N,\N,writer,"tt1982844,tt0315417"
nm1160819,David Arnesen,\N,\N,actor,"tt3505840,tt14358798,tt6623682,tt2474838"
nm1160879,Ty Davenport,\N,\N,actor,"tt0315463,tt1107363,tt0765075,tt0445521"
nm1160881,David De Bello,\N,\N,actor,"tt0361343,tt0315281"
nm1160894,Peter Egge,\N,\N,actor,tt0315280
nm1160915,David Freaney,\N,\N,,tt0314972
nm1160931,Marcus Gregory,1977,\N,animation_department,"tt2357337,tt0314972"
nm1160939,Jeff Halsey,\N,\N,actor,"tt0315380,tt0389413"
nm1160944,Bernd Heller,1947,\N,,"tt0315096,tt5209414"
nm1160947,Michel Heulin,\N,\N,actor,"tt0315616,tt0376307"
nm1160968,Ki-seok Kim,\N,\N,actor,"tt0319245,tt0316767,tt0315337,tt0324603"
nm1160970,Adam Koury,\N,\N,,tt0315634
nm1160997,Scott Malone,\N,\N,actor,tt0315380
nm1161010,Ralph McCain,\N,\N,actor,"tt21284442,tt13819960,tt0141842,tt0315600"
nm1161029,Ben Mulroney,1976,\N,"actor,producer","tt0491522,tt2099556,tt0120667,tt2724532"
nm1161034,Kevin Nicholson,\N,\N,miscellaneous,tt0283426
nm1161042,Eugene O'Donnell,\N,\N,actor,tt0312491
nm1161050,Juan José Parrilla,\N,\N,actor,tt0315080
nm1161072,James Rasmussen,\N,\N,actor,"tt0312695,tt4096808,tt0367696"
nm1161077,Aaron Robinson,1979,\N,"actor,soundtrack","tt0360511,tt0376661,tt1341720,tt1641640"
nm1161080,James Rodriguez,\N,\N,actor,"tt0349470,tt1341720,tt0204621,tt0312870"
nm1161095,John Sayre,\N,\N,"actor,soundtrack","tt0287872,tt14419746,tt0315441,tt0365938"
nm1161096,Jacky Scala,\N,\N,actor,tt0315616
nm1161107,Dennis Sigmund,\N,2014,"actor,stunts,art_department","tt2255781,tt0373173,tt1094597,tt1630657"
nm1161160,Rod Z,\N,\N,actor,"tt3508022,tt0313289,tt14729478,tt0142120"
nm1161168,Monica Ambrose,\N,\N,actress,"tt4058520,tt0285335,tt0313940"
nm1161170,Anette,\N,\N,actress,tt0315573
nm1161179,Michaela Berg,\N,\N,,tt0315066
nm1161180,Dolly Bishop,\N,\N,actress,tt0315142
nm1161195,Stephanie Carr,\N,\N,actress,"tt0084992,tt0315491"
nm1161214,Angela Crystal,1982,\N,actress,"tt0846856,tt0401802,tt0409943,tt0369783"
nm1161222,Danièle Delange,\N,\N,actress,tt0315616
nm1161243,Julie Frame,\N,\N,"actress,miscellaneous","tt0312268,tt5899250"
nm1161261,Pauline Hudec,\N,\N,,tt0315066
