nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1494875,Jay Amari,\N,\N,actor,"tt8526344,tt0383477,tt1745957,tt1429082"
nm1494889,Edmund Bacon,1910,2005,,"tt0224835,tt0373175"
nm1494926,Nefra Burlock,\N,\N,actress,"tt6403440,tt2261391,tt1620950,tt2805096"
nm1494947,Andrew Chalmers,\N,\N,actor,"tt0359423,tt0335121,tt0828151,tt0423635"
nm1495022,Rui F. Fajardo,\N,\N,"actor,miscellaneous,camera_department","tt1987524,tt0412119,tt0381954,tt2095562"
nm1495466,Melanie Abdoun,\N,\N,"actress,producer","tt0383477,tt5621106"
nm1495547,Charlot Daysh,1992,\N,"actress,writer,editor","tt0177446,tt12974946,tt2708560,tt9091008"
nm1495659,Jennifer Lauryn,\N,\N,actress,"tt0379893,tt0997212,tt0945559,tt3783376"
nm1495945,Dave Emery,\N,\N,"camera_department,cinematographer","tt1822203,tt8400758,tt0829440,tt6162808"
nm1495950,Saul Goodman,\N,\N,cinematographer,tt0381595
nm1495952,Isagani Joson,\N,\N,cinematographer,tt0369586
nm1495971,Christopher A. Chapman,\N,\N,composer,tt0369323
nm1495974,Juan Espinosa,\N,\N,composer,tt0367617
nm1496096,Catherine Newman,\N,\N,"producer,director,writer","tt0284746,tt0424680,tt0896232,tt0372185"
nm1496192,Jean-Yves Empereur,\N,\N,miscellaneous,"tt1471868,tt0206501,tt1345229,tt0382485"
nm1496214,Abdullah Gul,1950,\N,,"tt14784418,tt24079154,tt0295138,tt0344621"
nm1496239,Zdzislaw Kielecki,\N,\N,actor,"tt1093397,tt0370190"
nm1496714,Chanel Penley,\N,\N,"miscellaneous,actress","tt0411677,tt0368676,tt0282518"
nm1496780,Bill Schudt,1906,1984,"actor,director","tt0444741,tt0377269,tt10356782,tt4327762"
nm1497231,Melody Lui,\N,\N,writer,"tt0383233,tt0995739"
nm1497536,Colleen Williams,1955,\N,,"tt0256549,tt16358522,tt15126996,tt0382458"
nm1497556,Ian Cunningham,\N,\N,composer,tt0373127
nm1497731,Joe Shapiro,1963,\N,"editor,producer,director","tt0383965,tt2925768,tt0874423,tt1655461"
nm1497819,Romana Kunova,1981,\N,actress,"tt0411384,tt0420903,tt1721074,tt6669116"
nm1497820,Bong-ja Lee,\N,\N,,tt0375823
nm1497860,Kate Sullivan,\N,\N,"actress,casting_department,casting_director","tt0379215,tt14023392,tt1734586,tt0412080"
nm1497865,Julia Taylor,1976,\N,actress,"tt0412676,tt0409833,tt0440367,tt0399105"
nm1497929,Richard Neill,\N,\N,"camera_department,cinematographer,producer","tt1229946,tt0891100,tt0397038,tt0302089"
nm1497947,Andrew MacMillan,\N,\N,composer,tt0380055
nm1498421,Harry Antonopoulos,\N,\N,producer,"tt1092002,tt0378897,tt1239401"
nm1498558,Sohan Singh Billa,\N,\N,producer,tt0376768
nm1498725,Milo Cawthorne,1989,\N,"actor,cinematographer","tt4189022,tt2825230,tt6902676,tt3705412"
nm1498767,Mary Christmas,\N,\N,actress,"tt2120117,tt0367714"
nm1498799,Tony Cloud,\N,\N,actor,"tt0384012,tt0379750"
nm1498801,Cyprien Clément,\N,\N,actor,"tt0388728,tt0380230"
nm1498866,Irwin D. Dammers,\N,\N,editor,tt0374332
nm1498909,Stephen Devassy,\N,\N,"composer,soundtrack","tt15548354,tt5306972,tt7470414,tt0382733"
nm1498980,Elizabeth Egloff,\N,\N,writer,"tt0389121,tt0383139"
nm1498992,Kate Louise Elliott,\N,\N,actress,"tt0380055,tt2011723,tt0461097,tt0352076"
nm1499011,Brandon Escobar,\N,\N,,tt0382884
nm1499035,Campbell Farquhar,\N,\N,"editor,editorial_department,director","tt0791246,tt1135608,tt0380055,tt1387413"
nm1499277,Fred Halliday,\N,\N,,"tt0123338,tt1137533,tt1605592,tt2178833"
nm1499309,Belinda Heaslip,\N,\N,actress,"tt0956352,tt0380055"
nm1499348,Victoria Hervey,1976,\N,"actress,producer","tt0390067,tt1328609,tt2962266,tt0105929"
nm1499368,Riina Hoffrén,\N,\N,actress,"tt0377211,tt0962418"
nm1499427,Sunil Impress,\N,\N,writer,tt0382733
nm1499518,Tamer Karadagli,1967,\N,"actor,producer,director","tt1077085,tt2262183,tt0413623,tt1278279"
nm1499642,P.S. Kumar,\N,\N,"writer,miscellaneous,producer","tt0066589,tt1604887,tt0475735,tt0382733"
