nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm3363126,Bigfoot,\N,\N,actor,"tt0191831,tt1391802"
nm3363745,D. Salvatori,\N,\N,writer,tt0183265
nm3363884,Gutz,\N,\N,composer,tt0183265
nm3364296,Lee Dean,\N,\N,composer,"tt0191560,tt0355944"
nm3364598,Rika Miura,\N,\N,actress,"tt0361245,tt1841843,tt0185116,tt2194822"
nm3364680,Sonny Max,\N,\N,director,tt0190782
nm3365216,Shan Hsu,\N,\N,actress,"tt0188789,tt1394317"
nm3365369,Donna Schell,\N,\N,actress,tt0191440
nm3366175,Tony DeVito,\N,\N,editor,tt0180533
nm3366614,Erika Moulet,\N,\N,actress,"tt1418572,tt2396953,tt1350516,tt6428182"
nm3366978,Carla Crabbe,\N,\N,actress,tt0191258
nm3367010,B.J. Dyke,\N,\N,actress,tt0191258
nm3367203,Yang Chen,\N,\N,"actor,director","tt2971482,tt3186814,tt3898092,tt1395120"
nm3369001,Sam Sharpe,\N,\N,producer,tt0190782
nm3370140,Trudee Able,\N,\N,actress,tt0189428
nm3370368,Yu-ching Chang,\N,\N,actress,tt0188782
nm3374983,Marty Henderson,\N,\N,"writer,producer,production_manager",tt0181460
nm3376928,Dayane Callegare,\N,\N,actress,"tt0191830,tt7228428,tt2244751,tt6668776"
nm3377630,Paul Nelson,\N,\N,"composer,music_department","tt0264500,tt0189383"
nm3379124,Fanny Dancer,\N,\N,editor,"tt0182074,tt0141482"
nm3379287,Min Chang,\N,\N,"actor,writer,costume_designer","tt1612571,tt2299609,tt0121918,tt0285901"
nm3379904,Sho Nobushi,\N,\N,"director,writer,miscellaneous","tt2178600,tt1981030,tt1401238,tt0185657"
nm3380047,Mick Luff,\N,\N,writer,"tt0182074,tt0141482"
nm3380474,Boris Siber,\N,\N,"actor,producer,writer","tt15053076,tt15263044,tt0191740,tt10813704"
nm3381354,Jennifer Rush,\N,\N,producer,tt0181513
nm3381991,Roy Kopp,\N,\N,composer,tt0191470
nm3382712,Taichi Erskine,\N,\N,"editor,producer,director","tt8324422,tt11897688,tt7529770,tt7632118"
nm3385957,S. Schwartz,\N,\N,editor,tt0180513
nm3386895,D. Franklin,\N,\N,producer,tt0180513
nm3386977,Chigusa Tomoe,\N,\N,actress,"tt0185789,tt0205638,tt0185898,tt11375830"
nm3387847,Vic Lizard,\N,\N,composer,tt0182205
nm3387964,Scott Reynolds,\N,\N,"music_department,composer","tt5294648,tt0188892,tt0385423"
nm3388085,Jack Klamm,\N,\N,editor,tt0181360
nm3388769,Joe King,\N,\N,editor,"tt0189859,tt0183385,tt0182205"
nm3388962,John Craig,\N,\N,composer,tt0180513
nm3389457,Richard J. Meyer,\N,\N,"producer,writer","tt0192665,tt0195256"
nm3391561,Henry James III,\N,\N,editor,"tt0148925,tt0191624"
nm3391911,Gerald,\N,\N,"director,writer",tt0182206
nm3392665,Yoshiko Yamamoto,1936,\N,actress,"tt0179574,tt0289000,tt2922602,tt8932048"
nm3396733,Mark Lemkin,\N,\N,editor,tt0181390
nm3396966,Coco Ward,\N,\N,writer,tt0182142
nm3397255,Emma Mouth,\N,\N,writer,tt0181462
nm3397325,Dick Mykonos,\N,\N,composer,tt0189720
nm3397397,Paul De La Corte,\N,\N,cinematographer,tt0183299
nm3397874,Antonia Quirke,\N,\N,,"tt0192897,tt0844203,tt0358313,tt2934476"
nm3398733,Gisele Perez,\N,\N,miscellaneous,"tt1331064,tt0181057"
nm3403758,Uwe Over,\N,\N,"editor,editorial_department,sound_department","tt0183276,tt20720734,tt0180492,tt0180421"
nm3403972,Nigel Worthington,\N,\N,actor,"tt0206019,tt0183276,tt0180421,tt0139319"
