nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1322349,Mikhail Brashinskiy,1965,\N,"actor,writer,director","tt1752983,tt0353504,tt27279993,tt2325474"
nm1322354,Mikki Brenner,\N,\N,actress,"tt0301721,tt0348744"
nm1322367,Derek Bronston,\N,\N,composer,"tt0353247,tt0484309"
nm1322370,Jodie Bruch,\N,\N,"cinematographer,camera_department,art_department","tt1490710,tt1281832,tt0353293,tt0421088"
nm1322376,Mark Buchanan,\N,\N,producer,tt0351031
nm1322381,Thomas Bergersen,1980,\N,"soundtrack,music_department,composer","tt1964418,tt0816692,tt2975590,tt1371111"
nm1322385,Klement Bulgareci,\N,\N,cinematographer,tt0353364
nm1322386,Cecilie Bull,\N,\N,"actress,producer","tt0808305,tt1510983,tt1252482,tt1522415"
nm1322399,Jack Burroughs,\N,\N,cinematographer,tt0351031
nm1322402,Curtis Burz,1970,\N,"director,writer,editor","tt0353718,tt2805864,tt3498918,tt1882089"
nm1322404,Byun Hee-Bong,1942,\N,actor,"tt0468492,tt0353969,tt3967856,tt3247004"
nm1322408,Benno Büffel,\N,\N,writer,tt0354182
nm1322417,Brooke Callaghan,1989,\N,actress,"tt0163924,tt0353089,tt0094481,tt1119176"
nm1322428,Jacques Capelovici,1922,2011,actor,"tt0353068,tt10179406,tt0383995,tt0358807"
nm1322432,Mireille Cardot,\N,\N,writer,"tt0197138,tt0353729"
nm1322437,Monica Carpiaux,\N,\N,,"tt1194292,tt0353110"
nm1322444,Nicholas Vincent Castillo,\N,\N,actor,tt0353500
nm1322454,Kemal Cebo,1985,\N,actor,"tt16740278,tt0353671,tt1230418,tt7821192"
nm1322479,Xiaohong Chen,\N,\N,editor,"tt0475263,tt0354173,tt12960052,tt3457380"
nm1322480,Rahim Chelavoor,\N,\N,"director,writer",tt0353836
nm1322491,Lili Chin,\N,\N,"producer,animation_department,writer","tt1692876,tt0353115,tt2179151,tt1264071"
nm1322494,Courtney Chitty,\N,\N,actress,tt0353879
nm1322500,Jong-tae Choi,\N,\N,"director,writer","tt0857334,tt27049755,tt0353328"
nm1322505,John Christakos,\N,\N,editor,tt0353825
nm13225173,Tony Pascue,\N,\N,writer,tt0361989
nm1322519,Frederic Clarke,\N,\N,actor,tt0353337
nm1322528,Mark Coles Smith,\N,\N,"actor,miscellaneous,soundtrack","tt4149696,tt16343844,tt3680410,tt6231022"
nm1322532,Judy Conover-Bintliff,\N,\N,"assistant_director,producer",tt0353293
nm1322535,Ellen Cook,\N,\N,writer,tt0354216
nm1322538,Cathy Coopman,1970,\N,"producer,sound_department,miscellaneous","tt4827558,tt2386490,tt7008872,tt2328900"
nm1322546,Eric Cremer,\N,\N,"actor,miscellaneous","tt0081857,tt0430836,tt0353326,tt0428212"
nm1322585,Tushaun-Wayne Davies,\N,\N,actor,tt0353666
nm1322586,David Davis Jr.,1930,2011,writer,tt0353512
nm1322592,Roberto De Giorgi,\N,\N,writer,"tt3577982,tt0353436"
nm1322600,Noah DeFilippis,\N,\N,"actor,camera_department,composer","tt0353269,tt0462250,tt0387460"
nm1322610,Jody Del Giorno,\N,\N,"art_department,cinematographer,actor","tt1291150,tt2024469,tt1872181,tt2101341"
nm1322614,Agnès Delbarre,\N,\N,actress,tt0353344
nm1322626,Hervé Desbois,1954,\N,"actor,miscellaneous,writer","tt0859163,tt1667353,tt0434139,tt0364045"
nm1322627,Jean-Pierre Descombes,1947,\N,actor,"tt0353068,tt3824924,tt0891344,tt10468176"
nm1322647,Rolf Digervall,\N,\N,actor,tt0353473
nm1322649,Nick Diltz,1985,\N,actor,"tt0349727,tt0437984"
nm1322667,Hans Peter Doll,1925,1999,writer,"tt1296363,tt0354165,tt1543005"
nm1322673,Anne-Lucie Dommage,\N,\N,actress,tt0353344
nm1322676,Adam Donshik,\N,\N,"actor,writer,editor","tt11410238,tt4354880,tt1856010,tt0805663"
nm1322681,Ashley Dowds,1966,\N,actor,"tt10888732,tt2231299,tt4785472,tt0353101"
nm1322682,Gabrielle Downey,\N,\N,actress,"tt1825157,tt2674426,tt1772264,tt5814060"
nm1322696,Guy Dumur,1921,1991,"writer,actor","tt7252940,tt3652750,tt11585102,tt0354008"
nm1322717,Hobey Echlin,\N,\N,"actor,producer",tt0354105
nm1322718,Branan Edgens,\N,\N,"editor,cinematographer,producer","tt1517656,tt1513785,tt0353794"
nm1322722,Phil Ehart,1951,\N,"actor,producer,soundtrack","tt6334354,tt0419099,tt0075519"
nm1322734,William Ellison,\N,\N,actor,tt0354203
nm1322738,Hesen En,\N,\N,actor,"tt13731270,tt0083446,tt6635034,tt0353291"
nm1322740,Sebastian Engström,\N,\N,actor,tt0353473
nm1322750,Darin Erstad,1974,\N,,"tt0426843,tt2132954,tt1020929,tt2327677"
nm1322767,Kay Fairweather,\N,\N,editor,tt0353885
nm1322773,John Faratzis,\N,\N,"producer,director,writer","tt1548852,tt1210545,tt0770675,tt0353980"
nm1322784,Nikolaj Feifer,\N,\N,"writer,director,miscellaneous","tt2382978,tt19389564,tt13075644,tt0354034"
nm1322785,Daniel Feinsmith,\N,\N,composer,"tt0353814,tt0443591,tt2219952"
nm1322799,Lawrence Ferrara,\N,\N,"director,writer,producer","tt0426055,tt3452390,tt7797248,tt0354063"
nm1322802,Patrick Ferwerda,\N,\N,actor,tt0353817
nm1322803,Joe Fesenden,\N,\N,actor,tt0353228
nm1322805,Joe Fessenden,\N,\N,"actor,assistant_director,miscellaneous","tt3499414,tt3377882,tt0353337,tt0353483"
nm1322832,Jazmine Franks,\N,\N,actress,"tt1242499,tt0353104,tt0112004,tt0498319"
nm1322839,Royce Freeman,\N,\N,"producer,writer,director","tt2301109,tt15125906,tt6979422,tt11230862"
nm1322841,Edwin Friesch,\N,\N,"producer,writer","tt0975230,tt0354182,tt0457979,tt0074004"
nm1322857,Sebastian Galasso,1981,\N,"actor,producer,writer","tt1273207,tt8041806,tt6442616,tt23469882"
nm1322863,Quan Gan,\N,\N,cinematographer,"tt2114503,tt0353291"
nm1322869,Tianhong Gao,\N,\N,"director,writer","tt6286730,tt7780802,tt7784452,tt6401066"
nm1322895,Jochem van Gelder,1963,\N,"actor,soundtrack","tt2473644,tt0404686,tt8161554,tt0126754"
nm1322913,Benji Gil,1972,\N,,"tt2327677,tt0353121,tt1020929"
nm1322914,Benson Gilchrist,1981,\N,"producer,actor","tt0477062,tt0354194,tt0408349"
