nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm12541717,Rahul Brijnath,\N,\N,actor,tt0128768
nm1254348,Sándor Nagy,\N,\N,"production_designer,costume_designer","tt0420072,tt4183066,tt0127504,tt2662324"
nm1255123,Tatyana Shikhova,1950,\N,actress,"tt1396406,tt14493954,tt0127513,tt0334615"
nm12552857,Toni Rose,\N,\N,actress,"tt14604164,tt0127831"
nm12552980,Eddie Olson,\N,\N,,"tt0127831,tt0094574"
nm12552981,Steve Franklin,\N,\N,,tt0127831
nm1256031,Barbara,\N,\N,actress,"tt0325329,tt0127325,tt0327998,tt0467213"
nm1256401,Ute Apfelstedt,\N,\N,actress,"tt0129354,tt0498539"
nm12564126,Cecil Clemons,\N,\N,,\N
nm12566846,Josue Juarez,\N,\N,,tt0126249
nm1257937,Marcos Antonio Miranda,\N,\N,"actor,stunts,director","tt0128165,tt0344313,tt0829286,tt13096240"
nm1258327,Osvaldo Rodriguez,\N,\N,"actor,composer","tt0202038,tt0130375"
nm1258380,Wimme Saari,1959,\N,"composer,actor,music_department","tt4519838,tt9033518,tt0377470,tt0119676"
nm12586557,Mária Neményi,1946,\N,actress,"tt0131043,tt0065058,tt0066617"
nm1260013,Diego Achury,\N,\N,actor,"tt10844774,tt0120344"
nm1260078,Olivier Auverlau,\N,\N,"cinematographer,producer,miscellaneous","tt8941792,tt0382621,tt0228750,tt7616020"
nm1260259,Gábor Bódis,\N,\N,"production_manager,producer","tt0119003,tt0373862,tt0269792,tt0297741"
nm1260319,Léopold Chauveau,\N,\N,writer,"tt0122778,tt1254975"
nm1260937,Harry Lamberts-Paulsen,1895,1928,actor,"tt0016101,tt0434130,tt0362444,tt0122328"
nm1260993,Guillaume Lomprez,\N,\N,"cinematographer,camera_department","tt0106491,tt0205735,tt1487079,tt2267174"
nm12609996,Avon Coe,\N,\N,"writer,art_director,set_decorator",tt0122409
nm12609997,Art Lester,\N,\N,"writer,art_director,set_decorator",tt0122409
nm12610006,David Henry,\N,\N,composer,tt0122409
nm12613706,Patrick Clark,\N,\N,"art_department,production_designer","tt16102976,tt0089811,tt0122024"
nm1261981,Johnny Garcia,\N,\N,"actor,director,writer","tt0407312,tt0275140,tt0110488,tt0098844"
nm1262693,Bruce Schwartz,\N,\N,"actor,miscellaneous","tt0101765,tt0079588,tt0090793,tt0074028"
nm1262731,Agnès,\N,\N,actress,"tt0380416,tt0128060,tt15492964,tt0128035"
nm1262796,Walt Davis,\N,\N,"director,actor,writer","tt0127853,tt0126564,tt0145328,tt0189718"
nm1262827,Rick Rosner,1960,\N,"writer,producer,actor","tt0255741,tt0173606,tt1301127,tt0320037"
nm1263037,Anil Ajitabh,\N,\N,"assistant_director,director,writer","tt0216707,tt5216536,tt0451631,tt0119720"
nm1263038,Berta Ajs,\N,\N,actress,tt0123229
nm1263813,Eldon Mecham,\N,\N,actor,tt0128451
nm1263842,Joyce Molloy,\N,\N,actress,tt0128451
nm1263906,Claes Nystrom,\N,\N,"sound_department,composer,music_department","tt0337857,tt0338791,tt0264365,tt0337945"
nm12639766,R. Shvarts,\N,\N,editor,"tt0123047,tt0061907,tt0170364"
nm1264020,Jana Procházková,\N,\N,writer,"tt2705078,tt2708940,tt0122558,tt2709286"
nm1264284,Aurel Tripon,\N,\N,"camera_department,cinematographer","tt0072927,tt0125709,tt0129980,tt0063777"
nm1264391,Antonio Zinny,\N,\N,writer,tt0123267
nm1264403,Teixeira de Pascoaes,1877,1952,writer,tt0118687
nm1264478,Sean Fulcaer,\N,\N,actor,tt0119414
nm1265177,Birgitte Bank-Mikkelsen,\N,\N,actress,"tt18295316,tt20234886,tt0118242,tt15361616"
nm1266050,Tine Sehested Høeg,\N,\N,actress,tt0118242
nm1266439,Robert Mankowski,\N,\N,"editor,editorial_department,special_effects","tt0210860,tt0380832,tt1753789,tt0300657"
nm1266635,Peter Neff,\N,\N,"music_department,soundtrack,composer","tt0298814,tt0977214,tt1571249,tt3685236"
nm1266947,Mah-Taj Samimi,\N,\N,actress,tt0125429
nm1267501,Scott H. Ramsey,\N,\N,"camera_department,cinematographer","tt0286106,tt0480249,tt0949731,tt0368008"
nm1268608,Jane Goodman,\N,\N,actress,tt0123638
nm1268613,Giuseppe Gordeano,\N,\N,editor,tt0123638
nm1268787,Louis Hermmann,\N,\N,editor,tt0123638
nm1269024,Kishan G. Kishnani,\N,\N,producer,tt0120117
nm1269174,Ursula Lefkes,\N,\N,"art_department,costume_designer,make_up_department","tt0336396,tt0121880,tt0350306,tt0309357"
nm12693948,Ben Berardi,\N,\N,actor,tt0125656
nm1269488,Jefferson Miller,\N,\N,"cinematographer,camera_department,director","tt11193778,tt12729298,tt0344503,tt5708098"
nm1269666,Maria Nowakowska-Majcher,1950,\N,writer,tt0122486
nm1270147,Sanjeev Shankar,\N,\N,"cinematographer,camera_department","tt0255466,tt0273115,tt0355686,tt0130255"
nm1270276,Douglas Romayne,1974,\N,"music_department,composer,soundtrack","tt0290095,tt0165832,tt0458339,tt0790655"
nm1270540,Edgar G. Warren,\N,\N,writer,"tt0194482,tt0125884,tt0195777,tt0133539"
nm12715817,Mark Binmore,\N,\N,actor,"tt0399483,tt0313474,tt0119387"
nm1271801,Jian Yong Guo,\N,\N,"director,stunts,actor","tt0293662,tt0267804,tt0271027,tt0306685"
nm1272791,Hans Pomeranz,1938,2007,"producer,director,editorial_department","tt0131030,tt28334676,tt4978396,tt0381429"
nm12730389,Gigi Bovee,\N,\N,actress,tt0121978
nm1273212,Reine Thirion,\N,\N,actress,"tt0188573,tt7326448,tt0125806"
nm1274033,Jette Jørgensen,\N,\N,actress,"tt0335797,tt0130403"
nm1274526,Barbara L. Parker,\N,\N,writer,tt0120138
nm1275094,Maria Rosa Cerizza,\N,\N,actress,tt0129684
nm1275113,Vicente Chas Madariaga,\N,\N,"writer,assistant_director,miscellaneous",tt0121724
nm1275463,Ed Smalle's Octet,\N,\N,"actor,soundtrack",tt0129889
nm1275610,John Foster,1944,\N,"camera_department,cinematographer,production_designer","tt3860916,tt0094152,tt0119272,tt0083971"
nm1275822,Augusto A. Guibourg,\N,\N,writer,tt0121724
nm1275978,The Hollywood Doubles,\N,\N,actor,tt0129889
