nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm1276468,Ting On Lui,\N,\N,actress,tt0121144
nm12772572,Michael Macdonald,\N,\N,actor,tt0125421
nm1277651,Bo Tarik,\N,\N,composer,tt0121994
nm1277718,Chit Tong,\N,\N,actress,"tt0185596,tt0121144"
nm1278268,Margrét Örnólfsdóttir,\N,\N,"writer,composer,actress","tt10363896,tt9100536,tt2093689,tt5881406"
nm1278719,Ian Burford,1933,\N,actor,"tt0820333,tt1183911,tt0312248,tt0196252"
nm1279258,Sofie Fabri,\N,\N,"writer,assistant_director,script_department","tt0121442,tt0252604,tt0093087"
nm1279446,Piers Gibbon,\N,\N,actor,"tt3613698,tt0106084,tt0264241,tt3603510"
nm1279595,Louise Hall-Taylor,\N,\N,actress,"tt0159226,tt0331128,tt0120994,tt0398557"
nm1279634,Irini Hatzikonstadi,\N,\N,actress,"tt1320410,tt5214650,tt0124164,tt0231095"
nm1280045,Nicolette Lars,\N,\N,actress,"tt0166155,tt0272499,tt4952038,tt0125344"
nm1280489,Seung-wook Moon,1968,\N,"director,writer,executive","tt0778020,tt0293442,tt0120267,tt0329239"
nm1281652,Xinyu Wang,\N,\N,"actor,director,writer","tt0118199,tt2008492,tt0340623,tt13878502"
nm1281761,Li-Ting Chiu,\N,\N,actor,"tt0122011,tt2831054"
nm1282465,Tammy Bejerano,\N,\N,"writer,script_department,miscellaneous","tt1217075,tt1010448,tt0331776,tt0337353"
nm1282692,Ah Sam Cheng,\N,\N,actor,"tt0121355,tt0122061"
nm1283024,David S. Freeman,\N,\N,"actor,writer",tt0127503
nm1283627,Xinyi Liu,1952,\N,"actor,director,miscellaneous","tt23864182,tt0382066,tt4054762,tt18278874"
nm12843406,Alfredo Fettucini,\N,\N,writer,tt0124619
nm1284976,Chi-An Chou,\N,\N,actress,"tt0122061,tt7216062,tt0185392,tt0121375"
nm1285113,Chris Lerude,1966,\N,"actor,miscellaneous,stunts","tt0443706,tt2645666,tt0206501,tt4705022"
nm12851450,Ruth Landau,\N,\N,actress,"tt8365214,tt0121153,tt0426279,tt6443330"
nm1285252,Michele Sanzò,\N,\N,actor,"tt0129939,tt0095051,tt0094672"
nm1285257,William Selby,\N,\N,"writer,actor","tt0127503,tt0088634,tt13332298"
nm1285298,Paco Vila,\N,\N,actor,"tt0302447,tt0922037,tt2124990,tt3902698"
nm1286026,Devin Frazer,\N,\N,writer,tt0127503
nm12860708,Jim Monro,\N,\N,producer,tt0124217
nm1286089,Carol Hall,\N,\N,actress,"tt0126812,tt0327117"
nm1287341,Javad Golpaygani,\N,\N,"actor,producer","tt0498238,tt0123194,tt0867426,tt1924320"
nm1287763,Wing Ho Lee,\N,\N,actor,"tt3186794,tt0099416,tt0092937,tt0244884"
nm1287822,Loretta,\N,\N,actress,"tt0145725,tt0145724,tt0126984,tt0344434"
nm1288125,Nooshafarin,\N,\N,"actress,music_department","tt11349930,tt0343715,tt11198820,tt5389740"
nm1288304,Oscar Querijero,\N,\N,"cinematographer,camera_department,actor","tt0121067,tt0421565,tt0466145,tt0486820"
nm1288467,Usko Santavuori,\N,\N,,tt0121444
nm12890522,Anne-Marie,\N,\N,actress,tt0130430
nm1289493,Tanya Garcia,1981,\N,actress,"tt2108079,tt3458608,tt0126744,tt0368539"
nm1289564,Susan Mason,\N,\N,,tt0128086
nm1290125,Kristine Kelly,\N,\N,"actress,director,producer","tt0120424,tt6005420,tt5301750"
nm1290219,Fred Jones,\N,\N,actor,"tt0456463,tt0128316,tt0190777"
nm1290545,Joel Richardson,\N,\N,"editor,miscellaneous","tt0128316,tt0393783,tt0128778"
nm1291056,William Barbour,\N,\N,"production_designer,actor,art_department","tt0096402,tt0119600,tt0782844,tt0083731"
nm1291480,Cornell Capa,1918,2008,"director,camera_department,miscellaneous","tt0120045,tt2071616"
nm1291601,Shing Ching,\N,\N,"producer,miscellaneous","tt1949242,tt0121725,tt0184433,tt7127614"
nm1291603,Siu Yuet Ching,\N,\N,actress,"tt0121580,tt0122182"
nm1291626,Jaime Mei-Chun Chik,1962,\N,"actress,producer,miscellaneous","tt0088105,tt0114998,tt0821391,tt0446248"
nm1291631,Shuang-Hsia Hsu,\N,\N,actress,"tt2831146,tt1846581,tt0185421,tt2332625"
nm12916798,Ira Isaacoff,\N,\N,"actor,location_management,casting_department","tt0135370,tt0276036,tt0219805,tt2271369"
nm1291775,Roberto d'Avila,\N,\N,"producer,production_manager,director","tt0826110,tt1159598,tt0442194,tt18553812"
nm1292088,Butch Engle,\N,\N,actor,"tt2006890,tt0122064,tt6241872,tt0128743"
nm1292141,José Antonio 'Potro' Farías,1956,\N,"composer,music_department,soundtrack","tt0163465,tt0211843,tt0318659,tt1159993"
nm1292374,Pradeep Ghatak,\N,\N,writer,"tt0120545,tt0978599,tt0341458"
nm12927645,Shigeo Masubuchi,\N,\N,producer,tt0123948
nm1293065,Chi-Mei Chin,\N,\N,actress,"tt0182975,tt1431728,tt0121095,tt1621207"
nm12931177,Alison Summers,\N,\N,writer,tt0122676
nm1293201,Astrid Krygell,\N,\N,actress,"tt2413056,tt2371630,tt2371730,tt0126326"
nm1293357,Ping Lee,\N,\N,actress,"tt0255327,tt0121567"
nm1293396,Kai-Chi Leung,\N,\N,actor,"tt0107399,tt0346028,tt0113599,tt6549694"
nm1293573,Cezary Makowski,\N,\N,"cinematographer,camera_department,miscellaneous","tt14593170,tt1029326,tt1464276,tt0128812"
nm1293819,Virgil Mogos,\N,\N,"actor,writer","tt0125698,tt0125709,tt0071101,tt0129898"
nm1293861,Kyoko Morinaga,\N,\N,"script_department,writer,miscellaneous","tt0120120,tt0363521,tt0892783,tt1728599"
nm1294852,Mikolaj Sidorczenko,1944,\N,cinematographer,"tt0128812,tt1266057"
nm1294937,Monika Solubianka,1949,\N,actress,"tt0068180,tt0071908,tt0092387,tt0498966"
nm1294981,Fritz Otto Stachorowski,\N,\N,cinematographer,"tt0196998,tt0083662,tt0806194,tt0806910"
nm1295231,Benno Trautmann,\N,\N,"director,writer,producer","tt1714680,tt0337315,tt0120464,tt0337363"
nm1295277,Gino Udina,\N,\N,writer,tt0130762
nm1295621,Digby Young,\N,\N,"cinematographer,camera_department,casting_department","tt5442456,tt0281519,tt2033995,tt0338470"
nm1295668,Maurizio Zaubmann,\N,\N,editor,"tt0075324,tt0125220"
nm1295784,Carlos Amaury,\N,\N,actor,tt0122062
nm1296053,Christian Gonon,\N,\N,actor,"tt2118671,tt13399946,tt2963918,tt0400414"
nm1296665,Maria Chira,\N,\N,actress,"tt0071101,tt0125698,tt0145690"
nm1296666,Ming-Hui Chou,\N,\N,actress,"tt0238324,tt1943673,tt2870530,tt3149610"
nm1296680,Amélia Corôa,\N,\N,actress,"tt0340099,tt0119727,tt0229881"
nm1296838,Cardine Leigh,\N,\N,actress,tt0121567
nm12974028,David T. Garcia,\N,\N,editor,tt0126506
nm1297971,Corazon Aquino,1933,2009,,"tt0442301,tt12030266,tt0124103,tt0483343"
nm12992681,Nello Paolantoni,\N,\N,producer,tt0125896
nm1299835,Si Git Hau,\N,\N,"actor,writer,producer","tt0089631,tt0121911,tt0183304,tt0083199"
nm13000365,Ryan Scott,\N,\N,editor,"tt0160577,tt0126520"
nm1300546,Mei Wan Lau,\N,\N,producer,"tt0184063,tt0121750"
nm1300701,Alexandros Logothetis,1970,\N,"actor,producer","tt0128307,tt0255002,tt2232594,tt1708523"
nm1300784,An Ma,\N,\N,"actor,production_manager,miscellaneous","tt0122102,tt0121416,tt0101305,tt0079155"
nm1300898,Mari Mariano,\N,\N,writer,"tt0347354,tt0344499,tt0170104,tt0216753"
nm1301442,Shaun O'Rourke,1975,\N,"transportation_department,actor,miscellaneous","tt11327514,tt1397514,tt1723121,tt5255524"
nm1301531,Ryan H. Pak,\N,\N,producer,tt0123855
nm1301787,Greg Provance,1971,\N,actor,"tt0158552,tt0118300,tt0309905,tt0106028"
nm1302197,Melisse Santiago,\N,\N,actress,"tt0124999,tt0438943,tt0186232,tt0350305"
nm13028231,Elnora Chapman,\N,\N,actress,"tt0176357,tt15680354"
nm1303229,Xutos & Pontapés,\N,\N,composer,"tt2056217,tt0120307"
nm13034402,Dawn Mullan,\N,\N,actress,tt0124335
nm13037081,El Hadji Malick Sy,\N,\N,"art_department,production_designer","tt0127915,tt0338603"
nm1303986,Kaj Allen,\N,\N,writer,tt0125272
nm1304254,Law Bo,\N,\N,actor,tt0121416
nm1304423,Ceasar Cavaricci,\N,\N,actor,tt0123581
nm13044804,Saga Dahlstedt,\N,\N,actress,tt0121615
nm1304525,Lefty Cooper,\N,\N,actor,tt0122943
nm1305056,Lara Grice,1971,\N,actress,"tt3315342,tt2183404,tt3564472,tt4419214"
nm1305253,Dik Man Hui,\N,\N,actress,tt0121416
nm1305321,Attila Janovitz,1949,\N,editor,"tt0396831,tt5533038,tt0378277,tt0145624"
nm13064149,Candy Richardz,\N,\N,"actress,director,writer","tt0188863,tt4917224,tt2992000,tt2359427"
nm13064167,Kuan-Ting Li,\N,\N,actor,"tt0165733,tt0165744,tt11401108,tt7308240"
nm13064191,Guang Li,\N,\N,actor,"tt0122238,tt0926106"
nm1306553,Shok,1972,\N,"composer,soundtrack,actor","tt0318390,tt0120510,tt2226519,tt0137205"
nm1307397,Steve Geiger,1972,\N,"actor,art_department,producer","tt0449511,tt0361121,tt0187782,tt0804438"
nm1308364,Patricia T. Green,\N,\N,"producer,production_manager","tt0130142,tt0206963"
nm1308367,Timothy Greenberg,1970,\N,"producer,writer,director","tt0115147,tt4903242,tt7599936,tt8880894"
nm1309169,Michael Harvey,\N,\N,"writer,producer,actor","tt0103511,tt1325886,tt0121956,tt0129685"
nm1309515,Matthew Buckham,\N,\N,actor,tt0120825
nm1309628,Maria João Sigalho,1973,\N,"producer,miscellaneous,actress","tt1999246,tt1424361,tt0816149,tt1454613"
nm13096728,Richard Mann,\N,\N,"director,editorial_department",tt0129567
nm1309837,Hans Dymsesen,1870,1939,actor,tt0127028
nm1310221,Jessie Horsting,\N,\N,"writer,actress","tt0414762,tt0099361,tt0130424,tt13476216"
nm1310403,Gabi Klier,\N,\N,actress,"tt8325308,tt0122470"
nm1311349,Te-Li Hsu,\N,\N,"cinematographer,camera_department,actress","tt0187141,tt1464602,tt0073121,tt2058644"
nm1311557,Nicolau Tudela,1961,\N,"art_department,art_director,miscellaneous","tt0390753,tt18334412,tt0403814,tt0163452"
nm1311611,Ludovic Videira,\N,\N,actor,tt0119727
nm1311634,Moritz Von Oswald,\N,\N,"actor,soundtrack,composer","tt0270707,tt1000774,tt1232776,tt0077947"
nm13119481,Su-Mei Yang,\N,\N,producer,tt0121621
nm1312471,Sonja Mills,\N,\N,actress,"tt0122181,tt0263215,tt0305679,tt4664424"
nm1312891,Marie-Françoise Roche,\N,\N,"producer,actress","tt0118572,tt1858742,tt0096860,tt0350354"
nm1313083,Michael Catalano,\N,\N,actor,tt0123123
nm1313809,Rene Broussard,\N,\N,"director,writer,producer","tt0118761,tt0351645"
nm1313986,Camille Cottagnoud,\N,\N,"cinematographer,camera_department,miscellaneous","tt0772115,tt0376492,tt0126644,tt2215113"
nm1314169,David Dubinsky,1892,1982,,tt0130358
nm1315384,William H. Nutsack,\N,\N,"director,camera_department,music_department","tt1644663,tt1519306,tt1858517,tt1582574"
nm1315457,Jacob Pat,\N,\N,writer,tt0130358
nm1315560,Grigori Prusovsky,\N,\N,"producer,production_manager,location_management","tt0145411,tt8127644,tt0129152,tt0062017"
nm1315681,Fredrick Roe,\N,\N,"camera_department,cinematographer","tt0129461,tt0128662,tt0123518,tt0124531"
nm1315895,Shantilal Soni,\N,\N,"director,producer,writer","tt0357926,tt0121659,tt1286636,tt0386664"
nm1316146,B. Charney Vladeck,\N,\N,,tt0130358
nm1316636,Allen Hai-Han Lan,\N,\N,"actor,stunts,director","tt0373074,tt0387228,tt0121486,tt1386932"
nm1316983,Sherry Han,\N,\N,"actress,producer","tt0121918,tt0387228"
nm1317785,Tom Gleeson,1974,\N,"writer,producer,actor","tt0169730,tt6256660,tt15760080,tt0350457"
nm1319002,Melissa Guzzi,\N,\N,actress,tt0123099
nm1319085,Natascha Hockwin,1982,\N,actress,"tt0106178,tt0806910,tt0118281,tt1855562"
nm1319094,Gini Holtzman,\N,\N,"actress,soundtrack","tt0123122,tt0088543,tt0084996,tt0338090"
nm1319316,Diane Lahumière,1961,\N,actress,tt0130804
nm1319589,Arturo Millhouse,\N,\N,actor,"tt0132858,tt0126425,tt0196684,tt0127090"
nm13204541,Peter Steinfeld,\N,\N,"writer,producer,actor","tt0478087,tt0289848,tt0377471,tt0186045"
nm1320475,Souitchi Yariki,\N,\N,composer,tt0122133
nm1321106,Michelle Scher,\N,\N,actress,tt0128724
nm1321208,Marion Wille,\N,\N,editor,tt0806901
nm1322160,Alptug Atasoy,\N,\N,actor,tt0118175
nm1322693,Gordon Duffy,\N,\N,"actor,director,writer","tt0189277,tt0075472,tt0121121,tt0068069"
nm1323218,Filip Jánský,1922,1987,writer,tt0127043
nm13250991,Lauren Crane,\N,\N,actor,tt0123296
nm1325216,Roxanne Burger,\N,\N,actress,"tt0120166,tt0353101"
nm1326248,Steve Sayer,\N,\N,writer,"tt0188849,tt0181286,tt0125924,tt0183270"
nm1326251,Tom Wong,\N,\N,writer,tt0128743
nm1326681,Jeff Cuda,\N,\N,actor,tt0128743
nm1326696,Merriel Abbott Dancers,\N,\N,"actress,soundtrack","tt0037335,tt0031611,tt0032730,tt0032289"
nm1327297,Rosa Lee Kimball,\N,\N,actress,"tt0197368,tt0189496,tt0197457,tt0124680"
nm1327370,Robert O.J. Laatz,1971,\N,"camera_department,cinematographer","tt0121092,tt2082417,tt0330860,tt4165472"
nm1327499,Raymond Lyon,\N,\N,actor,"tt3738206,tt0125423,tt0207966,tt0487795"
nm1327546,Winston Marcelle,\N,\N,writer,tt0128743
nm13288806,Anna Wahlbom,\N,\N,actress,tt0122466
nm1328959,Cheryl Hansson,\N,\N,actress,tt0123669
nm1329003,Cleo O'Hara,\N,\N,actress,"tt0145328,tt0124501,tt0126481,tt0123786"
nm1329708,Lolita,1972,\N,actress,"tt0380645,tt0467220,tt0126931,tt0126932"
nm1329826,Theresa Jones,\N,\N,actress,"tt0124694,tt0149110,tt0135920,tt0196522"
nm1330266,Glenn Cornick,1947,2014,,"tt5097046,tt8370846,tt2442506,tt0239161"
nm1331604,Clive Bunker,1946,\N,,"tt8370846,tt0117028,tt0239161,tt5097046"
nm13322881,Ed 'Booger' Smith,\N,\N,,tt0122728
nm1332405,Jon Ericson,\N,\N,"actor,camera_department","tt0206757,tt0206948,tt0128687"
nm1332523,Keith Wood,\N,\N,actor,tt0122220
nm1332590,Marion Smith,\N,\N,actress,tt0121676
nm13329686,Serge Ludovic,\N,\N,actor,tt0122876
nm1333139,Mark Baptista,\N,\N,"cinematographer,camera_department","tt0121389,tt0206948"
nm1333545,São José Correia,1974,\N,"actress,director,writer","tt1302514,tt0495037,tt12547074,tt4649174"
nm1333576,Candy Cummings,\N,\N,actress,"tt0187409,tt0124892,tt0196946,tt0166113"
nm1333760,Maxine Duff-Davis,\N,\N,actress,tt0121676
nm1334194,Harding Harrison,\N,\N,actor,"tt0153206,tt0082082,tt0124367,tt0194899"
nm1334423,Kristopher Joud,\N,\N,production_designer,tt0126101
nm1334662,Barbara Lapsley,\N,\N,actress,tt0121389
nm1335886,Steve Susman,\N,\N,editor,tt0128344
nm1336018,Trouhanova,1885,1956,actress,"tt0463443,tt0125423,tt0907767,tt0433582"
nm1336028,Robbie Tucker,\N,\N,"miscellaneous,actor","tt0096071,tt0245792,tt0079834,tt0079719"
nm1336446,Steve Douglas,\N,\N,actor,"tt0195628,tt0128631,tt0196538,tt0128771"
nm1336465,Harry Ferris,\N,\N,actor,tt0126101
nm1336636,Ulf Nyberg,1977,\N,"actor,camera_department","tt0355527,tt8834524,tt0384521,tt0374658"
nm1336662,Peter Pole,\N,\N,actor,"tt0183172,tt0197277,tt0129629"
nm1336868,Judy Dee,\N,\N,actress,tt0125145
nm1337075,Sydney,\N,\N,actress,"tt0126551,tt0238096,tt0808917,tt0156285"
nm1337677,Debbie Deen,\N,\N,"producer,script_department","tt0125359,tt0153457,tt1230366"
nm1339806,The Red Elvises,\N,\N,"soundtrack,composer,music_department","tt0125022,tt0320000,tt0360903,tt0118736"
nm1340163,Eric Vander Borght,\N,\N,"director,producer,editor","tt6232504,tt4823236,tt13856852,tt4823070"
nm1341156,Kandi Abelson,\N,\N,"actress,writer,producer","tt8796226,tt0891398,tt0130859"
nm1341259,Tobie Nathan,\N,\N,"actor,writer","tt7279132,tt0120067,tt3662072,tt5324800"
nm1341340,Jerry Davis,\N,\N,actor,"tt0195428,tt0141239,tt0191526,tt0129502"
nm1341567,Rachel Herbert,\N,\N,editor,tt0121261
nm1341666,Wayne Taylor,\N,\N,"camera_department,cinematographer","tt0130529,tt0087965,tt0088378,tt1794817"
nm1342173,David Devant and his Spirit Wife,\N,\N,"soundtrack,composer",tt0123341
nm1342789,Veronica Lakewood,\N,\N,"actress,writer",tt0121261
nm1343013,Lubo Mikula,\N,\N,cinematographer,"tt0121261,tt0364846"
nm1343253,Armondo Pinto,\N,\N,editor,tt0121262
nm1343393,Susumu Saegusa,\N,\N,"producer,director,writer","tt0121262,tt4095322,tt0146921,tt14169438"
nm1343443,Brian Schnoor,\N,\N,"miscellaneous,producer","tt0120974,tt2402635"
nm1343450,James B. Schwartz,\N,\N,"actor,writer,music_department","tt7422580,tt0223250,tt0121262,tt0223251"
nm1343571,Andrea Steinlandt,\N,\N,production_designer,"tt1167324,tt0806910,tt1682201,tt0125618"
nm1343651,Andrew Theopolis,\N,\N,"producer,director,miscellaneous","tt0121262,tt0223250"
nm1343707,Mortimer Updike,\N,\N,cinematographer,tt0121261
nm1344016,Jy Harris,1979,\N,"actor,writer,camera_department","tt0270846,tt0290966,tt1934469,tt0318252"
nm1344475,Dan Mackenzie,\N,\N,"soundtrack,composer,music_department","tt3282858,tt1131728,tt0357585,tt0364842"
nm1344955,Álvaro Escobar,1966,\N,actor,"tt0431534,tt0117035,tt0378456,tt0379607"
nm1344996,Anita Sands,\N,\N,actress,"tt0124412,tt0195636"
nm1345272,Bruce Bennett,1962,\N,"writer,producer,miscellaneous","tt0460453,tt0283569,tt0433640"
nm1345395,Jason Williams,\N,\N,"producer,writer,miscellaneous","tt0112054,tt0498402,tt2133015,tt1358087"
nm13455489,Trymer,\N,\N,actor,tt0120948
nm1345635,Raymond Bertheaud,1997,\N,editor,tt0120042
nm1345849,Greg Chopoorian,\N,\N,"actor,animation_department,producer","tt6692748,tt14849194,tt10975574,tt0273435"
nm1345868,Jake Cocadiz,\N,\N,"writer,director,art_director","tt1441420,tt0125009,tt0486820,tt8764026"
nm1346777,Iván Madarász,1949,\N,composer,"tt0849411,tt8096300,tt0168242,tt1207748"
nm1346928,Ion Mititelu,\N,\N,"production_manager,producer,actor","tt0233656,tt0461892,tt0085460,tt0430436"
nm1347250,Jigs Recto,\N,\N,"writer,director,assistant_director","tt0125009,tt1321413,tt1284482,tt2261729"
nm1348080,George Keeler,\N,\N,actor,"tt11893676,tt8871254"
nm1348456,Patrizia Rodi,\N,\N,actress,tt0123913
nm1348581,David Thrasher,\N,\N,"editor,editorial_department,sound_department","tt7459986,tt1680140,tt0787985,tt0118717"
nm1349031,Nick Romano,\N,\N,"actor,director,writer","tt0438138,tt1532521,tt0360063,tt0188736"
nm1349090,Jack Austin,\N,\N,actor,tt0129968
nm13492852,Frederick Borgerhoff-Mulder,\N,\N,,\N
nm13498585,Sykes,\N,\N,actor,"tt0814261,tt0118401,tt4226636"
nm1350580,David Haycox,\N,\N,"cinematographer,director,camera_department","tt0309152,tt0360255,tt0484243,tt0100232"
nm1350724,Walentyna Jendrych,1948,\N,actress,"tt0120947,tt0077950,tt0082760"
nm1350869,Józef Korzeniowski,1934,1993,actor,"tt0441074,tt0399943,tt0091536,tt0075003"
nm1351175,Riccardo Mazzarella,\N,\N,actor,"tt12411922,tt12413704,tt0126358,tt0126629"
nm1351607,Tamara Rampazzi,\N,\N,actress,"tt0126358,tt12413704"
nm1351947,Walter Spahrbier,1905,1982,actor,"tt2257814,tt0396282,tt1105358,tt3270796"
nm1352566,Eberhard Gläser,\N,\N,actor,"tt0120991,tt0120964,tt0302088"
nm13525860,Camille Legrand,\N,\N,cinematographer,"tt1236907,tt2086801,tt0127962"
nm13525861,Wormser,\N,\N,cinematographer,tt0127962
nm1352847,Massimiliano Valeri,\N,\N,actor,"tt0126358,tt12413704"
nm1352950,Louise Dunbar,1901,1925,actress,tt0129968
nm13533293,Biff Parker,\N,\N,"actor,set_decorator","tt0194828,tt0127116,tt0127111,tt0177790"
nm1354152,David Parks,\N,\N,"producer,director,writer","tt1079038,tt0457244,tt0373623,tt0288379"
nm1354760,D'Artagnon,\N,\N,"composer,music_department","tt0197308,tt0123827,tt0124640,tt0197515"
nm1355840,Martyn G. Mayer,\N,\N,"director,editor,writer","tt0181392,tt1100002,tt0361392,tt3768904"
nm1356722,Rinsuke Teruya,\N,\N,actor,"tt0105141,tt0124189"
nm1357350,Frankie Nero,\N,\N,actor,tt0130524
nm1358614,Roger Chapman,\N,\N,"cinematographer,camera_department","tt5536398,tt0472938,tt1029342,tt1263630"
nm1358862,Jerry Ross,\N,\N,"writer,costume_designer","tt0294662,tt0130103"
nm1358884,Ellen Aggerholm,1882,1963,actress,"tt0822005,tt0174712,tt3126712,tt0308352"
