nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0764230,Paulo Santos,\N,\N,"composer,music_department","tt0185978,tt0069389,tt0200499,tt1956495"
nm0764360,John Santucci,\N,\N,"art_department,production_designer","tt0117631,tt0970917,tt0386117,tt0809931"
nm0764445,Horatio Sanz,1969,\N,"actor,soundtrack,writer","tt0285462,tt1645170,tt1045778,tt1920849"
nm0764652,D. Cypher,\N,\N,"writer,director,actor","tt4089910,tt0349170,tt0988698,tt0847136"
nm0764677,Maria Sapundzhieva,\N,\N,actress,"tt5685888,tt0261737,tt0339522,tt0840033"
nm0764701,Jessica Sara,1992,\N,"actress,miscellaneous","tt0273855,tt0281373,tt0170016,tt0111945"
nm0764784,Dana Sarafinchan,\N,\N,"special_effects,art_department,actor","tt0450232,tt0144117,tt0467197,tt1386697"
nm0764868,Birgit Sarata,\N,\N,actress,"tt0260133,tt0275127,tt0091296,tt1173678"
nm0764893,Siput Serawak,1920,1999,"actress,writer","tt15062832,tt0279849,tt0922609,tt6578326"
nm0764956,Yves Sarda,\N,\N,"editor,writer,editorial_department","tt0174076,tt0245834,tt1183139,tt0357008"
nm0765067,Regina Sarfaty,1932,\N,"actress,soundtrack","tt0862996,tt1466941,tt0259858,tt1385556"
nm0765183,Serap Sari,\N,\N,actress,tt0262222
nm0765219,Aziz Sarikaya,1929,\N,"producer,writer","tt0441294,tt0410307,tt0260683,tt0335136"
nm0765245,Muzaffer Sarisözen,1899,1963,"composer,soundtrack,miscellaneous","tt0273417,tt0261562,tt0338058,tt2415964"
nm0765394,Sim Sarna,\N,\N,producer,"tt1129381,tt2321502,tt1523939,tt0261992"
nm0765489,Rafael Saroyan,\N,\N,"actor,production_manager","tt0429159,tt0420834,tt0361807,tt0313895"
nm0765715,Al Snow,1963,\N,"actor,producer,stunts","tt1611816,tt0227972,tt11923674,tt0278142"
nm0765791,Kazunori Sasaki,\N,\N,"actor,transportation_department","tt0290662,tt1018736,tt0237970,tt0449467"
nm0765837,Yôko Sasaki,\N,\N,actress,"tt0863036,tt0114563,tt0144069,tt1160697"
nm0765886,Koichi Saski,\N,\N,director,tt0259534
nm0765997,Andrea Sasso,\N,\N,actor,"tt0256938,tt0237704,tt12572972,tt11092784"
nm0766036,Jean-Paul Sassy,1915,1992,"director,assistant_director,writer","tt0051378,tt0171001,tt0188130,tt0269339"
nm0766053,Gummaluri Sastri,\N,\N,"actor,producer",tt0251919
