tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0000216,short,Visita de Doña María Cristina y Alfonso XIII a Barcelona,Visita de Doña María Cristina y Alfonso XIII a Barcelona,0,1898,\N,\N,"News,Short"
tt0002540,movie,Tropisk kærlighed,Tropisk kærlighed,0,1912,\N,32,\N
tt0088417,movie,Hang choh yan yuen lo,Hang choh yan yuen lo,0,1984,\N,\N,\N
tt0102214,movie,The Killing Zone,The Killing Zone,0,1991,\N,83,Action
tt0108255,movie,Super Mario Bros.,Super Mario Bros.,0,1993,\N,104,"Adventure,Comedy,Family"
tt0108256,movie,The Seventh Horse of the Sun,Suraj Ka Satvan Ghoda,0,1992,\N,130,"Drama,Romance"
tt0108257,movie,Sure Fire,Sure Fire,0,1990,\N,83,Drama
tt0108258,movie,Surf Ninjas,Surf Ninjas,0,1993,\N,87,"Action,Adventure,Comedy"
tt0108259,tvMovie,Survive the Night,Survive the Night,0,1993,\N,91,"Action,Thriller"
tt0108260,movie,Suture,Suture,0,1993,\N,96,"Drama,Thriller"
tt0108262,movie,Svarte pantere,Svarte pantere,0,1992,\N,85,"Action,Drama"
tt0108263,movie,The Vampire Wedding,Svatba upíru,0,1993,\N,94,"Comedy,Fantasy,Horror"
tt0108264,movie,Sweet Killing,Sweet Killing,0,1993,\N,87,"Comedy,Crime,Drama"
tt0108265,movie,Swing Kids,Swing Kids,0,1993,\N,112,"Drama,Music"
tt0108266,tvMovie,The Switch,The Switch,0,1993,\N,91,"Biography,Drama"
tt0108268,movie,The Swordsman,The Swordsman,0,1992,\N,92,"Action,Crime,Drama"
tt0108269,tvMovie,Sworn to Vengeance,Sworn to Vengeance,0,1993,\N,97,"Crime,Thriller"
tt0108273,movie,Szwadron,Szwadron,0,1992,\N,100,"Drama,History,Romance"
tt0108274,movie,A színésznö és a halál,A színésznö és a halál,0,1995,\N,144,Documentary
tt0108275,movie,The Searchers,(Sökarna),0,1993,\N,108,"Action,Crime,Drama"
tt0108276,movie,T' Aves Bachtalo,T' Aves Bachtalo,0,1994,\N,65,Documentary
tt0108277,movie,TC 2000,TC 2000,0,1993,\N,95,"Action,Sci-Fi"
tt0108279,movie,Tafelspitz,Tafelspitz,0,1994,\N,99,Comedy
tt0108281,movie,Tai Chi Master,Tai gik Cheung Sam Fung,0,1993,\N,96,"Action,Comedy,Drama"
tt0108282,movie,No More Love No More Death,Tai Zi chuan shuo,0,1993,\N,89,"Action,Crime,Thriller"
