tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0026059,movie,Alles hört auf mein Kommando,Alles hört auf mein Kommando,0,1935,\N,87,Comedy
tt0041049,tvSeries,The Paul Whiteman's Goodyear Revue,The Paul Whiteman's Goodyear Revue,0,1949,1952,30,Music
tt0042068,tvSeries,Abe Burrows' Almanac,Abe Burrows' Almanac,0,1950,\N,30,"Comedy,Music,Talk-Show"
tt0079547,movie,Mese habbal,Mese habbal,0,1979,\N,80,"Comedy,Drama"
tt0102839,movie,"Santa Cruz, el cura guerrillero","Santa Cruz, el cura guerrillero",0,1991,\N,\N,\N
tt0107882,tvEpisode,A félelem ára,A félelem ára,0,1993,\N,\N,"Adventure,Comedy,Crime"
tt0140113,movie,Head Waitress,Head Waitress,1,1984,\N,\N,Adult
tt0178871,movie,Romance musical,Romance musical,0,1947,\N,92,"Comedy,Musical,Romance"
tt0178873,movie,Rules of the Game,Rules of the Game,0,1998,\N,48,Documentary
tt0178874,short,Salida de los alabarderos de palacio,Salida de los alabarderos de palacio,0,1896,\N,\N,"Documentary,Short"
tt0178875,movie,Santa Cándida,Santa Cándida,0,1945,\N,90,Comedy
tt0178876,movie,Esclaves Sexuelles Sur Catalogue,Esclaves Sexuelles Sur Catalogue,1,1977,\N,62,"Adult,Comedy"
tt0178877,movie,Satisfactions,Satisfactions,1,1983,\N,74,"Adult,Comedy,Drama"
tt0178878,video,"Saturday Night Sleazies, Vol. 1","Saturday Night Sleazies, Vol. 1",0,1990,\N,150,"Comedy,Drama"
tt0178879,video,"Saturday Night Sleazies, Vol. 2","Saturday Night Sleazies, Vol. 2",0,1991,\N,150,Comedy
tt0178880,video,"Saturday Night Sleazies, Vol. 3","Saturday Night Sleazies, Vol. 3",0,1991,\N,150,"Comedy,Drama"
tt0178882,movie,Cette malicieuse Martine,Cette malicieuse Martine,1,1979,\N,70,"Adult,Comedy"
tt0178883,movie,Sensational Kidnapping,Secuestro sensacional,0,1942,\N,69,Comedy
tt0178884,movie,The Seductor,El seductor,0,1950,\N,100,\N
tt0178890,movie,Shadow of the Past,Shadow of the Past,0,1950,\N,83,"Crime,Drama"
tt0178895,movie,Skoryy poezd,Skoryy poezd,0,1988,\N,99,Drama
tt0178896,movie,Sky Liner,Sky Liner,0,1949,\N,61,"Action,Crime,Drama"
tt0178897,video,"Sleazemania III: The Good, the Bad and the Sleazy","Sleazemania III: The Good, the Bad and the Sleazy",0,1986,\N,\N,Documentary
tt0178898,video,Sleazemania Strikes Back,Sleazemania Strikes Back,0,1985,\N,68,Documentary
tt0178899,movie,Sleazemania: The Special Edition,Sleazemania: The Special Edition,0,1985,\N,60,Documentary
tt0178900,movie,Unknown Soldier,Soldato ignoto,0,1995,\N,95,"Drama,Fantasy,War"
tt0178901,movie,Le soleil a toujours raison,Le soleil a toujours raison,0,1943,\N,88,"Comedy,Drama"
tt0178903,movie,Solo tu,Solo tu,0,1998,\N,56,Romance
tt0178907,movie,La sonrisa de mamá,La sonrisa de mamá,0,1972,\N,98,"Comedy,Musical"
tt0178908,movie,"Dream, It Costs Nothing",Soñar no cuesta nada,0,1941,\N,85,Comedy
tt0178909,movie,The Spiral,La spirale,0,1976,\N,138,Documentary
tt0178911,movie,Springtime,Spring Song,0,1946,\N,80,Drama
tt0178912,video,Stairway to Paradise,Stairway to Paradise,1,1991,\N,83,"Adult,Fantasy,Romance"
tt0178914,short,Steam Hammer,Steam Hammer,0,1904,\N,4,"Documentary,Short"
tt0178915,short,Steam Whistle,Steam Whistle,0,1904,\N,1,"Documentary,Short"
tt0178916,movie,Stomping Grounds,Stomping Grounds,0,1998,\N,83,\N
tt0178917,video,Street Angels,Street Angels,0,1993,\N,86,Action
tt0178919,movie,Jack Called Three Times,La suerte llama tres veces,0,1943,\N,80,Comedy
tt0178922,short,Tacoma Narrows Bridge Collapse,Tacoma Narrows Bridge Collapse,0,1940,\N,8,"Documentary,Short"
tt0178923,video,A Tale of Egypt,A Tale of Egypt,0,1998,\N,46,"Adventure,Animation,Drama"
tt0178924,short,Taping Coils,Taping Coils,0,1904,\N,2,"Documentary,Short"
tt0178925,short,Tapping a Furnace,Tapping a Furnace,0,1904,\N,5,"Documentary,Short"
tt0178926,tvEpisode,Berliner Weiße,Berliner Weiße,0,1998,\N,85,"Crime,Drama,Mystery"
tt0178927,movie,Te marre pas... c'est pour rire!,Te marre pas... c'est pour rire!,0,1982,\N,97,Comedy
tt0178928,tvMovie,The Tempest,The Tempest,0,1998,\N,120,Drama
tt0178929,tvMovie,Teo,Teo,0,1997,\N,100,Drama
tt0178930,movie,El tercer beso,El tercer beso,0,1943,\N,\N,\N
tt0178932,short,"Testing Large Turbines, Westinghouse Co. Works","Testing Large Turbines, Westinghouse Co. Works",0,1904,\N,4,"Documentary,Short"
tt0178933,short,Testing a Rotary,Testing a Rotary,0,1904,\N,3,"Documentary,History,Short"
tt0178934,video,Private Black Label 2: That'$ Life 2,Private Black Label 2: That'$ Life 2,1,1998,\N,143,Adult
tt0178935,movie,Things II,Things II,0,1998,\N,79,Horror
tt0178936,short,This Film Is a Dog,This Film Is a Dog,0,1996,\N,4,Short
tt0178938,short,After One Cigarette,After One Cigarette,0,1999,\N,28,"Drama,Short"
tt0178939,video,Three Faces of Angel,Three Faces of Angel,1,1986,\N,82,Adult
tt0178941,short,Thérèse II la mission,Thérèse II la mission,0,1987,\N,3,"Action,Comedy,Short"
tt0178945,movie,Too Hot to Touch,Too Hot to Touch,1,1985,\N,85,Adult
tt0178946,movie,Toscanini: The Maestro,Toscanini: The Maestro,0,1985,\N,85,"Documentary,Music"
tt0178947,movie,Touchez pas au zizi,Touchez pas au zizi,1,1978,\N,\N,Adult
tt0178948,short,Tout morose,Tout morose,0,1998,\N,5,Short
tt0178949,movie,Tout pour jouir,Tout pour jouir,1,1978,\N,\N,Adult
tt0178950,short,De tovenaarsleerling,De tovenaarsleerling,0,1986,\N,35,"Drama,Short"
tt0178952,videoGame,Toy Story,Toy Story,0,1995,\N,\N,"Action,Adventure,Family"
tt0178956,movie,Two Blondes and a Redhead,Two Blondes and a Redhead,0,1947,\N,70,"Comedy,Music"
tt0178958,movie,Ubu,Ubu,0,1995,\N,\N,\N
tt0178962,movie,La valija,La valija,0,1971,\N,90,"Comedy,Drama"
tt0178963,movie,Vamos a soñar por el amor,Vamos a soñar por el amor,0,1971,\N,85,"Comedy,Musical,Romance"
tt0178964,movie,Vampire Time Travelers,Vampire Time Travelers,0,1998,\N,\N,"Comedy,Horror"
tt0178965,movie,Vampires,Vampires,0,1986,\N,80,Horror
tt0178967,movie,Once in a Lifetime,Una vez en la vida,0,1941,\N,75,"Comedy,Drama"
tt0178968,movie,Viaje de una noche de verano,Viaje de una noche de verano,0,1965,\N,105,Comedy
tt0178969,movie,La vida en rosa,La vida en rosa,0,1988,\N,86,"Drama,Fantasy"
tt0178970,movie,"Viol, la grande peur","Viol, la grande peur",0,1978,\N,93,Drama
tt0178975,movie,Voodoo Europa,Voodoo Europa,0,1994,\N,70,"Documentary,Drama"
tt0178976,movie,Vdovy,Vdovy,0,1977,\N,90,Drama
tt0178979,short,Welding the Big Ring,Welding the Big Ring,0,1904,\N,6,"Documentary,Short"
tt0178980,short,Westinghouse Air Brake Co.,Westinghouse Air Brake Co.,0,1904,\N,3,"Documentary,Short"
tt0178981,short,Westinghouse Air Brake Co. (Casting Scene),Westinghouse Air Brake Co. (Casting Scene),0,1904,\N,3,"Documentary,Short"
tt0178982,short,Westinghouse Air Brake Co. (Moulding Scene),Westinghouse Air Brake Co. (Moulding Scene),0,1904,\N,4,"Documentary,Short"
tt0178983,movie,Westinghouse Works,Westinghouse Works,0,1904,\N,68,Documentary
tt0178984,short,What Price Goofy?,What Price Goofy?,0,1925,\N,22,"Comedy,Short"
tt0178985,tvMovie,Where Have You Gone Joe DiMaggio?,Where Have You Gone Joe DiMaggio?,0,1997,\N,63,"Biography,Documentary,Sport"
tt0178986,movie,Where North Holds Sway,Where North Holds Sway,0,1927,\N,57,Western
tt0178988,movie,Whiteboyz,Whiteboyz,0,1999,\N,92,"Comedy,Drama"
tt0178990,movie,Wild Things II,Wild Things II,1,1986,\N,79,"Adult,Comedy"
tt0178991,movie,The Woman from Tangier,The Woman from Tangier,0,1948,\N,66,"Action,Adventure,Crime"
tt0178993,movie,"Ekhali, my ekhali","Ekhali, my ekhali",0,1963,\N,82,Comedy
tt0178994,movie,I Knew That Woman,Yo conocí a esa mujer,0,1942,\N,92,Drama
tt0178995,movie,I Want to Be a Chorus Girl,Yo quiero ser bataclana,0,1941,\N,80,"Comedy,Musical"
tt0178996,movie,You Only Love Once,Tu seras terriblement gentille,0,1968,\N,91,Drama
tt0178997,movie,You're Dead...,You're Dead...,0,1999,\N,98,Thriller
tt0178998,movie,Your Place or Mine,Mui tin oi nei 8 siu si,0,1998,\N,100,"Comedy,Drama,Romance"
tt0179000,movie,Long Live Life,¡Viva la vida!,0,1969,\N,105,"Comedy,Musical"
tt0179001,movie,L'âne de Zigliara,L'âne de Zigliara,0,1970,\N,\N,\N
tt0179003,movie,L'île d'amour,L'île d'amour,0,1944,\N,106,"Drama,Romance"
tt0179005,tvSeries,De appelgaard,De appelgaard,0,1985,1986,\N,Drama
tt0179006,tvSeries,BBC 3,BBC 3,0,1965,1966,60,Comedy
tt0179009,tvSeries,Bartje,Bartje,0,1972,1973,60,Drama
tt0179010,tvSeries,Brothers and Sisters,Brothers and Sisters,0,1998,\N,\N,Drama
tt0179011,short,Bunny,Bunny,0,1998,\N,7,"Animation,Comedy,Family"
