tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0098753,tvMiniSeries,Bismarck,Bismarck,0,1990,\N,180,History
tt0098754,tvSeries,The New Adventures of the Black Stallion,The Adventures of Black Stallion,0,1990,1993,30,"Adventure,Family"
tt0098756,tvSeries,The Bradys,The Bradys,0,1990,1990,60,"Comedy,Drama"
tt0098757,tvSeries,Brewster Place,Brewster Place,0,1990,1990,30,Drama
tt0098758,tvMiniSeries,Broken Badges,Broken Badges,0,1990,\N,60,"Crime,Drama"
tt0098759,tvMiniSeries,De brug,De brug,0,1990,\N,\N,"Drama,War"
tt0098760,tvSeries,Capital City,Capital City,0,1989,1990,60,Drama
tt0098761,tvSeries,Capital News,Capital News,0,1990,1990,60,Drama
tt0098762,tvSeries,The Adventures of Super Mario Bros. 3,The Adventures of Super Mario Bros. 3,0,1990,1990,11,"Adventure,Animation,Comedy"
tt0098763,tvSeries,Captain Planet and the Planeteers,Captain Planet and the Planeteers,0,1990,1996,23,"Action,Adventure,Animation"
tt0098764,tvSeries,Carol & Company,Carol & Company,0,1990,1991,30,Comedy
tt0098765,tvSeries,The Case-Book of Sherlock Holmes,The Case-Book of Sherlock Holmes,0,1991,1993,60,"Crime,Drama,Mystery"
tt0098766,tvSeries,Chancer,Chancer,0,1990,1991,55,"Crime,Drama,Mystery"
tt0098767,tvSeries,Earth Squadron Fiveman,Chikyu sentai Fiveman,0,1990,1991,25,"Action,Adventure,Comedy"
tt0098768,tvSeries,City,City,0,1990,\N,30,Comedy
tt0098769,tvMiniSeries,The Civil War,The Civil War,0,1990,1990,680,"Documentary,History,War"
tt0098770,tvSeries,Claxon,Claxon,0,1991,1991,25,"Crime,Mystery"
tt0098771,tvSeries,Col'n Carpenter,Col'n Carpenter,0,1990,1991,25,Comedy
tt0098772,tvSeries,Cop Rock,Cop Rock,0,1990,1990,60,"Comedy,Drama,Musical"
tt0098773,tvSeries,Counterstrike,Counterstrike,0,1990,1993,60,"Action,Adventure"
tt0098774,tvSeries,The Crystal Maze,The Crystal Maze,0,1990,2020,60,"Adventure,Comedy,Family"
tt0098775,tvSeries,DEA,DEA,0,1990,1991,60,Drama
tt0098776,tvSeries,The Dave Thomas Comedy Show,The Dave Thomas Comedy Show,0,1990,1990,30,Comedy
tt0098777,tvMiniSeries,Dirigenti i muzikasi,Dirigenti i muzikasi,0,1990,\N,60,\N
tt0098778,tvSeries,Down Home,Down Home,0,1990,1991,30,Comedy
tt0098779,tvSeries,Dracula: The Series,Dracula: The Series,0,1990,1991,22,"Adventure,Comedy,Drama"
tt0098780,tvSeries,Dream On,Dream On,0,1990,1996,30,Comedy
tt0098781,tvSeries,Drop the Dead Donkey,Drop the Dead Donkey,0,1990,1998,\N,Comedy
tt0098782,tvMiniSeries,Drug Wars: The Camarena Story,Drug Wars: The Camarena Story,0,1990,1990,270,"Crime,Drama"
tt0098783,tvSeries,E.A.R.T.H. Force,E.A.R.T.H. Force,0,1990,1990,60,Sci-Fi
tt0098784,tvSeries,E.N.G.,E.N.G.,0,1989,1994,60,Drama
tt0098785,tvMiniSeries,Ebba och Didrik,Ebba och Didrik,0,1990,1990,262,"Drama,Family"
tt0098786,tvSeries,Elvis,Elvis,0,1990,1990,30,"Biography,Drama,Music"
tt0098787,tvSeries,Embassy,Embassy,0,1990,1992,50,Drama
tt0098788,tvMovie,Ende der Unschuld,Ende der Unschuld,0,1991,\N,184,Drama
tt0098789,tvSeries,Equal Justice,Equal Justice,0,1990,1991,60,"Drama,Romance"
tt0098790,tvSeries,Evening Shade,Evening Shade,0,1990,1994,30,Comedy
tt0098791,tvSeries,The Family Man,The Family Man,0,1990,1991,30,Comedy
tt0098792,tvSeries,A Family for Joe,A Family for Joe,0,1990,1990,30,Comedy
tt0098793,tvSeries,The Fanelli Boys,The Fanelli Boys,0,1990,1991,30,Comedy
tt0098794,tvSeries,Farmacia de guardia,Farmacia de guardia,0,1991,1996,60,Comedy
tt0098795,tvSeries,Ferris Bueller,Ferris Bueller,0,1990,1991,30,Comedy
tt0098796,tvMiniSeries,Enemy's Enemy,Fiendens fiende,0,1990,1991,398,Thriller
tt0098797,tvSeries,Les filles de Caleb,Les filles de Caleb,0,1990,\N,60,"Drama,Romance"
tt0098798,tvSeries,The Flash,The Flash,0,1990,1991,48,"Action,Crime,Fantasy"
tt0098799,tvSeries,Freddie and Max,Freddie and Max,0,1990,1990,\N,Comedy
tt0098800,tvSeries,The Fresh Prince of Bel-Air,The Fresh Prince of Bel-Air,0,1990,1996,22,Comedy
tt0098801,tvSeries,Gabriel's Fire,Gabriel's Fire,0,1990,1991,60,"Drama,Thriller"
tt0098802,tvSeries,Get a Life,Get a Life,0,1990,1992,30,"Comedy,Fantasy"
tt0098803,tvSeries,The Girl from Tomorrow,The Girl from Tomorrow,0,1991,1992,23,"Adventure,Family,Fantasy"
tt0098804,tvSeries,Glory Days,Glory Days,0,1990,\N,60,Drama
tt0098805,tvSeries,Going Places,Going Places,0,1990,1991,30,Comedy
tt0098806,tvMiniSeries,Golden Fiddles,Golden Fiddles,0,1991,1991,240,Drama
tt0098807,tvSeries,Good Grief,Good Grief,0,1990,1991,30,Comedy
tt0098808,tvSeries,Grand Slam,Grand Slam,0,1990,\N,60,Adventure
tt0098809,tvSeries,Grand,Grand,0,1990,1990,30,Comedy
tt0098811,tvSeries,Gravedale High,Gravedale High,0,1990,1991,30,"Animation,Comedy,Family"
tt0098812,tvMiniSeries,The Great Air Race,The Great Air Race,0,1991,2003,192,History
tt0098813,tvMiniSeries,The Green Man,The Green Man,0,1990,1990,50,"Comedy,Horror"
tt0098815,tvSeries,H.E.L.P.,H.E.L.P.,0,1990,1990,60,Adventure
tt0098816,tvSeries,Haggard,Haggard,0,1990,1992,30,Comedy
tt0098817,tvSeries,Harry Enfield's Television Programme,Harry Enfield's Television Programme,0,1990,1992,30,Comedy
tt0098818,tvSeries,Harry and the Hendersons,Harry and the Hendersons,0,1991,1993,30,"Comedy,Family,Fantasy"
tt0098819,tvSeries,Ein Haus in der Toscana,Ein Haus in der Toscana,0,1991,\N,45,Drama
tt0098820,tvSeries,Have I Got News for You,Have I Got News for You,0,1990,\N,29,"Comedy,Game-Show,News"
tt0098821,tvSeries,Haywire,Haywire,0,1990,1991,\N,Comedy
tt0098822,tvSeries,Heidi und Erni,Heidi und Erni,0,1990,\N,\N,\N
tt0098824,tvSeries,Hotel Paradies,Hotel Paradies,0,1990,\N,45,"Drama,Romance"
tt0098825,tvMiniSeries,House of Cards,House of Cards,0,1990,1990,226,Drama
tt0098826,tvSeries,Hull High,Hull High,0,1990,1990,60,"Comedy,Drama,Musical"
tt0098830,tvSeries,In Living Color,In Living Color,0,1990,1994,30,"Comedy,Music"
tt0098831,tvMovie,The Rose and the Jackal,The Rose and the Jackal,0,1990,\N,100,"Adventure,Drama,Romance"
tt0098832,tvMiniSeries,Lucky Chances,Lucky Chances,0,1990,1990,272,"Drama,Romance"
tt0098833,tvSeries,Jeeves and Wooster,Jeeves and Wooster,0,1990,1993,55,Comedy
tt0098834,tvSeries,The Storyteller: Greek Myths,The Storyteller: Greek Myths,0,1991,1991,24,"Adventure,Drama,Family"
tt0098835,tvSeries,Jupiter Moon,Jupiter Moon,0,1990,1996,30,"Drama,Sci-Fi"
tt0098836,tvMiniSeries,Die Kaltenbach-Papiere,Die Kaltenbach-Papiere,0,1991,\N,208,"Adventure,Crime"
tt0098837,tvSeries,Keeping Up Appearances,Keeping Up Appearances,0,1990,1995,60,Comedy
