tconst,ordering,nconst,category,job,characters
tt0128036,6,nm0330432,producer,producer,\N
tt0128036,7,nm0429884,cinematographer,\N,\N
tt0128036,8,nm0382277,editor,\N,\N
tt0128037,1,nm0920558,actor,\N,"[""Timothy""]"
tt0128037,2,nm0014873,actor,\N,"[""Cochrane""]"
tt0128037,3,nm0155043,actor,\N,"[""Lou""]"
tt0128037,4,nm0235096,actor,\N,"[""Dixon""]"
tt0128037,5,nm0469734,director,\N,\N
tt0128037,6,nm0338279,writer,writer,\N
tt0128037,7,nm0195570,writer,\N,\N
tt0128037,8,nm0588224,cinematographer,\N,\N
tt0128038,10,nm0845874,composer,\N,\N
tt0128038,1,nm0072571,actress,\N,"[""Michelle Halaburton""]"
tt0128038,2,nm0056249,actress,\N,"[""Allie Dadadad""]"
tt0128038,3,nm0005554,actor,\N,"[""Rodney Alexander""]"
tt0128038,4,nm0697637,actor,\N,"[""Detective Simon Burke""]"
tt0128038,5,nm0753382,director,\N,\N
tt0128038,6,nm0343711,producer,producer,\N
tt0128038,7,nm0471650,producer,producer,\N
tt0128038,8,nm0149750,composer,\N,\N
tt0128038,9,nm0202999,composer,\N,\N
tt0128039,10,nm1073705,composer,\N,\N
tt0128039,1,nm0913912,actor,\N,"[""Matsunojo Tajima the Cop""]"
tt0128039,2,nm0849100,actress,\N,"[""Hana Otsuka, Prostitute""]"
tt0128039,3,nm0386179,actor,\N,"[""Kenzo Onodera""]"
tt0128039,4,nm1181499,actor,\N,"[""Kenzo Onodera As a Boy""]"
tt0128039,5,nm0590835,director,\N,\N
tt0128039,6,nm0441397,writer,writer,\N
tt0128039,7,nm0559556,writer,"story ""Amagi goe""",\N
tt0128039,8,nm0594368,producer,producer,\N
tt0128039,9,nm0634607,producer,producer,\N
tt0128040,1,nm0094756,director,\N,\N
tt0128040,2,nm0221019,producer,producer,\N
tt0128040,3,nm0663136,producer,producer,\N
tt0128040,4,nm0685094,producer,producer,\N
tt0128040,5,nm0163142,editor,\N,\N
tt0128041,1,nm0040173,actor,\N,"[""Robert""]"
tt0128041,2,nm0310146,actor,\N,"[""Thomas""]"
tt0128041,3,nm0024427,actress,\N,"[""Joan""]"
tt0128041,4,nm0086510,actress,\N,"[""Mary""]"
tt0128041,5,nm0382942,director,\N,\N
tt0128041,6,nm0720757,cinematographer,\N,\N
tt0128041,7,nm0706066,actress,\N,"[""Denise""]"
tt0128041,8,nm0497784,actress,\N,"[""Adult Film Actress""]"
tt0128041,9,nm0668331,actor,\N,"[""Adult Film Actor""]"
tt0128042,10,nm0551118,producer,producer,\N
tt0128042,1,nm0141056,self,\N,"[""Self""]"
tt0128042,2,nm0793172,actor,\N,"[""Evangelist""]"
tt0128042,3,nm0827680,actress,\N,"[""Ellie""]"
tt0128042,4,nm1592336,actor,\N,"[""Gus""]"
tt0128042,5,nm0752866,director,\N,\N
tt0128042,6,nm0277823,writer,\N,\N
tt0128042,7,nm0420746,writer,\N,\N
tt0128042,8,nm0764934,writer,\N,\N
tt0128042,9,nm1602573,writer,\N,\N
tt0128044,10,nm0497381,actress,\N,\N
tt0128044,1,nm0014637,archive_footage,\N,\N
tt0128044,2,nm0102027,archive_footage,\N,\N
