tconst,ordering,nconst,category,job,characters
tt0088962,8,nm0088401,actor,\N,"[""President of the United States""]"
tt0088962,9,nm0108843,actor,\N,"[""Policeman two""]"
tt0088963,1,nm0468238,actress,\N,"[""Kim""]"
tt0088963,2,nm0656996,actor,\N,"[""Steven Penny""]"
tt0088963,3,nm0052939,actor,\N,"[""Ronnie Boyles""]"
tt0088963,4,nm1195415,actor,\N,"[""Skip Holliday""]"
tt0088963,5,nm0676638,composer,\N,\N
tt0088963,6,nm4870140,editor,\N,\N
tt0088963,7,nm1198426,editor,\N,\N
tt0088964,10,nm0778220,actor,\N,"[""Junger""]"
tt0088964,1,nm0837064,actor,\N,"[""Steve Dyer""]"
tt0088964,2,nm0773932,actress,\N,"[""Madeline Dyer""]"
tt0088964,3,nm0322495,actor,\N,"[""Weigel""]"
tt0088964,4,nm0163303,actor,\N,"[""Dulourd""]"
tt0088964,5,nm0326020,director,\N,\N
tt0088964,6,nm0697701,writer,\N,\N
tt0088964,7,nm0002301,composer,\N,\N
tt0088964,8,nm0872318,cinematographer,\N,\N
tt0088964,9,nm0450767,editor,\N,\N
tt0088965,10,nm0887635,cinematographer,\N,\N
tt0088965,1,nm0341431,actor,\N,"[""Judge Julius Sullivan""]"
tt0088965,2,nm0002663,actress,\N,"[""Rose Hayward""]"
tt0088965,3,nm0409481,actor,\N,"[""Dennis Spector""]"
tt0088965,4,nm0809938,actress,\N,"[""Jodi Hayward""]"
tt0088965,5,nm0588964,director,\N,\N
tt0088965,6,nm0075276,writer,written by,\N
tt0088965,7,nm0777209,writer,written by,\N
tt0088965,8,nm0705620,producer,producer,\N
tt0088965,9,nm0002414,composer,\N,\N
tt0088966,10,nm0592018,composer,\N,\N
tt0088966,1,nm0530048,actress,\N,"[""Nuria Costa""]"
tt0088966,2,nm0328020,actor,\N,"[""Ignacio Costa""]"
tt0088966,3,nm0551290,actress,\N,"[""Mariana Costa""]"
tt0088966,4,nm0142983,actor,\N,"[""Román""]"
tt0088966,5,nm0760724,director,\N,\N
tt0088966,6,nm0324770,writer,written by,\N
tt0088966,7,nm0903303,writer,written by,\N
tt0088966,8,nm0192176,producer,producer,\N
tt0088966,9,nm0612564,producer,producer,\N
tt0088967,10,nm0140017,cinematographer,\N,\N
