tconst,ordering,nconst,category,job,characters
tt0105343,4,nm0364307,actress,\N,"[""Meredith Dunmore""]"
tt0105343,5,nm0037790,director,\N,\N
tt0105343,6,nm0155742,writer,written by,\N
tt0105343,7,nm0026544,producer,producer,\N
tt0105343,8,nm0006150,composer,\N,\N
tt0105343,9,nm0627271,cinematographer,\N,\N
tt0105344,10,nm0502790,production_designer,\N,\N
tt0105344,1,nm0150689,actress,\N,"[""Emily""]"
tt0105344,2,nm0447848,actor,\N,"[""Danny""]"
tt0105344,3,nm0591549,actress,\N,"[""Didi""]"
tt0105344,4,nm0642338,actress,\N,"[""Vicki""]"
tt0105344,5,nm0666498,director,\N,\N
tt0105344,6,nm0764982,writer,written by,\N
tt0105344,7,nm0229652,composer,\N,\N
tt0105344,8,nm0003604,cinematographer,\N,\N
tt0105344,9,nm0140687,editor,\N,\N
tt0105345,10,nm0209942,actor,\N,"[""Don Manuel""]"
tt0105345,1,nm0764168,actress,\N,"[""Marta""]"
tt0105345,2,nm0145061,actor,\N,"[""Luis Alberto Fernandez""]"
tt0105345,3,nm0712720,actor,\N,"[""Miguel""]"
tt0105345,4,nm0328063,actor,\N,"[""Carlos""]"
tt0105345,5,nm0599965,director,\N,\N
tt0105345,6,nm0038142,writer,\N,\N
tt0105345,7,nm0327382,producer,producer,\N
tt0105345,8,nm0310093,composer,\N,\N
tt0105345,9,nm0930661,cinematographer,\N,\N
tt0105346,10,nm0926357,writer,written by,\N
tt0105346,1,nm0000595,actress,\N,"[""Patty"",""Sylvia""]"
tt0105346,2,nm0856012,actor,\N,"[""Kenneth"",""Nathan"",""Tom""]"
tt0105346,3,nm0063460,actor,\N,\N
tt0105346,4,nm0201111,actor,\N,"[""Lone Man""]"
tt0105346,5,nm0722493,director,\N,\N
tt0105346,6,nm0805748,writer,"magazine story ""The Substitute""",\N
tt0105346,7,nm0113082,writer,teleplay,\N
tt0105346,8,nm0321998,writer,teleplay,\N
tt0105346,9,nm0113716,writer,radio show Inner Sanctum,\N
tt0105347,10,nm0593884,composer,\N,\N
tt0105347,1,nm0377462,actor,\N,"[""Tom Baines""]"
tt0105347,2,nm0744776,actress,\N,"[""Heidi Tucker""]"
tt0105347,3,nm0936757,actor,\N,"[""Brad Yates""]"
tt0105347,4,nm0441230,actor,\N,"[""Doc Roller""]"
tt0105347,5,nm0543596,director,\N,\N
tt0105347,6,nm0023929,writer,original idea,\N
tt0105347,7,nm0056514,writer,screenplay,\N
tt0105347,8,nm0446183,producer,producer,\N
tt0105347,9,nm0051659,composer,\N,\N
tt0105348,1,nm0515764,actor,\N,"[""Duncan Banks""]"
tt0105348,2,nm0483069,actress,\N,"[""Amanda""]"
tt0105348,3,nm0867741,actress,\N,"[""Vivien""]"
tt0105348,4,nm0137141,actress,\N,"[""Red Sessions""]"
tt0105348,5,nm0745874,director,\N,\N
tt0105348,6,nm0700532,writer,\N,\N
tt0105348,7,nm0428244,cinematographer,\N,\N
tt0105348,8,nm0040541,editor,\N,\N
tt0105349,10,nm0711161,actor,\N,"[""James Donald""]"
tt0105349,1,nm0141816,actor,\N,"[""Mike Hazard""]"
tt0105349,2,nm0428198,actor,\N,"[""Al Franks""]"
tt0105349,3,nm0002084,actress,\N,"[""Stella Hazard""]"
tt0105349,4,nm0800219,actress,\N,"[""Susie Hazard""]"
tt0105349,5,nm0929467,actress,\N,"[""Sherry Donald""]"
