tconst,ordering,nconst,category,job,characters
tt0061041,4,nm0220039,producer,producer,\N
tt0061041,5,nm0293989,producer,producer,\N
tt0061041,6,nm0338948,composer,\N,\N
tt0061041,7,nm0348383,editor,\N,\N
tt0061042,10,nm0471610,cinematographer,\N,\N
tt0061042,1,nm0651807,actor,\N,"[""Pontus""]"
tt0061042,2,nm0511458,actress,\N,"[""Ylajali""]"
tt0061042,3,nm0270147,actress,\N,"[""Her sister""]"
tt0061042,4,nm0720988,actor,\N,"[""Landlord""]"
tt0061042,5,nm0137830,director,\N,\N
tt0061042,6,nm0359105,writer,novel,\N
tt0061042,7,nm0781459,writer,\N,\N
tt0061042,8,nm0511825,producer,producer,\N
tt0061042,9,nm0006156,composer,\N,\N
tt0061043,10,nm0851704,editor,\N,\N
tt0061043,1,nm0518178,actress,\N,"[""Lisa""]"
tt0061043,2,nm0431139,actor,\N,"[""Laurent""]"
tt0061043,3,nm0545378,actress,\N,"[""Mireille""]"
tt0061043,4,nm0634159,actor,\N,"[""Michou""]"
tt0061043,5,nm0216381,director,\N,\N
tt0061043,6,nm0196362,writer,\N,\N
tt0061043,7,nm0211175,writer,novel,\N
tt0061043,8,nm0006095,composer,\N,\N
tt0061043,9,nm0005686,cinematographer,\N,\N
tt0061044,1,nm0695462,director,\N,\N
tt0061044,2,nm0242637,writer,story,\N
tt0061044,3,nm0220039,producer,producer,\N
tt0061044,4,nm0293989,producer,producer,\N
tt0061044,5,nm0338948,composer,\N,\N
tt0061044,6,nm0348383,editor,\N,\N
tt0061045,10,nm0073050,editor,\N,\N
tt0061045,1,nm0115070,actor,\N,"[""Martin Stevens"",""Superseven""]"
tt0061045,2,nm0197917,actress,\N,"[""Denise""]"
tt0061045,3,nm0784857,actor,\N,"[""Alex""]"
tt0061045,4,nm0042164,actor,\N,"[""Il Levantino""]"
tt0061045,5,nm0502391,director,\N,\N
tt0061045,6,nm0682592,writer,screenplay,\N
tt0061045,7,nm0366298,producer,producer,\N
tt0061045,8,nm0006164,composer,\N,\N
tt0061045,9,nm0862986,cinematographer,\N,\N
tt0061046,10,nm0788172,composer,\N,\N
tt0061046,1,nm0904537,actress,\N,"[""Princess Anuradha Singh""]"
tt0061046,2,nm0006348,actor,\N,"[""Suraj Singh""]"
tt0061046,3,nm0015000,actor,\N,"[""Rajkumar Pratap Singh""]"
tt0061046,4,nm0415612,actor,\N,"[""Ram Singh""]"
tt0061046,5,nm0695153,director,\N,\N
tt0061046,6,nm0023551,writer,dialogue,\N
tt0061046,7,nm0781679,writer,screenplay,\N
tt0061046,8,nm1213297,producer,producer,\N
tt0061046,9,nm1090097,composer,\N,\N
tt0061047,10,nm0800548,writer,screenplay,\N
tt0061047,1,nm0056768,actor,\N,"[""Captain Robert Surcouf""]"
tt0061047,2,nm0523791,actress,\N,"[""Margaret Carruthers"",""lady Blackwood""]"
tt0061047,3,nm0605059,actor,\N,"[""Lord Blackwood""]"
tt0061047,4,nm0675886,actor,\N,"[""Nicolas Surcouf""]"
tt0061047,5,nm0074966,director,\N,\N
tt0061047,6,nm0746740,director,\N,\N
tt0061047,7,nm0268227,writer,dialogue,\N
tt0061047,8,nm0478627,writer,screenplay,\N
tt0061047,9,nm0767590,writer,screenplay,\N
tt0061049,10,nm0005811,cinematographer,\N,\N
tt0061049,1,nm0389073,actor,\N,"[""Luciano Lutring""]"
tt0061049,2,nm0309470,actress,\N,"[""Yvonne Lutring""]"
tt0061049,3,nm0002231,actor,\N,"[""Inspector Moroni""]"
tt0061049,4,nm0131294,actor,\N,"[""Franco Magni""]"
tt0061049,5,nm0515491,director,\N,\N
tt0061049,6,nm0685316,writer,story,\N
tt0061049,7,nm0052713,producer,producer,\N
tt0061049,8,nm0296812,producer,producer,\N
tt0061049,9,nm0001553,composer,\N,\N
tt0061050,10,nm0437307,actress,\N,"[""Stella Morse""]"
tt0061050,1,nm0163269,actress,\N,"[""Mona Parsons""]"
tt0061050,2,nm0110077,actress,\N,"[""Karen Picard""]"
tt0061050,3,nm0882192,actor,\N,"[""Les Parsons""]"
tt0061050,4,nm0907247,actor,\N,"[""Wayne Picard""]"
tt0061050,5,nm0765430,director,\N,\N
tt0061050,6,nm1667494,actress,\N,"[""Penny Craig""]"
tt0061050,7,nm0205202,actress,\N,"[""Brooke Furman""]"
tt0061050,8,nm1667292,actor,\N,"[""Kent Craig""]"
tt0061050,9,nm0603407,actor,\N,"[""Pete Furman""]"
tt0061051,1,nm0000305,actor,\N,"[""Daffy Duck"",""Speedy Gonzales"",""Mice""]"
tt0061051,2,nm0571781,director,\N,\N
tt0061051,3,nm0546184,writer,story,\N
tt0061051,4,nm0220039,producer,producer,\N
tt0061051,5,nm0293989,producer,producer,\N
tt0061051,6,nm0338948,composer,\N,\N
tt0061051,7,nm0348383,editor,\N,\N
tt0061052,1,nm0000268,actress,\N,"[""Kelly Olsson""]"
tt0061052,2,nm0290047,actor,\N,"[""Ric Colby""]"
tt0061052,3,nm0178509,actor,\N,"[""Sir Hubert Charles""]"
tt0061052,4,nm0738635,actress,\N,"[""Karen Charles""]"
tt0061052,5,nm0796645,director,\N,\N
tt0061052,6,nm0738710,writer,\N,\N
tt0061052,7,nm0656674,composer,\N,\N
tt0061052,8,nm0005657,cinematographer,\N,\N
tt0061052,9,nm0763694,editor,\N,\N
tt0061054,10,nm0034506,actor,\N,\N
tt0061054,1,nm0698611,actress,\N,"[""Maro Stavrou""]"
tt0061054,2,nm0657890,actor,\N,"[""Alexis""]"
tt0061054,3,nm0610186,actor,\N,"[""Kostas""]"
tt0061054,4,nm0040399,actress,\N,\N
tt0061054,5,nm0660252,director,\N,\N
tt0061054,6,nm0586901,cinematographer,\N,\N
tt0061054,7,nm0874603,actor,\N,"[""Filonas""]"
tt0061054,8,nm0872523,actress,\N,"[""Sofia""]"
tt0061054,9,nm0903984,actress,\N,"[""Soula""]"
tt0061055,10,nm0458037,editor,\N,\N
tt0061055,1,nm0000761,actress,\N,"[""Charlotte"",""Sister""]"
tt0061055,2,nm0651807,actor,\N,"[""Jacob"",""Brother""]"
tt0061055,3,nm0474649,actor,\N,"[""Baron Alsmeden"",""Charlotte's fiance""]"
tt0061055,4,nm0373402,actress,\N,"[""Ebba Livin""]"
tt0061055,5,nm0803672,director,\N,\N
tt0061055,6,nm0285713,writer,"play ""Tis Pity She's a Whore""",\N
tt0061055,7,nm0511825,producer,producer,\N
tt0061055,8,nm0084999,composer,\N,\N
tt0061055,9,nm0085022,cinematographer,\N,\N
tt0061056,10,nm0245450,editor,\N,\N
tt0061056,1,nm0470567,actor,\N,"[""Tadeusz""]"
tt0061056,2,nm0194193,actor,\N,"[""Maciek""]"
tt0061056,3,nm0324698,actor,\N,"[""Doctor Gross""]"
tt0061056,4,nm0394594,actress,\N,"[""Aunt Helena""]"
tt0061056,5,nm0367860,director,\N,\N
tt0061056,6,nm0452782,writer,screenplay,\N
tt0061056,7,nm0671678,composer,\N,\N
tt0061056,8,nm0705919,composer,\N,\N
tt0061056,9,nm0415753,cinematographer,\N,\N
tt0061057,10,nm0676475,editor,\N,\N
tt0061057,1,nm0593900,actor,\N,"[""Tokei-Ihto""]"
tt0061057,2,nm0904159,actor,\N,"[""Red Fox""]"
tt0061057,3,nm0753957,actor,\N,"[""Tobias""]"
tt0061057,4,nm0362438,actor,\N,"[""Major Smith""]"
tt0061057,5,nm0532385,director,\N,\N
tt0061057,6,nm0920613,writer,novel,\N
tt0061057,7,nm0537006,producer,producer,\N
tt0061057,8,nm0624150,composer,\N,\N
tt0061057,9,nm0878444,cinematographer,\N,\N
tt0061058,10,nm0004121,cinematographer,\N,\N
tt0061058,1,nm0026088,actor,\N,"[""Herbert""]"
tt0061058,2,nm5383709,actor,\N,"[""Irenes chauffør""]"
tt0061058,3,nm0110336,actress,\N,"[""Søster Agnes""]"
tt0061058,4,nm0270147,actress,\N,"[""Irene""]"
tt0061058,5,nm0414732,director,\N,\N
tt0061058,6,nm0105147,writer,\N,\N
tt0061058,7,nm0082821,producer,producer,\N
tt0061058,8,nm0275872,composer,\N,\N
tt0061058,9,nm0754040,cinematographer,\N,\N
tt0061059,1,nm2227195,actress,\N,"[""Yuma""]"
tt0061059,2,nm0945650,actor,\N,"[""Marukido Sadao""]"
tt0061059,3,nm0906709,director,\N,\N
tt0061059,4,nm0010395,writer,screenplay,\N
tt0061059,5,nm0411778,cinematographer,\N,\N
tt0061059,6,nm3509219,editor,\N,\N
tt0061059,7,nm3509522,production_designer,\N,\N
tt0061060,1,nm1707580,actor,\N,"[""The Bum""]"
tt0061060,2,nm0011897,actress,\N,"[""Elaine""]"
tt0061060,3,nm0272104,actor,\N,"[""The Bum's Friend""]"
tt0061060,4,nm0267117,actress,\N,\N
tt0061060,5,nm0522223,writer,poems,\N
tt0061060,6,nm0843378,writer,"poem ""Leves Amores""",\N
tt0061061,10,nm0892433,production_designer,\N,\N
tt0061061,1,nm0955525,actor,\N,"[""Kolya""]"
tt0061061,2,nm0456423,actress,\N,"[""Vera - maty Koli""]"
tt0061061,3,nm0538791,actress,\N,"[""Filippova""]"
tt0061061,4,nm0957990,actress,\N,"[""Antonina Ivanovna - uchitelnitsa""]"
tt0061061,5,nm0299535,director,\N,\N
tt0061061,6,nm0707558,writer,screenplay,\N
tt0061061,7,nm0472977,composer,\N,\N
tt0061061,8,nm0689330,cinematographer,\N,\N
tt0061061,9,nm0458506,editor,\N,\N
tt0061062,1,nm1029928,actor,\N,\N
tt0061062,2,nm0038377,actress,\N,\N
tt0061062,3,nm0038960,actress,\N,\N
tt0061062,4,nm0359253,actor,\N,\N
tt0061062,5,nm0406728,director,\N,\N
tt0061062,6,nm0847463,director,\N,\N
tt0061062,7,nm0613556,writer,\N,\N
tt0061062,8,nm10054753,composer,\N,\N
tt0061062,9,nm5830496,cinematographer,\N,\N
tt0061065,10,nm0006316,composer,\N,\N
tt0061065,1,nm0619938,actor,\N,"[""Mr. Okuyama""]"
tt0061065,2,nm0386179,actor,\N,"[""Psychiatrist""]"
tt0061065,3,nm0457219,actress,\N,"[""Nurse""]"
tt0061065,4,nm0409959,actress,\N,"[""Girl with Scar""]"
tt0061065,5,nm0856267,director,\N,\N
tt0061065,6,nm0008356,writer,screenplay,\N
tt0061065,7,nm0394668,producer,producer,\N
tt0061065,8,nm0406725,producer,producer,\N
tt0061065,9,nm0648985,producer,producer,\N
tt0061067,10,nm0513662,cinematographer,\N,\N
tt0061067,1,nm0377947,actor,\N,"[""Tarzan""]"
tt0061067,2,nm0649055,actor,\N,"[""Augustus Vinero""]"
tt0061067,3,nm0655693,actor,\N,"[""Ramel""]"
tt0061067,4,nm0468222,actress,\N,"[""Sophia Renault""]"
tt0061067,5,nm0206560,director,\N,\N
tt0061067,6,nm0123194,writer,characters,\N
tt0061067,7,nm0400236,writer,screenplay,\N
tt0061067,8,nm0918551,producer,producer,\N
tt0061067,9,nm0018788,composer,\N,\N
tt0061068,1,nm0000305,actor,\N,"[""Daffy Duck"",""Speedy Gonzales"",""Cat Effects""]"
tt0061068,2,nm0327602,actor,\N,"[""Dr. Mañuel Jose 'Olvera Sebastian Rudolfo Ortiz Pancho Jiminez Perez III""]"
tt0061068,3,nm0571781,director,\N,\N
tt0061068,4,nm0640212,writer,story,\N
tt0061068,5,nm0220039,producer,producer,\N
tt0061068,6,nm0293989,producer,producer,\N
tt0061068,7,nm0338948,composer,\N,\N
