tconst,ordering,nconst,category,job,characters
tt0177138,10,nm0308717,production_designer,\N,\N
tt0177138,1,nm0278384,actor,\N,"[""Asenov""]"
tt0177138,2,nm0865341,actor,\N,"[""Bay Georgi"",""the village mayor""]"
tt0177138,3,nm0750627,actor,\N,"[""Veterenarniyat lekar"",""the vet""]"
tt0177138,4,nm0833540,actor,\N,"[""Uchitelyat"",""the teacher""]"
tt0177138,5,nm0755075,director,\N,\N
tt0177138,6,nm0592747,writer,writer,\N
tt0177138,7,nm0232344,composer,\N,\N
tt0177138,8,nm0227396,cinematographer,\N,\N
tt0177138,9,nm1125738,editor,\N,\N
tt0177142,1,nm0475947,actress,\N,\N
tt0177142,2,nm0957405,director,\N,\N
tt0177142,3,nm0470512,editor,\N,\N
tt0177142,4,nm0229789,production_designer,\N,\N
tt0177151,10,nm1743017,actress,\N,\N
tt0177151,1,nm0896557,actor,\N,\N
tt0177151,2,nm0816296,actor,\N,\N
tt0177151,3,nm0380839,actress,\N,\N
tt0177151,4,nm0836982,actress,\N,\N
tt0177151,5,nm0957405,director,\N,\N
tt0177151,6,nm0034628,writer,\N,\N
tt0177151,7,nm0707435,cinematographer,\N,\N
tt0177151,8,nm0194158,editor,\N,\N
tt0177151,9,nm0503275,actor,\N,\N
tt0177152,10,nm0548690,composer,\N,\N
tt0177152,1,nm0001960,actress,\N,"[""Marguerite""]"
tt0177152,2,nm0524217,actor,\N,"[""Paul""]"
tt0177152,3,nm0491422,actress,\N,"[""Sarah""]"
tt0177152,4,nm0228266,actor,\N,"[""Georges""]"
tt0177152,5,nm0094274,director,\N,\N
tt0177152,6,nm0035993,producer,producer,\N
tt0177152,7,nm0723845,producer,producer,\N
tt0177152,8,nm0779970,producer,producer,\N
tt0177152,9,nm0014126,composer,\N,\N
tt0177155,1,nm0191794,actor,\N,"[""Paun Dzamic""]"
tt0177155,2,nm0901280,actress,\N,"[""Andjelija""]"
tt0177155,3,nm0048040,actor,\N,"[""Radoje""]"
tt0177155,4,nm0052031,actress,\N,"[""Lepana""]"
tt0177155,5,nm0957319,director,\N,\N
tt0177155,6,nm0643470,composer,\N,\N
tt0177155,7,nm0274984,cinematographer,\N,\N
tt0177155,8,nm0084788,editor,\N,\N
tt0177155,9,nm0071374,editor,\N,\N
tt0177157,10,nm0848493,actress,\N,"[""Elaine""]"
tt0177157,1,nm0779239,actor,\N,"[""Spoon""]"
tt0177157,2,nm0179361,actor,\N,"[""Hatch""]"
tt0177157,3,nm0205730,actress,\N,"[""Suzy""]"
tt0177157,4,nm0354743,actor,\N,"[""Police officer""]"
tt0177157,5,nm0333903,director,\N,\N
tt0177157,6,nm0523936,actor,\N,"[""Jerry""]"
tt0177157,7,nm0600199,actress,\N,"[""Lori""]"
tt0177157,8,nm0809185,actress,\N,"[""Erin""]"
tt0177157,9,nm0919932,actress,\N,"[""Amber""]"
tt0177158,10,nm0866656,editor,\N,\N
tt0177158,1,nm0340761,actor,\N,\N
tt0177158,2,nm0904303,actor,\N,"[""Otac""]"
tt0177158,3,nm0275853,actress,\N,"[""Hannelore""]"
tt0177158,4,nm0348771,actor,\N,\N
tt0177158,5,nm0957405,director,\N,\N
tt0177158,6,nm0342748,writer,\N,\N
tt0177158,7,nm0557541,writer,\N,\N
tt0177158,8,nm0220113,composer,\N,\N
tt0177158,9,nm0871542,cinematographer,\N,\N
tt0177159,1,nm0125379,actor,\N,\N
tt0177159,2,nm0534499,actress,\N,\N
tt0177159,3,nm0436730,actor,\N,\N
tt0177159,4,nm0943316,actor,\N,"[""Herr Franz""]"
tt0177159,5,nm0386985,director,\N,\N
tt0177159,6,nm0345116,producer,producer,\N
tt0177159,7,nm0994093,composer,\N,\N
tt0177159,8,nm0685476,composer,\N,\N
tt0177159,9,nm0374370,editor,\N,\N
tt0177160,10,nm7371045,production_designer,\N,\N
tt0177160,1,nm0346350,actress,\N,\N
tt0177160,2,nm0524512,actor,\N,\N
tt0177160,3,nm0596820,actress,\N,\N
tt0177160,4,nm0704244,actor,\N,\N
tt0177160,5,nm0273463,director,\N,\N
tt0177160,6,nm0754509,director,\N,\N
tt0177160,7,nm0483358,composer,\N,\N
tt0177160,8,nm0959399,cinematographer,\N,\N
tt0177160,9,nm0690252,editor,\N,\N
tt0177161,10,nm0072069,actress,\N,"[""Stephanie""]"
tt0177161,1,nm0751833,self,\N,"[""Self""]"
tt0177161,2,nm0859328,self,\N,"[""Self""]"
tt0177161,3,nm0535805,actor,\N,"[""Brian"",""Davey""]"
tt0177161,4,nm0202730,actor,\N,"[""David James""]"
tt0177161,5,nm0714992,actor,\N,"[""Casey""]"
tt0177161,6,nm0526939,actress,\N,\N
tt0177161,7,nm0795281,actress,\N,"[""Lagaythe""]"
tt0177161,8,nm0468659,actress,\N,"[""Shawna""]"
tt0177161,9,nm0253152,actor,\N,"[""George""]"
tt0177163,1,nm0217615,actor,\N,"[""Joseph Dermott""]"
tt0177163,2,nm0766581,actor,\N,\N
tt0177163,3,nm0900892,producer,producer,\N
tt0177164,10,nm0886041,actress,\N,"[""Opticien""]"
tt0177164,1,nm0381913,actor,\N,"[""Mr. Bram Raab""]"
tt0177164,2,nm1519631,actor,\N,"[""Voorwoord""]"
tt0177164,3,nm1008179,actress,\N,"[""Eileen Raab""]"
tt0177164,4,nm0120549,actor,\N,"[""Rechercheur"",""Wietze Hooyman""]"
tt0177164,5,nm0727761,actress,\N,"[""Agente"",""Bankbediende""]"
tt0177164,6,nm0892619,actor,\N,"[""De Momper""]"
tt0177164,7,nm0904112,actor,\N,"[""Paul Esders""]"
tt0177164,8,nm0418078,actor,\N,"[""Rini Bargemans""]"
tt0177164,9,nm0245629,actress,\N,"[""Hilde Esders""]"
tt0177165,1,nm0405616,director,\N,\N
tt0177165,2,nm2514436,producer,producer,\N
tt0177165,3,nm0003007,cinematographer,\N,\N
tt0177165,4,nm0816755,editor,\N,\N
tt0177172,10,nm0775566,production_designer,\N,\N
tt0177172,1,nm0783015,actress,\N,"[""Lena""]"
tt0177172,2,nm0257717,actor,\N,"[""Torben""]"
tt0177172,3,nm0117549,actress,\N,"[""Sara""]"
tt0177172,4,nm0840968,actor,\N,"[""Erik""]"
tt0177172,5,nm0510621,director,\N,\N
tt0177172,6,nm0805078,director,co-director,\N
tt0177172,7,nm0028275,composer,\N,\N
tt0177172,8,nm0358358,cinematographer,\N,\N
tt0177172,9,nm0197013,editor,\N,\N
tt0177174,10,nm0921160,editor,\N,\N
tt0177174,1,nm0048468,actor,\N,"[""D.C.I. Reg Wexford""]"
tt0177174,2,nm0708902,actress,\N,"[""Dora Wexford""]"
tt0177174,3,nm0712385,actor,\N,"[""Det. Insp. Burden""]"
tt0177174,4,nm0585511,actress,\N,"[""Det. Sgt. Malahyde""]"
tt0177174,5,nm0531640,director,\N,\N
tt0177174,6,nm0719334,writer,novel,\N
tt0177174,7,nm0954329,producer,producer,\N
tt0177174,8,nm0071626,composer,\N,\N
tt0177174,9,nm0664054,cinematographer,director of photography,\N
tt0177176,1,nm0185063,director,\N,\N
tt0177179,1,nm0130020,director,\N,\N
tt0177180,10,nm0085685,composer,\N,\N
tt0177180,1,nm0440291,actress,\N,"[""Charlotte Miller""]"
tt0177180,2,nm0625874,actor,\N,"[""Gerald Bradley""]"
tt0177180,3,nm0754104,actor,\N,"[""Matthew""]"
tt0177180,4,nm0774678,actress,\N,"[""Winifred""]"
tt0177180,5,nm0444936,director,\N,\N
tt0177180,6,nm0683362,writer,novel,\N
tt0177180,7,nm0457451,writer,writer,\N
tt0177180,8,nm0067902,producer,producer,\N
tt0177180,9,nm0880634,producer,producer,\N
tt0177181,1,nm0330185,actress,\N,"[""Rosita""]"
tt0177181,2,nm0008442,actor,\N,"[""Raoul""]"
tt0177181,3,nm0551819,actor,\N,"[""Le percepteur"",""Tax-Collector""]"
tt0177181,4,nm0554460,actor,\N,"[""L'acheteur-arnaqueur"",""Swindler""]"
tt0177181,5,nm0525780,composer,\N,\N
tt0177181,6,nm0157489,cinematographer,\N,\N
tt0177181,7,nm0350170,editor,\N,\N
tt0177184,1,nm0089613,director,\N,\N
tt0177184,2,nm0902679,director,\N,\N
tt0177184,3,nm0901928,cinematographer,\N,\N
tt0177185,10,nm0915318,producer,producer,\N
tt0177185,1,nm0000238,actress,\N,"[""Velvet McKenzie""]"
tt0177185,2,nm0001781,actress,\N,"[""Mick""]"
tt0177185,3,nm0111955,actress,\N,"[""Sarah Foster""]"
tt0177185,4,nm0889738,actor,\N,"[""Joe Pepper""]"
tt0177185,5,nm0004084,director,\N,\N
tt0177185,6,nm0020586,writer,written by,\N
tt0177185,7,nm0111323,writer,written by,\N
tt0177185,8,nm0381230,producer,producer,\N
tt0177185,9,nm0442207,producer,producer,\N
tt0177188,1,nm0957405,director,\N,\N
tt0177188,2,nm0314822,cinematographer,\N,\N
tt0177188,3,nm0105108,editor,\N,\N
tt0177194,1,nm0953130,director,\N,\N
tt0177194,2,nm2389938,cinematographer,\N,\N
tt0177195,10,nm0807410,producer,producer,\N
tt0177195,1,nm0001541,actress,\N,"[""Jess""]"
tt0177195,2,nm0578853,actor,\N,"[""John""]"
tt0177195,3,nm0528539,actor,\N,"[""Andy""]"
tt0177195,4,nm0275913,actor,\N,"[""TT""]"
tt0177195,5,nm0807746,director,\N,\N
tt0177195,6,nm0118730,writer,writer,\N
tt0177195,7,nm0640242,writer,additional dialogue,\N
tt0177195,8,nm0436188,writer,additional dialogue,\N
tt0177195,9,nm0792431,producer,producer,\N
tt0177199,1,nm3675910,actor,\N,"[""Stage Performer""]"
tt0177199,2,nm3675832,actor,\N,"[""Stage Performer""]"
tt0177199,3,nm3675861,actor,\N,"[""Street Man""]"
tt0177199,4,nm3675737,actor,\N,"[""Additional Patron""]"
tt0177199,5,nm1131677,director,\N,\N
tt0177199,6,nm0940774,writer,narration,\N
tt0177199,7,nm0790636,producer,producer,\N
tt0177199,8,nm1116805,editor,\N,\N
tt0177200,10,nm0038342,actress,\N,"[""Minami""]"
tt0177200,1,nm0442940,actor,\N,"[""Dan san""]"
tt0177200,2,nm0992055,actor,\N,"[""Shuma""]"
tt0177200,3,nm0840581,actor,\N,\N
tt0177200,4,nm0945340,actress,\N,"[""Tenko""]"
tt0177200,5,nm0361735,director,\N,\N
tt0177200,6,nm0882691,composer,\N,\N
tt0177200,7,nm0367920,cinematographer,\N,\N
tt0177200,8,nm9603181,production_designer,\N,\N
tt0177200,9,nm0411150,actor,\N,\N
tt0177201,10,nm0651916,editor,\N,\N
tt0177201,1,nm0157708,actor,\N,"[""Master of stormfield""]"
tt0177201,2,nm0197252,actor,\N,"[""Rikio Urata""]"
tt0177201,3,nm0256628,actor,\N,"[""Shoji Kato""]"
tt0177201,4,nm0351334,actor,\N,"[""Shuji Hayasaka""]"
tt0177201,5,nm0361735,director,\N,\N
tt0177201,6,nm0645840,producer,producer,\N
tt0177201,7,nm0839396,producer,producer,\N
tt0177201,8,nm0620286,composer,\N,\N
tt0177201,9,nm0297809,cinematographer,\N,\N
tt0177204,1,nm0715214,actor,\N,"[""Felix""]"
tt0177204,2,nm0623797,actress,\N,"[""Cat""]"
tt0177204,3,nm0047868,actor,\N,"[""Henri Pickard""]"
tt0177204,4,nm2193265,self,\N,"[""Self""]"
tt0177204,5,nm0941081,writer,scenario,\N
tt0177204,6,nm0339346,composer,\N,\N
tt0177204,7,nm0689512,cinematographer,\N,\N
tt0177206,10,nm0329635,production_designer,\N,\N
tt0177206,1,nm0689040,actor,\N,"[""Mack""]"
tt0177206,2,nm0091190,actress,\N,"[""Beth""]"
tt0177206,3,nm0743166,actor,\N,"[""Ian""]"
tt0177206,4,nm0449017,actor,\N,"[""Arthur Golding""]"
tt0177206,5,nm0689041,director,\N,\N
tt0177206,6,nm0440958,producer,producer,\N
tt0177206,7,nm0091583,composer,\N,\N
tt0177206,8,nm0585317,cinematographer,\N,\N
tt0177206,9,nm0325072,editor,\N,\N
tt0177209,10,nm0751270,composer,\N,\N
tt0177209,1,nm0363104,actor,\N,"[""Bill Tomkins""]"
tt0177209,2,nm0595598,actor,\N,"[""Paddy""]"
tt0177209,3,nm0360262,actor,\N,"[""Bobby""]"
tt0177209,4,nm0907463,actress,\N,"[""Kate""]"
tt0177209,5,nm0062759,director,\N,\N
tt0177209,6,nm0245684,writer,idea,\N
tt0177209,7,nm0256066,writer,screenplay,\N
tt0177209,8,nm0290180,writer,screenplay,\N
tt0177209,9,nm0650227,writer,additional dialogue,\N
tt0177211,1,nm0130774,actress,\N,"[""Yuriko""]"
tt0177211,2,nm0001025,actor,\N,"[""First Client""]"
tt0177211,3,nm0000535,actress,\N,"[""Miriam""]"
tt0177211,4,nm0781617,actress,\N,"[""Little Miriam's Voice""]"
tt0177211,5,nm0002295,director,\N,\N
tt0177211,6,nm0588750,producer,producer,\N
tt0177211,7,nm10579093,producer,producer,\N
tt0177211,8,nm0109923,cinematographer,\N,\N
tt0177211,9,nm0597212,editor,\N,\N
tt0177213,1,nm0956136,actor,\N,"[""Charles O'Toole""]"
tt0177213,2,nm0768225,actor,\N,"[""Señor Computer"",""IKE""]"
tt0177213,3,nm1055692,actor,\N,"[""Lead Detective""]"
tt0177213,4,nm0507872,actor,\N,"[""Cop 1""]"
tt0177213,5,nm0639556,composer,\N,\N
tt0177213,6,nm0135524,cinematographer,\N,\N
tt0177215,10,nm0005703,cinematographer,\N,\N
tt0177215,1,nm0500359,actress,\N,"[""Anabeth""]"
tt0177215,2,nm0004857,actor,\N,"[""Jesse""]"
tt0177215,3,nm0001882,actress,\N,"[""Hannah""]"
tt0177215,4,nm0503638,actor,\N,"[""Manny""]"
tt0177215,5,nm0006996,director,\N,\N
tt0177215,6,nm0339613,writer,story,\N
tt0177215,7,nm0364787,producer,producer,\N
tt0177215,8,nm0649209,producer,producer,\N
tt0177215,9,nm0006326,composer,\N,\N
tt0177217,10,nm0365697,composer,\N,\N
tt0177217,1,nm0001356,actor,\N,"[""Mike McBride""]"
tt0177217,2,nm0000238,actress,\N,"[""Hunter Wiley""]"
tt0177217,3,nm0001835,actor,\N,"[""Roy Brown""]"
tt0177217,4,nm0184392,actor,\N,"[""Andy Powers""]"
tt0177217,5,nm0143984,director,\N,\N
tt0177217,6,nm0166186,writer,teleplay by,\N
tt0177217,7,nm0075276,writer,story by,\N
tt0177217,8,nm0777209,writer,story by,\N
tt0177217,9,nm0510113,producer,producer,\N
tt0177219,10,nm0904169,editor,\N,\N
tt0177219,1,nm0708981,actor,\N,"[""Jenkins""]"
tt0177219,2,nm0319161,actor,\N,"[""Billy""]"
tt0177219,3,nm0732848,actor,\N,"[""Bible Joe""]"
tt0177219,4,nm0533079,actor,\N,"[""Copy Cat""]"
tt0177219,5,nm0929473,director,\N,\N
tt0177219,6,nm0952056,writer,writer,\N
tt0177219,7,nm0261048,producer,producer,\N
tt0177219,8,nm1645889,composer,\N,\N
tt0177219,9,nm0169564,cinematographer,\N,\N
tt0177220,1,nm2172789,actress,\N,"[""Shulamith Firestone""]"
tt0177220,2,nm0837009,actress,\N,"[""Offscreen Interviewer""]"
tt0177221,10,nm0492257,actor,\N,"[""Chairman of town soviet""]"
tt0177221,1,nm0590756,actor,\N,\N
tt0177221,2,nm0613637,actor,\N,"[""Ivan Dyatlov""]"
tt0177221,3,nm0464720,actress,\N,"[""Driver Galina""]"
tt0177221,4,nm0017835,actor,\N,"[""Inventor Vasili Zvyagin""]"
tt0177221,5,nm0755509,director,\N,\N
tt0177221,6,nm0794119,writer,\N,\N
tt0177221,7,nm0466080,composer,\N,\N
tt0177221,8,nm0451639,cinematographer,\N,\N
tt0177221,9,nm0090445,production_designer,\N,\N
tt0177225,1,nm0139368,actor,\N,"[""Van Owen""]"
tt0177225,2,nm0003676,actor,\N,"[""Mr. Kester""]"
tt0177225,3,nm0857617,actor,\N,"[""Max Welton""]"
tt0177225,4,nm0912437,actor,\N,"[""Burt Colfax""]"
tt0177225,5,nm0149557,director,\N,\N
tt0177225,6,nm0937321,composer,\N,\N
tt0177226,10,nm0552350,cinematographer,director of photography,\N
tt0177226,1,nm0291821,actor,\N,"[""Edmond Clybourn""]"
tt0177226,2,nm0421128,actress,\N,"[""Judy""]"
tt0177226,3,nm0397948,actress,\N,"[""Sylvia""]"
tt0177226,4,nm0099033,actress,\N,"[""Diane""]"
tt0177226,5,nm0563698,director,\N,\N
tt0177226,6,nm0036600,writer,screenplay,\N
tt0177226,7,nm0724078,writer,screenplay,\N
tt0177226,8,nm0582029,producer,producer,\N
tt0177226,9,nm0881152,producer,producer,\N
tt0177227,10,nm0939788,composer,\N,\N
tt0177227,1,nm0472177,self,\N,"[""Self - Host""]"
tt0177227,2,nm3523620,self,\N,"[""Self - UFO Investigator""]"
tt0177227,3,nm5546619,self,\N,"[""Self""]"
tt0177227,4,nm5547129,self,\N,"[""Self - Musical Director, Roswell Community Little Theatre""]"
tt0177227,5,nm0426338,director,\N,\N
tt0177227,6,nm0638630,producer,producer,\N
