tconst,directors,writers
tt0026899,nm0552609,"nm0212448,nm0422097"
tt0040592,nm0650669,\N
tt0087156,nm0819443,nm0825308
tt0161080,nm0237015,\N
tt0320604,nm10716556,\N
tt0323866,nm1193361,nm1193361
tt0331122,nm0676549,"nm1671981,nm2444722"
tt0338686,nm0585992,"nm0371525,nm0585992"
tt0360787,nm1349649,nm0678199
tt0377226,nm1021047,nm1445911
tt0507560,nm0452956,\N
tt0509571,nm0697828,nm1410434
tt0517732,nm0068691,"nm0022492,nm1447468"
tt0517734,nm0934827,"nm0022492,nm0823465"
tt0517736,nm0068691,"nm0279394,nm0513748"
tt0517737,nm0068691,"nm0288752,nm0293388"
tt0517738,nm0934827,"nm0279394,nm0513748"
tt0517739,nm0627950,"nm0022492,nm0823465,nm0597578"
tt0517740,nm0068691,"nm0414633,nm0741676"
tt0517741,nm0394409,"nm0498586,nm0204818"
tt0517742,nm0485647,"nm0279394,nm0513748"
tt0517743,nm0068691,"nm0279394,nm0393222,nm0513748,nm3647061"
tt0517744,nm0068691,"nm0022492,nm1447468"
tt0517745,nm0068691,"nm0741676,nm0414633"
tt0517746,nm0068691,"nm0022492,nm1447468,nm0703604"
tt0517747,nm0934827,"nm0713523,nm0293388"
tt0517748,nm0627950,"nm0022492,nm0597578"
tt0517749,nm0068691,nm0547949
tt0517750,nm0068691,nm0800105
tt0517751,nm0587804,"nm0288752,nm0777202"
tt0517752,nm0852279,"nm0823465,nm0022492"
tt0517753,nm0394409,"nm0022492,nm0597578"
tt0517754,nm0394409,"nm0022492,nm0597578"
tt0517755,nm0394409,"nm0022492,nm0597578"
tt0517756,nm0068691,"nm0022492,nm1447468"
tt0517757,nm0068691,"nm0022492,nm0823465"
tt0517758,nm0627950,"nm0022492,nm0823465"
tt0517759,nm0627950,"nm0022492,nm0597578"
tt0517760,nm0485647,"nm0279394,nm0513748"
tt0517761,nm0068691,"nm0288752,nm0293388"
tt0517762,nm0394409,"nm0022492,nm0597578"
tt0517763,nm0008030,"nm0279394,nm0513748"
tt0517764,nm0068691,"nm0138704,nm0501694,nm0722289"
tt0517765,nm0068691,"nm0279394,nm0513748"
tt0517767,nm0068691,nm0685265
tt0517768,nm0068691,"nm0414633,nm0741676"
tt0517770,nm0068691,"nm0293388,nm0288752"
tt0517771,nm0068691,"nm0279394,nm0513748"
tt0517772,nm0068691,"nm0414633,nm0741676"
tt0517773,nm0068691,"nm1447468,nm0866061"
tt0517774,nm0068691,nm0293388
tt0517775,nm0831868,"nm0022492,nm1447468"
tt0517776,nm0156116,"nm0064585,nm0823465"
tt0517777,nm0627950,"nm0022492,nm0597578"
tt0517778,nm0068691,"nm0713523,nm0928611"
tt0517779,nm0934827,"nm0548893,nm0713523"
tt0517780,nm0068691,"nm0022492,nm1447468"
tt0517781,nm0934827,nm0789051
tt0517782,nm0068691,"nm0113624,nm0318602"
tt0517783,nm0485647,"nm0414633,nm0741676"
tt0517785,nm0068691,"nm0293388,nm0722289"
tt0517786,nm0068691,"nm0279394,nm0513748"
tt0517790,nm0485647,"nm0414633,nm0741676"
tt0517791,nm0455831,"nm0022492,nm1447468"
tt0517792,nm0068691,"nm0414633,nm0741676"
tt0517793,nm0068691,"nm0713523,nm0928611"
tt0517794,nm0156116,"nm3171387,nm0020918"
tt0517796,nm0394409,"nm0022492,nm0597578"
tt0517797,nm0394409,"nm0022492,nm0597578"
tt0517798,nm0394409,"nm0022492,nm0597578"
tt0517799,nm0394409,nm0504168
tt0517800,nm0934827,"nm0279394,nm0513748"
tt0517802,nm0567170,"nm0022492,nm0597578"
tt0517803,nm0297239,"nm1153907,nm1114772"
tt0517804,nm0297239,"nm1153907,nm1114772"
tt0517805,nm0297239,nm1153907
tt0517806,nm0297239,nm1153907
tt0517807,nm0297239,nm1153907
tt0517808,\N,\N
tt0517809,nm0136160,\N
tt0517810,nm0297239,\N
tt0517811,nm0297239,\N
