tconst,directors,writers
tt0024688,nm0122991,"nm0285873,nm0422135,nm0639531"
tt0098682,nm0033081,"nm0033081,nm0459302"
tt0098683,nm0234483,"nm0097180,nm0234483"
tt0098684,nm0653458,nm0653458
tt0098685,\N,nm0289201
tt0098686,nm0387338,nm0648505
tt0098687,nm0457479,"nm4716798,nm0457479,nm4716655"
tt0098688,nm0049326,\N
tt0098689,nm0847690,"nm0411560,nm0849446"
tt0098690,nm0482580,"nm0150965,nm3803448,nm0843865"
tt0098691,nm0007139,"nm0504935,nm1857017,nm0007139"
tt0098692,nm0159109,"nm0452837,nm0159109,nm0651487"
tt0098693,nm0255613,"nm0151434,nm0255613"
tt0098694,nm0864775,"nm0151827,nm0000334,nm0155610,nm0628805"
tt0098695,nm0852019,"nm0382161,nm0630079,nm0793859"
tt0098696,nm0930041,"nm0637201,nm0403053"
tt0098700,nm0251893,nm0251893
tt0098701,nm0111369,nm0111369
tt0098702,nm0232504,"nm0938993,nm0232504"
tt0098703,nm0266660,"nm1244296,nm1644528,nm4720950"
tt0098704,nm0622643,"nm0022331,nm0622643,nm0957930"
tt0098705,nm0073214,nm0755884
tt0098706,nm0067915,"nm0067915,nm0652534"
tt0098707,nm0151060,"nm0151068,nm0159584"
tt0098708,"nm0939147,nm0477035,nm0381858","nm0939147,nm0381858"
tt0098709,nm0748574,nm0748574
tt0098710,"nm0867265,nm0005033",nm0874683
tt0098711,nm0939147,nm0939147
tt0098712,nm0481703,nm0939275
tt0098713,"nm0492368,nm0934919","nm1926864,nm1933942,nm1927057"
tt0098714,nm0116663,"nm0116663,nm0207401,nm0073053"
tt0098715,nm0259554,nm0259554
tt0098716,nm0140649,nm0140649
tt0098717,nm0944527,"nm4013735,nm0656655,nm4019915"
tt0098718,nm0939147,nm0939147
tt0098719,"nm0150862,nm0939147",nm0939147
tt0098720,nm0471538,"nm0471538,nm0888486"
tt0098721,nm0770918,"nm0037750,nm0375502,nm0770918"
tt0098722,nm0903088,nm0294673
tt0098723,nm0833417,"nm0770640,nm3301928,nm0833417"
tt0098724,nm0001752,nm0001752
tt0098725,nm0001005,"nm3096624,nm0001005"
tt0098727,nm0489284,nm0489284
tt0098728,nm0798075,nm0759195
tt0098730,nm0126154,nm0126154
tt0098731,nm0798035,nm0306634
tt0098732,nm0836949,nm0836949
tt0098733,nm0902823,"nm2821326,nm0902823"
tt0098734,nm0557621,nm0399560
tt0098736,"nm0251057,nm0683578,nm0255028,nm0557857,nm0180644,nm5384247,nm0314104,nm0769135,nm0101385,nm0516493","nm0543911,nm0072786,nm0926357,nm0125060,nm0879864,nm0156213,nm3487096,nm0472255,nm0694526,nm0694638,nm0700463,nm0710887,nm0065628,nm1511698,nm0334224,nm0432162,nm0441689,nm0766766"
tt0098737,"nm0463628,nm0515383,nm0756903,nm1339880,nm0682859","nm0594496,nm0891714"
tt0098740,"nm1721407,nm1914472,nm0004025,nm0002522,nm1252511,nm0223688,nm2297543,nm0386639,nm1894642,nm0718270,nm0441827,nm1007850,nm1327834","nm0857850,nm1001621,nm2272109,nm0036713,nm0756114,nm3374576,nm0064546,nm0918441,nm1823239,nm0534983,nm0600126,nm1096215,nm1140104,nm0632383,nm1414741,nm0227155,nm1115689,nm0260241,nm0599315"
tt0098741,"nm0917066,nm3059049,nm0764275,nm0174962,nm1189300,nm0310482,nm1914472,nm0857191","nm0122698,nm0024169,nm1604669,nm1603708,nm0444786,nm0844055,nm0253042,nm0445625,nm0553146,nm0222100,nm0782803,nm1088315,nm1087441,nm0153068"
tt0098742,nm0004111,"nm0004111,nm0635972,nm1351831,nm8920622,nm2316163,nm0343646,nm0362603,nm0372704,nm0421025,nm9005990,nm3666010"
tt0098743,nm0918873,"nm0781522,nm0355357,nm0268023,nm0293594,nm0714246"
tt0098744,"nm3569430,nm0323006",nm0392405
tt0098745,"nm0614975,nm0226000,nm0504297,nm0181605,nm0771673","nm0414117,nm0661275,nm0178769,nm0329047,nm0066703,nm0457698,nm0767530,nm0595623,nm1134390,nm0810948,nm0825506,nm7032807,nm0839966"
tt0098746,nm0091575,"nm0480048,nm0742097,nm0268046,nm0790328,nm0919006,nm0294355,nm0722610"
tt0098748,"nm0434854,nm0001774","nm0434854,nm0001774"
tt0098749,"nm0070474,nm0343335,nm0005575,nm0664176,nm0010818,nm0109455,nm0218894,nm0516493,nm0132095,nm0914370,nm0471862,nm0201626,nm0484464,nm0722493,nm0000580,nm0823015,nm0064593,nm0452129,nm0695415,nm0915942,nm0180891,nm0141222,nm0485889,nm0003733,nm0001760,nm0270570,nm0528308,nm0509183,nm0930041,nm0364749,nm0881306,nm0001259,nm0540487,nm0541703,nm0271708,nm0006996,nm0150024,nm0036206,nm0065568,nm0000594,nm0296501,nm0382541,nm0004621,nm0002704,nm0006853,nm0002349,nm0385151,nm0267309,nm0574238,nm0248698,nm0793525,nm0856845,nm0783751,nm0003150,nm0004977,nm0638527,nm0926215,nm0744794,nm0004627,nm0667182,nm0295272,nm0578162,nm0791045,nm0106015","nm0823015,nm0834570,nm0423715,nm0072412,nm0565220,nm0913702,nm0458818,nm0597066,nm0825284,nm0252014,nm0872658,nm0073766,nm0361912,nm0742997,nm0743003,nm0332447,nm0178324,nm0280814,nm0818650,nm0529128,nm0920298,nm0118938,nm0276510,nm0924095,nm0767500,nm0326549,nm0825743,nm0144372,nm0731271,nm0578163,nm0082376,nm0104333,nm0213127,nm0012100,nm0296252,nm0251995,nm0253705,nm0765274,nm0842464,nm0783926,nm0106022,nm0826627,nm0556789,nm2456257,nm0956335,nm0053426,nm0053449,nm0231929,nm0501380,nm0767124,nm0922048,nm0395741,nm0302963,nm0678718,nm0002651,nm0919648,nm0456352,nm0005575,nm0491696,nm0686388,nm1341252,nm3175887,nm0326211"
tt0098750,\N,nm1827641
tt0098751,nm0793727,"nm1068447,nm3978982,nm0791995,nm0842266,nm4546079,nm0273968,nm0511118,nm1633136,nm0614441,nm0836081,nm0931811"
tt0098752,"nm0023317,nm0527206,nm0666362,nm0813992,nm0881662,nm0680799","nm3362073,nm0227704,nm1406396,nm0330820,nm0363624,nm0433992,nm0448748,nm0523431,nm0524887,nm0524888,nm0552896,nm1130314,nm0733975,nm1115084,nm0736538,nm0805150,nm3293654,nm0918217"
tt0098753,nm0865440,nm0679521
tt0098754,"nm0799622,nm0059556,nm0746591,nm0789128,nm0612786,nm0447630,nm0220962,nm0241619,nm0089276,nm0269899,nm0318795,nm0431789,nm0551106,nm0002573,nm0296651,nm0300154,nm0871751,nm0009753,nm0117588,nm0214606,nm2596944,nm3145615,nm0809375,nm0700830,nm0744521,nm0494385,nm0619614,nm0699556,nm0655563","nm0267690,nm0728548,nm0593659,nm0895500,nm0184291,nm0580291,nm3612240,nm0114150,nm0256821,nm0479936,nm0942249,nm0062726,nm0957105,nm0112542,nm0237705,nm0285168,nm0657431,nm0352471,nm10710700,nm0062727,nm0082772,nm0237009,nm0237021,nm0289734,nm0361274,nm3682297,nm14023645,nm0813289,nm0059554,nm2686501,nm0493873,nm0805138,nm0126906,nm0534352,nm0898696,nm0925317,nm10713147,nm0126327,nm1362752"
tt0098756,"nm0540487,nm0842093,nm0552189,nm0082676","nm0777338,nm0777442,nm0443173,nm0770158"
tt0098757,"nm0253531,nm0132095,nm0372133,nm0322128,nm0228853,nm0004886","nm0178294,nm0623278"
tt0098758,"nm0762674,nm0926215,nm0638354,nm0177356,nm0543129,nm0003163","nm0004798,nm0908824,nm0077062"
tt0098759,nm0351844,nm0917917
tt0098760,"nm0282196,nm0492722,nm0781477,nm0889571",nm0533827
tt0098761,"nm0035106,nm0863990,nm0925870,nm0782381,nm0679855,nm0503598,nm0294350,nm0638527","nm0586965,nm0003994,nm0505662,nm1053841,nm0362379,nm3907572,nm0827695"
tt0098762,"nm0344686,nm0607984","nm0594427,nm0790666,nm0791269,nm0095685,nm0602922,nm1088324,nm0330820,nm0363624,nm0552896,nm0733975,nm0251395,nm1333890,nm0371051,nm0390503,nm2270931,nm0561041,nm0669960"
tt0098763,"nm0240548,nm0739605,nm0582798,nm0680799,nm0666362,nm0617106,nm0205621","nm1028310,nm0877894,nm0995452,nm0287482,nm0363624,nm0382375,nm0518773,nm1032103,nm0769887,nm0109160,nm0220297,nm1130314,nm4397706,nm0020176,nm0403579,nm0602922,nm0371051,nm0669960,nm0730442,nm1415374,nm1418571,nm0782402,nm0561041,nm0552896,nm1332943,nm0140170,nm0140836,nm0283897,nm0007208,nm0611100,nm1179170,nm0566407,nm0969722,nm4398105,nm0774792,nm0790666,nm0791269,nm0228442,nm2696029,nm0330820,nm2404596,nm1455102,nm0572397,nm3362073,nm0625592,nm0641687,nm0214114,nm6443516,nm0251395,nm0441743,nm0095685,nm0617106,nm0558425"
tt0098764,"nm0694516,nm0533414,nm0923396,nm0213257,nm0790281,nm0004105","nm0132362,nm0568730,nm0931285,nm0722730,nm1162904,nm0865847,nm0918955,nm1059505,nm0695147,nm0168755"
tt0098765,"nm0003201,nm0398275,nm0358759,nm0490594,nm0006960,nm0801121","nm0100928,nm0152509,nm0236279,nm0370058,nm0394165,nm0666875"
tt0098766,"nm0600503,nm0342487","nm0121866,nm0028672,nm0934104,nm0343929"
tt0098767,nm3396633,"nm4187980,nm0409323,nm0411127,nm0811998,nm0913834"
tt0098768,nm0832573,"nm0353673,nm0189101,nm0581725,nm0622262,nm1094028,nm0805778,nm0818434,nm0326247,nm0372659,nm0593370,nm0697676,nm0792371,nm0973864"
tt0098769,nm0122741,"nm0122741,nm0122849,nm0911552"
tt0098770,nm0646678,"nm0179426,nm0575699"
tt0098771,"nm1410200,nm0486621,nm0281058,nm0671226,nm0012516,nm0863968,nm0172513","nm0350479,nm0533882,nm1602443,nm1604670,nm0197960,nm0171027,nm0494933,nm0730350,nm7943167,nm0916343,nm0920729,nm0025720,nm0183524,nm0486006"
tt0098772,"nm0294350,nm0762541,nm0797869,nm0387706,nm0793525,nm0732218,nm0314104,nm0354024","nm0004766,nm0277925,nm0738908,nm0335791,nm0334224"
tt0098773,"nm0247621,nm0699556,nm0578899,nm0095080,nm0599624,nm0044524,nm0296651,nm0790519,nm0059556,nm0304604,nm0799622,nm0205370,nm0241619,nm0413465,nm0774300,nm0502249,nm0793525,nm0077533,nm0602181","nm0019726,nm0022935,nm0062726,nm0112542,nm0138775,nm0223838,nm1854061,nm0047732,nm0252012,nm0184291,nm0378130,nm2397904,nm0481202,nm2318546,nm0491613,nm0534078,nm0595913,nm0646262,nm2401703,nm0719206,nm3635277,nm0791949,nm0824083,nm0840106,nm0914995,nm0915089,nm0915090,nm0955218,nm0957105"
tt0098774,"nm0109273,nm0188463","nm0031149,nm8668259,nm1354458,nm1639981,nm0961826,nm1636647,nm8668260,nm8668261,nm8670504,nm8668135,nm0079293"
tt0098775,"nm0255028,nm0002413,nm0921464,nm0101385,nm0118778,nm0692675,nm0703867,nm0811764,nm0897794","nm0223960,nm0014234,nm0564497,nm0637493,nm0694015,nm0769507,nm0799756"
tt0098776,"nm0589106,nm0858686","nm0988931,nm0235930,nm0000196,nm0795084,nm0858686,nm0303991,nm0698795,nm0004412,nm0931121"
tt0098777,nm0326500,nm0450066
tt0098778,"nm0212703,nm0224683,nm0031246,nm0123273,nm0001652,nm0155117,nm0943832","nm0212703,nm1698564,nm0206556,nm0476447,nm2452999,nm0724842,nm0815071,nm0943832"
tt0098779,"nm0247621,nm0095080,nm0454437,nm1289690,nm0805995,nm0941276,nm0103523,nm0471862","nm0204657,nm0491462,nm0065949,nm0002766,nm1159731,nm10631833,nm0446859,nm4557727,nm0179492,nm0743682"
tt0098780,"nm0442008,nm0257554,nm0001573,nm2036635,nm0006996,nm0320180,nm0005316,nm0827972,nm0109159,nm0589106,nm0043560,nm0938201,nm0485637,nm0571106,nm0384185,nm0331989,nm0545763,nm0697676,nm0049975,nm0809321,nm0000913,nm0385151,nm0240984,nm0762541,nm0938660,nm0000484,nm0518719,nm0858525,nm0540532,nm0025475,nm0925441","nm0186331,nm0442035,nm0329985,nm0257145,nm0339211,nm0833821,nm0174885,nm0561826,nm0940136,nm0458292,nm0695080,nm0714246,nm0767530,nm0388849,nm0606594,nm0299236,nm0358976,nm0505741,nm0444089,nm0193454,nm0539719,nm0773957,nm0213385,nm0476274,nm0746687,nm0406858,nm0463172,nm0521541,nm0616083,nm0888979,nm0442008,nm0036961,nm0503167,nm0178547,nm0147092,nm0380981,nm0532271,nm0558897,nm0011925,nm0178769,nm0329047,nm4289032"
tt0098781,"nm0646187,nm0357725","nm0357725,nm0420746,nm0932096,nm0720806,nm0006396,nm1080807,nm0569874"
tt0098782,nm0001270,"nm0788276,nm0694015,nm0769507,nm0133459,nm0296250,nm0000520"
tt0098783,"nm0002573,nm0362738","nm0152501,nm0224482,nm1383746,nm0956594"
tt0098784,"nm0320987,nm0044524,nm0578899,nm0089276,nm0685923,nm0162013,nm0003403,nm0095080,nm0193512,nm0564260,nm0103523,nm0790519,nm0492275,nm0471862,nm0385543,nm0003794,nm2506378,nm0348274,nm0528308,nm0746591,nm0512052,nm0227192","nm0548719,nm0341966,nm0760447,nm0491613,nm0824083,nm0840106,nm0287069,nm0534078,nm1023712,nm6573567,nm0949451,nm0770366,nm0019726,nm0646262,nm0138775,nm0474204,nm0007233,nm0552009,nm0085663,nm0728548,nm3829946,nm0414798,nm0560108,nm0595913,nm0801301,nm0874020,nm0390415,nm8146084,nm2724980,nm8134518,nm0669319,nm1311202,nm4098665,nm0992569,nm0593659,nm0622217,nm0055231,nm0085331"
tt0098785,nm0771593,nm0380823
tt0098786,"nm0762541,nm0591171,nm0505900,nm0385151,nm0337675","nm0403913,nm0569808,nm4289779,nm0548727,nm1290008,nm0663489,nm0157226"
tt0098787,"nm0597233,nm0029014,nm0130285,nm1253167","nm0103254,nm0524076,nm0604602,nm0107402,nm0183524,nm0192098,nm0324549,nm0822983"
tt0098788,nm0079906,nm0579566
tt0098789,"nm0485637,nm0500609,nm0810553,nm0024143,nm0141961,nm0938490,nm0503598,nm0481358,nm0842830,nm0387706,nm0742430,nm0679855,nm0811764,nm0393661,nm0002573,nm0722493","nm0141961,nm0461347,nm0800688,nm0505788,nm0007761,nm0007233,nm0285731,nm3556730,nm0450899,nm0505782,nm0513658,nm0581725,nm2954073,nm0766766,nm0816041,nm2956209,nm0899187,nm3980800,nm0702804"
tt0098790,"nm0000608,nm0859707,nm0358996,nm0825731,nm0000913,nm0717650,nm0290869,nm0094894,nm0459658,nm0005052,nm0258405,nm0258748,nm0320180,nm0001652","nm0089124,nm0722610,nm0629572,nm0106257,nm0743693,nm0294355,nm0358996,nm0164496,nm0589357,nm0388849,nm0963348,nm0000608,nm0295636,nm0926836,nm0958521,nm0109785,nm0269226,nm0919735,nm0224482,nm0083349,nm0960722,nm0927544,nm0523299,nm0726131"
tt0098791,"nm0725452,nm0641460,nm0180902,nm0513021,nm0684784,nm0000281,nm0529175","nm0081065,nm0912968,nm0926834,nm0926836,nm0927544,nm0083349,nm0256079,nm0628546,nm1116793,nm3954034,nm0932104,nm0972743,nm0654179,nm1044424,nm1044469"
tt0098792,"nm0706347,nm0578162","nm0135203,nm0487414,nm0546746,nm0770158,nm0326346,nm0662354,nm0742814,nm0723657,nm0393316,nm0432212,nm0437258,nm0680725"
tt0098793,"nm0236930,nm0113601,nm0123273,nm0516568,nm0825731,nm0923396,nm0790281,nm0958449","nm0266673,nm0343724,nm0622240,nm0817565,nm0115572,nm0919098,nm0561826,nm0940136,nm0203145,nm0315386,nm0798988"
tt0098794,"nm0580318,nm0260474,nm0174530","nm3167054,nm1023613,nm1240872,nm3183801,nm0305864,nm3148386,nm1090365,nm0555909,nm0580318,nm1847914,nm0602508,nm1965262,nm0748348,nm0998110,nm2787726,nm0883553,nm3230509,nm1949321"
tt0098795,"nm0084642,nm0762541,nm0239311,nm0516493,nm0528718,nm0919527,nm0926215,nm0855035,nm0385151","nm0556435,nm0880436,nm0672554,nm0223844,nm0310782,nm0174795,nm1094028,nm0805778,nm0855035,nm0808186"
tt0098796,"nm0038238,nm0512501","nm0038238,nm0096740,nm0347188,nm0512501,nm0526478"
tt0098797,nm0064394,nm1388935
tt0098798,"nm0082677,nm0872809,nm0793525,nm0410769,nm0082676,nm0500609,nm0003497,nm0176448,nm0044524,nm0762674,nm0005710","nm0082677,nm0210290,nm0154674,nm1052932,nm0382724,nm0368954,nm0873449,nm3012185,nm1189346,nm0408639,nm1189825,nm1764901,nm0714184,nm0370928,nm0370937,nm0628057,nm0782964,nm0804233,nm0903449"
tt0098799,nm0835156,"nm0166074,nm0478588"
tt0098800,"nm0470153,nm0000739,nm0421675,nm0899330,nm0912528,nm0265954,nm0899085,nm0005355,nm0907439,nm0187892,nm5165734,nm0578162,nm0676592","nm0097273,nm0097275,nm0575656,nm0689385,nm0742792,nm0931638,nm0800111,nm0712904,nm0958412,nm0724839,nm0306584,nm0935680,nm0931223,nm0781508,nm0331212,nm0348765,nm0685735,nm0811942,nm0969183,nm0381161,nm0099618,nm0588375,nm0548715,nm0972395,nm1447614,nm0788420,nm0968998,nm0534983,nm3169834,nm0972444,nm0009178,nm0021175,nm0725983,nm0115572,nm0850696,nm0101337,nm0122497,nm6303953,nm0969171,nm0628074,nm0095504,nm0970005,nm0743514,nm0970542,nm0544622,nm1155839,nm0000226,nm0972381,nm0395923,nm0463176,nm0748860,nm0026694,nm0122084,nm0189137,nm0235925,nm0308194,nm0326247,nm0376429,nm0389668,nm0780160,nm2372419,nm0932831,nm0969899,nm0872621,nm0911865,nm0943535"
tt0098801,"nm0516493,nm0509409,nm0319412,nm0434211,nm0692675,nm0842830,nm0005522,nm0503598,nm0314104,nm0106015,nm0630372,nm0811764,nm0794791,nm0176448,nm0872442","nm0102227,nm0524679,nm0952590,nm0578856,nm0869979,nm0695415,nm0957274,nm0009952,nm0143211,nm0458818,nm0795435,nm1376651,nm0913702,nm0133459,nm0379126,nm0768544"
tt0098802,"nm0049975,nm0382722,nm0592400,nm0661751,nm0287198,nm0825731,nm0235638","nm0254402,nm0592400,nm0720304,nm0644022,nm0343440,nm0672554,nm0293749,nm0548715,nm0442109,nm0724842,nm0247695,nm0298975,nm0348795,nm0174885,nm0329985,nm0004985"
tt0098803,"nm0697074,nm0611072","nm0794397,nm0861028"
tt0098804,"nm0501380,nm0930041,nm0918873,nm0490658",nm0367895
tt0098805,"nm0664756,nm0529175,nm0513021,nm0155117,nm0959034,nm0790281,nm0180902","nm0012167,nm0102122,nm0341069,nm0589429,nm0252087,nm0591778,nm0103928,nm0086339,nm0931223,nm0347558,nm1003816"
tt0098806,nm0288476,"nm0115543,nm0796303"
tt0098807,"nm0001471,nm0798800,nm0832573","nm0798800,nm0865157,nm0122084,nm0557952"
tt0098808,"nm0450314,nm0636165,nm0692675","nm0228442,nm0371051,nm0075487,nm0004520"
tt0098809,"nm0938201,nm0402596","nm0498775,nm0724491,nm0611637,nm0308860,nm0089256,nm0106020,nm0486780,nm0574471,nm0780288"
tt0098811,"nm0527206,nm0813992,nm0666362,nm0240327,nm0023317,nm0881662","nm0176497,nm0503158,nm0456946,nm0769593,nm1415374,nm0385426,nm0558425,nm1054972,nm3278460,nm0850521,nm1418571"
tt0098812,nm0170680,"nm0109484,nm0227483,nm0378415"
tt0098813,nm0608692,"nm0025006,nm0102903"
tt0098815,"nm0189610,nm0319412,nm0722493,nm0841416","nm0085242,nm0189610,nm0937725"
tt0098816,"nm0493067,nm0607701","nm0152602,nm1593173"
tt0098817,"nm0692714,nm0406177,nm0083606,nm0673942","nm0256960,nm0383666,nm0386810,nm2992449,nm0628218,nm0673942,nm0292736,nm0925768"
tt0098818,"nm0001117,nm0675950,nm0000281,nm0459658,nm0369858,nm0614975,nm0177356,nm0094894,nm0076770,nm0516654,nm0382722,nm0927042,nm0923645,nm0235638,nm0024596","nm0608777,nm0171719,nm0646919,nm0219682,nm0790820,nm0209589,nm0347558,nm0825620,nm0215227,nm0293193,nm1360612,nm0256079,nm0505873,nm2394045,nm0094541,nm3951633,nm0127484,nm0686922,nm1044424,nm3038066,nm0213100,nm3774493,nm0465576,nm0551976,nm3941058,nm0608789,nm0630012,nm0689954,nm0707695,nm1593187,nm1044469,nm0827019,nm1646429,nm0024169,nm0027064,nm0081497,nm3951873,nm0292080,nm0788744,nm0833518,nm0932832,nm0366248,nm0374864,nm0741676"
tt0098819,nm0473352,"nm0880708,nm0753942"
tt0098820,"nm0298176,nm0923935,nm0262986,nm7972263,nm0636116,nm2653301,nm0810026,nm0520471,nm0817989","nm7726910,nm3097097,nm3729020,nm10234303,nm11931555,nm9071873,nm11078973,nm13539094,nm10327653,nm14012710,nm8057097,nm4462956,nm0171837,nm0175383,nm9071874,nm2223946,nm0185366,nm4770479,nm0206470,nm10379196,nm1150495,nm10234304,nm9107179,nm11951787,nm7760281,nm11968373,nm4940206,nm3552340,nm3717273,nm7344042,nm5073652,nm0309420,nm11687778,nm9705413,nm5917638,nm9853017,nm14209150,nm9760118,nm6752709,nm5047122,nm3382631,nm3418686,nm4237836,nm10464355,nm8844151,nm5697130,nm5323941,nm9071875,nm10327654,nm10775745,nm12995799,nm5701082,nm11083064,nm5413806,nm1493629,nm11988238,nm8641065,nm8883034,nm5897500,nm9491394,nm14096541,nm1711235,nm0663822,nm9806448,nm9705414,nm1398904,nm0683346,nm0701445,nm4083993,nm4304100,nm11083065,nm2870358,nm12974313,nm11065470,nm0801703,nm4192742,nm8622923,nm6898547,nm0824540,nm3334440,nm0841997,nm7457304,nm2444593,nm4461214,nm5075542,nm6966546,nm9071876,nm8516161,nm1270623"
tt0098821,nm1020306,"nm3638857,nm1267275"
tt0098822,"nm0627203,nm0097452,nm0299840,nm0457393,nm0919262","nm0880708,nm0762042,nm0919262"
tt0098824,"nm0351610,nm0936851",nm0509015
tt0098825,nm0781477,"nm0203577,nm0229645"
tt0098826,"nm0004621,nm0005077,nm0082676,nm0650905,nm0818465,nm0733415","nm0044828,nm0335411,nm0770974,nm0969329,nm0456918,nm0503035"
tt0098830,"nm0008956,nm0001609,nm0343622,nm0566810,nm0805226,nm0589106,nm0046943,nm0926938,nm0806416,nm0891054","nm0005540,nm0278635,nm0891541,nm0276248,nm0790771,nm0001834,nm0932832,nm0867012,nm0046943,nm0806416,nm0932831,nm0000120,nm0551979,nm0771484,nm0367046,nm1322968,nm1032260,nm0101337,nm0060076,nm0336226,nm0064556,nm0644203,nm1249059,nm0771790,nm0619868,nm1831960,nm0242586,nm0667312,nm1113231,nm0048169,nm0427993,nm5333675,nm0780420,nm0780643,nm0897884,nm0811360,nm0926938,nm0014977,nm0172373,nm0234956,nm1447614,nm0295314,nm0867690,nm0600763,nm0130360,nm0867195,nm0810948,nm0459679,nm1847838,nm0748028,nm1350973,nm0097922,nm0507234,nm0106373,nm0338337,nm0369292,nm0859637,nm0445552,nm0703800,nm0972395,nm0430617,nm0475446,nm0005541,nm0004979,nm0203508,nm0001674,nm0450857,nm0004937,nm0915462,nm0915465,nm0005547,nm0499343,nm0507338"
tt0098831,nm0324995,nm0249672
tt0098832,nm0474539,nm0172360
tt0098833,"nm0265564,nm0486748,nm0950000","nm0264088,nm0937289"
tt0098834,"nm0307244,nm0006960,nm0810200,nm0917992","nm0005237,nm0931388"
tt0098835,"nm0287842,nm0383539,nm0390467,nm0262561,nm0665883,nm0805444,nm0242542,nm0356786,nm0875866,nm0028628,nm0282196,nm0455418","nm0007486,nm0266420,nm0963355,nm3129106,nm0378021,nm0388139,nm1703701,nm0536588,nm1649639,nm0616902,nm0679748,nm0711161,nm7693971,nm0806857,nm0809732,nm3084582,nm0818811,nm7693970,nm1130685,nm0961932"
tt0098836,nm0259554,nm0259554
tt0098837,nm0811185,nm0164983
tt0098838,nm0425593,"nm0329447,nm0360113"
tt0098840,nm0677235,"nm0295125,nm0783889"
tt0098841,nm0921034,"nm0104561,nm0921034"
tt0098842,nm0755906,"nm10161200,nm0712561,nm0947343"
