tconst,directors,writers
tt0021737,nm0466576,nm6916440
tt0231173,nm0932055,\N
tt0232049,nm0682176,"nm0550405,nm0770486"
tt0242461,nm0649651,"nm0017272,nm0017274,nm0649651"
tt0312353,nm0691341,\N
tt0330854,nm1723182,nm1723182
tt0334788,"nm0498300,nm1253842",\N
tt0432419,nm0761400,nm0761400
tt0451996,nm1008105,"nm1856850,nm1823347"
tt0502004,nm0197819,"nm0367895,nm0004798,nm0322106,nm0636791"
tt0502005,nm0103523,"nm0367895,nm0004798,nm0236494"
tt0502006,nm0638354,"nm0367895,nm0004798,nm0053426,nm0053449,nm0038933,nm0939128,nm0604688"
tt0502007,nm0543129,"nm0367895,nm0004798,nm0038933,nm0939128,nm0604688,nm0053426,nm0053449"
tt0502008,nm0926215,"nm0367895,nm0004798,nm0038933,nm0086826"
tt0502009,nm0926215,"nm0939128,nm0991399,nm0038933,nm0604688,nm0367895,nm0004798,nm0086826,nm0638258"
tt0502010,nm0002573,"nm0367895,nm0004798,nm0638258,nm0076602"
tt0502011,nm0926215,"nm0367895,nm0004798,nm0501380"
tt0502012,nm0599624,"nm0367895,nm0004798,nm0604688,nm0939128,nm0991399,nm0038933,nm0820692"
tt0502013,nm0935727,"nm0367895,nm0004798,nm0638258"
tt0502014,nm0927296,"nm0367895,nm0004798,nm0991399"
tt0502015,nm0638354,"nm0367895,nm0004798,nm0076602"
tt0502016,nm0176448,"nm0367895,nm0004798,nm0456918"
tt0502018,nm0452129,"nm0367895,nm0004798,nm0604688,nm0939128,nm0038933,nm0820692"
tt0502019,nm0176448,"nm0367895,nm0004798,nm0638258"
tt0502020,nm0005522,"nm0367895,nm0004798,nm0820692,nm0038933,nm0939128,nm0604688"
tt0502021,nm0041710,"nm0367895,nm0004798,nm0989001,nm0604688,nm0939128,nm0991399,nm0038933"
tt0502022,nm0564260,"nm0367895,nm0004798,nm0231929"
tt0502023,nm0002573,"nm0367895,nm0004798,nm0501380"
tt0502024,nm0452129,"nm0367895,nm0004798,nm0002651,nm0038933,nm0939128,nm0604688,nm0820692"
tt0502025,nm0452129,"nm0367895,nm0004798,nm0002651,nm0038933,nm0939128,nm0604688,nm0053449,nm0053426"
tt0502026,nm0452129,"nm0367895,nm0004798,nm0638258,nm0038933,nm0939128,nm0604688,nm0820692"
tt0502027,nm0543129,"nm0367895,nm0004798,nm0086826"
tt0502028,nm0931736,"nm0367895,nm0004798,nm3626694"
tt0502029,nm0599624,"nm0367895,nm0004798,nm0053449,nm0053426,nm0038933,nm0939128,nm0604688"
tt0502030,nm0176448,"nm0367895,nm0004798,nm0132319"
tt0502031,nm0003733,"nm0367895,nm0004798,nm0038933,nm0939128,nm0604688,nm0820692"
tt0502032,nm0176448,"nm0367895,nm0004798,nm0086826"
tt0502033,nm0269899,"nm0367895,nm0004798,nm0086826"
tt0502034,nm0452129,"nm0367895,nm0004798,nm13205044"
tt0502035,nm0410769,"nm0367895,nm0004798,nm0008953,nm0076602"
tt0502036,nm0103523,"nm0367895,nm0004798,nm0675327,nm0991386"
tt0502037,nm0817878,"nm0367895,nm0004798,nm0322106"
tt0502038,nm0101385,"nm0367895,nm0004798"
tt0502039,nm0003163,"nm0367895,nm0004798,nm0604688,nm0939128,nm0991399,nm0038933"
tt0502040,nm0551106,"nm0367895,nm0004798,nm0312663"
tt0502041,nm0599624,"nm0367895,nm0004798,nm0038933"
tt0502042,nm0066548,"nm0367895,nm0004798,nm0076602"
tt0502043,nm0599624,"nm0367895,nm0004798,nm0236494,nm0322106"
tt0502044,nm0003733,"nm0367895,nm0004798,nm0295047,nm0038933,nm0939128,nm0604688,nm0422434,nm4140887,nm0053449,nm0053426"
tt0502045,nm0817878,"nm0367895,nm0004798,nm0236494"
tt0502046,nm0002413,"nm0367895,nm0004798,nm0038933"
tt0502047,nm0452129,"nm0367895,nm0004798,nm0820692,nm0038933,nm0939128,nm0604688"
tt0502048,nm0002573,"nm0367895,nm0004798,nm0009145,nm0038933"
tt0502049,nm0002573,"nm0367895,nm0004798,nm0456918,nm0086826,nm0638258"
tt0502050,nm0543129,"nm0367895,nm0004798,nm0638258"
tt0502054,nm0445238,"nm0818009,nm0094541,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502055,nm0445238,"nm0329958,nm0099618,nm0998720,nm0610421,nm0253631,nm2005468"
tt0502056,nm0802278,"nm0009488,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502057,nm0495767,"nm0329958,nm0099618,nm0610421,nm0253631,nm2005468"
tt0502058,nm0802278,"nm0278296,nm0817395,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502059,nm0445238,"nm0089256,nm0099618,nm0610421,nm0253631,nm2005468,nm0329958"
tt0502060,nm0445238,"nm2078324,nm2772661,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502061,nm0445238,"nm2506301,nm0226608,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502062,nm0445238,"nm0302673,nm0529128,nm0920298,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502063,nm0445238,"nm0425103,nm0011814,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502064,nm0445238,"nm1098224,nm1101018,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502065,nm0445238,"nm0302673,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502066,nm0482457,"nm0569198,nm3597913,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502067,nm0445238,"nm0089256,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502068,nm0445238,"nm0818009,nm0302673,nm0004958,nm0316659,nm0610421,nm0099618,nm0253631,nm2005468,nm0009488,nm0011814,nm0425103"
tt0502069,nm0445238,"nm0662084,nm0302673,nm0926526,nm0316659,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502070,nm0445238,"nm0425103,nm0186709,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502071,nm0445238,"nm0072396,nm0335603,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502072,nm0131386,"nm0011814,nm0610421,nm0099618,nm0253631,nm2005468,nm0186709,nm0302673,nm0329958,nm0425103,nm0662084"
tt0502073,nm0445238,"nm1086526,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502074,nm0445238,"nm0445593,nm0016973,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502075,nm0113601,"nm0099618,nm0253631,nm0610421,nm2005468"
tt0502076,"nm0131386,nm0990936","nm0330032,nm0610421,nm0099618,nm0253631,nm2005468,nm0329958"
tt0502077,nm0990936,"nm0253631,nm0099618,nm0610421,nm2005468,nm0329958"
tt0502078,nm0445238,"nm0089256,nm0099618,nm0610421,nm0253631,nm2005468"
tt0502079,nm0445238,"nm2078324,nm2772661,nm0610421,nm0099618,nm0253631,nm2005468"
tt0502080,nm0990936,"nm0278296,nm0817395,nm0610421,nm0099618,nm0253631,nm2005468"
