tconst,directors,writers
tt0052483,"nm0004573,nm0165493,nm0679013,nm0330036,nm0692872,nm0926636,nm0920862,nm0382227,nm0394409,nm0575546,nm0624809,nm0791027,nm0385227,nm0723629,nm0723664","nm0114948,nm0166187,nm0401738,nm0485719,nm0053267,nm0472197,nm0799972,nm0227481,nm0276102,nm0363492,nm0860565,nm0073823,nm0242326,nm0250066,nm0275848,nm0991378,nm0792597,nm0312479"
tt0052484,"nm0624809,nm0215085,nm0591142","nm0115482,nm0252100,nm0488956,nm0524188,nm0591142,nm0642683,nm0650083,nm0656048,nm0679678,nm0748809,nm0789848,nm0911350"
tt0052485,"nm0381246,nm0450230,nm0329574,nm0204537,nm0357855,nm0232527,nm0163816,nm0012409,nm3989144,nm0002016,nm0039477,nm0282984,nm0002116,nm0072561,nm0159124,nm0189075,nm0485871,nm0638528,nm0946389","nm0422037,nm0734164,nm0088645,nm1907032,nm0268716,nm0268717,nm0798977,nm0011219,nm0975303,nm0593170,nm0607676,nm2606330,nm0907013,nm1911773,nm0414438,nm0860651,nm0164593,nm0807654,nm1309201,nm0073823,nm0105965,nm0177731,nm0226889,nm0488956,nm0492626,nm0991378,nm0723941,nm2509534,nm0875973,nm0046379,nm0130196,nm0291515,nm0340981,nm0507289,nm0509398,nm0700804,nm0710852,nm0759170,nm0789947,nm0792597,nm0818961,nm0089286,nm0419265,nm0543344,nm0991409"
tt0052486,"nm0842093,nm0008030","nm0233577,nm0548893,nm0789520,nm0800105,nm0850514,nm0938439"
tt0052487,"nm0428195,nm0679013,nm0336139,nm0103975,nm0723629,nm0425593,nm0926636,nm0000265,nm0468609,nm0494903","nm0056234,nm0911350,nm0575022,nm0798103,nm1094766,nm0242137,nm0371193,nm0073823,nm0166187,nm0227481,nm0318428,nm0340981,nm0606806,nm0767359,nm0796923,nm0050858,nm0213991,nm0991378,nm0626981,nm0650083,nm0773931,nm0773971,nm0293955"
tt0052488,"nm0005747,nm0792450","nm0089286,nm0295367,nm0332315,nm0370152,nm0370252,nm0414438,nm0430460,nm0488956,nm0492626,nm0538708,nm0551869,nm0573929,nm0737368,nm0773931,nm0773971,nm0774441,nm0807654,nm13711852"
tt0052489,nm0528790,\N
tt0052490,"nm0156116,nm0204445,nm0599943,nm0125111,nm0401680,nm0330036,nm0614634,nm0769274,nm0024120","nm0795738,nm0437352,nm1299255,nm0395845,nm0718466,nm2070468,nm0020918,nm0024120,nm0931117,nm2628061,nm0683980,nm0253630,nm0288997,nm0823465,nm0752869,nm0065139,nm0974215,nm0106505,nm1300090,nm0516015,nm0547949,nm0176673,nm0204818,nm1447468,nm1529944,nm0314836,nm0332315,nm1279656,nm1244970,nm0463385,nm0519198,nm0532225,nm1098370,nm1099687,nm0887966,nm2319833,nm0907013,nm0789051"
tt0052491,"nm0282984,nm0202297,nm0500552,nm0934827,nm0723664,nm0589228,nm0058885,nm0108571,nm0374702,nm0037322,nm0382227,nm0394409,nm0575546,nm0652631,nm0801717,nm0918659,nm0388913,nm1310871","nm0313434,nm0313487,nm0363492,nm0382227,nm0386928,nm0391318,nm0427161,nm12516466,nm0460711,nm1709315,nm0488956,nm0490206,nm0551139,nm0558577,nm0567613,nm0578439,nm0587743,nm0604980,nm0613732,nm0624776,nm1310871,nm3639203,nm0672362,nm4045810,nm0762556,nm0798103,nm0805748,nm0842485,nm0892044,nm4041773,nm0926247,nm0931555,nm3077493,nm0064579,nm0071864,nm0072920,nm3639930,nm3719705,nm4054506,nm0219551,nm0262680"
tt0052492,"nm0163332,nm0854910,nm0879209,nm0816917,nm0460667","nm2141623,nm0104903,nm3391280,nm0163332,nm0163333,nm0078126,nm0354880,nm0360286,nm0455733,nm0580271"
tt0052493,"nm0432846,nm0485871,nm0794793,nm0388913,nm0002016,nm0189075,nm0232527,nm0381246,nm0137999,nm0351918,nm0012409,nm0295053,nm0304681","nm0003198,nm0126295,nm0165412,nm0011219,nm0241949,nm1369960,nm0293750,nm0325825,nm1503342,nm1872199,nm0493446,nm0494857,nm0577477,nm0608868,nm1872444,nm3274127,nm0742843,nm0792090,nm0854789,nm0918918"
tt0052494,"nm0000791,nm0755963,nm0425593,nm0189075,nm0394409,nm0001175,nm0494903,nm0629999,nm0625778","nm0001175,nm0391972,nm0177731,nm0683980,nm0057308,nm0715554,nm0363492,nm0743232,nm0108163,nm0203032,nm0275255,nm0370152,nm0463894,nm0573929,nm0743815,nm0798103,nm0865736"
tt0052496,"nm0300818,nm0782804,nm0011727,nm0188669","nm0279795,nm0303930,nm0471341,nm0213991,nm0482011,nm0607879,nm0762556,nm0771686,nm0865736,nm0880493"
tt0052497,"nm0282644,nm0072170,nm0443170","nm0329200,nm2802831,nm0057308,nm0109608,nm1862341,nm0282644,nm0326107,nm0370152,nm0414438,nm0694288,nm0907186,nm0573929"
tt0052498,nm0318970,nm0668807
tt0052500,"nm0548965,nm0852279","nm0199167,nm0972402,nm0555585,nm0669661"
tt0052501,"nm0449984,nm0589228,nm0829717","nm0151452,nm0963391,nm0064579"
