tconst,directors,writers
tt0033151,"nm0160108,nm0812399","nm0243721,nm0464378,nm0771622"
tt0118069,nm0006438,nm0006438
tt0118070,nm0086471,nm0086471
tt0118071,nm0652860,nm0947960
tt0118072,nm0786310,nm0774476
tt0118073,nm0762541,"nm0777442,nm0253323,nm0438226,nm0073790,nm0956785"
tt0118074,nm0563473,"nm0176197,nm0563473,nm0677758,nm0682709,nm0750048"
tt0118075,nm0707691,nm0707691
tt0118076,nm0299923,nm0049853
tt0118077,nm0738791,\N
tt0118078,nm0268327,nm0268327
tt0118079,nm0691061,nm0551598
tt0118080,nm0334924,"nm0092267,nm0092268,nm0334924,nm0486624"
tt0118082,nm0529456,\N
tt0118083,nm0359081,"nm0374969,nm0359081,nm0906267"
tt0118084,nm0185473,nm0185473
tt0118085,nm2202552,"nm2144275,nm2179179"
tt0118086,nm0550611,nm0550611
tt0118088,nm0724037,nm0727113
tt0118089,"nm0408818,nm0839295,nm0661955,nm0946093","nm0000875,nm0141033"
tt0118091,"nm0059219,nm0322539,nm0634811,nm0694137","nm0059219,nm0634811,nm0694137,nm0759098"
tt0118092,"nm0563568,nm0563569","nm0301953,nm0563569"
tt0118094,nm0044579,\N
tt0118096,nm0074719,"nm0084973,nm0542520"
tt0118097,nm0865573,"nm3874527,nm0412873,nm0224765,nm0542075,nm0865573"
tt0118098,nm0681311,\N
tt0118099,nm0571548,nm0571548
tt0118100,nm0029242,"nm0029242,nm0851522,nm0018875,nm0094726"
tt0118103,nm0689767,"nm0103929,nm0438412,nm0689767"
tt0118105,nm0173724,"nm0173724,nm0563677,nm0848481"
tt0118106,nm0845235,"nm0320263,nm0845235"
tt0118107,"nm0075107,nm0623780",\N
tt0118108,nm0198017,"nm0198017,nm0934724"
tt0118109,nm0557382,"nm0051387,nm0052893,nm0114900,nm0205558"
tt0118110,nm0874358,"nm0728901,nm0874358"
tt0118111,nm0001302,"nm0001302,nm0506405"
tt0118112,nm0469650,nm0469650
tt0118113,nm0392237,nm0392237
tt0118115,nm0392837,nm0392837
tt0118116,nm0370627,"nm0370627,nm0854976"
tt0118117,nm0000389,nm0240384
tt0118118,nm0946875,nm0939147
tt0118119,nm0004161,"nm0503600,nm0016519"
tt0118120,nm0398903,"nm0398903,nm0911006"
tt0118121,nm0821151,"nm0351347,nm0821151"
tt0118123,nm0520485,nm0520485
tt0118124,nm0157873,"nm0157873,nm0758755"
tt0118125,nm0243109,"nm0243109,nm0571653"
tt0118126,nm0348274,nm0742302
tt0118127,nm0527325,"nm0527325,nm0349334"
tt0118128,nm0937638,nm0937638
tt0118129,nm0074918,"nm0074918,nm0748852"
tt0118131,nm0150840,nm9143112
tt0118132,nm0867268,nm0867268
tt0118133,nm0090862,"nm0090862,nm2506881"
tt0118134,nm0429517,nm0629947
tt0118135,nm0903287,nm0903287
tt0118137,nm0953494,"nm0953494,nm0394951"
tt0118138,"nm0067296,nm0769405","nm1776048,nm0271143,nm0271136,nm0797327"
tt0118139,nm0218245,nm0440004
tt0118141,nm0000417,nm0000417
tt0118142,nm0842830,"nm0904057,nm0293231"
tt0118147,nm0309382,\N
tt0118148,nm0199470,nm0199470
tt0118149,nm0596805,nm0674071
tt0118150,nm0002417,"nm0542535,nm0002417"
tt0118151,nm0276349,nm0276349
tt0118152,nm0382783,"nm0140880,nm0382783"
tt0118153,nm0317367,nm0200472
tt0118154,"nm0813655,nm0341170",\N
tt0118155,nm0106593,nm0106593
tt0118156,nm0783023,"nm0002382,nm2741582,nm0783023"
tt0118158,nm0000631,"nm0317335,nm0840307,nm0733149"
tt0118159,nm0552954,"nm0940381,nm0577436,nm0758628,nm0004214,nm0408885"
tt0118160,nm0702477,nm0702477
tt0118161,nm0545513,nm0426016
tt0118162,"nm0727518,nm0794428,nm0853536","nm0000875,nm0141033"
tt0118163,nm0006959,"nm0255008,nm0616810"
tt0118164,nm0612786,"nm0528176,nm0612786"
tt0118165,nm0490551,nm3616612
tt0118167,nm0786732,\N
tt0118169,nm0093322,"nm1135802,nm0203577,nm0204227"
tt0118170,nm0634445,nm0634445
tt0118171,nm0449363,"nm0374598,nm0449363"
tt0118172,nm0001402,"nm0001402,nm0334370"
tt0118173,nm0586198,"nm0383396,nm0696400,nm0752247,nm0957695"
tt0118174,nm0007182,nm0728353
tt0118175,nm0845608,nm0845608
tt0118176,nm0452221,"nm0452221,nm0805751"
tt0118177,nm0926215,"nm0004798,nm0526967,nm0839695"
tt0118178,nm0872316,nm0056337
tt0118179,nm0717095,nm0717095
tt0118181,nm0320697,"nm0047732,nm12185661"
tt0118182,nm0426440,nm0426440
tt0118183,nm0876683,nm0876683
tt0118184,nm0877275,nm0877275
tt0118185,nm0262561,nm0256301
tt0118186,nm0589106,"nm0000875,nm0082231,nm0486538"
tt0118187,nm0399044,nm9470059
tt0118191,nm0209633,"nm0659931,nm0207060"
tt0118194,nm0717116,nm0717116
tt0118195,nm0903232,"nm0903232,nm0803461"
tt0118199,nm0955390,"nm3797441,nm3796178,nm1281652,nm0955825"
tt0118200,nm0727336,"nm1220477,nm0624955,nm0407022,nm0031919,nm0959985,nm0913834,nm0727336"
tt0118201,nm0895526,"nm0895526,nm0211185"
tt0118203,nm0477102,nm0947786
tt0118204,nm0406728,"nm0406728,nm0948391,nm1143208"
tt0118205,nm0760280,nm0100027
tt0118206,nm0186109,\N
tt0118208,nm0481702,nm0481702
tt0118209,nm0022020,nm0017873
tt0118211,nm0946092,"nm0661932,nm0946092"
tt0118212,nm0499607,"nm0499607,nm1228438"
tt0118213,nm0584630,"nm0218577,nm0420626"
tt0118214,"nm0651604,nm0212619",nm0139605
tt0118215,nm0755075,nm0755075
tt0118216,nm0380325,"nm0380325,nm0396951"
tt0118218,nm0581303,nm0581303
tt0118220,nm0337820,nm0337820
tt0118221,nm0891580,"nm0713412,nm0891580"
tt0118222,nm0621137,nm0755986
tt0118227,nm0863633,"nm0826867,nm0863633"
tt0118228,nm0006877,"nm0726111,nm0006877"
tt0118229,nm0327064,"nm0327064,nm1777985"
tt0118230,nm0603588,"nm0603588,nm0181117"
tt0118231,nm0881221,"nm1381173,nm0649875,nm0881221"
tt0118232,nm0558056,nm0558056
tt0118233,nm0273863,"nm0273863,nm0872707"
tt0118234,nm0019244,nm0019244
tt0118235,nm0223463,"nm0744411,nm0661272,nm0244691,nm0223463"
tt0118237,nm0770241,"nm0213476,nm0416556,nm0770241"
tt0118239,nm0057819,"nm0057819,nm0649875"
tt0118240,nm0575346,"nm0575346,nm0746367"
tt0118242,nm0753456,"nm0648304,nm0753456"
tt0118245,nm0703265,"nm0555908,nm0703262,nm0703265"
tt0118246,nm0892000,\N
tt0118247,nm0027183,"nm0927618,nm0894523"
tt0118248,nm0362738,"nm0625198,nm0894523"
tt0118249,"nm0182724,nm0696300,nm0485637,nm0003163,nm0113054,nm0372133,nm0789983","nm0001834,nm0041469,nm0119405,nm0520893,nm0814554,nm0569198,nm0566972,nm0792471"
