tconst,directors,writers
tt0089407,nm0246211,"nm0246211,nm0297960"
tt0089408,nm0938673,nm0938673
tt0089409,nm0819901,"nm0819901,nm0007077"
tt0089410,nm0031280,"nm0879206,nm0148909,nm0031280,nm0449616"
tt0089411,nm0446060,"nm0905458,nm0475970,nm0779444"
tt0089412,nm0376101,"nm0284336,nm0365302"
tt0089413,nm0006765,"nm0006765,nm0438499,nm2186766,nm0592803,nm0787453,nm2192009"
tt0089414,nm0911926,nm0506032
tt0089415,nm0642714,"nm0798960,nm0403477"
tt0089416,nm0894201,nm0894201
tt0089417,"nm0676198,nm0676199","nm0343027,nm1406706"
tt0089419,nm0478137,"nm0478137,nm1173531"
tt0089420,nm0000915,"nm0001949,nm0182689"
tt0089421,nm0496746,"nm0353584,nm0704164,nm0798033"
tt0089423,"nm0336736,nm0323545",nm0336736
tt0089424,nm0002199,"nm0700194,nm0775055"
tt0089427,nm0463740,"nm0463740,nm0517978,nm0664218,nm0758741"
tt0089431,nm0567680,"nm5158911,nm0567680"
tt0089432,nm0753873,nm0753873
tt0089433,nm0053022,"nm0053022,nm0797170"
tt0089434,nm0548740,"nm0517485,nm0542631,nm0704633,nm0747830"
tt0089435,nm0016087,\N
tt0089436,nm0546672,"nm0625721,nm0298889"
tt0089437,nm0150894,"nm0150894,nm0939182,nm0943138"
tt0089438,nm0613634,"nm0157211,nm0901663"
tt0089439,nm0462921,"nm0462921,nm0788759,nm0788761"
tt0089440,nm0631963,nm0345519
tt0089443,nm0281653,"nm0281653,nm0726440"
tt0089444,nm0776317,nm0267976
tt0089445,nm0029161,"nm0029161,nm0320263,nm1303404"
tt0089446,nm0270413,\N
tt0089447,"nm0844338,nm0844339","nm1664772,nm0843921,nm0844338,nm0844339"
tt0089448,nm0013044,"nm0013044,nm3015380,nm0781156"
tt0089449,nm0772905,nm0772905
tt0089450,nm0576197,nm0576197
tt0089451,nm0448743,nm0448743
tt0089452,nm2008519,nm2008519
tt0089453,nm0355032,"nm0048432,nm0175779"
tt0089454,nm0719072,nm0722551
tt0089455,nm0625379,nm0642057
tt0089456,nm0206560,"nm0556169,nm0678758"
tt0089457,nm0001149,"nm0451689,nm0859241,nm0542539,nm0672459"
tt0089458,nm0253083,nm0253083
tt0089459,nm0497579,"nm5612993,nm0788243"
tt0089460,"nm0087903,nm0692409","nm0087903,nm0692409"
tt0089461,nm0776317,nm0893207
tt0089462,nm0502507,\N
tt0089463,nm0005549,nm0005549
tt0089464,nm0000265,nm0635568
tt0089465,nm0670262,"nm0063357,nm0670262,nm0795664"
tt0089466,nm0589498,nm0589498
tt0089467,nm0717305,"nm0079442,nm0363970,nm0690513,nm0717305"
tt0089469,nm0000631,nm0387132
tt0089470,nm0730422,"nm0742797,nm0465199"
tt0089471,"nm0231306,nm0605155",nm0281430
tt0089472,nm0246607,nm0246607
tt0089473,nm0938630,"nm0851780,nm0938630,nm0203246,nm0915508"
tt0089474,nm0443070,\N
tt0089476,nm0156434,"nm0156434,nm2527231"
tt0089477,nm0076175,nm0164757
tt0089478,nm0253605,"nm0548736,nm0000581,nm0459255,nm0143837"
tt0089479,nm0240439,"nm0092267,nm0092268,nm0925849"
tt0089480,nm0070474,"nm0113236,nm0910783,nm0127695"
tt0089482,nm0000247,nm2260417
tt0089483,nm0903287,\N
tt0089484,nm0946179,nm0946179
tt0089488,"nm0060072,nm0710230","nm0060072,nm0000875"
tt0089489,nm0001361,"nm0933214,nm0639321,nm0415979,nm0035830,nm0690905"
tt0089491,nm0804592,"nm0502366,nm0537313,nm0852224"
tt0089492,nm0277439,nm0500896
tt0089493,nm0956507,"nm0541806,nm0956507"
tt0089494,nm0756703,"nm0250819,nm0756703"
tt0089496,nm0788991,nm0788991
tt0089498,nm0075444,nm0075444
tt0089499,nm0000940,"nm5651221,nm0000940,nm0895954"
tt0089500,nm0003837,"nm0114522,nm0001203,nm0877505"
tt0089501,nm0956205,"nm0181684,nm2518477,nm0002893,nm0691061"
tt0089502,nm0457479,"nm0943150,nm11530861"
tt0089503,nm0691061,nm0691061
tt0089504,nm0000983,"nm0000983,nm0569606"
tt0089505,nm0507690,nm0748152
tt0089506,nm0049975,"nm0146924,nm0517204"
tt0089507,nm0959062,\N
tt0089508,nm0410769,nm0101147
tt0089509,nm0814570,nm0411027
tt0089510,nm0765121,"nm0186672,nm0338534"
tt0089511,nm0293410,nm4573015
tt0089512,nm0670282,nm0807347
tt0089513,nm0072025,"nm0008811,nm0033676"
tt0089514,nm0872809,"nm0333859,nm0401954"
tt0089515,nm0525475,"nm0525475,nm0849347"
tt0089516,nm0206560,nm0133048
tt0089517,nm0557927,"nm0440378,nm0557927"
tt0089518,nm0226417,"nm0884952,nm0133426"
tt0089519,nm0950604,nm0950604
tt0089521,nm0554880,nm0554880
tt0089522,nm0416176,"nm0313274,nm0416176,nm0785998,nm0898696"
tt0089523,nm0000860,nm0853010
