tconst,directors,writers
tt0026059,nm0957538,"nm2615279,nm0275639,nm0957538"
tt0041049,"nm0112939,nm7316150",nm0126431
tt0042068,\N,\N
tt0079547,nm0126526,"nm1199493,nm0563732,nm1176424"
tt0102839,nm0876137,"nm0311132,nm0876137,nm0900080"
tt0107882,nm0844339,"nm0639906,nm0844338,nm0844339"
tt0140113,nm0457046,nm0457046
tt0178871,nm0032974,"nm0646590,nm0690360"
tt0178873,nm0299699,\N
tt0178874,nm0698645,\N
tt0178875,nm0023813,nm0098621
tt0178876,nm0076419,\N
tt0178877,nm0004372,nm0641230
tt0178878,nm0032154,\N
tt0178879,nm0032154,\N
tt0178880,nm0032154,\N
tt0178882,"nm1585219,nm0353349",\N
tt0178883,nm0063246,"nm0063246,nm1017127"
tt0178884,nm0063246,"nm0677548,nm1127423"
tt0178890,nm0952761,"nm0085307,nm0207362"
tt0178895,nm0946583,nm0489596
tt0178896,nm0075318,"nm0866572,nm0934330"
tt0178897,\N,\N
tt0178898,nm0676248,nm0000248
tt0178899,\N,\N
tt0178900,nm0019680,nm0019680
tt0178901,nm0082581,"nm0082581,nm0301633,nm0699535"
tt0178903,"nm0071151,nm0231661","nm0071151,nm0231661"
tt0178907,nm0140241,nm0763126
tt0178908,nm0023813,nm0023813
tt0178909,"nm0558238,nm0562992,nm0580078","nm0003408,nm0558238,nm0562992,nm0580078"
tt0178911,nm0876440,"nm0184598,nm0184602,nm0786827,nm0876440"
tt0178912,"nm0128880,nm0272024",nm0272024
tt0178914,\N,\N
tt0178915,nm0005658,\N
tt0178916,nm0036368,nm0036368
tt0178917,nm0006438,nm0006438
tt0178919,nm0063246,"nm0129389,nm0711899,nm0973722"
tt0178922,\N,\N
tt0178923,\N,nm0063566
tt0178924,\N,\N
tt0178925,\N,\N
tt0178926,nm0473958,"nm0472001,nm0653292"
tt0178927,nm0078705,"nm0023817,nm0078705,nm0547464"
tt0178928,nm0070474,"nm0376967,nm0000636"
tt0178929,nm0868932,"nm0224765,nm1083852"
tt0178930,nm0023813,nm0023813
tt0178932,\N,\N
tt0178933,\N,\N
tt0178934,nm0940393,\N
tt0178935,"nm0101207,nm0222615,nm0419124","nm0101207,nm0222615,nm0419124"
tt0178936,nm0644700,nm0644700
tt0178938,nm0832830,"nm0527943,nm0654623"
tt0178939,\N,\N
tt0178941,nm0674912,"nm0674912,nm0785998"
tt0178945,nm0903737,nm2997847
tt0178946,nm0003907,\N
tt0178947,nm0082971,\N
tt0178948,nm0576298,"nm0576298,nm1917580"
tt0178949,nm0048158,\N
tt0178950,nm0088808,nm0088808
tt0178952,nm2095224,\N
tt0178956,nm0237424,"nm0572876,nm0108163,nm0766507,nm0996138"
tt0178958,nm0351179,\N
tt0178962,nm0140241,nm1093712
tt0178963,nm0140241,"nm0140241,nm1031185,nm0692180"
tt0178964,nm0782803,nm0782803
tt0178965,nm0030935,"nm0030935,nm1187856"
tt0178967,nm0096063,"nm0096063,nm0355668,nm1252562"
tt0178968,"nm0727355,nm0554932,nm0618035,nm0474151,nm0146874,nm0043622",nm0846019
tt0178969,nm0246737,\N
tt0178970,nm0156668,"nm0156668,nm0504244"
tt0178975,"nm0477014,nm0501414","nm0477014,nm0501414"
tt0178976,nm0586331,"nm0243020,nm0294849"
tt0178979,\N,\N
tt0178980,\N,\N
tt0178981,\N,\N
tt0178982,\N,\N
tt0178983,\N,\N
tt0178984,nm0564970,"nm0730018,nm0907778"
tt0178985,\N,\N
tt0178986,nm0169243,"nm0169243,nm1086362"
tt0178988,nm0505660,"nm0067663,nm0387773,nm0505660,nm0833677"
tt0178990,nm0211108,\N
tt0178991,nm0199954,nm0291587
tt0178993,"nm0073660,nm0863776","nm0049069,nm0467548"
tt0178994,nm0096063,nm0677548
tt0178995,nm0739501,nm0739501
tt0178996,nm0761525,"nm0761525,nm0815262"
tt0178997,nm0403577,nm0403577
tt0178998,nm0950728,nm0950728
tt0179000,nm0140241,"nm0140241,nm0650927,nm0692180"
tt0179001,nm0134372,"nm0134372,nm1114920"
tt0179003,nm0131051,"nm0264033,nm0686177,nm0756757"
tt0179005,nm0375984,nm0375984
tt0179006,"nm0086527,nm0792694","nm0095376,nm0103985,nm0960825,nm0296484,nm0356227,nm0471014,nm0507621,nm0607876,nm0622215,nm0787323,nm0877493,nm0961906,nm0004180,nm0913961"
tt0179009,nm0375984,"nm0904088,nm0375984"
tt0179010,nm1397318,"nm1392994,nm1346688,nm1399062"
tt0179011,nm0917188,nm0917188
tt0179012,nm0604470,"nm1042584,nm0550295,nm0845956"
tt0179013,nm0184193,"nm0184193,nm0234290"
tt0179014,nm0375984,"nm1672232,nm0375984"
tt0179015,"nm0562932,nm0662053,nm0423620,nm0787225,nm0292545","nm2911420,nm1088916,nm0633226"
tt0179017,"nm0715660,nm0292545,nm1791134","nm1088916,nm0633226"
tt0179019,nm0375984,nm0728365
tt0179021,nm0877312,nm0001589
tt0179022,nm1426360,\N
tt0179023,nm0074615,nm0754342
tt0179025,\N,\N
tt0179026,"nm1267662,nm0125482,nm0099141",nm0772824
tt0179027,\N,nm0887484
tt0179028,"nm1288395,nm1398106,nm1261323,nm2011245","nm0311590,nm0115203"
