tconst,directors,writers
tt0000200,\N,\N
tt0000201,nm0005690,\N
tt0042977,nm0950662,"nm0258755,nm0901776"
tt0042978,nm0076618,nm0880493
tt0042979,nm0567757,"nm0193617,nm0713523"
tt0042980,"nm0201493,nm0279807","nm0861355,nm0590027"
tt0042981,nm0054374,"nm0054374,nm0641197"
tt0042982,"nm0880618,nm0615868","nm0746169,nm0615868,nm0857004"
tt0042983,nm0735879,"nm0735879,nm0327950,nm0211993"
tt0042985,nm0780695,"nm0160294,nm1219727,nm0712653"
tt0042986,nm0737053,"nm0540763,nm0675728"
tt0042988,nm0245213,"nm0245213,nm0499151,nm0419986"
tt0042989,nm0409069,"nm0707213,nm0113101,nm0870150,nm0409069"
tt0042990,nm0351842,"nm0351842,nm2931851"
tt0042991,nm0792450,"nm0134124,nm0497738,nm0958424"
tt0042992,nm0946391,nm0934281
tt0042994,nm0000033,"nm0177336,nm0720904,nm0421862,nm0108833,nm0532030"
tt0042995,nm0614634,"nm0931555,nm5042917,nm0508895,nm1104041"
tt0042996,nm0534693,nm0534693
tt0042998,nm0869664,"nm0113872,nm0280108"
tt0042999,nm0484645,"nm0375841,nm0337914,nm0508895,nm5042917"
tt0043000,nm0083125,"nm0083125,nm0228392"
tt0043001,nm0076746,nm0076746
tt0043002,nm0293989,nm0362041
tt0043003,nm0782947,nm0720101
tt0043004,nm0003433,nm0003433
tt0043007,nm0623401,nm0794088
tt0043008,nm0571781,nm0288111
tt0043009,nm0697662,nm0697662
tt0043010,nm0076618,nm0880493
tt0043011,nm0894509,"nm0928753,nm0275493,nm0524551,nm0894509,nm0898865"
tt0043012,nm0910199,"nm0920216,nm0177934"
tt0043013,nm0854763,nm0494435
tt0043014,nm0000697,"nm0102818,nm0000697,nm0551261"
tt0043015,nm0936823,nm0313876
tt0043016,nm0140459,"nm0017046,nm0837183"
tt0043017,nm0245385,"nm0335455,nm0629237"
tt0043018,nm0000320,"nm0713781,nm0759232,nm0882366,nm0000320"
tt0043019,nm0000005,"nm0340471,nm0117642"
tt0043020,nm0883334,"nm0304056,nm0764373"
tt0043021,nm0348802,"nm0341853,nm0348802"
tt0043022,nm0136579,"nm0136579,nm0193816,nm0211993"
tt0043023,nm0845290,nm0909958
tt0043024,nm0445650,"nm0124987,nm0562861"
tt0043025,nm0794793,"nm0414989,nm0067801,nm0123194"
tt0043026,nm0080354,nm0746950
tt0043027,nm0598723,nm0718448
tt0043029,nm0389219,"nm1113849,nm0583335,nm0753990,nm0910067"
tt0043030,nm0124877,"nm0167065,nm0541641,nm0361877,nm0949207,nm0638702,nm0128371,nm0414673"
tt0043031,nm0317856,"nm0007575,nm0273236,nm0317856"
tt0043032,nm0793119,\N
tt0043035,nm0482916,nm0482916
tt0043036,nm0623401,nm0794088
tt0043037,"nm0053484,nm0360253",\N
tt0043038,nm0256586,"nm3868432,nm0256586,nm0267582"
tt0043039,nm0950109,nm0950109
tt0043040,nm0054374,"nm0757940,nm0400914"
tt0043041,nm0624535,"nm0425913,nm0445201"
tt0043042,nm0925028,nm0115669
tt0043043,nm0718321,"nm0143837,nm0253697,nm0700717"
tt0043044,nm0861703,nm0920216
tt0043045,nm0936404,"nm0705228,nm0442456"
tt0043046,nm0757940,"nm0519760,nm0757940"
tt0043048,nm0000005,nm0000005
tt0043049,nm0712748,"nm0193617,nm0627003,nm0849145,nm1094774"
tt0043050,"nm0280904,nm0528032,nm0644289",nm0096831
tt0043051,nm0337103,"nm0114112,nm0337103,nm0519159"
tt0043052,nm0113284,"nm0528530,nm0213862"
tt0043053,nm0851537,"nm0177934,nm0920216"
tt0043055,nm0141351,"nm0832593,nm0930178"
tt0043057,nm0560395,"nm0408488,nm0545527,nm0582706,nm0769249"
tt0043058,nm0103855,"nm0176420,nm0408488,nm0582706,nm0769249"
tt0043059,nm0560395,"nm0545527,nm0582706,nm0408488,nm0769249"
tt0043060,nm0623401,nm0108579
tt0043061,nm0936823,nm0313876
tt0043062,nm0623401,nm0037848
tt0043063,nm0360286,nm0931614
tt0043064,nm0075318,"nm0057983,nm0359034,nm0922383"
tt0043065,nm0718469,nm0227481
tt0043066,nm0928644,"nm0298288,nm0361837"
tt0043067,nm0005738,"nm0914245,nm0829044"
tt0043068,nm0285831,"nm0218626,nm0463411,nm0325825"
tt0043069,nm0936823,nm0313876
tt0043071,nm0946391,"nm0547949,nm0492635"
tt0043072,nm0697195,"nm0697195,nm0588003"
tt0043073,"nm0122319,nm0399524","nm0247666,nm0778880,nm1702247"
tt0043075,nm0256831,"nm0656048,nm0256831"
tt0043077,nm0921402,"nm0014064,nm0406934"
tt0043078,nm0825596,"nm0457070,nm0441440,nm0498576"
tt0043079,nm0936404,"nm0732452,nm0637793,nm0448985"
tt0043080,nm0206031,"nm0399235,nm0662549,nm0789619,nm0678072"
tt0043081,nm0746740,"nm0488295,nm0455510"
tt0043082,nm0005062,nm0540789
tt0043083,nm0484645,"nm0508895,nm5042917"
tt0043084,nm0312792,nm0312792
tt0043085,nm0086251,nm0931555
tt0043086,nm0005898,"nm0958424,nm0880489"
tt0043087,nm0678928,"nm0261400,nm0028826,nm0742843"
tt0043088,nm0256831,"nm0087579,nm0256831,nm0723385"
tt0043089,nm0644983,"nm0348417,nm0645043,nm0864669"
tt0043090,nm0005789,"nm0091213,nm0909884"
tt0043091,nm0086251,"nm0781719,nm0946923,nm0218626,nm0355963"
tt0043092,nm0363235,"nm0363235,nm0832627"
tt0043093,nm0408033,"nm0594666,nm0946672"
tt0043095,nm0105874,nm0699305
tt0043098,nm0285831,nm0931555
tt0043099,nm0863853,"nm0863853,nm0893671,nm0897748"
tt0043100,"nm0002072,nm0374702,nm0649097,nm0002545,nm0915800","nm0122446,nm0617737,nm0640573,nm0002545"
tt0043102,nm0000813,nm0389607
tt0043105,nm0282984,nm0621783
tt0043106,nm0105175,nm0941556
tt0043107,nm0000774,nm0000774
tt0043108,"nm0598102,nm0826642","nm0598102,nm0826642,nm0024847,nm0264762,nm0531431,nm0636973,nm0658575"
tt0043109,nm0252475,"nm0515594,nm0252475"
tt0043110,nm0869645,"nm0123110,nm0208315,nm0869645"
tt0043111,nm0094801,"nm0094801,nm1847814,nm0223865"
tt0043112,nm0167241,\N
tt0043113,nm0176472,nm0176472
tt0043114,nm0273203,"nm0273203,nm0350025"
tt0043115,nm0273477,"nm0273477,nm0535796"
tt0043116,nm0467396,"nm0876223,nm0496468"
tt0043117,nm0000406,"nm0637793,nm0285816,nm0000406"
tt0043118,nm0829038,"nm0272045,nm0781719,nm0946923"
tt0043119,nm0836701,"nm0905725,nm0079266"
tt0043120,nm0232902,"nm0624710,nm0868974,nm0293366,nm0750822"
tt0043121,nm0027183,"nm0112401,nm0815335"
tt0043122,nm0921532,nm0279024
tt0043123,nm0215877,"nm0598267,nm0388841,nm0908683"
tt0043124,nm0289297,nm0119378
tt0043125,nm0139878,"nm0650259,nm0866572,nm0102908,nm0662751"
tt0043126,nm0627864,"nm0707213,nm0617202"
tt0043127,nm0337103,"nm0328682,nm0328731,nm0556690,nm0712653"
tt0043128,nm0571781,nm0288111
tt0043129,nm0000406,"nm0177934,nm0757940,nm0519760"
tt0043130,nm0763798,"nm0223248,nm0731187"
tt0043131,nm0268513,"nm0071657,nm0744576"
tt0043132,nm0695937,"nm0372942,nm0873193,nm0742212,nm0448839,nm0835880"
tt0043134,nm0005898,"nm0418972,nm0880497"
tt0043135,\N,"nm2021035,nm1825200"
tt0043136,\N,nm0030860
tt0043137,nm0542649,"nm0724307,nm0153698,nm0482193"
tt0043138,nm0000791,nm0936536
tt0043139,nm0793010,"nm0487377,nm0946029"
tt0043140,nm0002190,nm0187593
tt0043141,nm0125636,"nm0388841,nm0850895,nm0402848,nm0124947"
tt0043142,nm0287988,"nm0132180,nm0287988,nm0851201"
tt0043143,nm0883334,"nm0604698,nm0883334,nm0153161"
tt0043144,nm0086251,nm0507210
tt0043145,nm0629363,"nm0670328,nm0052520"
tt0043146,nm0366781,"nm0366781,nm0548403"
tt0043147,"nm0497442,nm0198202",nm0930546
tt0043148,nm0639495,"nm0363519,nm0639495"
tt0043149,nm0494110,"nm0261400,nm0497738,nm0028826"
tt0043150,nm0232902,"nm0293366,nm0067135"
tt0043151,nm0494110,"nm0426579,nm0494110,nm0529450"
tt0043153,nm0002031,"nm0286025,nm0636002,nm0048410"
tt0043154,nm0599910,"nm0124947,nm0402848,nm0392942,nm0365661"
tt0043155,nm0003226,"nm1415601,nm0298561,nm0406808"
tt0043156,nm0435563,nm0899440
tt0043157,nm0298928,"nm0025257,nm0100648,nm0298928"
