tconst,directors,writers
tt0000216,nm0005717,\N
tt0002540,nm0088881,nm2558782
tt0088417,nm0284011,nm4879330
tt0102214,nm0709527,"nm0709527,nm0004288"
tt0108255,"nm0417708,nm0608084","nm0071970,nm0750344,nm0004412"
tt0108256,nm0070867,"nm0080250,nm0952067"
tt0108257,nm0430927,nm0430927
tt0108258,nm0411477,nm0330108
tt0108259,nm0002573,"nm0493816,nm0926357"
tt0108260,"nm0569166,nm0796915","nm0569166,nm0796915"
tt0108262,nm0733435,\N
tt0108263,nm0815784,"nm0494257,nm0815784,nm0883161,nm0901333"
tt0108264,nm0558062,"nm0355309,nm0558062,nm0745704"
tt0108265,nm0141961,nm0271061
tt0108266,nm0744794,"nm0177304,nm0776344"
tt0108268,nm0448225,nm0448225
tt0108269,nm0402596,"nm0258444,nm0137368"
tt0108273,nm0532702,"nm0532702,nm0718877"
tt0108274,nm0221960,\N
tt0108275,"nm0294878,nm0142131",nm0294878
tt0108276,nm0005829,nm0005829
tt0108277,nm0779830,"nm0560927,nm2276669,nm0779830"
tt0108279,nm0005866,nm0777688
tt0108281,nm0950759,nm0948137
tt0108282,"nm0946875,nm0939351",nm0154248
tt0108283,nm0665896,"nm0148773,nm0746634"
tt0108284,nm0542539,"nm0388888,nm0330108"
tt0108285,nm0652305,nm0753637
tt0108286,nm0430815,"nm0170109,nm0430815"
tt0108289,nm0497758,"nm0463674,nm0497758,nm0803314"
tt0108290,nm0496312,"nm0496312,nm0223250"
tt0108291,nm0686304,"nm0097548,nm0686304"
tt0108292,nm0393345,nm0393345
tt0108293,nm0939147,"nm0150906,nm0938944,nm0939147"
tt0108294,nm0218245,nm0503287
tt0108296,nm0753898,nm0753898
tt0108297,nm0315117,"nm0073876,nm0315117"
tt0108298,nm0315117,nm0679557
tt0108299,nm0774368,nm0774368
tt0108300,nm0052361,"nm0238800,nm0311903"
tt0108301,nm0279043,"nm0279043,nm0728435"
tt0108302,nm0776598,"nm0082809,nm0359734"
tt0108303,nm0771942,nm0771942
tt0108304,nm0888993,nm0888993
tt0108305,nm0503793,nm0503793
tt0108306,nm0792018,"nm0792018,nm0417782"
tt0108307,nm0675284,"nm0808342,nm0675284"
tt0108308,nm0318795,"nm0247653,nm0481990,nm0318795"
tt0108309,nm0003989,"nm0159835,nm0359105"
tt0108310,nm0159007,nm0588588
tt0108311,nm0276169,"nm0266468,nm0257259"
tt0108313,nm0702680,"nm0012864,nm1818264"
tt0108315,nm0344973,"nm0124000,nm0344973,nm0959215"
tt0108316,nm0485889,"nm0585151,nm1565094"
tt0108317,"nm0400170,nm0773845","nm0773845,nm2028147"
tt0108318,"nm0136557,nm0170287",\N
tt0108319,nm0011697,"nm0467735,nm0807155"
tt0108320,nm0616152,nm0616152
tt0108321,nm0001460,"nm0414361,nm0335696"
tt0108322,nm0573427,\N
tt0108323,nm0553094,nm0553094
tt0108324,nm0466793,"nm0456017,nm0842397"
tt0108326,nm0263009,"nm0427985,nm0696506"
tt0108327,nm0000953,nm0374084
tt0108328,nm0320660,"nm0320660,nm0001528,nm0332384,nm0571903"
tt0108329,nm0711745,"nm0592794,nm0711745,nm1391608,nm0890060"
tt0108330,nm0001994,"nm0938326,nm0315205"
tt0108331,nm0447960,nm0447960
tt0108333,nm0378893,"nm0241416,nm0521739"
tt0108334,"nm0091515,nm0322248","nm0339140,nm0322248"
tt0108335,nm0311508,nm0311508
tt0108336,"nm0516282,nm3849744","nm3288001,nm0516314"
tt0108337,nm0041248,nm0789966
tt0108338,nm0812546,"nm0032685,nm0155988,nm0234502"
tt0108339,nm0709752,nm0295165
tt0108340,nm0720586,nm0321779
tt0108341,nm0568478,nm0568478
tt0108342,nm0563331,"nm0404955,nm0220492,nm0850643,nm0106216,nm0563331,nm0193394"
