tconst,directors,writers
tt0107883,nm0844339,\N
tt0152414,"nm0657162,nm6291800",nm0588514
tt0177190,nm0957405,nm0957405
tt0288193,nm0530790,\N
tt0299106,nm1437298,\N
tt0310060,\N,\N
tt0310064,nm0130155,"nm0130155,nm0337092"
tt0310065,nm0684461,\N
tt0310066,nm0777593,\N
tt0310068,"nm1140114,nm1370868",\N
tt0310073,\N,\N
tt0310075,nm1012131,nm1012131
tt0310081,nm0444936,nm0457451
tt0310085,nm0759558,\N
tt0310088,\N,\N
tt0310089,nm1139725,\N
tt0310090,nm1138659,\N
tt0310092,nm0943243,"nm3473018,nm0943243"
tt0310098,nm0826836,\N
tt0310099,nm0826836,"nm0679557,nm0725337"
tt0310102,nm1497573,"nm6916055,nm1497573"
tt0310104,nm0148868,"nm0062527,nm1084761"
tt0310105,nm0882691,"nm0032816,nm0847109,nm0847021,nm0464678,nm0879764"
tt0310108,nm0259428,nm0259428
tt0310110,nm1138155,\N
tt0310115,nm0371858,nm0371858
tt0310116,"nm1289690,nm1014024,nm0359087,nm0016386,nm0307209","nm0016386,nm1333890,nm0359087"
tt0310118,nm0924920,\N
tt0310119,nm0924920,\N
tt0310121,\N,"nm0466365,nm1026196"
tt0310122,nm1135067,"nm1135067,nm1136240,nm1139946"
tt0310123,nm0499804,"nm1136548,nm0499804"
tt0310124,nm1135014,nm1135014
tt0310125,"nm0504654,nm0424209",\N
tt0310127,nm0333241,nm0333241
tt0310129,nm14946440,nm0399196
tt0310138,nm0406158,"nm0317265,nm0649305"
tt0310145,nm0950593,nm1136995
tt0310149,nm0766263,"nm0766263,nm1165767,nm0463521,nm0436655"
tt0310152,nm0858525,nm0410516
tt0310154,nm0935863,nm0342617
tt0310155,nm0157799,nm1354665
tt0310156,nm0768631,\N
tt0310158,nm1012131,nm1012131
tt0310160,nm1134813,nm1134813
tt0310161,nm0179200,nm1135015
tt0310164,nm1135265,"nm1135265,nm1137995,nm1137898,nm1136296"
tt0310166,nm0830844,nm0325529
tt0310167,nm0731867,\N
tt0310168,nm0330464,\N
tt0310169,nm0192188,nm0742768
tt0310172,nm2014649,\N
tt0310173,nm1018310,\N
tt0310176,nm0924920,\N
tt0310179,nm0029607,\N
tt0310181,nm0894787,"nm0332851,nm0894787,nm0894788"
tt0310182,nm0704629,\N
tt0310184,nm0226555,nm0226555
tt0310185,"nm5399224,nm1137988",\N
tt0310186,nm1760897,nm1760897
tt0310187,nm0529742,nm0529742
tt0310188,nm0285063,"nm0285063,nm0577293,nm1752389,nm0906498"
tt0310189,nm0269441,"nm0222091,nm0269441"
tt0310190,nm0232540,"nm0232540,nm0272749,nm0000076"
tt0310194,nm0924920,\N
tt0310196,\N,nm0399196
tt0310197,nm0004033,"nm2166230,nm0004033"
tt0310198,nm0042745,nm0042745
tt0310199,nm0557945,"nm0793881,nm1138386"
tt0310203,nm0891554,"nm0891554,nm0296829"
tt0310204,nm1135057,nm1135057
tt0310206,nm0536827,nm0187912
tt0310208,nm1146507,nm1146507
tt0310210,\N,nm0399196
tt0310212,nm1033725,nm1138724
tt0310213,nm0175126,\N
tt0310217,\N,\N
tt0310221,nm1136304,\N
tt0310222,nm1136320,\N
tt0310224,nm0255802,nm0064479
tt0310227,nm0160748,nm0660245
tt0310228,nm0525211,\N
tt0310230,nm0599472,nm0719857
tt0310232,"nm0235514,nm0287616,nm0214808,nm0142830","nm0005062,nm0287616,nm1140596,nm0214808,nm0235514"
tt0310233,nm0806642,nm0575236
tt0310234,nm1135918,\N
tt0310236,nm1127477,nm1122958
tt0310238,nm0636171,nm0636171
tt0310239,\N,nm0399196
tt0310240,nm1073897,nm1073898
tt0310242,nm0382541,"nm0120995,nm0825324"
tt0310243,nm1139749,nm1139749
tt0310246,nm0752316,"nm0752323,nm1631712,nm1136382,nm0752316"
tt0310251,nm0557945,"nm0793881,nm0923839"
tt0310253,nm0259896,"nm0335095,nm1151104"
tt0310254,nm0660967,nm0415514
tt0310256,nm0417988,nm0582808
tt0310260,nm1558495,"nm2332223,nm1558495"
tt0310261,nm0226148,"nm0226148,nm1141833"
tt0310262,nm1077292,"nm1263116,nm1077292"
tt0310264,nm0527206,"nm0026153,nm0448748"
tt0310267,nm0576401,nm0576401
tt0310270,nm0803072,"nm0763219,nm0803072"
tt0310273,nm0234809,\N
