tconst,directors,writers
tt0489997,nm2104903,\N
tt0489999,nm0144743,"nm0144743,nm1774069"
tt0490004,nm0155641,"nm1278857,nm0155641"
tt0490011,nm0445391,\N
tt0490016,nm1464665,nm1464665
tt0490017,nm1218817,"nm2101136,nm1218817"
tt0490018,nm0116818,\N
tt0490021,nm0905834,"nm0246308,nm1506110"
tt0490023,nm0634582,nm0407456
tt0490029,"nm0374657,nm2097172,nm1172488",\N
tt0490032,"nm1471643,nm0306032","nm1075980,nm0094319,nm1531476,nm0496340,nm1684128,nm1353904"
tt0490034,"nm1584093,nm1743987,nm0407786,nm1633363,nm0897786","nm1584093,nm2110261,nm2119527,nm2263774,nm1889187,nm0729202"
tt0490035,"nm0810026,nm2301964,nm2733733,nm0636116,nm2276716,nm1191406,nm2093864,nm0796281,nm1453535,nm1582028,nm1285887,nm2105413,nm1662716",\N
tt0490036,nm1927895,"nm0084908,nm1927895,nm2105290"
tt0490038,"nm0251517,nm0275793,nm0108004,nm0758949,nm0900947,nm0015856,nm0343826,nm0527437,nm1357855,nm0317411,nm0345062,nm0517879,nm0678450","nm0079487,nm0109717,nm1644557,nm0315235,nm0320342,nm0413032,nm1672170,nm0326557,nm0678450,nm0991388,nm0718593,nm2068835,nm1852305,nm0881227,nm4493260"
tt0490041,\N,\N
tt0490042,"nm2099110,nm2103171","nm2099110,nm2103171"
tt0490043,"nm0090636,nm0471794,nm0618217,nm0770473,nm0003670","nm0014332,nm2890017,nm0386445,nm4736280,nm1285813,nm0702560,nm1842581,nm2450515"
tt0490044,nm1064412,nm1265287
tt0490046,"nm0103880,nm0433588",nm0457995
tt0490048,"nm0500895,nm0354307","nm0354307,nm0647431"
tt0490050,nm0182196,"nm2052987,nm0637964"
tt0490052,nm1567013,nm1567013
tt0490053,nm0510952,nm2094402
tt0490054,nm1365879,nm1365879
tt0490055,nm1275202,nm1275202
tt0490056,nm0510952,nm0510952
tt0490057,nm0502364,"nm0429013,nm0502364"
tt0490058,nm1275202,"nm1275202,nm0429013"
tt0490059,nm0510952,nm0510952
tt0490060,nm1365879,nm1365879
tt0490061,nm0510952,nm0510952
tt0490062,nm2103574,nm2103574
tt0490063,nm1275202,"nm1275202,nm1138008"
tt0490064,nm1567013,"nm1567013,nm0429013"
tt0490065,nm1365879,nm1365879
tt0490066,nm0502364,"nm0429013,nm0502364"
tt0490067,nm0510952,nm0510952
tt0490068,nm0502364,nm0502364
tt0490069,nm1365879,nm1365879
tt0490070,nm0510952,nm2094402
tt0490071,nm0145876,nm0510952
tt0490072,nm0510952,nm0510952
tt0490074,nm2104839,\N
tt0490075,nm1720364,nm1720364
tt0490076,nm1349522,nm2106079
tt0490077,nm1409133,nm1409133
tt0490078,nm0919102,"nm0539077,nm0919102"
tt0490079,nm2025553,"nm2104745,nm2025553"
tt0490080,nm1059171,"nm0658417,nm1059171,nm0949100"
tt0490081,nm0794779,"nm0776569,nm0794779"
tt0490083,nm0784808,"nm0263837,nm0939561"
tt0490084,nm0499724,"nm0394212,nm0625458"
tt0490086,nm0001705,nm0509288
tt0490087,nm0443411,"nm0152466,nm2523969"
tt0490088,nm0823146,nm0084601
tt0490089,"nm0100868,nm0607516",nm0607516
tt0490090,nm1806012,nm2100543
tt0490093,"nm1588383,nm1740781,nm3627894","nm1588383,nm1740781,nm3627894"
tt0490094,nm0378069,"nm0530728,nm0653228"
tt0490100,nm1479978,nm1479978
tt0490102,nm0935164,nm0736447
tt0490103,nm0071526,"nm0071526,nm0184500,nm2100524"
tt0490106,nm1480852,nm1480852
tt0490108,nm0271084,nm0271084
tt0490109,nm2096426,nm2096426
tt0490112,nm0018877,nm0712062
tt0490114,"nm1726686,nm2670683",nm1726686
tt0490116,\N,\N
tt0490117,nm1512839,nm1512839
tt0490118,nm0969083,\N
tt0490121,\N,\N
tt0490126,nm0214320,"nm0381367,nm0931054"
tt0490127,\N,\N
tt0490133,nm1029077,"nm1029077,nm0402125"
tt0490134,nm0650233,"nm0121227,nm0123434,nm0801006"
tt0490136,nm2079553,nm1276798
tt0490139,nm2103324,nm2103324
tt0490142,nm0317411,"nm0104498,nm0456336"
tt0490143,nm1633036,nm1633036
tt0490148,nm0656108,nm0394200
tt0490149,nm0759777,nm0602179
tt0490150,nm1749359,nm1749359
tt0490151,nm2118318,nm2118318
tt0490154,nm1480047,nm1480047
tt0490160,nm1175724,"nm0464810,nm0880873"
tt0490161,nm3037814,"nm0847126,nm0880873"
tt0490166,nm1440314,nm1440314
tt0490167,nm1431615,nm1431615
tt0490170,nm0062614,"nm0062614,nm1818188,nm1190754,nm0713615,nm2898003,nm1242455"
tt0490171,nm1884403,nm1884403
tt0490172,nm2101095,nm2101095
tt0490174,nm0920910,nm0920910
tt0490175,nm2101848,nm0087523
tt0490176,nm0314863,"nm0314863,nm1655732"
tt0490181,nm0403038,nm0252155
tt0490183,\N,\N
tt0490186,nm2099819,nm2099819
tt0490187,nm0439178,nm1167288
tt0490189,"nm2099144,nm2097263",nm2092498
tt0490190,nm2119833,\N
tt0490191,\N,\N
tt0490192,nm0714772,\N
tt0490194,nm2101131,nm2096330
tt0490196,nm2104340,nm2104340
tt0490197,\N,nm0001175
tt0490198,\N,"nm0859029,nm0859049"
tt0490199,nm1837754,nm1837754
tt0490201,nm2095224,\N
tt0490204,nm0082802,nm0082802
