tconst,directors,writers
tt0020406,nm0384616,"nm0064595,nm0858817,nm0304321,nm0344390,nm0163902,nm0218626,nm0370271"
tt0036869,nm0105659,"nm0774281,nm0957538"
tt0096710,nm0597233,nm0822983
tt0160578,"nm0220645,nm0860847",\N
tt0165747,nm0538632,\N
tt0166250,nm0596937,\N
tt0202581,nm0756828,"nm0756481,nm0756828"
tt0203345,nm1010866,nm3693902
tt0265670,nm0759232,nm0759232
tt0289619,"nm1737900,nm1013672",\N
tt0351084,"nm1251384,nm1253371,nm1284849",\N
tt0359368,nm2172049,"nm2172049,nm2169647"
tt0392932,nm0756828,"nm0475568,nm0756481"
tt0410101,"nm1407432,nm0379449,nm0621522","nm0559120,nm0539263"
tt0418813,nm0158029,\N
tt0439815,nm0348181,nm0348181
tt0439816,nm1482324,nm1482324
tt0439817,nm0812546,"nm0032685,nm2542262"
tt0439818,nm2727781,nm2727781
tt0439819,nm1793097,\N
tt0439820,nm1066139,"nm1194190,nm0828250"
tt0439821,nm1802305,"nm0293750,nm1802305"
tt0439823,nm1122315,nm1122315
tt0439825,nm0001661,"nm0001302,nm0001661,nm0733427"
tt0439826,nm0674357,nm0674357
tt0439831,nm1793102,\N
tt0439833,nm0432420,nm0432420
tt0439834,nm1879061,"nm1670930,nm1879061"
tt0439836,nm1757190,\N
tt0439838,nm0952481,nm0952481
tt0439842,nm0824503,"nm0479001,nm0824503"
tt0439844,nm1037485,nm1037485
tt0439845,"nm1681280,nm0173705",nm1802535
tt0439848,nm1507217,"nm0486538,nm1507217"
tt0439849,nm1462101,"nm1462101,nm1802712"
tt0439850,\N,\N
tt0439851,nm1802238,"nm1825169,nm1802740"
tt0439855,nm1802349,nm1802349
tt0439856,nm0154104,nm0154104
tt0439860,nm0728048,nm1181159
tt0439862,nm0105417,nm0487572
tt0439864,nm0646444,nm0646444
tt0439867,"nm0232412,nm0845450",nm0232412
tt0439868,nm0883219,nm0883219
tt0439869,nm1828598,"nm1802785,nm1196104,nm0664085,nm0664084"
tt0439870,nm0600261,nm1076063
tt0439872,nm0996320,"nm3971277,nm1176128,nm1203790"
tt0439873,nm0850895,nm0850895
tt0439874,nm1604375,nm1604375
tt0439875,nm1134809,nm0796526
tt0439876,nm0552358,nm0552358
tt0439878,nm1251009,"nm1251009,nm0000353"
tt0439879,"nm0561879,nm0674139,nm0591171,nm0545763,nm0683525,nm0197700,nm2036635,nm0437802,nm0067090,nm0339245,nm0003080,nm0777209,nm0353265,nm0416856","nm0683522,nm1656346,nm0370325,nm1444455,nm0410516,nm0202997,nm1180080,nm1142664,nm0009017,nm0569214,nm0683525,nm0317449,nm1586791"
tt0439882,nm2859057,nm2859057
tt0439883,nm0003776,\N
tt0439884,nm0271815,"nm2310115,nm0271815,nm4725115,nm10580367,nm10097264"
tt0439885,nm0862514,nm0155531
tt0439886,"nm0327513,nm1673488,nm1160344",nm0327513
tt0439889,nm0267715,nm0267715
tt0439890,nm0793812,"nm13664455,nm1165206,nm0793812,nm13664460"
tt0439896,\N,\N
tt0439897,nm0473998,nm0280063
tt0439901,nm0627203,nm0358905
tt0439904,\N,nm1281893
tt0439907,"nm0384892,nm0579489,nm8697370","nm0495399,nm0610421"
tt0439910,"nm0024120,nm0059106,nm1268738,nm0572851,nm0865709,nm0918659,nm0567170,nm0758508","nm1802508,nm0332315,nm0362992,nm1268738,nm0542337,nm0005348,nm0791084,nm0018712,nm0625316,nm0788630,nm0814068"
tt0439911,"nm1349387,nm0809877",nm0818730
tt0439912,"nm1580740,nm0889916","nm1628281,nm1564162,nm0970096,nm2110685"
tt0439913,"nm1715163,nm1789497",nm0845115
tt0439917,"nm0481498,nm0554045,nm0686259","nm1802536,nm0275585,nm1483215,nm1101202"
